feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
t546	breastfed_child	nonexclusive	0.0211757315345698	0.00421503447263425	56	50	6.84496717775352e-06	0.00848775930041436
t1639133	breastfed_child	nonexclusive	0.0167139651988375	0.00351605513651115	56	16	1.73035864355693e-05	0.010728223590053
t67827	breastfed_child	nonexclusive	0.00584724980586342	0.00134751274849325	56	15	6.94532895515444e-05	0.028707359681305
t116085	breastfed_child	nonexclusive	0.0104779167170105	0.00249005677665268	56	30	0.000106890328213323	0.0331360017461303
t470	birth_weight	birth_weight	0.0229740380072644	0.00574831969152376	56	47	0.000211439627059139	0.0524370275106665
t1316410	age_at_first_dose	age_at_first_dose	-0.00941389544411137	0.00242057478168956	56	39	0.000297530894088726	0.0527054726671457
t1748967	breastfed_child	nonexclusive	0.00367453924013263	0.000939531497921197	56	5	0.000277611862732254	0.0527054726671457
t1316410	antibiotic_exposure	yes	-0.0160899269501555	0.00446534789805514	56	39	0.000722676489960406	0.112014855943863
t624	breastfed_child	nonexclusive	0.0211859847205234	0.00596142177457464	56	35	0.000839860624129219	0.115714130435581
t1839799	antibiotic_exposure	yes	-0.0154227671431538	0.00460892097133347	56	50	0.00156078497085892	0.154984174366303
t1358	antibiotic_exposure	yes	-0.00170377329071684	0.000518866595452956	56	42	0.0018748085608827	0.154984174366303
t622	breastfed_child	nonexclusive	0.0107995781847877	0.00323108771662859	56	45	0.00157872990184557	0.154984174366303
t1636603	birth_weight	birth_weight	0.0110787404687587	0.00337288647396269	56	24	0.00186934255155434	0.154984174366303
t2545797	birth_weight	birth_weight	0.00992375091842171	0.00301790616606749	56	20	0.00184960431527067	0.154984174366303
t43765	age_at_first_dose	age_at_first_dose	-0.00408333431542234	0.00121415040745412	56	34	0.0014853080942364	0.154984174366303
t70346	birth_weight	birth_weight	0.01503979453064	0.00468612820241777	56	33	0.00232418186306023	0.180124094387168
