,feature_id,feature,feature_description,feature_full,Feature,mean,sd,India_present,India_n,India_prev,India_mean,India_sd,Malawi_present,Malawi_n,Malawi_prev,Malawi_mean,Malawi_sd,fisher_p,lr_p,wilcox_p,fisher_padj,lr_padj,wilcox_padj,mean_diff,prev_diff,enriched_India,rf_rank,rf_top20,rf_n,crossval_median,crossval_quartile_1,crossval_quartile_3,maaslin_value,maaslin_coef,maaslin_stderr,maaslin_pval,maaslin_qval,maaslin_N,maaslin_N.not.zero,maaslin_qval_filt
1,p1,unmapped,unmapped,unmapped,unmapped,0.093931916,0.174373318,283,283,100,13.86764049,3.675324222,58,58,100,15.71409844,6.060762163,NA,NA,0.0258181,NA,NA,0.059227974,-1.846457955,0,FALSE,7,1,50,0.7,0.65,0.8,Malawi,0.022960975,0.008299587,0.00597648,0.022509546,341,341,0.022509546
2,p10,ARGDEG-PWY,"superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation","superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation (ARGDEG-PWY)",ARGDEG-PWY,0.016024636,0.03081257,249,283,88,0.00772498,0.008260561,51,58,87.9,0.007167196,0.007201573,1,0.990667611,0.980736744,1,0.990667611,0.983176387,0.000557784,0.1,TRUE,238,0,50,0.7,0.65,0.8,Malawi,-0.000108005,0.000701261,0.877688917,0.886915983,341,300,0.886915983
3,p100,P23-PWY,reductive TCA cycle I,reductive TCA cycle I (P23-PWY),P23-PWY,0.008608723,0.020375026,71,283,25.1,0.000350767,0.001164631,16,58,27.6,0.000301061,0.001241618,0.741252311,0.691106112,0.898993726,1,0.975446912,0.926584327,4.97E-05,-2.5,TRUE,362,0,50,0.7,0.65,0.8,Malawi,-8.22E-05,0.000242862,0.735147652,0.769518192,341,87,0.769518192
4,p101,P4-PWY,"superpathway of L-lysine, L-threonine and L-methionine biosynthesis I","superpathway of L-lysine, L-threonine and L-methionine biosynthesis I (P4-PWY)",P4-PWY,0.022998265,0.043207649,279,283,98.6,0.028706913,0.01112692,58,58,100,0.029016211,0.010664891,NA,NA,0.803140813,NA,NA,0.847292533,-0.000309297,-1.4,FALSE,160,0,50,0.7,0.65,0.8,Malawi,0.000262575,0.000572065,0.646531333,0.691119701,341,337,0.691119701
5,p102,P42-PWY,incomplete reductive TCA cycle,incomplete reductive TCA cycle (P42-PWY),P42-PWY,0.015952233,0.031125758,245,283,86.6,0.003434152,0.003475506,52,58,89.7,0.004269384,0.003833382,0.668466115,0.524721772,0.088029753,1,0.942209208,0.143048349,-0.000835231,-3.1,FALSE,240,0,50,0.7,0.65,0.8,Malawi,0.000763245,0.00044931,0.090292187,0.149743832,341,297,0.149743832
6,p103,P441-PWY,superpathway of N-acetylneuraminate degradation,superpathway of N-acetylneuraminate degradation (P441-PWY),P441-PWY,0.012454525,0.025868409,267,283,94.3,0.018855314,0.011546719,55,58,94.8,0.022724451,0.011919714,1,0.884290155,0.025902728,1,0.990667611,0.059227974,-0.003869138,-0.5,FALSE,298,0,50,0.7,0.65,0.8,Malawi,0.001538656,0.000764569,0.044963183,0.089261886,341,322,0.089261886
7,p104,P461-PWY,"hexitol fermentation to lactate, formate, ethanol and acetate","hexitol fermentation to lactate, formate, ethanol and acetate (P461-PWY)",P461-PWY,0.010711833,0.021301278,268,283,94.7,0.01696691,0.014235957,55,58,94.8,0.02035516,0.015311016,1,0.96833474,0.1153089,1,0.990667611,0.17213032,-0.00338825,-0.1,FALSE,333,0,50,0.7,0.65,0.8,Malawi,0.001357443,0.000880236,0.123973657,0.185730051,341,323,0.185730051
8,p105,P562-PWY,myo-inositol degradation I,myo-inositol degradation I (P562-PWY),P562-PWY,0.007880189,0.017086655,68,283,24,0.000316314,0.001037136,7,58,12.1,0.000222111,0.001152958,0.054728971,0.050260907,0.048746416,0.245782835,0.248288881,0.092229135,9.42E-05,11.9,TRUE,368,0,50,0.7,0.65,0.8,Malawi,-0.000325499,0.000229998,0.157920202,0.221748576,341,75,0.221748576
9,p106,P621-PWY,nylon-6 oligomer degradation,nylon-6 oligomer degradation (P621-PWY),P621-PWY,0.026453904,0.066170809,161,283,56.9,0.000656958,0.001267922,22,58,37.9,0.000275355,0.00060658,0.009352454,0.009308306,0.005942438,0.092402245,0.099963109,0.021372912,0.000381603,19,TRUE,125,0,50,0.7,0.65,0.8,Malawi,-0.00073082,0.000273682,0.007942879,0.026940397,341,183,0.026940397
10,p107,PANTO-PWY,phosphopantothenate biosynthesis I,phosphopantothenate biosynthesis I (PANTO-PWY),PANTO-PWY,0.022190314,0.044789314,281,283,99.3,0.017753394,0.012725802,58,58,100,0.02238613,0.011571608,NA,NA,0.002030637,NA,NA,0.009162397,-0.004632736,-0.7,FALSE,169,0,50,0.7,0.65,0.8,Malawi,0.002031206,0.000725847,0.005429427,0.021451561,341,339,0.021451561
