,feature_id,mean,sd,feature,feature_description,feature_full,Feature,nonresponder_present,nonresponder_n,nonresponder_prev,nonresponder_mean,nonresponder_sd,responder_present,responder_n,responder_prev,responder_mean,responder_sd,fisher_p,lr_unadjusted_p,lr_adjusted_p,wilcox_p,fisher_padj,lr_unadjusted_padj,lr_adjusted_padj,wilcox_padj,mean_diff,prev_diff,enriched_responder_mean,enriched_responder_prev,rf_rank,rf_top20,rf_n,crossval_median,crossval_quartile_1,crossval_quartile_3,maaslin_coef,maaslin_stderr,maaslin_pval,maaslin_name,maaslin_qval,maaslin_N,maaslin_N.not.zero,maaslin_coef_adjusted,maaslin_stderr_adjusted,maaslin_pval_adjusted,maaslin_qval_adjusted,maaslin_qval_filt,maaslin_qval_adjusted_filt,country,country_clean,module
1,p1,0.019262281,0.040168165,unmapped,unmapped,unmapped,unmapped,122,122,100,13.76885108,3.725549075,25,25,100,14.08370115,2.646320308,NA,NA,NA,0.582929876,NA,NA,NA,0.995384547,0.314850065,0,TRUE,FALSE,60,0,25,0.6,0.4,0.6,0.006008672,0.011021994,0.586485911,dose1_shedding1,0.993800577,147,147,0.000499398,0.010910155,0.963555896,0.985869822,0.993800577,0.994568073,India (exposed),IND (neo+),Pathway
2,p10,0.012777774,0.032091695,ARGDEG-PWY,"superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation","superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation (ARGDEG-PWY)",ARGDEG-PWY,110,122,90.2,0.008219978,0.008409214,23,25,92,0.006842272,0.005923749,1,0.776120309,0.945599603,0.915786496,1,0.993779982,0.997167364,0.995384547,-0.001377706,1.8,FALSE,TRUE,154,0,25,0.6,0.4,0.6,-0.000298221,0.001057611,0.778363698,dose1_shedding1,0.993800577,147,133,0.000306347,0.001055415,0.772045292,0.935216234,0.993800577,0.994568073,India (exposed),IND (neo+),Pathway
3,p100,0.016522946,0.038515534,P23-PWY,reductive TCA cycle I,reductive TCA cycle I (P23-PWY),P23-PWY,39,122,32,0.000498394,0.00147782,2,25,8,5.22E-05,0.000190499,0.014219673,0.02689741,0.017325674,0.016694197,1,0.993779982,0.997167364,0.995384547,-0.0004462,-24,FALSE,FALSE,96,0,25,0.6,0.4,0.6,-0.000857732,0.000400752,0.034002833,dose1_shedding1,0.993800577,147,41,-0.000970842,0.000411997,0.019837809,0.29039685,0.993800577,0.994568073,India (exposed),IND (neo+),Pathway
4,p101,0.021435302,0.050107081,P4-PWY,"superpathway of L-lysine, L-threonine and L-methionine biosynthesis I","superpathway of L-lysine, L-threonine and L-methionine biosynthesis I (P4-PWY)",P4-PWY,121,122,99.2,0.029263358,0.010834894,25,25,100,0.029404015,0.008569899,NA,NA,NA,0.720089282,NA,NA,NA,0.995384547,0.000140657,0.8,TRUE,TRUE,44,0,25,0.6,0.4,0.6,0.000287333,0.000797499,0.719152967,dose1_shedding1,0.993800577,147,146,0.000288338,0.000812972,0.723369717,0.928463614,0.993800577,0.994568073,India (exposed),IND (neo+),Pathway
5,p102,0.02452574,0.05392021,P42-PWY,incomplete reductive TCA cycle,incomplete reductive TCA cycle (P42-PWY),P42-PWY,107,122,87.7,0.003796531,0.003951712,24,25,96,0.00270607,0.002325997,0.309005284,0.251006023,0.28520948,0.502407734,1,0.993779982,0.997167364,0.995384547,-0.001090461,8.3,FALSE,TRUE,20,1,25,0.6,0.4,0.6,-0.00048922,0.000691013,0.480097195,dose1_shedding1,0.993800577,147,131,-0.000391483,0.000684891,0.568509873,0.867079272,0.993800577,0.994568073,India (exposed),IND (neo+),Pathway
6,p103,0.0076267,0.01739765,P441-PWY,superpathway of N-acetylneuraminate degradation,superpathway of N-acetylneuraminate degradation (P441-PWY),P441-PWY,117,122,95.9,0.019431053,0.0111365,24,25,96,0.017649814,0.009805181,NA,NA,NA,0.451572766,NA,NA,NA,0.995384547,-0.00178124,0.1,FALSE,TRUE,292,0,25,0.6,0.4,0.6,-0.000523659,0.0010975,0.63398195,dose1_shedding1,0.993800577,147,141,-0.000478467,0.001127591,0.671979155,0.911406959,0.993800577,0.994568073,India (exposed),IND (neo+),Pathway
7,p104,0.014048915,0.03541701,P461-PWY,"hexitol fermentation to lactate, formate, ethanol and acetate","hexitol fermentation to lactate, formate, ethanol and acetate (P461-PWY)",P461-PWY,117,122,95.9,0.017524169,0.013699048,25,25,100,0.013218335,0.009124817,NA,NA,NA,0.226625846,NA,NA,NA,0.995384547,-0.004305835,4.1,FALSE,TRUE,136,0,25,0.6,0.4,0.6,-0.001228642,0.00123186,0.320237937,dose1_shedding1,0.993800577,147,142,-0.000724692,0.001243613,0.561011421,0.864462747,0.993800577,0.994568073,India (exposed),IND (neo+),Pathway
8,p105,0.003925627,0.009941413,P562-PWY,myo-inositol degradation I,myo-inositol degradation I (P562-PWY),P562-PWY,35,122,28.7,0.000420187,0.001218164,6,25,24,0.000332208,0.001148771,0.807553074,0.634489363,0.802757192,0.566043505,1,0.993779982,0.997167364,0.995384547,-8.80E-05,-4.7,FALSE,FALSE,363,0,25,0.6,0.4,0.6,-0.000200767,0.0004005,0.616925978,dose1_shedding1,0.993800577,147,41,7.90E-06,0.000388934,0.983815284,0.994869389,0.993800577,0.996431827,India (exposed),IND (neo+),Pathway
9,p106,0.009922462,0.026852219,P621-PWY,nylon-6 oligomer degradation,nylon-6 oligomer degradation (P621-PWY),P621-PWY,70,122,57.4,0.00065962,0.00132559,18,25,72,0.000770154,0.001040189,0.188756719,0.178979841,0.120700557,0.217143386,1,0.993779982,0.997167364,0.995384547,0.000110534,14.6,TRUE,TRUE,220,0,25,0.6,0.4,0.6,0.000416357,0.000434906,0.339984693,dose1_shedding1,0.993800577,147,88,0.000612438,0.000434185,0.160596246,0.65481942,0.993800577,0.994568073,India (exposed),IND (neo+),Pathway
10,p107,0.011501133,0.025760505,PANTO-PWY,phosphopantothenate biosynthesis I,phosphopantothenate biosynthesis I (PANTO-PWY),PANTO-PWY,122,122,100,0.017596552,0.01207946,25,25,100,0.015912231,0.011558304,NA,NA,NA,0.644469513,NA,NA,NA,0.995384547,-0.001684321,0,FALSE,FALSE,179,0,25,0.6,0.4,0.6,-0.000487438,0.001100242,0.658405669,dose1_shedding1,0.993800577,147,147,-0.000527168,0.00111275,0.636414345,0.896511185,0.993800577,0.994568073,India (exposed),IND (neo+),Pathway
11,p108,0.010519104,0.023201547,PANTOSYN-PWY,superpathway of coenzyme A biosynthesis I (bacteria),superpathway of coenzyme A biosynthesis I (bacteria) (PANTOSYN-PWY),PANTOSYN-PWY,122,122,100,0.018957528,0.011556396,25,25,100,0.017467616,0.011276546,NA,NA,NA,0.440815668,NA,NA,NA,0.995384547,-0.001489912,0,FALSE,FALSE,202,0,25,0.6,0.4,0.6,-0.000371536,0.001042384,0.722037065,dose1_shedding1,0.993800577,147,147,-0.00050315,0.001055939,0.634464669,0.89608239,0.993800577,0.994568073,India (exposed),IND (neo+),Pathway
12,p109,0.021398341,0.043723223,PENTOSE-P-PWY,pentose phosphate pathway,pentose phosphate pathway (PENTOSE-P-PWY),PENTOSE-P-PWY,122,122,100,0.02921523,0.012834924,25,25,100,0.030358656,0.011769512,NA,NA,NA,0.915822559,NA,NA,NA,0.995384547,0.001143425,0,TRUE,FALSE,45,0,25,0.6,0.4,0.6,0.000599036,0.000915758,0.514056115,dose1_shedding1,0.993800577,147,147,0.00059887,0.000919215,0.51579125,0.840062157,0.993800577,0.994568073,India (exposed),IND (neo+),Pathway
13,p11,0.010195879,0.022922864,ARGININE-SYN4-PWY,L-ornithine biosynthesis II,L-ornithine biosynthesis II (ARGININE-SYN4-PWY),ARGININE-SYN4-PWY,79,122,64.8,0.002619359,0.005159236,17,25,68,0.002946238,0.005619834,0.821327509,0.756223611,0.561521718,0.738033054,1,0.993779982,0.997167364,0.995384547,0.000326878,3.2,TRUE,TRUE,209,0,25,0.6,0.4,0.6,0.000273274,0.000881742,0.757062787,dose1_shedding1,0.993800577,147,96,0.0004505,0.000880607,0.60975154,0.884668189,0.993800577,0.994568073,India (exposed),IND (neo+),Pathway
14,p110,0.007206911,0.016906805,PEPTIDOGLYCANSYN-PWY,peptidoglycan biosynthesis I (meso-diaminopimelate containing),peptidoglycan biosynthesis I (meso-diaminopimelate containing) (PEPTIDOGLYCANSYN-PWY),PEPTIDOGLYCANSYN-PWY,122,122,100,0.06098234,0.018095689,25,25,100,0.06345402,0.018576953,NA,NA,NA,0.568858138,NA,NA,NA,0.995384547,0.00247168,0,TRUE,FALSE,303,0,25,0.6,0.4,0.6,0.000507663,0.000805546,0.529549058,dose1_shedding1,0.993800577,147,147,0.0002534,0.000811753,0.755380377,0.933184706,0.993800577,0.994568073,India (exposed),IND (neo+),Pathway
15,p111,0.020318834,0.045813657,PHOSLIPSYN-PWY,superpathway of phospholipid biosynthesis I (bacteria),superpathway of phospholipid biosynthesis I (bacteria) (PHOSLIPSYN-PWY),PHOSLIPSYN-PWY,119,122,97.5,0.022030678,0.012451744,24,25,96,0.019524168,0.009061212,NA,NA,NA,0.304869688,NA,NA,NA,0.995384547,-0.00250651,-1.5,FALSE,FALSE,51,0,25,0.6,0.4,0.6,-0.000542133,0.001120263,0.629162961,dose1_shedding1,0.993800577,147,143,-0.00031709,0.001135125,0.780393287,0.935216234,0.993800577,0.994568073,India (exposed),IND (neo+),Pathway
16,p113,0.001528819,0.004178321,POLYAMINSYN3-PWY,superpathway of polyamine biosynthesis II,superpathway of polyamine biosynthesis II (POLYAMINSYN3-PWY),POLYAMINSYN3-PWY,11,122,9,0.000212731,0.001295732,2,25,8,4.81E-05,0.000200869,1,0.870551223,0.877706408,0.842328506,1,0.993779982,0.997167364,0.995384547,-0.000164593,-1,FALSE,FALSE,393,0,25,0.6,0.4,0.6,-0.000171959,0.000291274,0.555861612,dose1_shedding1,0.993800577,147,13,-0.000247423,0.000287172,0.390387838,0.793180958,0.993800577,0.994568073,India (exposed),IND (neo+),Pathway
17,p114,0.007816984,0.016765878,POLYAMSYN-PWY,superpathway of polyamine biosynthesis I,superpathway of polyamine biosynthesis I (POLYAMSYN-PWY),POLYAMSYN-PWY,115,122,94.3,0.014288143,0.011098713,24,25,96,0.011404718,0.008347168,1,0.728539188,0.928216169,0.342736289,1,0.993779982,0.997167364,0.995384547,-0.002883425,1.7,FALSE,TRUE,285,0,25,0.6,0.4,0.6,-0.000882952,0.001159499,0.447598658,dose1_shedding1,0.993800577,147,139,-0.000604287,0.001179422,0.609207409,0.884668189,0.993800577,0.994568073,India (exposed),IND (neo+),Pathway
18,p115,0.013965103,0.030296087,POLYISOPRENSYN-PWY,polyisoprenoid biosynthesis (E. coli),polyisoprenoid biosynthesis (E. coli) (POLYISOPRENSYN-PWY),POLYISOPRENSYN-PWY,121,122,99.2,0.009412999,0.006280241,25,25,100,0.006940639,0.004676551,NA,NA,NA,0.09031583,NA,NA,NA,0.995384547,-0.00247236,0.8,FALSE,TRUE,139,0,25,0.6,0.4,0.6,-0.00116082,0.000756894,0.12729176,dose1_shedding1,0.993800577,147,146,-0.000870515,0.000762764,0.25570871,0.744320296,0.993800577,0.994568073,India (exposed),IND (neo+),Pathway
19,p116,0.008313408,0.01860082,PPGPPMET-PWY,ppGpp metabolism,ppGpp metabolism (PPGPPMET-PWY),PPGPPMET-PWY,112,122,91.8,0.005784511,0.005829831,24,25,96,0.004758687,0.004522364,0.690593645,0.477279375,0.614320781,0.633343775,1,0.993779982,0.997167364,0.995384547,-0.001025824,4.2,FALSE,TRUE,265,0,25,0.6,0.4,0.6,-0.00040184,0.000838959,0.632678409,dose1_shedding1,0.993800577,147,136,5.80E-05,0.000817701,0.94353211,0.985364303,0.993800577,0.994568073,India (exposed),IND (neo+),Pathway
20,p118,0.0064956,0.01521865,PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY,protocatechuate degradation II (ortho-cleavage pathway),protocatechuate degradation II (ortho-cleavage pathway) (PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY),PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY,78,122,63.9,0.001826361,0.003757089,17,25,68,0.001854807,0.00369391,0.819942451,0.698767098,0.554812604,0.702192173,1,0.993779982,0.997167364,0.995384547,2.84E-05,4.1,TRUE,TRUE,329,0,25,0.6,0.4,0.6,0.00017043,0.000746747,0.819789019,dose1_shedding1,0.993800577,147,95,0.000610011,0.000739937,0.411108885,0.798811148,0.993800577,0.994568073,India (exposed),IND (neo+),Pathway
21,p119,0.015986972,0.031600424,PRPP-PWY,"superpathway of histidine, purine, and pyrimidine biosynthesis","superpathway of histidine, purine, and pyrimidine biosynthesis (PRPP-PWY)",PRPP-PWY,101,122,82.8,0.007760801,0.006488114,22,25,88,0.006315909,0.005614324,0.766989539,0.523066791,0.53968123,0.438292345,1,0.993779982,0.997167364,0.995384547,-0.001444892,5.2,FALSE,TRUE,103,0,25,0.6,0.4,0.6,-0.000537556,0.000987065,0.586864802,dose1_shedding1,0.993800577,147,123,-0.000228563,0.000993637,0.818406692,0.944421216,0.993800577,0.994568073,India (exposed),IND (neo+),Pathway
