,feature_id,mean,sd,feature,feature_description,feature_full,Feature,nonresponder_present,nonresponder_n,nonresponder_prev,nonresponder_mean,nonresponder_sd,responder_present,responder_n,responder_prev,responder_mean,responder_sd,fisher_p,lr_unadjusted_p,lr_adjusted_p,wilcox_p,fisher_padj,lr_unadjusted_padj,lr_adjusted_padj,wilcox_padj,mean_diff,prev_diff,enriched_responder_mean,enriched_responder_prev,rf_rank,rf_top20,rf_n,crossval_median,crossval_quartile_1,crossval_quartile_3,maaslin_coef,maaslin_stderr,maaslin_pval,maaslin_name,maaslin_qval,maaslin_N,maaslin_N.not.zero,maaslin_coef_adjusted,maaslin_stderr_adjusted,maaslin_pval_adjusted,maaslin_qval_adjusted,maaslin_qval_filt,maaslin_qval_adjusted_filt,country,country_clean,module
1,p1,0.029909881,0.057089486,unmapped,unmapped,unmapped,unmapped,207,207,100,13.84132802,3.585982919,74,74,100,13.97748041,3.975445336,NA,NA,NA,0.873532862,NA,NA,NA,0.98335471,0.136152384,0,TRUE,FALSE,116,0,50,0.45,0.35,0.5,0.001830497,0.007041099,0.79507616,dose1_shedding1,0.995238565,281,281,-0.00070337,0.006989749,0.919918725,0.971981198,0.995238565,0.997024825,India,IND,Pathway
2,p10,0.018720365,0.03949282,ARGDEG-PWY,"superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation","superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation (ARGDEG-PWY)",ARGDEG-PWY,182,207,87.9,0.007841934,0.008370608,66,74,89.2,0.007597207,0.008020396,0.836857511,0.771577494,0.775604223,0.876060279,1,0.998468328,0.997133138,0.98335471,-0.000244727,1.3,FALSE,TRUE,279,0,50,0.45,0.35,0.5,4.90E-05,0.000667564,0.941590406,dose1_shedding1,0.995238565,281,248,0.000230486,0.000652559,0.724207605,0.902327172,0.995238565,0.997024825,India,IND,Pathway
3,p100,0.023739365,0.052044586,P23-PWY,reductive TCA cycle I,reductive TCA cycle I (P23-PWY),P23-PWY,56,207,27.1,0.000443762,0.001342072,14,74,18.9,9.64E-05,0.000255102,0.210155499,0.167275701,0.149246405,0.091221749,1,0.998468328,0.997133138,0.98335471,-0.000347326,-8.2,FALSE,FALSE,200,0,50,0.45,0.35,0.5,-0.00053075,0.000229354,0.021388304,dose1_shedding1,0.995238565,281,70,-0.000539695,0.000232521,0.021017907,0.174045546,0.995238565,0.997024825,India,IND,Pathway
4,p101,0.034928544,0.06395164,P4-PWY,"superpathway of L-lysine, L-threonine and L-methionine biosynthesis I","superpathway of L-lysine, L-threonine and L-methionine biosynthesis I (P4-PWY)",P4-PWY,205,207,99,0.029249398,0.010946793,72,74,97.3,0.027807753,0.011140828,NA,NA,NA,0.258106751,NA,NA,NA,0.98335471,-0.001441646,-1.7,FALSE,FALSE,70,0,50,0.45,0.35,0.5,-0.000548712,0.00054569,0.315509099,dose1_shedding1,0.995238565,281,277,-0.000412458,0.000546138,0.450761366,0.771912877,0.995238565,0.997024825,India,IND,Pathway
5,p102,0.039382277,0.080735453,P42-PWY,incomplete reductive TCA cycle,incomplete reductive TCA cycle (P42-PWY),P42-PWY,180,207,87,0.003636483,0.003679672,63,74,85.1,0.002946293,0.002804766,0.694746982,0.694338696,0.733152813,0.344895519,1,0.998468328,0.997133138,0.98335471,-0.00069019,-1.9,FALSE,FALSE,41,0,50,0.45,0.35,0.5,-0.000471964,0.000421249,0.263509885,dose1_shedding1,0.995238565,281,243,-0.000394219,0.000413519,0.341264706,0.686534979,0.995238565,0.997024825,India,IND,Pathway
6,p103,0.01767584,0.033883196,P441-PWY,superpathway of N-acetylneuraminate degradation,superpathway of N-acetylneuraminate degradation (P441-PWY),P441-PWY,196,207,94.7,0.019153958,0.011487068,69,74,93.2,0.018487843,0.01157882,0.770161703,0.646510338,0.576492277,0.635931674,1,0.998468328,0.997133138,0.98335471,-0.000666115,-1.5,FALSE,FALSE,295,0,50,0.45,0.35,0.5,-0.000339079,0.000719691,0.637905619,dose1_shedding1,0.995238565,281,265,-0.000250262,0.000720821,0.728714747,0.903143136,0.995238565,0.997024825,India,IND,Pathway
7,p104,0.015735542,0.029371279,P461-PWY,"hexitol fermentation to lactate, formate, ethanol and acetate","hexitol fermentation to lactate, formate, ethanol and acetate (P461-PWY)",P461-PWY,195,207,94.2,0.01713747,0.014020302,71,74,95.9,0.016003418,0.013789466,0.766057447,0.568957766,0.564308839,0.569199308,1,0.998468328,0.997133138,0.98335471,-0.001134052,1.7,FALSE,TRUE,316,0,50,0.45,0.35,0.5,-0.000386801,0.000819079,0.637125178,dose1_shedding1,0.995238565,281,266,-0.000179912,0.00080663,0.823669565,0.940689961,0.995238565,0.997024825,India,IND,Pathway
8,p105,0.013432173,0.026215947,P562-PWY,myo-inositol degradation I,myo-inositol degradation I (P562-PWY),P562-PWY,55,207,26.6,0.000361834,0.001123351,13,74,17.6,0.00019753,0.00075585,0.154363988,0.123420894,0.156204902,0.110950691,1,0.998468328,0.997133138,0.98335471,-0.000164304,-9,FALSE,FALSE,339,0,50,0.45,0.35,0.5,-0.000324397,0.000220147,0.141729697,dose1_shedding1,0.995238565,281,68,-0.000283107,0.000211513,0.181848287,0.530748262,0.995238565,0.997024825,India,IND,Pathway
9,p106,0.018045106,0.03422104,P621-PWY,nylon-6 oligomer degradation,nylon-6 oligomer degradation (P621-PWY),P621-PWY,117,207,56.5,0.00066122,0.001351605,43,74,58.1,0.000660149,0.001022846,0.891399364,0.813027077,0.760381759,0.461824923,1,0.998468328,0.997133138,0.98335471,-1.07E-06,1.6,FALSE,TRUE,287,0,50,0.45,0.35,0.5,0.000138117,0.000269599,0.608843081,dose1_shedding1,0.995238565,281,160,0.000180146,0.000261215,0.490999239,0.795054245,0.995238565,0.997024825,India,IND,Pathway
10,p107,0.034430405,0.064851664,PANTO-PWY,phosphopantothenate biosynthesis I,phosphopantothenate biosynthesis I (PANTO-PWY),PANTO-PWY,206,207,99.5,0.017592283,0.011854211,73,74,98.6,0.017884522,0.014317312,NA,NA,NA,0.798715686,NA,NA,NA,0.98335471,0.000292239,-0.9,TRUE,FALSE,75,0,50,0.45,0.35,0.5,-1.77E-05,0.000693735,0.979639536,dose1_shedding1,0.995238565,281,279,1.94E-05,0.000694415,0.97777134,0.993382816,0.995238565,0.997024825,India,IND,Pathway
