,feature_id,mean,sd,feature,feature_description,feature_full,Feature,nonresponder_present,nonresponder_n,nonresponder_prev,nonresponder_mean,nonresponder_sd,responder_present,responder_n,responder_prev,responder_mean,responder_sd,fisher_p,lr_unadjusted_p,lr_adjusted_p,wilcox_p,fisher_padj,lr_unadjusted_padj,lr_adjusted_padj,wilcox_padj,mean_diff,prev_diff,enriched_responder_mean,enriched_responder_prev,rf_rank,rf_top20,rf_n,crossval_median,crossval_quartile_1,crossval_quartile_3,maaslin_coef,maaslin_stderr,maaslin_pval,maaslin_name,maaslin_qval,maaslin_N,maaslin_N.not.zero,maaslin_coef_adjusted,maaslin_stderr_adjusted,maaslin_pval_adjusted,maaslin_qval_adjusted,maaslin_qval_filt,maaslin_qval_adjusted_filt,country,country_clean,module
1,p1,0.037444027,0.076923397,unmapped,unmapped,unmapped,unmapped,104,104,100,13.41301812,3.064223722,45,45,100,14.71093959,4.35569497,NA,NA,NA,0.028282348,NA,NA,NA,0.140604242,1.297921469,0,TRUE,FALSE,43,0,45,0.555555556,0.444444444,0.666666667,0.017671422,0.008798397,0.046423569,seroconv1,0.175283853,149,149,0.014559435,0.008767661,0.099003646,0.437474629,0.175283853,0.226133328,India (exposed),IND (neo+),Pathway
2,p10,0.011496718,0.022156239,ARGDEG-PWY,"superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation","superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation (ARGDEG-PWY)",ARGDEG-PWY,96,104,92.3,0.008550735,0.008196597,38,45,84.4,0.006340297,0.007507526,0.150618765,0.150637819,0.197183431,0.067804236,0.29762268,0.284027033,0.34542062,0.178519609,-0.002210437,-7.9,FALSE,FALSE,335,0,45,0.555555556,0.444444444,0.666666667,-0.001579796,0.000854156,0.066387821,seroconv1,0.182653081,149,134,-0.001564967,0.00085792,0.070233282,0.390304458,0.182653081,0.203777366,India (exposed),IND (neo+),Pathway
3,p100,0.014138232,0.031582013,P23-PWY,reductive TCA cycle I,reductive TCA cycle I (P23-PWY),P23-PWY,29,104,27.9,0.000384374,0.001389975,13,45,28.9,0.000497909,0.001261808,1,0.900450509,0.911300302,0.725067733,1,0.920549812,0.961928097,0.814182203,0.000113535,1,TRUE,TRUE,296,0,45,0.555555556,0.444444444,0.666666667,0.000205788,0.000328576,0.532087591,seroconv1,0.662226661,149,42,0.000245936,0.000340653,0.471510463,0.739038379,0.662226661,0.628793159,India (exposed),IND (neo+),Pathway
4,p101,0.02730911,0.053423004,P4-PWY,"superpathway of L-lysine, L-threonine and L-methionine biosynthesis I","superpathway of L-lysine, L-threonine and L-methionine biosynthesis I (P4-PWY)",P4-PWY,104,104,100,0.029863721,0.009998883,44,45,97.8,0.026912455,0.012138137,NA,NA,NA,0.218692942,NA,NA,NA,0.372519333,-0.002951265,-2.2,FALSE,FALSE,97,0,45,0.555555556,0.444444444,0.666666667,-0.001197488,0.000663658,0.073219716,seroconv1,0.191131986,149,148,-0.001207468,0.000681299,0.078488768,0.405804006,0.191131986,0.206225389,India (exposed),IND (neo+),Pathway
5,p102,0.028645223,0.054424354,P42-PWY,incomplete reductive TCA cycle,incomplete reductive TCA cycle (P42-PWY),P42-PWY,96,104,92.3,0.003925082,0.004048839,37,45,82.2,0.002749052,0.002741549,0.085283742,0.075349467,0.08252851,0.112613211,0.224598055,0.203494799,0.253578859,0.24737984,-0.00117603,-10.1,FALSE,FALSE,88,0,45,0.555555556,0.444444444,0.666666667,-0.001057813,0.000554952,0.058584701,seroconv1,0.179889279,149,133,-0.000950896,0.000557036,0.089996136,0.422316497,0.179889279,0.21518705,India (exposed),IND (neo+),Pathway
6,p103,0.024298974,0.046754345,P441-PWY,superpathway of N-acetylneuraminate degradation,superpathway of N-acetylneuraminate degradation (P441-PWY),P441-PWY,101,104,97.1,0.020193565,0.01085315,42,45,93.3,0.01588416,0.010949469,0.366821004,0.294420536,0.226993522,0.010739521,0.528624666,0.432868288,0.376291275,0.140604242,-0.004309405,-3.8,FALSE,FALSE,135,0,45,0.555555556,0.444444444,0.666666667,-0.001930827,0.000892329,0.032094672,seroconv1,0.161306494,149,143,-0.002071485,0.000921465,0.02611482,0.291615495,0.161306494,0.172488833,India (exposed),IND (neo+),Pathway
7,p104,0.019209428,0.036769159,P461-PWY,"hexitol fermentation to lactate, formate, ethanol and acetate","hexitol fermentation to lactate, formate, ethanol and acetate (P461-PWY)",P461-PWY,101,104,97.1,0.018438904,0.013396418,43,45,95.6,0.013793053,0.014007613,NA,NA,NA,0.018748165,NA,NA,NA,0.140604242,-0.00464585,-1.5,FALSE,FALSE,227,0,45,0.555555556,0.444444444,0.666666667,-0.002283099,0.001006105,0.02470853,seroconv1,0.15668255,149,144,-0.002057872,0.001013329,0.044141237,0.342695542,0.15668255,0.184256155,India (exposed),IND (neo+),Pathway
8,p105,0.010571164,0.023783383,P562-PWY,myo-inositol degradation I,myo-inositol degradation I (P562-PWY),P562-PWY,31,104,29.8,0.000473404,0.001299973,10,45,22.2,0.000229644,0.000901795,0.425653868,0.342825932,0.37595431,0.213042263,0.589200677,0.476010114,0.521689408,0.364438255,-0.00024376,-7.6,FALSE,FALSE,347,0,45,0.555555556,0.444444444,0.666666667,-0.000457219,0.00032187,0.157577686,seroconv1,0.29601042,149,41,-0.00049276,0.00031361,0.118350251,0.470583745,0.29601042,0.255789252,India (exposed),IND (neo+),Pathway
9,p106,0.020014574,0.040861277,P621-PWY,nylon-6 oligomer degradation,nylon-6 oligomer degradation (P621-PWY),P621-PWY,66,104,63.5,0.000573157,0.000862663,23,45,51.1,0.00089588,0.001904559,0.202888297,0.159809011,0.178375747,0.479100625,0.364250942,0.294720486,0.326361551,0.615330515,0.000322723,-12.4,TRUE,FALSE,210,0,45,0.555555556,0.444444444,0.666666667,0.000103419,0.000352972,0.76993825,seroconv1,0.862159266,149,89,0.000129724,0.000355381,0.71563498,0.870538744,0.862159266,0.830147735,India (exposed),IND (neo+),Pathway
10,p107,0.022365382,0.045338746,PANTO-PWY,phosphopantothenate biosynthesis I,phosphopantothenate biosynthesis I (PANTO-PWY),PANTO-PWY,104,104,100,0.017925612,0.012029914,45,45,100,0.016432772,0.013239514,NA,NA,NA,0.364131451,NA,NA,NA,0.506508108,-0.001492841,0,FALSE,FALSE,174,0,45,0.555555556,0.444444444,0.666666667,-0.000868959,0.000908454,0.340377751,seroconv1,0.473466629,149,149,-0.000754085,0.000921039,0.414310631,0.694452565,0.473466629,0.566506372,India (exposed),IND (neo+),Pathway
