,feature_id,mean,sd,feature,feature_description,feature_full,Feature,nonresponder_present,nonresponder_n,nonresponder_prev,nonresponder_mean,nonresponder_sd,responder_present,responder_n,responder_prev,responder_mean,responder_sd,fisher_p,lr_unadjusted_p,lr_adjusted_p,wilcox_p,fisher_padj,lr_unadjusted_padj,lr_adjusted_padj,wilcox_padj,mean_diff,prev_diff,enriched_responder_mean,enriched_responder_prev,rf_rank,rf_top20,rf_n,crossval_median,crossval_quartile_1,crossval_quartile_3,maaslin_coef,maaslin_stderr,maaslin_pval,maaslin_name,maaslin_qval,maaslin_N,maaslin_N.not.zero,maaslin_coef_adjusted,maaslin_stderr_adjusted,maaslin_pval_adjusted,maaslin_qval_adjusted,maaslin_qval_filt,maaslin_qval_adjusted_filt,country,country_clean,module
1,p1,0.007975051,0.017015541,unmapped,unmapped,unmapped,unmapped,46,46,100,15.13495845,5.347670547,10,10,100,16.10726121,5.467992954,NA,NA,NA,0.65040469,NA,NA,NA,0.987382909,0.972302753,0,TRUE,FALSE,57,0,10,0.5,0.25,0.5,0.013699219,0.025750299,0.596906497,seroconv1,0.975861478,56,56,0.011843885,0.025477847,0.644042792,0.828130567,0.975861478,0.91803527,Malawi,MLW,Pathway
2,p10,0.002913946,0.009776094,ARGDEG-PWY,"superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation","superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation (ARGDEG-PWY)",ARGDEG-PWY,42,46,91.3,0.007320624,0.007318326,7,10,70,0.006176424,0.007507615,0.099348302,0.082429712,0.080001335,0.434451185,0.976625121,0.986648016,0.999733237,0.987382909,-0.001144199,-21.3,FALSE,FALSE,238,0,10,0.5,0.25,0.5,-0.00128675,0.001605391,0.426344742,seroconv1,0.975861478,56,49,-0.00144952,0.001515243,0.343359001,0.655984233,0.975861478,0.91803527,Malawi,MLW,Pathway
3,p100,0.000731831,0.002706487,P23-PWY,reductive TCA cycle I,reductive TCA cycle I (P23-PWY),P23-PWY,13,46,28.3,0.000362514,0.00138918,1,10,10,3.00E-05,9.49E-05,0.422562179,0.251485616,0.283172783,0.215762435,0.976625121,0.986648016,0.999733237,0.987382909,-0.000332502,-18.3,FALSE,FALSE,371,0,10,0.5,0.25,0.5,-0.000614474,0.00056364,0.280470408,seroconv1,0.975861478,56,14,-0.000615578,0.000600583,0.310311614,0.644557902,0.975861478,0.91803527,Malawi,MLW,Pathway
4,p101,0.0042208,0.011126036,P4-PWY,"superpathway of L-lysine, L-threonine and L-methionine biosynthesis I","superpathway of L-lysine, L-threonine and L-methionine biosynthesis I (P4-PWY)",P4-PWY,46,46,100,0.029256536,0.010920062,10,10,100,0.029560725,0.010086293,NA,NA,NA,0.974802867,NA,NA,NA,0.989761479,0.000304189,0,TRUE,FALSE,154,0,10,0.5,0.25,0.5,0.000180986,0.001180694,0.87874304,seroconv1,0.976711314,56,56,0.000148003,0.001192117,0.901693368,0.952164411,0.976711314,0.978553499,Malawi,MLW,Pathway
5,p102,0.004474781,0.011102754,P42-PWY,incomplete reductive TCA cycle,incomplete reductive TCA cycle (P42-PWY),P42-PWY,41,46,89.1,0.004194051,0.003818605,9,10,90,0.004170801,0.004110459,1,0.935792554,0.775080795,0.880889637,1,0.997712967,0.999733237,0.987382909,-2.33E-05,0.9,FALSE,TRUE,143,0,10,0.5,0.25,0.5,-2.63E-06,0.001115825,0.998130836,seroconv1,0.998130836,56,50,0.000135559,0.001173127,0.908469123,0.955143649,0.998130836,0.978553499,Malawi,MLW,Pathway
6,p103,0.002673717,0.007705422,P441-PWY,superpathway of N-acetylneuraminate degradation,superpathway of N-acetylneuraminate degradation (P441-PWY),P441-PWY,44,46,95.7,0.023068091,0.012167338,9,10,90,0.021718627,0.012486252,0.452380952,0.484362853,0.452830467,0.838940725,0.976625121,0.986648016,0.999733237,0.987382909,-0.001349464,-5.7,FALSE,FALSE,259,0,10,0.5,0.25,0.5,-0.000642911,0.001834637,0.727379702,seroconv1,0.975861478,56,53,-0.000872107,0.001747547,0.619935338,0.818199233,0.975861478,0.91803527,Malawi,MLW,Pathway
7,p104,0.001376648,0.004614323,P461-PWY,"hexitol fermentation to lactate, formate, ethanol and acetate","hexitol fermentation to lactate, formate, ethanol and acetate (P461-PWY)",P461-PWY,44,46,95.7,0.020607762,0.015216296,9,10,90,0.019112272,0.017906467,0.452380952,0.484362853,0.385400258,0.645527932,0.976625121,0.986648016,0.999733237,0.987382909,-0.00149549,-5.7,FALSE,FALSE,351,0,10,0.5,0.25,0.5,-0.001243501,0.002209555,0.575911478,seroconv1,0.975861478,56,53,-0.001280844,0.002203792,0.563716462,0.786903781,0.975861478,0.91803527,Malawi,MLW,Pathway
8,p105,0.001109362,0.003686953,P562-PWY,myo-inositol degradation I,myo-inositol degradation I (P562-PWY),P562-PWY,4,46,8.7,4.29E-05,0.000188078,2,10,20,0.001051207,0.0027028,0.28932952,0.308697874,0.393878724,0.239829067,0.976625121,0.986648016,0.999733237,0.987382909,0.001008354,11.3,TRUE,TRUE,363,0,10,0.5,0.25,0.5,0.001197792,0.000486012,0.01693236,seroconv1,0.975861478,56,6,0.00121988,0.000513364,0.021360917,0.453020871,0.975861478,0.91803527,Malawi,MLW,Pathway
9,p106,0.001611662,0.004558754,P621-PWY,nylon-6 oligomer degradation,nylon-6 oligomer degradation (P621-PWY),P621-PWY,17,46,37,0.000295607,0.000661385,3,10,30,0.000171847,0.000358413,1,0.678107259,0.615575425,0.689595002,1,0.986648016,0.999733237,0.987382909,-0.000123761,-7,FALSE,FALSE,341,0,10,0.5,0.25,0.5,-0.000239887,0.000499859,0.633229212,seroconv1,0.975861478,56,20,-0.000326821,0.000521846,0.533981078,0.769932994,0.975861478,0.91803527,Malawi,MLW,Pathway
10,p107,0.006545091,0.014709074,PANTO-PWY,phosphopantothenate biosynthesis I,phosphopantothenate biosynthesis I (PANTO-PWY),PANTO-PWY,46,46,100,0.022973954,0.011798963,10,10,100,0.018546747,0.011060795,NA,NA,NA,0.380294717,NA,NA,NA,0.987382909,-0.004427206,0,FALSE,FALSE,85,0,10,0.5,0.25,0.5,-0.001635341,0.001541185,0.293370626,seroconv1,0.975861478,56,56,-0.002089941,0.001448518,0.15530885,0.54309121,0.975861478,0.91803527,Malawi,MLW,Pathway
