,feature_id,feature,feature_description,feature_full,Feature,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,X88,X89,X90,X91,X92,X93,X94,X95,X96,X97,X98,X99,X100,IncMSE_means,IncMSE_sds,present,n,prev,mean,rho,spearman_p,wilcox_p,mean_IgA_present,CI_IgA_present,mean_IgA_absent,CI_IgA_absent,lr_unadjusted_p,lr_adjusted_p,GMR,spearman_padj,wilcox_padj,lr_unadjusted_padj,lr_adjusted_padj,rf_rank,rf_top20,maaslin_coef,maaslin_stderr,maaslin_pval,maaslin_name,maaslin_qval,maaslin_N,maaslin_N.not.zero,maaslin_coef_adjusted,maaslin_stderr_adjusted,maaslin_pval_adjusted,maaslin_qval_adjusted,maaslin_qval_filt,maaslin_qval_adjusted_filt,country,country_clean,module
1,p1,unmapped,unmapped,unmapped,unmapped,-0.005462486,0.010566427,0.001702045,0.027743818,0.014216061,0.001478762,-0.000810714,0.001137096,0.019217414,-0.002291196,0.001479569,0.000659577,0.002199753,9.37E-05,-0.001141039,0.00638467,-0.017345916,-0.005937166,0.002935555,-0.005270581,0.013520091,0.016192791,0.008889525,0.004570382,-0.016819852,0.020027946,-0.001217981,-0.004427898,-0.006190171,-0.004418639,0.009178529,0.007038625,0.010834358,0.000939942,-0.008662879,-0.001875072,0.005230829,-0.008510044,-0.003235149,0.000312237,0.008682631,0.005921509,0.001880021,0.001893761,0.006252556,-0.002093139,0.000942288,0.018926979,-0.012745177,0.017403425,0.004352318,-0.004388469,0.005883529,0.000961843,0.004959095,0.005554586,0.025029836,0.000120313,0.003922216,-0.002445897,0.025827034,0.010868349,-0.002907593,0.001347352,-0.004914093,0.002526586,0.030820045,-0.012753492,0.004806436,0.008085724,0.002167901,0.015012196,0.017619561,0.018184541,0.008363891,0.012676564,0.004190362,-0.000396542,0.000762493,-0.004938649,0.010710713,-0.004768632,0.007125829,0.009106464,0.00828265,-0.00521257,-0.002067788,-0.00048717,0.001218782,0.019792219,-0.005437463,0.037229929,-0.004203623,-0.000655343,-0.003456098,-0.003701823,0.007638289,-0.002543979,-0.00348787,-0.004211791,0.001454857,0.009228413,149,149,100,13.80500783,0.17329899,0.034550491,NA,NA,NA,NA,NA,NA,NA,NA,0.904034851,NA,NA,NA,193,0,0.004682336,0.002234627,0.037854068,IgA,0.982418174,149,149,0.002818734,0.002293331,0.221067101,0.693223707,0.982418174,0.91119611,India (exposed),IND (neo+),Pathway
2,p10,ARGDEG-PWY,"superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation","superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation (ARGDEG-PWY)",ARGDEG-PWY,0.002294499,-0.005065469,0.005548351,-0.000466048,0.001756754,0.005291918,0.008147708,0.009879733,0.00152448,0.004424868,0.000736905,-0.007819804,0.000421846,0.006045387,0.000333377,0.00115211,0.003505741,0.017498986,0.002289338,0.0005225,-0.000293711,0.004725385,-0.00105762,0.009109355,0.004208662,-0.00063824,-0.000292086,0.007783457,0.000104165,0.010469031,0.00101915,0.00142713,-0.002777192,0.00520486,-0.002960445,0.003883,0.005728205,0.001606988,0.001291,0.000943899,0.000614112,0.002226535,0.00348476,0.00042286,0.006772626,0.005317088,0.003415488,-0.003012461,0.000243362,0.001982961,0.00287359,0.003892411,0.004441548,0.001036063,-0.00042863,0.000847908,0.006674347,0.003892942,0.005038758,-0.000447748,0.00084207,0.004296157,0.005398712,2.69E-05,0.002108937,-0.0033542,0.00139017,0.011594937,-0.001038406,0.002389737,0.003296979,0.002699361,-0.001085112,-0.007141153,0.005950009,0.001792488,0.003282942,-0.001009973,0.002026096,-0.001163322,0.005385226,0.002493818,0.003879855,0.004378237,0.003793755,-0.000775892,-0.001720866,0.005036368,0.004992798,0.010367691,0.001875253,-0.001595994,0.004635653,0.004205604,-0.001293918,-0.001858762,-0.001167772,0.004928623,-0.002267753,0.00508124,0.002740599,0.003672621,134,149,89.9,0.007883153,-0.041766942,0.613026836,0.661045786,54.144,39.619-73.993,43.832,17.028-112.825,0.316415782,0.238405348,1.235261909,0.904034851,1,0.658872704,0.530709995,120,0,-0.000135976,0.000219421,0.536412701,IgA,0.982418174,149,134,6.96E-05,0.000225962,0.758376469,0.92522123,0.982418174,0.964566788,India (exposed),IND (neo+),Pathway
3,p100,P23-PWY,reductive TCA cycle I,reductive TCA cycle I (P23-PWY),P23-PWY,-0.002832364,0.005286703,-0.005985073,-0.000688324,0.000516969,0.000204599,0.003162672,0.001889416,-0.000439413,0.002386051,-0.00352207,0.003335552,0.004195,0.004533044,0.00530625,-0.002001784,0.00099518,0.005278023,-0.002989715,-0.000547901,0.002396009,-0.002287767,0.001983081,0.00284463,-0.000356405,-0.004066828,-0.004049029,-0.00795672,-0.002763008,0.000654415,-0.006035466,0.004699361,0.002288113,0.006893153,-0.005933855,-0.001011291,0.006403289,0.000977863,0.000403224,-0.000796751,-0.00405644,0.001697289,0.007764406,-0.000759354,-6.50E-05,-0.00077366,0.002202035,-0.00119904,0.0028725,-0.010771237,-0.013126876,5.56E-05,0.000681467,-0.001397338,-0.002454409,0.004896753,-0.003461865,-0.002111511,-0.000684041,-0.001136788,-0.008352751,-0.000536622,0.000991394,-0.001001778,0.001408501,0.000157257,0.004606228,-8.28E-05,-0.004134212,-0.000374663,0.002937963,-0.00291501,0.004077471,-0.006817815,-0.003598515,-0.002085938,0.001102533,-0.000706769,0.004733059,0.001504699,0.001413188,-0.002489967,-0.002380617,-0.000294358,-0.000641358,-0.00218831,0.002197355,0.006916363,-0.005558761,0.001637407,0.000986959,-0.00272345,0.002095375,-0.000197781,0.000728861,0.000295992,0.002873345,-0.000260749,0.001135325,-0.003336491,-0.000793511,0.003353382,42,149,28.2,0.000418663,0.04020915,0.626344335,0.699450505,56.88,31.315-103.314,51.556,36.668-72.49,0.543818079,0.206161112,1.103266351,0.904034851,1,0.715084872,0.530709995,350,0,4.46E-05,8.36E-05,0.594672838,IgA,0.982418174,149,42,4.33E-05,8.88E-05,0.626871627,0.870998651,0.982418174,0.964566788,India (exposed),IND (neo+),Pathway
4,p101,P4-PWY,"superpathway of L-lysine, L-threonine and L-methionine biosynthesis I","superpathway of L-lysine, L-threonine and L-methionine biosynthesis I (P4-PWY)",P4-PWY,0.013006971,-0.000878945,-0.003477193,0.002540488,0.000712515,0.003512064,0.00606158,0.010055081,0.011624684,-0.001220158,-0.004054932,0.014360262,0.00355329,0.002001577,0.005248429,0.010411933,-0.001885505,0.010284208,-0.001509263,-0.001280989,0.002635366,-6.97E-05,-9.00E-05,0.00033166,-0.002670521,-0.002021327,0.005938524,0.010272294,0.004361637,0.004823193,0.003500854,0.00792253,0.0102389,0.010640409,0.004029409,0.003063745,0.004306988,0.001097318,0.005679815,0.014723267,-0.004468993,0.008435585,0.000117626,0.006076002,0.0047272,0.000699371,0.014231295,0.001846742,-0.00810575,0.000254339,0.001376851,0.007215153,0.003649066,-0.006867153,0.011634687,0.002678927,0.020320957,-0.004944354,0.008965587,0.015692471,0.000268283,0.009944302,0.019416048,-0.004735075,-0.003514496,0.00979552,-0.001747679,-0.003102234,0.000554498,0.015361416,0.001073002,0.017195824,0.003175197,0.007264719,0.003810861,0.005065098,0.012856836,-0.001434094,-0.003078583,0.001812149,0.009665008,0.001600011,0.015910627,0.000913879,0.003175939,-0.003166723,0.006581918,-0.002505586,-0.001306367,0.001507303,-0.002242502,0.005190676,0.002003032,0.005972592,0.002003654,-0.008855015,-0.005351747,0.003533352,-0.001501964,0.006395695,0.004361318,0.005811093,148,149,99.3,0.028972399,0.037493878,0.649845835,NA,NA,NA,NA,NA,NA,NA,NA,0.904034851,NA,NA,NA,54,0,0.000145917,0.000170189,0.392630584,IgA,0.982418174,149,148,0.000192076,0.000178662,0.284162384,0.722207894,0.982418174,0.952403991,India (exposed),IND (neo+),Pathway
5,p102,P42-PWY,incomplete reductive TCA cycle,incomplete reductive TCA cycle (P42-PWY),P42-PWY,-0.002591849,0.011939898,0.004948618,-0.004344733,0.00210854,0.000890677,0.01117773,0.019145107,0.019989771,-0.001450596,0.005199318,0.006904529,0.007598608,0.007647014,0.018020182,0.003706444,0.015914432,0.000680607,0.01324768,-0.006579441,0.000795025,-0.000268434,0.017887526,0.007780346,0.006986667,0.00594834,0.014172299,0.014030978,0.012723899,-0.001894886,0.004259367,0.017965451,0.003879483,0.003173575,0.011336594,-0.000965798,0.007994663,0.017195652,0.000831421,0.00061194,0.000603023,-0.001425266,0.011245855,0.013499185,0.026581141,-0.0039866,0.008832957,0.002506006,0.00174264,0.006726236,0.007674802,0.004447793,0.002569308,-0.001196031,0.003792671,-0.001131364,0.011164066,0.015046682,-0.003385288,0.006278561,0.011103394,0.001255986,0.000108214,0.00400696,0.010014535,0.031763071,0.00196556,0.009141701,0.015765836,0.004368094,0.01274629,0.000448515,-0.004119727,0.00756443,-0.002576195,-0.006120752,0.003662192,0.008517346,0.009451201,-0.002866152,0.0096058,-0.000368952,0.03460021,0.006824664,0.00661436,0.006045965,0.01834479,0.000749348,0.007578374,-0.001383614,0.002490167,0.006045071,0.003106735,0.001079049,0.000658463,0.009379751,-0.000291957,0.012645271,-0.001086088,-0.001724629,0.004281124,0.007874681,133,149,89.3,0.003569905,-0.043873318,0.59521937,0.583163532,54.848,40.186-74.861,39.888,15.048-105.732,0.338090762,0.246170406,1.37505014,0.904034851,1,0.658872704,0.530709995,59,0,-0.000103799,0.00014259,0.467798519,IgA,0.982418174,149,133,-4.59E-06,0.000146554,0.975056013,0.990337643,0.982418174,0.991236508,India (exposed),IND (neo+),Pathway
6,p103,P441-PWY,superpathway of N-acetylneuraminate degradation,superpathway of N-acetylneuraminate degradation (P441-PWY),P441-PWY,-0.002463968,0.001965814,-0.002484146,-0.001157697,-0.004006505,0.001519742,-0.001818576,0.003639545,0.000632173,-0.000842746,0.001487333,0.00125344,0.004735025,0.000222333,0.001323135,0.006952647,-0.002811735,0.003983081,0.006358203,-0.002734066,0.005240177,-7.41E-05,-0.000211798,-0.001951597,0.007016051,-0.000636143,-0.002573946,0.002552166,0.012813564,-0.005296098,0.00055023,0.000785193,0.000769714,-0.003649319,0.001280383,0.004269818,-0.001999428,0.000208907,0.004244428,0.003249289,0.001372608,0.00024131,-0.004588247,-0.003579341,0.000217841,-0.000166279,0.012735079,-0.000928345,0.001742799,0.00186929,0.004435698,0.003131708,0.002910706,0.000386628,0.00076569,0.003935599,0.001527115,0.001792486,-0.001133792,-0.002631308,0.000243524,0.005891794,0.00259341,-0.000472283,-0.001314996,-9.14E-05,0.001464112,0.001283111,-0.001432205,0.00042343,0.003460043,-0.000917627,0.002184611,0.001043737,0.000753003,0.006634194,0.001838636,0.001246388,0.001962897,0.003805217,0.006407836,0.004936723,2.08E-06,-0.00144185,0.004291206,-0.000643853,-0.000875358,-0.00216069,0.001183284,0.001027382,0.002211948,0.003270665,0.002888734,-0.001565369,-0.009163727,0.000966923,0.005935819,0.008895272,-0.001214328,0.000318246,1.75E-05,0.003605587,143,149,96,0.018892067,-0.033079829,0.688788458,NA,NA,NA,NA,NA,NA,NA,NA,0.904034851,NA,NA,NA,300,0,2.18E-05,0.00023048,0.924743111,IgA,0.989202416,149,143,9.08E-05,0.000244099,0.710554384,0.90923606,0.989202416,0.964566788,India (exposed),IND (neo+),Pathway
7,p104,P461-PWY,"hexitol fermentation to lactate, formate, ethanol and acetate","hexitol fermentation to lactate, formate, ethanol and acetate (P461-PWY)",P461-PWY,0.006508518,0.024277991,0.012944501,0.010737139,0.008853721,0.006471835,-0.002833645,0.009500322,4.98E-05,0.006269929,-0.000588935,0.002332173,0.005182812,0.005811292,0.020925021,0.012663416,-0.003601345,0.028552146,0.006904595,0.012563596,-0.000979796,0.009913599,0.010597703,0.009471123,-0.003930942,0.024876351,0.01305492,0.004514536,0.001948197,-0.004819177,0.026342786,0.003204211,-0.000109432,0.020732586,0.004416037,0.016064851,0.021621954,0.023449211,0.002340459,0.013353134,-0.002089012,-0.000931179,0.00247486,0.009361798,0.009094652,0.009666548,0.013027944,0.00944986,0.025554983,0.00338331,0.02816024,0.006212838,0.010074022,0.014631732,0.001319147,0.010803969,0.007920126,0.004370163,0.014875841,0.035223677,0.015887647,0.003946985,0.009728299,-0.00548267,0.008354366,0.02021593,0.006206275,0.091461682,0.023519678,0.009025968,0.00431198,-0.007999826,0.012943597,0.008424817,0.006781446,0.009501342,0.004904281,0.012585882,0.000715328,0.00032714,0.005012505,0.016795193,0.03443415,0.00476165,0.014588508,0.023600426,0.024397806,0.005952979,0.013451054,0.007384379,0.005009772,0.020064102,0.003236653,0.005634003,0.033298619,0.014093501,0.015147861,0.017488445,0.011556393,-0.00132616,0.009254319,0.01063488,144,149,96.6,0.017035794,-0.114094471,0.165899589,NA,NA,NA,NA,NA,NA,NA,NA,0.904034851,NA,NA,NA,15,1,-0.00025304,0.000259437,0.330994025,IgA,0.982418174,149,144,-2.65E-06,0.000267714,0.992104231,0.99584802,0.982418174,0.997102237,India (exposed),IND (neo+),Pathway
8,p105,P562-PWY,myo-inositol degradation I,myo-inositol degradation I (P562-PWY),P562-PWY,0.004397164,-0.003648118,0.006008126,0.007404264,0.000640405,-0.005955266,0.001329425,0.015497701,-0.003413166,-0.000939628,0.018467129,-0.004592264,0.002906496,-0.000186351,0.001320244,-0.010727288,0.002555728,0.004280096,0.006153569,0.011097821,0.003453497,0.015460834,-0.002217161,-0.006085077,0.007925286,-0.000699308,0.015361949,0.000459908,0.005482654,0.010824201,0.017658131,0.004112848,0.001902146,-0.006253629,0.003975772,-0.001682432,0.033762662,-0.002915654,0.00710595,0.014584737,0.003276304,0.003651144,0.004514273,0.000687818,-0.003121843,-0.007208535,0.013646231,0.002155361,-0.005446879,-0.002186287,0.006968813,0.001888272,0.047683654,-0.005388495,-0.00155165,0.001612668,0.011279775,-0.012201138,-0.007349309,-0.005874957,-0.008120955,0.012367066,-0.003249157,0.002694132,0.007106711,-0.007944035,-0.002542953,0.011590984,0.005600486,0.006251848,-0.01001482,0.008645474,-0.009831933,-0.00102766,-0.002872044,-0.003913162,0.004283111,-0.004626503,0.003662928,-0.012486564,5.47E-06,0.002442341,-0.002117726,0.000938721,-0.000996489,-0.004588151,-0.002988811,-0.010574534,-0.001324676,0.029475493,0.000296375,0.016190648,-0.005738254,-0.003227195,0.036700392,-0.003768605,0.000171018,0.006510078,0.016015028,-0.000433578,0.004971994,0.011613026,41,149,27.5,0.000399785,-0.171721647,0.036254828,0.037464756,32.763,18.117-59.247,63.625,45.473-89.023,0.297925984,0.248331667,0.514939096,0.904034851,1,0.658872704,0.530709995,41,0,-0.00012967,8.17E-05,0.114664997,IgA,0.982418174,149,41,-7.93E-05,8.21E-05,0.335870867,0.755745176,0.982418174,0.964566788,India (exposed),IND (neo+),Pathway
9,p106,P621-PWY,nylon-6 oligomer degradation,nylon-6 oligomer degradation (P621-PWY),P621-PWY,0.012965423,-0.00618938,0.028494504,0.010353694,-0.002966946,0.029577767,0.007870983,0.003029628,-0.004347016,0.008600301,-0.001640238,0.000748142,0.003350971,0.01556271,-0.008044751,0.003091667,0.002874494,0.000802311,-0.001995018,0.007660608,0.006851194,0.005777828,0.001014489,0.007239756,0.00641135,-0.003251662,0.000975675,-0.006436659,0.0243195,0.005472472,-0.001893097,-0.005408324,-0.002719208,0.010281624,-0.003007092,-0.002304717,0.002930377,0.011671111,0.008672681,-0.00429284,0.009926853,-0.002844362,0.001164702,-0.008994374,0.002184699,0.0007238,0.007300295,-0.003838169,0.000232428,0.002122015,-0.001775371,0.000148011,0.004797119,0.007146856,0.013716579,0.002865877,0.012379695,0.002609053,0.003099376,0.009268921,0.003521652,0.001854142,0.012637747,0.000759197,0.012625215,0.018049339,0.00749916,0.013412065,0.004486251,0.003761877,0.002133749,0.006937284,0.012330649,0.002825295,0.008489482,-0.000522447,0.013791416,-0.006175154,-0.001872436,6.77E-06,0.005525639,0.026524127,-0.001131095,0.0150048,0.014657832,-0.006673735,0.000244761,0.002451181,0.001342996,0.006952821,-0.000783032,0.016713407,-0.000657436,0.012524318,0.004929448,0.010614424,-0.005374522,0.007069227,0.013369402,0.030023388,0.005928608,0.008333752,89,149,59.7,0.000670624,-0.087325946,0.28960145,0.404212302,48.469,32.685-71.873,60.525,38.733-94.579,0.656942881,0.319772652,0.800809583,0.904034851,1,0.799297937,0.530709995,30,0,-5.70E-05,8.97E-05,0.525887526,IgA,0.982418174,149,89,1.42E-05,9.26E-05,0.878744536,0.966671627,0.982418174,0.966444928,India (exposed),IND (neo+),Pathway
10,p107,PANTO-PWY,phosphopantothenate biosynthesis I,phosphopantothenate biosynthesis I (PANTO-PWY),PANTO-PWY,0.02011497,0.012245156,0.012463263,0.004881388,-0.001135946,0.018230038,0.039429283,0.005114624,-0.000327352,0.003408457,0.00051792,0.002052777,0.009144941,0.005221902,0.009302868,0.004548801,0.003220736,0.006005241,0.016211057,-0.005303915,0.004121007,0.008985506,0.024085164,0.00249505,-0.001563067,0.017823316,0.010830209,0.000560411,-0.000783634,-0.004965472,-0.000609271,0.006317701,0.007173243,0.009537593,0.014294777,0.003711999,0.002488205,0.006068457,0.016544729,0.00300653,-0.002166877,0.012469512,0.004240697,-0.000122714,0.013743603,0.004951233,-1.13E-06,0.002946665,0.003041312,0.017809877,-0.002210471,0.017509362,0.003068441,0.020881918,0.003465685,-0.001584808,0.012165817,0.01004344,0.004513039,0.001951967,0.006994471,0.010715899,0.004446965,0.009735666,0.001195051,0.008844142,-0.002896961,0.002918092,0.004543669,0.002600319,0.008898623,-0.005350475,0.007304323,0.018135395,0.008009937,0.00205121,0.01382612,0.000150601,0.002729547,0.011316498,0.008512373,-0.011687729,0.006821635,0.00393791,0.005629004,-0.001787814,0.017425202,0.006513232,0.010076725,0.005782026,0.003379383,0.014962901,0.008409982,0.005241731,0.003129478,0.005385578,0.01383977,0.006469516,0.011121337,0.001529368,0.004660352,0.006212236,149,149,100,0.017474754,0.070514611,0.392797043,NA,NA,NA,NA,NA,NA,NA,NA,0.904034851,NA,NA,NA,43,0,0.000218425,0.000231019,0.345962657,IgA,0.982418174,149,149,0.000352176,0.000238616,0.142181133,0.627758021,0.982418174,0.891945391,India (exposed),IND (neo+),Pathway
