,feature_id,feature,feature_description,feature_full,Feature,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,X88,X89,X90,X91,X92,X93,X94,X95,X96,X97,X98,X99,X100,IncMSE_means,IncMSE_sds,present,n,prev,mean,rho,spearman_p,wilcox_p,mean_IgA_present,CI_IgA_present,mean_IgA_absent,CI_IgA_absent,lr_unadjusted_p,lr_adjusted_p,GMR,spearman_padj,wilcox_padj,lr_unadjusted_padj,lr_adjusted_padj,rf_rank,rf_top20,maaslin_coef,maaslin_stderr,maaslin_pval,maaslin_name,maaslin_qval,maaslin_N,maaslin_N.not.zero,maaslin_coef_adjusted,maaslin_stderr_adjusted,maaslin_pval_adjusted,maaslin_qval_adjusted,maaslin_qval_filt,maaslin_qval_adjusted_filt,country,country_clean,module
1,p1,unmapped,unmapped,unmapped,unmapped,-0.009763513,-0.01914281,0.000449073,0.000404565,-0.002495831,-0.000358517,-0.003652215,-0.00290451,-0.002473765,-0.005452217,-0.002005853,0.000821829,0.001838029,0.003040785,-0.002627994,0.000826266,-0.012103038,-0.00383633,-0.001490543,-0.007238141,-0.004260609,0.003923962,0.007281283,-0.002894794,0.003318398,-0.011629233,0.003163426,-0.004694952,0.00354063,-0.002659423,0.001583026,-0.006094857,0.028042428,-0.02427249,0.000334789,0.000448968,0.003993981,0.000329014,-0.007110951,-0.001066512,0.001350105,0.0086867,-0.008519374,0.007358376,-0.004769123,-0.017241966,-0.006847246,-0.017287439,0.004054995,-0.002398866,-0.000371854,-0.007118814,-0.011327318,-0.001793454,0.002272511,0.003457648,0.002922924,-0.005162244,-0.01822357,-0.003414257,0.015458935,-0.004312341,-0.000405277,-0.002847569,-0.006571103,0.000808513,-0.003207864,-0.000468393,-0.005947504,-0.002002579,-0.002892489,-0.004473545,0.0065564,0.000799079,-0.004956372,0.020010744,-0.004484663,0.017208501,0.008267097,0.001410559,0.000988209,0.001643677,-0.003892156,0.011531035,0.004266979,0.005731693,0.00937225,0.007449171,0.001774165,-0.003574641,0.002842517,0.001923887,0.001140447,-0.007848277,-0.009811184,-0.005073831,0.004106979,-0.004006854,-0.008463028,-0.005591792,-0.00265134,0.003638774,56,56,100,15.30858395,0.016485414,0.904014804,NA,NA,NA,NA,NA,NA,NA,NA,0.989870959,NA,NA,NA,354,0,0.000905328,0.005688846,0.874151582,IgA,0.999098102,56,56,-0.000632152,0.005568034,0.91006313,0.977999694,0.999098102,0.998946096,Malawi,MLW,Pathway
2,p10,ARGDEG-PWY,"superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation","superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation (ARGDEG-PWY)",ARGDEG-PWY,0.018058846,-0.000184714,0.000218614,-0.000199208,0.001902668,0.004213711,0.004681952,-0.001119856,-0.001839986,0.003706043,-0.00546184,-0.000746009,0.005004069,-0.001720451,0.004339584,-0.007156359,0.008295121,0.00135623,0.006123894,-0.002870841,0.011069231,0.003845622,-0.000382431,0.019775628,0.00350679,-0.001446258,0.008064409,0.024723204,0.002125162,0.013400949,-0.002167014,0.000879038,0.018869902,0.000901249,0.030051275,0.024021201,-0.001628793,0.003370031,-0.00905201,0.003280597,-0.004913421,0.008785524,0.001574086,-0.000175546,-0.017989549,-0.002836693,0.005310733,0.001532803,0.000929845,0.001890913,-0.001112066,0.026530823,-0.00107904,0.00152391,-0.010911111,0.004573272,-0.000640701,0.003204738,-0.009593141,0.003504539,-0.002691298,-0.011694375,-0.007604837,-0.000157284,-5.64E-05,5.45E-05,-0.000192345,0.000854805,3.33E-05,0.000773261,0.010457363,7.16E-05,-0.001508087,0.001104024,0.009401445,0.000242459,-0.005402816,-0.010950796,0.010312336,0.003046284,0.004100264,0.013082635,-0.003209511,0.008020181,0.004316861,-0.001347313,0.000427037,0.00897735,0.000594157,-0.004110891,0.001767694,0.030143028,0.00452979,-0.002929892,0.004534279,0.007864367,0.00661449,0.007113051,0.004747402,0.00046836,0.002609251,0.009254031,49,56,87.5,0.007116302,-0.074049188,0.587556203,0.04920316,5.153,3.251-8.168,29.477,4.142-209.776,0.185179391,0.039069331,0.174814262,0.988590066,0.677963459,0.937714914,0.92186243,42,0,-0.000314427,0.000353343,0.377485945,IgA,0.999098102,56,49,-0.000299313,0.00033079,0.369888319,0.703092618,0.999098102,0.998946096,Malawi,MLW,Pathway
3,p100,P23-PWY,reductive TCA cycle I,reductive TCA cycle I (P23-PWY),P23-PWY,-0.000990884,0.008287265,0.035193099,0.014108033,0.000171052,-0.003197406,-0.001639367,0.017394638,0.02653211,0.001334595,0.000264584,0.037426093,0.001281794,0.009157076,0.007909385,0.004639176,0.031501908,0.00767206,0.007936375,0.001543809,0.004550025,0.002487051,-0.000311999,-0.001335318,0.033967965,0.00639315,-0.000327269,0.001950627,0.024154343,0.021235192,0.001111782,0.009671222,0.073503079,0.009411438,0.012532929,0.010591036,-0.003229773,0.01184916,0.039882012,0.010828508,0.007600887,0.008674777,-0.001213807,0.014645323,0.010197681,0.01586322,0.035204282,-0.003987681,0.003865029,0.022243567,0.01043426,0.006894626,0.021551784,0.012976381,0.001638593,6.41E-05,0.010275906,-0.002188784,0.018500236,0.024384786,0.019236253,0.013362913,0.004649525,-0.002835823,0.002653897,0.005910516,-0.001451697,0.012769305,0.02203548,0.002797513,0.015787246,0.002528791,0.008185252,0.024308771,0.006194196,0.018779427,0.00865477,0.004939669,0.005191541,0.012684026,0.007751447,0.055001073,0.029834489,0.001005743,0.015775308,0.010556622,0.021603996,-0.00196862,0.001034362,0.026980615,0.009720204,0.001294428,0.008388987,0.00554919,0.001233722,-0.000267151,0.007908352,0.006731691,0.015459602,0.006732086,0.011151971,0.009979875,14,56,25,0.000303139,-0.375575103,0.004339211,0.010257323,2.331,1.29-4.213,8.976,5.085-15.846,0.298974811,0.323513984,0.259692513,0.988590066,0.677963459,0.937714914,0.92186243,4,1,-0.000245137,0.000121073,0.047855152,IgA,0.999098102,56,14,-0.000249036,0.000127585,0.056559856,0.551240802,0.999098102,0.998946096,Malawi,MLW,Pathway
4,p101,P4-PWY,"superpathway of L-lysine, L-threonine and L-methionine biosynthesis I","superpathway of L-lysine, L-threonine and L-methionine biosynthesis I (P4-PWY)",P4-PWY,0.001884472,-0.010641321,0.003975246,-0.004090878,-0.000979759,-0.003446367,0.000997075,0.0047561,-0.004243362,-0.00440958,-0.014802355,0.003271672,-0.005860445,-0.001580443,-0.005805252,0.003335735,-0.000510462,-0.007344455,0.005350775,-0.003823988,0.007794582,-0.002403904,-0.003391123,-0.002618476,0.000586575,0.004055586,0.000609703,0.003844961,-0.011630679,-0.000177094,0.000745755,-0.000114188,0.003724194,0.005942896,0.009601482,0.014745143,0.001732448,0.005112125,0.001641553,-0.013940597,-0.003007922,-0.006612598,-0.004283607,0.003242931,-0.002276227,0.001383479,-0.009470379,-0.003490171,0.010425267,-0.003588622,-0.009852644,0.000849783,0.00892861,0.004283217,-0.014675178,-0.002627668,0.019686603,-0.003126738,0.001517355,-0.006434609,0.004708483,-0.002431451,-0.002983758,-0.003023461,0.00093518,-0.00285749,-0.000312183,-0.010986097,-0.004988739,0.005625251,-0.01485097,0.006400515,-0.001985425,0.000207817,0.001006304,-0.001901111,0.00160408,0.012227387,0.000103339,0.007578773,-0.000477458,0.00426733,0.001222242,-0.003470802,-0.00767827,0.000632113,0.010493728,-0.002480385,-0.003346746,0.000997266,0.002547388,0.000447404,0.00109051,-0.00027548,0.00233152,-0.002265781,-0.001852966,-0.003274086,0.005393425,-0.007727797,-0.002142731,0.006302483,56,56,100,0.029310855,-0.093932513,0.491076703,NA,NA,NA,NA,NA,NA,NA,NA,0.988590066,NA,NA,NA,343,0,-0.000200231,0.00025885,0.442575783,IgA,0.999098102,56,56,-0.000258175,0.000257467,0.32080905,0.667500783,0.999098102,0.998946096,Malawi,MLW,Pathway
5,p102,P42-PWY,incomplete reductive TCA cycle,incomplete reductive TCA cycle (P42-PWY),P42-PWY,0.002352776,-0.00020196,0.003155926,0.001762129,-0.007026676,0.004685743,-0.001995458,-0.00358039,0.005377411,-0.006737501,0.006127734,0.000583886,-0.001418323,-0.000792296,-0.006236245,-0.002649603,0.003942659,0.002109059,-0.001245921,-0.006484575,0.005285397,0.0019885,-0.005897551,0.0010431,0.001866815,0.001722488,0.003592852,-0.005380484,-0.002114947,-0.003384101,-0.00389828,0.001281023,0.010155054,-0.001458017,0.000165691,-0.00379904,-0.000450459,-0.003675188,-0.003143197,0.002145974,0.014671609,0.004162615,-0.002050211,-0.00357694,-0.004384194,-0.002761217,-0.008985617,-0.007303747,0.014529401,0.00061853,0.005320969,-6.15E-05,0.002099848,0.001756805,-0.011341209,0.00363699,-0.005301747,-0.004744634,0.013461819,-0.004837842,-0.000685051,0.001596914,0.001166594,-0.004467882,0.001705709,0.011531954,-0.000260289,-0.002165233,-0.002871289,0.001494316,0.000560365,-0.001340892,-0.002146983,0.010310246,-0.003144741,-0.002213498,-0.001272902,-0.00539996,-0.004567932,-0.005380858,0.004857454,0.000659991,-0.00612765,-0.001404355,0.00289594,0.004455455,0.009686504,0.002001416,-0.010260654,0.008282992,-0.009409321,-0.012563329,-0.004273591,-8.35E-06,-0.001069041,0.003325739,-0.009035593,0.005350007,-0.002512385,-0.001580224,-0.002121562,0.004596962,50,56,89.3,0.0041899,0.06632478,0.627201037,0.603683438,6.26,3.758-10.429,7.783,1.658-36.527,0.773017889,0.791740783,0.804317101,0.988590066,0.853749995,0.937714914,0.930215019,342,0,6.66E-05,0.000245759,0.787513895,IgA,0.999098102,56,50,9.72E-05,0.000255525,0.705134487,0.918925262,0.999098102,0.998946096,Malawi,MLW,Pathway
6,p103,P441-PWY,superpathway of N-acetylneuraminate degradation,superpathway of N-acetylneuraminate degradation (P441-PWY),P441-PWY,0.001135207,-1.72E-05,-0.001531926,-0.001917101,-0.002391472,-0.000168459,-0.000516704,-0.001848479,-0.004163431,0.001082716,0.000601297,0.000320796,0.001891232,0.000726141,-0.00173819,-0.002260141,-0.00541483,0.000292859,-0.003922983,0.000790281,0.000385932,-0.000777078,0.00273662,-7.15E-07,0.000573114,-0.002483007,-9.86E-05,-0.002200149,0.000153059,0.000284889,0.002745694,7.49E-05,-0.001055655,0.003025114,-0.000711865,-0.000646695,-0.000716501,0.000437129,0.001228603,0.000501719,0.003041286,-3.69E-06,-0.004766209,0.003588382,0.003403966,-0.000763615,-0.0057684,-0.005124434,-0.002834888,0.000737684,-0.001745312,0.000121775,0.000534079,0.000145011,0.000474126,0.002547394,-0.002576265,0.000222677,0.00367949,0.000496748,0.000108541,0.001566933,0.000363637,-0.001329344,0.002377545,-0.000353261,0.000496558,0.001443142,-0.00055578,-0.000810316,-0.00015421,0.000141968,-0.000948996,-0.001253125,-0.000646872,0.000813873,-0.002427649,0.001330799,0.003383161,-0.001761249,0,-0.000537548,-0.001009697,-0.000583676,0.003312464,-0.000683631,-0.001319847,-0.005833922,-0.003755922,-0.000688978,0.004062792,-0.00207479,-0.000868847,-0.000217364,2.93E-05,-7.20E-05,-0.002161985,0,-2.33E-05,0.000933744,0.000312466,0.00153048,53,56,94.6,0.022827116,0.056397708,0.679715212,0.660804855,6.222,3.854-10.046,10.786,0.031-3791.244,0.84489384,0.754837727,0.576858891,0.988590066,0.882392111,0.937714914,0.930215019,129,0,-5.76E-05,0.000404735,0.887374568,IgA,0.999098102,56,53,-5.85E-05,0.000382001,0.878865515,0.973319466,0.999098102,0.998946096,Malawi,MLW,Pathway
7,p104,P461-PWY,"hexitol fermentation to lactate, formate, ethanol and acetate","hexitol fermentation to lactate, formate, ethanol and acetate (P461-PWY)",P461-PWY,-0.001395981,-0.003136548,-0.005249251,0.000864506,0.000326841,-0.000222616,0.000300335,0.005634184,-0.00135031,0.00019588,0.003234647,-0.000155293,-0.005675646,0.000129931,0.003895677,0.003243431,-0.001358185,-0.000867518,-0.000158159,-0.000329352,0.000303324,0.001917692,-0.003450738,0.001583924,-0.001193323,-0.000561391,-0.001148486,-0.001584631,-0.003529603,-0.000747976,-0.001999598,-0.002898303,-0.000868901,0.000738744,0.000734161,0.005137698,-0.000135597,0.003056251,0.000753538,0.002926169,-0.004012978,-0.000203979,-3.66E-05,-0.002786261,-0.00545335,-0.000440651,-0.003648024,0.000324138,-0.001079621,-6.43E-05,0.000183234,-0.000765966,0.000316075,-0.000310374,-0.002955401,0.004552139,-0.001728887,0.004154793,-0.005017281,0.002454664,-2.31E-05,-0.004896013,0.001920238,0.00256288,0.000807709,-0.000616245,0.005271995,0.0016524,-0.000697192,-0.001723883,0,-0.000587424,0.002866084,-0.001444112,-0.000852614,-0.003971928,0.001498493,0.003698433,0.00026093,0.003352446,-0.00252145,0.000291816,-0.001436808,-0.000238648,-0.001165913,-0.004063529,-0.003856163,0.001457009,0.003922181,6.39E-05,0.001545927,0.005725509,-0.002028749,-0.00207114,-0.002009634,0.001830803,-0.002784431,-0.009621136,0.000198859,-0.002021289,-0.000187978,0.002240639,53,56,94.6,0.02034071,0.067354388,0.621852458,0.634523938,6.216,3.849-10.038,10.983,0.033-3658.422,0.84450958,0.560116993,0.565965583,0.988590066,0.857568716,0.937714914,0.922436408,196,0,-1.83E-05,0.000488402,0.970300469,IgA,0.999098102,56,53,2.05E-05,0.000482262,0.966337265,0.992149099,0.999098102,0.998946096,Malawi,MLW,Pathway
8,p105,P562-PWY,myo-inositol degradation I,myo-inositol degradation I (P562-PWY),P562-PWY,0.005331324,0,0.003473979,-0.000874973,0.004473164,0.010490626,0,-0.000308571,0.010762558,-0.001323459,0.004606464,0,0,0.003279694,0.006919859,0.009146394,-0.000831926,-0.000173161,0,0.000977441,0.01093351,0.008000649,0,0,0,0,0.004538046,0.000229553,0,0.004974867,0.003697364,-0.000213514,0.007765747,-3.31E-05,-0.003084482,0.001199236,0.00122019,0.008970293,0.000711503,0,0.011752316,0.000101343,-0.000140741,0,0.00282723,0,0.003195359,0,0.000999375,0.009879546,-0.001165317,0,0.00119355,0.005579226,0.000930849,-0.005960603,0.000802894,0.005008796,0.006166341,0,0.000710439,0,0.002031444,0.000768884,0.015024443,4.96E-05,0.000517867,0.002641665,0.006054611,0.002007951,5.33E-06,0.003245284,0.001989061,0.00717348,-0.000800453,0.005294242,0.006490278,0.002516335,0,0,0.0084336,-4.27E-05,0.0078696,-0.000222944,-0.002022018,0.003998545,-0.000439136,0.00020352,0,0.004265686,0.002582606,-0.006299491,2.39E-05,0.001567929,0,1.75E-05,0,0,0.0127169,0.004435414,0.002474302,0.004360406,6,56,10.7,0.000222917,0.125598408,0.356344322,0.440107902,10.647,1.394-81.296,6.029,3.676-9.891,0.852567736,0.944932493,1.765964505,0.988590066,0.853749995,0.937714914,0.949188946,44,0,0.000232579,0.000108456,0.036514839,IgA,0.999098102,56,6,0.000224899,0.000113756,0.053565008,0.551240802,0.999098102,0.998946096,Malawi,MLW,Pathway
9,p106,P621-PWY,nylon-6 oligomer degradation,nylon-6 oligomer degradation (P621-PWY),P621-PWY,0.000468721,-0.000376671,0.000868439,0.000371192,-0.001313413,0.001943718,-0.001990579,-0.011030249,-0.005081745,0.001381632,0.002139241,-0.005578517,1.66E-05,0.000858741,-0.001268989,0.000623948,0.002349717,0.009768538,-0.000317173,0.000391652,0.006074005,0.006872755,0.003011926,0.001005465,-0.007585856,0.001254274,-0.009446446,0.011868233,-0.00017623,0.00430499,-0.006023048,0.000570764,-0.004504059,-0.00435967,0.00083773,-0.000121889,0.002094978,-0.001751739,0.002595288,0.000318591,0.005386618,-0.00098789,-0.000295503,-0.000879509,0,0.002612115,-0.006859381,-0.0054966,0.007690592,-0.000114031,-0.006552557,0.001229572,0.000758319,-0.001639603,-0.001722551,0.003189668,-0.001001985,-0.004267271,0.000241575,-0.009752732,0.003414949,-0.00370926,0.001521411,-0.004368122,-0.000633522,0.004707944,-0.003225159,-0.001543713,-0.002582316,0.000203119,0.000873514,-0.005727797,-0.001863524,-0.002463577,-0.002131221,0.005957089,-0.002957598,0.002243011,-0.000953338,0.000892405,-0.001443485,0.00330807,0.002040588,-0.002666601,-0.000489251,-0.000771055,0.005734058,0.005481539,-0.002292861,0.003077514,0.000622912,0.001533034,-0.004998636,0.00121479,0.001952068,-0.003797774,-0.000428922,-0.001186762,0.001299012,-0.000193655,-0.000592276,0.003184658,20,56,35.7,0.000273507,-0.206007451,0.127698956,0.088905658,3.656,1.933-6.915,8.753,4.629-16.55,0.150035444,0.132564448,0.417685365,0.988590066,0.677963459,0.937714914,0.92186243,242,0,-0.000135008,0.000108863,0.220279843,IgA,0.999098102,56,20,-0.000162361,0.00011193,0.153146932,0.569769449,0.999098102,0.998946096,Malawi,MLW,Pathway
10,p107,PANTO-PWY,phosphopantothenate biosynthesis I,phosphopantothenate biosynthesis I (PANTO-PWY),PANTO-PWY,-0.00401879,-0.009789517,-0.001034869,-0.00191614,0.00738189,-0.00149633,0.000502823,-0.006870129,0.003739378,-0.001953557,0.003548266,-0.008272585,-0.001811287,-0.001150871,-0.004305524,-0.00365316,-0.006050099,-0.00906867,0.001772438,-0.005041391,-0.00036611,-0.005222445,0.000176364,0.004658577,-0.000327452,0.002400596,0.005956543,0.002485523,-0.010596334,0.001824521,0.000488177,-0.002129148,-0.000420675,0.011288372,-0.008599788,0.001910539,-0.002095525,0.006878308,-0.004696247,-0.000426175,-0.001720954,0.002805153,0.003113422,0.001085942,0.00409747,0.002817296,-0.001584462,-0.003132426,-0.00251097,0.003787476,-0.00791626,-0.004211727,-0.006710696,-0.000322359,0.007777191,-0.003160307,0.027101559,0.002903578,-0.001371608,0.005814665,-0.001177114,0.000657187,0.004105306,-0.00770829,-0.001223096,0.005251013,0.005448053,-0.00215375,-0.008472149,0.005384433,0.001842792,-0.001463185,-0.003064246,0.003401749,-0.004945566,-0.005048778,-0.00339328,0.003347926,-0.0016224,-0.00292939,-0.010072305,-0.001789176,-0.005903255,0.008246078,-0.002398555,0.001425375,-0.000449722,-0.001336353,5.25E-05,-0.002083023,-0.004640443,0.001417291,0.005081179,-0.001439399,-0.001409024,-0.007319683,0.00021252,0.001131921,-0.002204895,0.002903464,0.000166428,0.004523313,56,56,100,0.022183381,0.078614816,0.564667092,NA,NA,NA,NA,NA,NA,NA,NA,0.988590066,NA,NA,NA,147,0,-9.04E-05,0.000342977,0.793194124,IgA,0.999098102,56,56,-0.000108481,0.000322068,0.737658352,0.932179478,0.999098102,0.998946096,Malawi,MLW,Pathway
