,feature_id,feature,feature_description,feature_full,Feature,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,X88,X89,X90,X91,X92,X93,X94,X95,X96,X97,X98,X99,X100,IncMSE_means,IncMSE_sds,present,n,prev,mean,rho,spearman_p,wilcox_p,mean_IgA_present,CI_IgA_present,mean_IgA_absent,CI_IgA_absent,lr_unadjusted_p,lr_adjusted_p,GMR,spearman_padj,wilcox_padj,lr_unadjusted_padj,lr_adjusted_padj,rf_rank,rf_top20,maaslin_coef,maaslin_stderr,maaslin_pval,maaslin_name,maaslin_qval,maaslin_N,maaslin_N.not.zero,maaslin_coef_adjusted,maaslin_stderr_adjusted,maaslin_pval_adjusted,maaslin_qval_adjusted,maaslin_qval_filt,maaslin_qval_adjusted_filt,country,country_clean,module
1,p1,unmapped,unmapped,unmapped,unmapped,0.006484748,0.003116263,-0.003805516,-0.000888155,0.010159258,0.00415679,0.004465278,-0.003312884,0.006224218,-0.004739563,0.00699591,0.003340569,0.00785939,-0.001148062,-6.88E-05,-0.003037662,0.008105943,0.002898717,0.009716506,0.005159647,-0.004950361,-0.003010752,-0.008009283,-0.000754151,-0.002964845,-0.005699315,0.009081216,-0.001786762,0.012500042,-0.001361149,-0.002485162,0.007454072,0.000757253,-0.000607686,-0.000590208,0.004676976,-0.007802399,0.000112384,-0.005044977,-0.008052702,-0.002067115,-0.00219633,0.005716378,0.00282553,-0.00725589,-0.006214607,0.000601582,0.001484095,-0.004170748,-0.010850791,-0.006395476,-0.000214446,0.000175554,0.004175035,0.004722604,-0.006255071,0.004390006,-0.007501842,0.011720618,-0.005039477,-0.007230298,-0.002530419,-0.005424505,-0.005237593,0.002064426,-0.001169176,0.005537622,-0.000217899,0.004799271,0.00567836,0.006455092,0.00252187,-0.004607136,-0.013589631,0.010810945,-0.004157248,0.0082751,-0.011593934,0.005793247,0.003474615,0.002827091,0.001462341,0.006501498,-0.002886924,-0.001047775,-0.007032956,-0.006369983,0.00038567,-0.004190317,-0.009191682,-0.004688795,0.000589913,0.007053957,-0.004453902,0.001107311,-0.00521142,0.000306973,-0.009642262,-0.007204138,-0.01466355,-0.001132462,0.006835901,282,282,100,13.88345333,0.056580578,0.343797884,NA,NA,NA,NA,NA,NA,NA,NA,0.997477376,NA,NA,NA,361,0,0.001427614,0.001533132,0.352565366,IgA,0.997279659,282,282,0.000958005,0.001550889,0.537275548,0.792274431,0.997279659,0.997115284,India,IND,Pathway
2,p10,ARGDEG-PWY,"superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation","superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation (ARGDEG-PWY)",ARGDEG-PWY,0.000218463,0.004372215,0.00933067,0.004879899,0.00121926,-0.005290136,0.001597428,0.006008211,0.011780323,0.00242476,0.004151492,0.000914779,-0.00389735,-0.001633498,-0.001020096,0.007189614,0.001080365,0.000935228,0.0068292,-0.001368121,0.003295354,0.005740454,0.000935856,-0.005444357,0.005023638,0.001644251,0.002578877,0.001714907,0.003736153,0.003649864,0.003078018,0.008043915,-0.001335041,0.007771315,-0.004076225,-0.001858488,0.003232817,-0.003116362,-0.003603281,0.002266255,0.001603929,0.009431374,0.003491828,0.001460593,-0.001690683,0.004431145,0.006563263,0.00226837,0.004586609,0.000155305,0.003114092,0.001345049,0.001568296,0.000307851,0.008909982,0.003728641,0.000357344,0.002574122,0.00905444,0.004701276,0.006380121,0.003033844,-0.00436429,0.005547962,0.005649386,0.000546962,-0.002862349,0.003565181,0.00162869,-0.002450018,-0.003268697,0.001613115,0.002104607,0.007407473,0.007840432,0.004374205,0.003210198,0.01043226,0.00101596,-0.006725033,0.001343202,0.002406916,0.004934517,-0.001764429,-0.000209631,0.003459041,0.00444432,0.000460118,0.009048924,0.003675507,0.001429167,0.003581005,0.004117951,-0.000700838,0.00960817,0.010432918,-0.003244194,-0.000617835,0.001754942,0.003884522,0.002073427,0.004319814,248,282,87.9,0.007619602,-0.036836685,0.537858439,0.819817296,19.125,14.835-24.656,17.11,8.847-33.09,0.256801406,0.177544904,1.117767387,0.997477376,0.995160834,0.643197269,0.523593991,179,0,-9.62E-05,0.00014502,0.507541207,IgA,0.997279659,282,248,8.59E-06,0.000144552,0.952660014,0.983865881,0.997279659,0.997115284,India,IND,Pathway
3,p100,P23-PWY,reductive TCA cycle I,reductive TCA cycle I (P23-PWY),P23-PWY,0.00016776,8.96E-05,-0.002024147,-0.003859378,-0.006187088,-0.005782189,-0.003778455,-0.003481403,-0.001962389,-0.002151255,0.00292316,-0.008728024,-0.000124197,-0.002110453,-0.001810251,-0.002025448,0.00038826,-0.002795687,-0.014095187,-0.010369851,0.000748068,-0.006826772,-0.00751258,-0.005110968,0.000715136,-0.00804581,-0.00232611,-0.011217149,0.00023404,-0.003308997,-0.001494038,-0.00234636,-0.001980588,-0.001325361,-0.003940387,-0.006195323,-0.004875548,-0.002112168,-0.003020017,0.002935644,-0.000211473,0.000232635,0.002000291,0.000247137,-0.004555684,0.003573083,0.003616702,-0.004476553,-0.006591469,0.003759744,0.00640632,-0.001640718,0.000967582,-0.006155724,-0.005740351,-0.004173878,0.000294513,-0.003556912,0.002311038,-0.006565542,-0.003130511,0.002212484,-0.003363044,-0.006495284,-0.001135773,-0.007730145,-0.000542953,-0.001364888,-0.001825745,0.000191604,-0.002136074,-0.003004628,-0.001641857,-0.001883861,-0.006398896,0.003247469,-0.0034903,-0.008423674,-0.003883988,-0.001770445,3.83E-05,-0.003647867,0.001852248,-0.00638677,-0.008009751,0.000596128,0.003438269,-0.004275345,-0.001668852,-0.003736034,-0.00378735,-0.004134534,0.000932521,-0.004940019,-0.005485051,-0.002071144,-0.001595834,-0.008764468,-0.003649594,-0.001217307,-0.003239027,0.003594843,71,282,25.2,0.000352011,0.065555295,0.272575167,0.260376881,24.02,14.635-39.425,17.398,13.295-22.768,0.27960215,0.24764278,1.380618462,0.997477376,0.995160834,0.643197269,0.523593991,382,0,3.98E-05,5.06E-05,0.432123934,IgA,0.997279659,282,71,3.42E-05,5.23E-05,0.513369367,0.781429288,0.997279659,0.997115284,India,IND,Pathway
4,p101,P4-PWY,"superpathway of L-lysine, L-threonine and L-methionine biosynthesis I","superpathway of L-lysine, L-threonine and L-methionine biosynthesis I (P4-PWY)",P4-PWY,-0.003380243,-0.009191852,0.005633199,0.004862314,-0.006172836,-0.002666259,0.001456936,0.02169112,0.003007208,-0.002537269,0.000840332,0.012061087,-0.00026428,0.00798802,0.004380518,0.003846385,-0.011168234,-0.001617472,-0.002465704,-0.000127175,-0.008402262,0.011720942,-0.001885909,-0.000927618,-0.006380832,0.00402615,0.003861707,-0.001043331,0.000770491,0.005713626,0.002842414,0.008276791,-0.002057144,0.001052108,-0.007814209,0.007240354,0.009630778,-0.006016141,0.021938831,0.004314134,0.001743199,0.004018719,0.000684436,-0.007604486,0.003638681,0.002824323,0.005707821,0.005623701,0.014030917,-0.001609459,0.004017364,0.008078219,-0.002243212,0.004885728,0.008425703,-0.007634793,-0.00507473,0.003349794,-0.007039495,0.010793396,-0.001097996,0.003836688,0.00451464,-0.005340422,0.001708281,-0.000391857,0.009143863,0.011123603,-0.003406635,0.010909765,-0.005731041,-0.002241847,0.001980414,-0.000274973,0.002938975,0.001458432,-0.002652285,-0.003247721,0.00290596,0.001143188,-0.00067575,-0.007272296,0.00265181,-0.011151736,0.005634073,0.008301963,-0.003404191,-0.001285047,0.01221825,0.002240804,0.000883066,-0.001392205,0.005073008,0.002495904,0.001708927,-0.001507198,-0.002372383,0.010432699,0.005479672,-0.002919264,0.001799451,0.005308547,278,282,98.6,0.028675577,-0.020089586,0.736948565,NA,NA,NA,NA,NA,NA,NA,NA,0.997477376,NA,NA,NA,198,0,5.51E-06,0.000121409,0.963814324,IgA,0.997279659,282,278,1.33E-05,0.000124056,0.914885733,0.972648783,0.997279659,0.997115284,India,IND,Pathway
5,p102,P42-PWY,incomplete reductive TCA cycle,incomplete reductive TCA cycle (P42-PWY),P42-PWY,0.006281776,-0.004515834,0.000598749,0.003458092,0.00012306,0.000308059,0.007853725,8.16E-05,0.011441034,-0.001510263,-0.004559456,0.000107503,-0.004319214,-0.006268974,0.012956108,0.004983846,-0.00438432,-0.009835142,-0.002670056,-0.004794673,0.007334086,0.001460413,0.001418503,0.001094651,-0.000440238,0.00091182,-0.000836842,0.011159104,0.006125952,0.004884749,-0.003428643,0.000345032,0.009245063,0.014392935,-0.002453008,0.001002703,-0.007258046,-0.002280516,-0.002217649,0.005961475,0.009775892,0.001295632,-0.000416981,0.005888519,0.009935237,-0.0003963,0.001464537,-0.003815561,0.003838397,0.006216122,0.002802545,0.004979576,0.004735754,0.000274722,-0.006552378,-0.004854839,0.011358991,-0.003933271,0.006642855,0.008205262,0.000891028,-0.005458772,0.00250455,0.004778993,-0.000969127,0.006410984,-0.005649877,0.001776874,0.002458654,-0.000679379,0.006675614,0.001005869,-0.004029851,0.002821266,0.00776875,0.001975433,-0.003418229,0.001311309,0.005946723,0.009382541,0.000697067,0.000396116,-0.006547818,0.00341503,-0.005182549,-0.005196973,2.14E-06,0.002625654,0.005148645,0.002038788,0.01395728,-0.001885253,0.003262753,0.002412543,-0.00513182,-0.000511237,0.00633214,0.011364818,-0.003752426,0.005118253,0.002243846,0.005799287,244,282,86.5,0.003414982,-0.030892574,0.605439866,0.919031832,18.884,14.616-24.398,18.783,10.047-35.116,0.291663467,0.197146957,1.005377203,0.997477376,0.995160834,0.643197269,0.523593991,166,0,-4.42E-05,9.21E-05,0.631665659,IgA,0.997279659,282,244,-3.97E-06,9.25E-05,0.965808525,0.984501594,0.997279659,0.997115284,India,IND,Pathway
6,p103,P441-PWY,superpathway of N-acetylneuraminate degradation,superpathway of N-acetylneuraminate degradation (P441-PWY),P441-PWY,0.00359864,-0.003109259,0.00268408,-0.004125906,0.003391325,0.004029998,0.002048266,0.0007643,0.004727984,0.001710344,0.007019115,0.011563102,-0.000641889,-0.002575826,0.005499308,0.004674401,0.000287326,0.012808396,0.000613865,-0.005144597,0.011274126,0.005541008,0.006393616,-0.001521285,0.002214363,-0.0034287,0.00095364,-0.00336727,0.0092909,-0.002731249,0.008667948,0.005073507,0.005654886,0.001669295,0.002263258,0.014212984,0.002020445,0.001214003,0.001401576,0.010993703,0.009928932,-0.000267648,0.005359615,0.001943906,8.47E-06,0.010866061,-0.000267581,0.002668272,0.003743022,-0.000398008,0.002753314,-0.002579102,-0.001496178,0.001394906,-0.000456599,0.007048479,0.000241731,-0.001008866,0.004667889,0.009725424,0.001418298,0.002938167,0.001818251,0.002453507,0.010487878,0.008319173,0.004448822,0.005942847,0.003089086,-0.004084244,0.002804538,-0.000457003,0.012428203,-0.003594571,-0.005777605,-0.001369399,0.002951477,0.002047016,0.008731091,0.002966487,0.004581453,0.013033226,-0.000209157,0.005800825,0.001135507,0.003209852,0.000316526,1.09E-05,0.001227249,-0.003144657,0.004956253,-0.001763178,0.004897576,0.000700816,-0.00461413,0.000498464,0.005068636,0.001917013,0.004570486,-0.000976652,0.001153416,0.005026801,266,282,94.3,0.018830548,-0.060120727,0.314403709,0.834856625,18.767,14.69-23.975,20.677,8.123-52.633,0.339209533,0.306823279,0.907626832,0.997477376,0.995160834,0.643197269,0.52535209,234,0,-0.000108274,0.000158679,0.495585226,IgA,0.997279659,282,266,-6.36E-05,0.000162453,0.695759097,0.875149872,0.997279659,0.997115284,India,IND,Pathway
7,p104,P461-PWY,"hexitol fermentation to lactate, formate, ethanol and acetate","hexitol fermentation to lactate, formate, ethanol and acetate (P461-PWY)",P461-PWY,0.008508569,0.00254968,0.010757396,0.008560174,0.009097392,0.010448414,0.009353722,0.01323228,0.011705901,0.01050378,0.007254947,0.018050339,0.0099677,0.004186202,0.007875007,0.036536959,0.001722192,0.01627617,0.008219093,0.010528754,0.007669788,0.032122524,0.000806933,0.008520227,0.005585784,0.008579419,0.018721274,-0.001564994,0.008615432,0.00255807,0.009191426,0.001828995,0.015461287,0.028437871,0.007639203,0.0217754,0.002614838,0.008191094,0.007861295,0.028546274,0.014284722,0.026464529,-0.002614166,0.002481385,0.00177069,0.010344939,0.006532244,0.007661673,0.005936618,0.006521272,0.00279541,0.008471906,0.016325173,0.013119189,0.001683555,0.014593762,0.004231988,0.004788366,0.004192201,0.00765484,0.014706232,0.006452881,0.011559166,0.004863633,0.017197237,0.013935034,0.005815345,0.009183749,0.024559155,0.002448744,0.007896621,0.00562521,0.005942184,0.005314381,0.028341906,0.003452864,0.001383676,0.004427993,0.020905737,0.007968629,0.014740853,0.010878513,0.004239338,0.012196897,0.012552143,0.006001535,0.013514136,-3.65E-05,0.004588802,0.016766846,0.016147088,0.001335902,0.012052258,0.008657485,0.007846359,0.01547979,0.00157499,0.013855258,0.014474767,0.007779468,0.010043298,0.007594887,267,282,94.7,0.016893772,-0.053653824,0.369374462,0.603504946,19.151,15.024-24.413,14.503,4.758-44.206,0.356016279,0.318275796,1.320485417,0.997477376,0.995160834,0.643197269,0.528902237,17,1,-0.000130341,0.000180507,0.470845778,IgA,0.997279659,282,267,-4.43E-05,0.000180469,0.806372472,0.931336627,0.997279659,0.997115284,India,IND,Pathway
8,p105,P562-PWY,myo-inositol degradation I,myo-inositol degradation I (P562-PWY),P562-PWY,0.000578166,-0.001445669,-0.001335901,0.000566607,0.000821912,-0.002093867,-0.004289902,-0.000760152,0.000680541,-0.000637534,-0.002291722,-0.002169646,0.002329183,-0.002780639,-0.003844716,0.000370145,0.001188797,0.00156556,-0.004030999,0.001149285,0.001165976,0.002942816,-0.003817547,-5.23E-05,-0.002769964,-0.003203765,-0.00405914,-0.002974905,3.17E-05,-0.000374377,0.00137062,-0.00262375,-0.002646203,-0.003440597,-0.002106224,-0.001704901,-0.000950863,-0.003757614,-0.002160825,-0.002275257,0.000109136,0.001564024,0.00145619,-0.000328825,-0.003552759,-0.000508623,9.11E-05,-0.000584016,0.000327999,0.002138271,0.001447593,-0.001224346,-0.007997641,0.007413896,-0.000515699,-0.000980511,-0.004272804,-0.002311991,-0.001422667,0.001810633,0.004229983,0.001230198,0.000650489,-0.00071859,0.0002546,-0.005185445,0.000990935,-0.000125884,-0.004057192,-0.000401746,-0.000684221,-0.0073075,0.003687222,-0.00374447,0.000235229,0.000956226,-0.002693293,-0.002672174,-0.003988894,0.000115123,0.000165922,0.002542694,-0.000210801,-0.00249262,-0.000721715,-0.002871863,-0.00372168,-0.000844769,0.001868965,0.002227533,-0.003572365,-0.000926901,0.001444348,-0.00267138,0.001852858,0.001521049,-0.000430393,-0.001940398,-0.001408348,-0.000614752,-0.000360465,0.001811354,68,282,24.1,0.000317436,-0.014800555,0.804557521,0.789863214,17.792,11.252-28.132,19.226,14.582-25.35,0.59282217,0.833039415,0.925413503,0.997477376,0.995160834,0.754500944,0.857694645,332,0,2.45E-06,4.83E-05,0.959546012,IgA,0.997279659,282,68,3.23E-05,4.73E-05,0.495484118,0.769946312,0.997279659,0.997115284,India,IND,Pathway
9,p106,P621-PWY,nylon-6 oligomer degradation,nylon-6 oligomer degradation (P621-PWY),P621-PWY,0.002625348,0.000297826,0.000211333,-0.000336488,0.004924778,-0.000527303,-0.000604078,0.000743839,-0.002345849,-0.005079209,0.002773731,0.004789728,5.66E-05,-0.00195286,9.87E-05,0.00207033,0.00558127,0.006432524,-0.010210197,-0.004215914,-0.004444415,0.00028337,0.0031029,-0.004002389,0.013070112,0.00655012,0.001979429,-0.003790599,0.009947937,0.003305058,-0.004499652,0.006905564,-0.007151249,0.003897234,0.004758475,0.005486211,-0.009440046,-0.003367061,0.006076153,0.002737147,0.001236652,-0.007412536,0.004856993,-0.00466535,-0.002947188,0.00462274,-0.003630173,-0.001464271,0.000451417,-0.000210697,0.00344881,-0.001076132,0.003259831,0.003692421,-2.67E-05,-0.004592549,-0.002345415,0.002152664,0.003545258,0.001429843,0.003554087,0.000850928,0.002640826,-0.001394694,-0.002260676,0.000868274,-0.001185649,-0.000743653,0.002284895,-0.001300299,-0.015394229,-0.008028784,-0.006575471,-0.001478141,0.005754291,-0.000450755,-0.002070131,0.009392205,-0.000558568,-0.002757002,0.007731449,0.005975103,0.007177642,0.003100431,-0.004301148,0.000510726,-0.00670022,0.004678234,0.002694354,-0.001875554,0.004922431,0.004632244,0.000108552,-0.002571607,0.005477729,-0.002083816,-0.005534773,-0.002517996,0.00063823,-0.006613717,0.000498402,0.004750667,160,282,56.7,0.000658561,-0.038958129,0.514685187,0.712874738,18.275,13.347-25.024,19.68,13.708-28.253,0.519038957,0.193536705,0.928607724,0.997477376,0.995160834,0.716064413,0.523593991,281,0,-2.50E-05,5.90E-05,0.671692469,IgA,0.997279659,282,160,2.91E-05,5.83E-05,0.618144897,0.835637483,0.997279659,0.997115284,India,IND,Pathway
10,p107,PANTO-PWY,phosphopantothenate biosynthesis I,phosphopantothenate biosynthesis I (PANTO-PWY),PANTO-PWY,0.009124459,0.000226494,0.001995758,0.005252063,0.001797502,0.006377422,-0.006294604,0.012213353,0.006879966,0.009672796,0.003030065,-0.003578217,-0.00118146,0.020869567,-0.000679533,0.001682378,-0.005768278,-0.000899033,0.005009107,-0.007568028,0.004328557,0.007213538,0.009924811,0.000899034,0.005350041,-0.001320537,0.003425082,-0.003105881,0.005512763,0.001315226,0.00482194,0.008663981,0.010568273,-0.000780905,0.006061435,-0.000166379,-0.000948541,0.005678373,-0.003808663,0.001634488,0.007886328,0.007741244,0.002972272,0.000541966,0.009271559,-0.008902247,-0.004691604,0.004025517,0.012662259,0.005039631,0.000798342,0.012658843,0.006984416,-0.005872481,0.006023105,0.004662663,-0.002604152,0.01783675,0.010838491,0.013182964,0.004862483,0.00343847,-0.005315446,0.001141075,0.009513422,0.011741805,0.000194655,0.030214567,0.006973921,-0.001517913,-0.010644796,-0.003194317,-0.001356104,0.011897359,-0.006945562,0.005270789,-0.001711095,0.010746671,0.007009312,-0.00429341,-0.001694662,0.001892019,0.000465154,0.002508999,0.007103201,0.003149946,0.00409522,0.00092208,0.000352421,0.011853585,0.009313416,-0.000867653,-0.003827774,0.009832382,0.008226789,0.004049569,0.00892849,-0.001330665,-0.003046947,0.010828436,0.004293487,0.006123402,280,282,99.3,0.017686887,-0.002425265,0.967657609,NA,NA,NA,NA,NA,NA,NA,NA,0.997477376,NA,NA,NA,74,0,-1.22E-05,0.000153061,0.936273537,IgA,0.997279659,282,280,3.60E-05,0.000155832,0.817671672,0.933663057,0.997279659,0.997115284,India,IND,Pathway
