"","tr_lm_R2","tr_spearman","tr_n","tst_lm_R2","tst_spearman","tst_n"
"B1.F1",0.0089,0.11511741771903,119,0.0368,0.252947719688543,30
"B1.F2",0.001,0.0912648667556611,120,0.0737,0.248275862068965,29
"B1.F3",5e-04,0.0609005287898969,119,0.0444,0.310789766407119,30
"B1.F4",0.0016,0.0262324852713074,119,0.0234,0.129699666295884,30
"B1.F5",0.002,0.128057400273114,119,0.0049,0.143047830923248,30
"B2.F1",7e-04,0.0236940497960281,119,3e-04,0.0229143492769744,30
"B2.F2",2e-04,0.0195491934746309,119,0.1417,0.405561735261402,30
"B2.F3",0.0202,0.175434941245479,120,0.0079,0.0349753694581281,29
"B2.F4",0.0406,0.198476000569719,119,0.0449,-0.0971047372686441,30
"B2.F5",9e-04,0.0661456015202669,119,0.0215,0.192880978865406,30
"B3.F1",0.003,0.0547361824268433,119,0.0069,-0.0496161978818365,30
"B3.F2",0.0042,0.12004415490287,119,0.0067,-0.118576195773081,30
"B3.F3",0,0.0197622828824473,119,2e-04,-0.0867727227529876,30
"B3.F4",0.0171,0.170431036044602,119,1e-04,0.107007786429366,30
"B3.F5",0.0068,0.108608535676833,120,7e-04,0.147783251231527,29
"B4.F1",0.0016,0.0705645663935793,119,0.0127,0.148387096774194,30
"B4.F2",0.0071,0.135200384588879,119,0,-0.0487208008898776,30
"B4.F3",0.0027,-0.0384289428011325,119,0.09,0.25027808676307,30
"B4.F4",0.0072,0.0941040742373545,119,0.01,0.0832128161785061,30
"B4.F5",2e-04,0.0384755621205663,120,0.0272,0.155172413793103,29
"B5.F1",1e-04,0.062464836417482,119,0.0387,0.208898776418243,30
"B5.F2",0.043,0.162431700867841,120,0.158,-0.31887633246904,29
"B5.F3",0.0165,0.138251998526372,119,3e-04,0.0558398220244716,30
"B5.F4",0.0152,0.159769971716885,119,0.0081,-0.115906562847608,30
"B5.F5",0.012,-0.0812520030426465,119,0.0242,0.183092324805339,30
"B6.F1",0.0084,0.143595769773765,119,4e-04,-0.113236929922136,30
"B6.F2",2e-04,0.0365488017893647,119,0.0196,0.0709677419354839,30
"B6.F3",0.0033,0.0857148961344634,119,0.0052,0.0487262212382161,30
"B6.F4",0.0014,0.0590589592591479,119,0.0041,-0.0456113029855448,30
"B6.F5",0.004,0.0856567410494594,120,0.0034,0.0852216748768473,29
"B7.F1",2e-04,0.0830799250834704,119,0.0175,0.11436199870522,30
"B7.F2",1e-04,-0.00180176972272045,119,0.037,0.288542825361513,30
"B7.F3",0.0488,0.230679936654148,119,4e-04,0.0709677419354839,30
"B7.F4",5e-04,0.0585154961456375,120,0.0097,0.153694581280788,29
"B7.F5",0.0167,0.102090232589739,119,0.0853,-0.22714126807564,30
"B8.F1",0.0352,0.211889543715816,119,0.0478,-0.244938820912125,30
"B8.F2",0,0.0523517666543013,120,0.0048,0.0753694581280788,29
"B8.F3",0.0014,0.0164972314730511,119,0.0496,0.231590656284761,30
"B8.F4",0.0095,0.148101198235946,119,0.0019,0.0967741935483871,30
"B8.F5",4e-04,0.0540958213983578,119,0.0272,0.2146829810901,30
"B9.F1",0.0049,-0.0602472393916244,120,0.0524,0.250555061002428,29
"B9.F2",0.0045,0.107196524655791,119,0.0034,0.0687430478309232,30
"B9.F3",4e-04,-0.000897340028343716,119,0.0505,0.262291434927697,30
"B9.F4",0.0103,0.170045935371134,119,3e-04,-0.0318131256952169,30
"B9.F5",0.0091,0.135869816817874,119,0.0267,0.166629588431591,30
"B10.F1",6e-04,0.075262614440765,119,0.015,0.0433815350389321,30
