"","tr_lm_R2","tr_spearman","tr_n","tst_lm_R2","tst_spearman","tst_n"
"B1.F1",0.0018,0.0603864793012663,45,0.0671,-0.163636363636364,11
"B1.F2",0.0303,-0.119028105998089,45,0.0243,0.132118793797679,11
"B1.F3",0.0015,-0.0170891771549844,45,0.0021,-0.0592256661851667,11
"B1.F4",0.0557,-0.090082484227825,45,0.0682,0.168565357603936,11
"B1.F5",0.0089,-0.04787468755533,44,0.0038,-0.00725113783812037,12
"B2.F1",0,0.0430045254075349,45,0.525,-0.669948631486899,11
"B2.F2",0.0176,0.0390799012458947,45,0.0583,-0.0637814866609487,11
"B2.F3",0.0927,-0.219780241149224,45,0.065,-0.0454545454545455,11
"B2.F4",0.0447,-0.104233624921542,45,0.1136,-0.440385506050544,11
"B2.F5",7e-04,-0.0138226712347911,44,2e-04,0.367776395877632,12
"B3.F1",0.0028,0.12544638056668,45,0.0287,-0.181444421027702,11
"B3.F2",0.0487,-0.165896921157325,45,0.1049,0.4,11
"B3.F3",0.0317,-0.181884159239988,44,0.0014,0.1056364222806,12
"B3.F4",0.0645,-0.166932531282978,45,0.0262,-0.220192753025272,11
"B3.F5",2e-04,0.0437967871855338,45,0.146,-0.336363636363636,11
"B4.F1",0.1103,-0.33179384231465,45,0.0423,0.354545454545455,11
"B4.F2",5e-04,0.100608129332835,45,0.0389,-0.00465242105199235,11
"B4.F3",0.0012,-0.0443195343636727,44,0.0469,-0.461538461538462,12
"B4.F4",0.043,-0.154663676964685,45,0.0178,0.209567741885974,11
"B4.F5",0.0058,-0.0731275109464533,45,0.0459,-0.0465242105199235,11
"B5.F1",8e-04,0.0144669601601385,45,0.0508,-0.15818231576774,11
"B5.F2",0.019,-0.144926820213589,45,0.0054,0.236902664740667,11
"B5.F3",0.0128,-0.0723310576245937,45,0.0309,-0.0727272727272727,11
"B5.F4",4e-04,0.0805561898188063,45,0,-0.128445772598075,11
"B5.F5",0.0225,-0.0643640281086682,44,0.0261,-0.140105293667669,12
"B6.F1",0.0035,0.113066765130071,45,0.1942,-0.309795792353179,11
"B6.F2",0.0022,0.125926917417904,45,0.6066,-0.798198729716611,11
"B6.F3",0.1023,-0.280564783319503,44,0.0367,0.336252704802406,12
"B6.F4",0.0357,-0.127911060024279,45,0.0042,0.055048188256318,11
"B6.F5",0.007,-0.0111278362869666,45,0.2311,-0.164009537128154,11
"B7.F1",0.002,0.0479589638185412,45,0.2409,-0.125615368403794,11
"B7.F2",0.1231,-0.326998615721714,44,0.1552,0.405594405594406,12
"B7.F3",0.0472,-0.130688859673203,45,0.0013,-0.027524094128159,11
"B7.F4",0.0497,-0.16521294102412,45,0.1138,-0.55048188256318,11
"B7.F5",0.0213,-0.136433627959784,45,0.016,0.0181818181818182,11
"B8.F1",0.0081,-0.121147693862273,45,0.0397,0,11
"B8.F2",0.002,0.027116615620452,45,0.1223,-0.357813223666067,11
"B8.F3",0.0393,-0.0581261046796343,44,0.0671,-0.192644778793045,12
"B8.F4",0.0073,0.103969072574026,45,0.0287,-0.110096376512636,11
"B8.F5",0.0683,-0.250243842215237,45,0.0523,0.441914586150859,11
"B9.F1",0.001,0.017751548362542,45,3e-04,0.241458485216449,11
"B9.F2",0.0182,0.137038116013602,45,0.0158,0.321114431495189,11
"B9.F3",0.0677,-0.173735640279288,45,0.0248,-0.0325669473639465,11
"B9.F4",0.0656,-0.209679289807754,44,0.0029,0.0280210587335339,12
"B9.F5",6e-04,0.0148643641356963,45,0.1117,-0.390909090909091,11
"B10.F1",0.0013,-0.104448701560652,45,0.0015,0.181818181818182,11
"B10.F2",0.0049,-0.0834793307263659,45,0.0386,0.263636363636364,11
"B10.F3",0.0781,-0.274674065506191,45,0.0026,-0.00465242105199235,11
"B10.F4",0.0222,-0.0715347524030385,45,0.1449,0.227272727272727,11
"B10.F5",0.0098,0.0249965182811015,44,0.0137,-0.18852958379113,12
"B11.F1",0.038,-0.115981198443325,45,0.0615,0.455582047578205,11
"B11.F2",0.0152,0.0053087014770344,45,0.1081,-0.209090909090909,11
"B11.F3",0.0301,-0.114792259255744,44,0.0332,0.21831527271324,12
"B11.F4",0.0475,-0.202261526275011,45,0.014,-0.263636363636364,11
"B11.F5",0.0465,-0.214493502455323,45,0.1554,-0.247900273203854,11
"B12.F1",0.008,0.0980166447549023,45,0.0107,0.155969866726234,11
"B12.F2",2e-04,0.0694449912231089,45,0.36,-0.761499937545733,11
"B12.F3",0.0193,-0.134325344061283,44,0.2428,0.394375976514239,12
"B12.F4",0.0018,0.00769761714169988,45,0.4728,-0.636363636363636,11
"B12.F5",0.044,-0.0912747524014285,45,0.0194,-0.127562973321897,11
"B13.F1",0.0028,0.0568314496084366,45,0.0681,-0.419135483771949,11
"B13.F2",0.082,-0.283713035630339,45,0.0657,-0.0545454545454545,11
"B13.F3",0.0829,-0.217925398494608,45,0.0334,-0.390919661590693,11
"B13.F4",0.0727,-0.217128638345636,44,0.0226,0.26761226977752,12
"B13.F5",0.0025,0.0998193409789208,45,0.2188,-0.0455582047578205,11
