"","FP","TP","TN","FN","accuracy"
"B1.F1",6,8,4,2,0.6
"B1.F2",3,5,6,4,0.611111111111111
"B1.F3",4,3,6,7,0.45
"B1.F4",3,3,7,7,0.5
"B1.F5",7,5,3,5,0.4
"B1.F11",7,5,3,4,0.421052631578947
"B1.F21",7,5,3,5,0.4
"B1.F31",4,4,6,6,0.5
"B1.F41",5,5,5,5,0.5
"B1.F51",4,7,5,3,0.631578947368421
"B1.F12",5,5,5,4,0.526315789473684
"B1.F22",8,4,2,6,0.3
"B1.F32",6,5,4,5,0.45
"B1.F42",3,7,7,3,0.7
"B1.F52",4,5,5,5,0.526315789473684
"B1.F13",3,4,6,5,0.555555555555556
"B1.F23",4,6,6,4,0.6
"B1.F33",6,4,4,6,0.4
"B1.F43",2,4,8,6,0.6
"B1.F53",5,3,5,7,0.4
"B1.F14",4,6,6,4,0.6
"B1.F24",4,3,6,6,0.473684210526316
"B1.F34",6,4,4,6,0.4
"B1.F44",5,4,5,6,0.45
"B1.F54",7,6,2,4,0.421052631578947
"B1.F15",9,5,1,5,0.3
"B1.F25",5,2,5,8,0.35
"B1.F35",5,2,5,8,0.35
"B1.F45",6,3,4,7,0.35
"B1.F55",5,6,4,3,0.555555555555556
"B1.F16",6,3,3,7,0.315789473684211
"B1.F26",8,5,2,4,0.368421052631579
"B1.F36",8,4,2,6,0.3
"B1.F46",3,3,7,7,0.5
"B1.F56",6,4,4,6,0.4
"B1.F17",6,3,3,7,0.315789473684211
"B1.F27",8,4,2,6,0.3
"B1.F37",6,5,4,5,0.45
"B1.F47",2,6,8,4,0.7
"B1.F57",7,4,3,5,0.368421052631579
"B1.F18",4,3,6,7,0.45
"B1.F28",7,4,2,5,0.333333333333333
"B1.F38",5,4,5,6,0.45
"B1.F48",8,4,2,6,0.3
"B1.F58",7,5,3,5,0.4
"B1.F19",4,6,6,4,0.6
"B1.F29",7,4,3,5,0.368421052631579
"B1.F39",8,6,2,4,0.4
"B1.F49",5,5,4,5,0.473684210526316
"B1.F59",5,5,5,5,0.5
"B1.F110",6,5,4,5,0.45
"B1.F210",5,3,4,7,0.368421052631579
"B1.F310",8,7,2,2,0.473684210526316
"B1.F410",6,6,4,4,0.5
"B1.F510",4,2,6,8,0.4
"B1.F111",6,6,4,4,0.5
"B1.F211",6,5,4,5,0.45
"B1.F311",5,7,4,3,0.578947368421053
"B1.F411",7,4,3,6,0.35
"B1.F511",5,5,5,4,0.526315789473684
"B1.F112",4,2,6,7,0.421052631578947
"B1.F212",3,5,6,5,0.578947368421053
"B1.F312",8,6,2,4,0.4
"B1.F412",7,5,3,5,0.4
"B1.F512",3,5,7,5,0.6
"B1.F113",7,4,3,6,0.35
"B1.F213",2,4,7,6,0.578947368421053
"B1.F313",4,4,6,5,0.526315789473684
"B1.F413",8,2,2,8,0.2
"B1.F513",7,7,3,3,0.5
"B1.F114",5,4,5,5,0.473684210526316
"B1.F214",7,6,2,4,0.421052631578947
"B1.F314",8,5,2,5,0.35
"B1.F414",6,6,4,4,0.5
"B1.F514",4,4,6,6,0.5
"B1.F115",4,5,6,4,0.578947368421053
"B1.F215",9,5,0,5,0.263157894736842
"B1.F315",7,5,3,5,0.4
"B1.F415",3,5,7,5,0.6
"B1.F515",6,6,4,4,0.5
"B1.F116",6,5,4,5,0.45
"B1.F216",5,3,5,6,0.421052631578947
"B1.F316",4,4,5,6,0.473684210526316
"B1.F416",5,6,5,4,0.55
"B1.F516",3,4,7,6,0.55
"B1.F117",7,5,3,5,0.4
"B1.F217",5,4,4,6,0.421052631578947
"B1.F317",4,4,6,5,0.526315789473684
"B1.F417",4,6,6,4,0.6
"B1.F517",5,7,5,3,0.6
"B1.F118",7,4,3,5,0.368421052631579
"B1.F218",4,2,6,8,0.4
"B1.F318",5,4,5,6,0.45
"B1.F418",5,4,5,6,0.45
"B1.F518",3,7,6,3,0.684210526315789
"B1.F119",6,6,4,4,0.5
"B1.F219",7,5,3,5,0.4
"B1.F319",4,4,6,6,0.5
"B1.F419",6,5,3,5,0.421052631578947
"B1.F519",5,5,5,4,0.526315789473684
