"","FP","TP","TN","FN","accuracy"
"B1.F1",3,6,7,4,0.65
"B1.F2",4,3,6,7,0.45
"B1.F3",3,6,7,4,0.65
"B1.F4",5,5,5,5,0.5
"B1.F5",1,6,9,4,0.75
"B1.F11",5,6,5,4,0.55
"B1.F21",3,6,7,4,0.65
"B1.F31",5,8,5,2,0.65
"B1.F41",9,8,1,2,0.45
"B1.F51",3,4,7,6,0.55
"B1.F12",3,4,7,6,0.55
"B1.F22",2,6,8,4,0.7
"B1.F32",5,6,5,4,0.55
"B1.F42",6,10,4,0,0.7
"B1.F52",4,8,6,2,0.7
"B1.F13",4,7,6,3,0.65
"B1.F23",7,9,3,1,0.6
"B1.F33",8,5,2,5,0.35
"B1.F43",8,6,2,4,0.4
"B1.F53",2,4,8,6,0.6
"B1.F14",6,8,4,2,0.6
"B1.F24",6,6,4,4,0.5
"B1.F34",5,7,5,3,0.6
"B1.F44",6,2,4,8,0.3
"B1.F54",5,5,5,5,0.5
"B1.F15",4,5,6,5,0.55
"B1.F25",5,7,5,3,0.6
"B1.F35",6,4,4,6,0.4
"B1.F45",4,7,6,3,0.65
"B1.F55",5,6,5,4,0.55
"B1.F16",6,5,4,5,0.45
"B1.F26",6,1,4,9,0.25
"B1.F36",4,5,6,5,0.55
"B1.F46",4,4,6,6,0.5
"B1.F56",6,9,4,1,0.65
"B1.F17",7,4,3,6,0.35
"B1.F27",7,7,3,3,0.5
"B1.F37",3,7,7,3,0.7
"B1.F47",6,3,4,7,0.35
"B1.F57",4,4,6,6,0.5
"B1.F18",4,9,6,1,0.75
"B1.F28",4,5,6,5,0.55
"B1.F38",5,5,5,5,0.5
"B1.F48",6,6,4,4,0.5
"B1.F58",4,4,6,6,0.5
"B1.F19",6,10,4,0,0.7
"B1.F29",2,5,8,5,0.65
"B1.F39",6,3,4,7,0.35
"B1.F49",6,4,4,6,0.4
"B1.F59",6,7,4,3,0.55
"B1.F110",5,8,5,2,0.65
"B1.F210",4,5,6,5,0.55
"B1.F310",8,8,2,2,0.5
"B1.F410",4,5,6,5,0.55
"B1.F510",4,6,6,4,0.6
"B1.F111",3,3,7,7,0.5
"B1.F211",9,5,1,5,0.3
"B1.F311",7,2,3,8,0.25
"B1.F411",3,1,7,9,0.4
"B1.F511",7,6,3,4,0.45
"B1.F112",7,7,3,3,0.5
"B1.F212",4,2,6,8,0.4
"B1.F312",5,3,5,7,0.4
"B1.F412",6,5,4,5,0.45
"B1.F512",5,5,5,5,0.5
"B1.F113",5,5,5,5,0.5
"B1.F213",9,6,1,4,0.35
"B1.F313",5,3,5,7,0.4
"B1.F413",6,5,4,5,0.45
"B1.F513",2,3,8,7,0.55
"B1.F114",5,3,5,7,0.4
"B1.F214",6,4,4,6,0.4
"B1.F314",4,7,6,3,0.65
"B1.F414",7,6,3,4,0.45
"B1.F514",6,7,4,3,0.55
"B1.F115",6,7,4,3,0.55
"B1.F215",5,7,5,3,0.6
"B1.F315",4,6,6,4,0.6
"B1.F415",8,4,2,6,0.3
"B1.F515",3,4,7,6,0.55
"B1.F116",5,6,5,4,0.55
"B1.F216",2,7,8,3,0.75
"B1.F316",7,5,3,5,0.4
"B1.F416",5,4,5,6,0.45
"B1.F516",4,4,6,6,0.5
"B1.F117",5,5,5,5,0.5
"B1.F217",5,5,5,5,0.5
"B1.F317",8,5,2,5,0.35
"B1.F417",4,4,6,6,0.5
"B1.F517",7,7,3,3,0.5
"B1.F118",6,2,4,8,0.3
"B1.F218",3,4,7,6,0.55
"B1.F318",7,6,3,4,0.45
"B1.F418",3,7,7,3,0.7
"B1.F518",5,6,5,4,0.55
"B1.F119",5,9,5,1,0.7
"B1.F219",4,7,6,3,0.65
"B1.F319",6,7,4,3,0.55
"B1.F419",6,4,4,6,0.4
"B1.F519",3,6,7,4,0.65
