feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
p317	IgA	IgA	0.00032234706832104	0.000201646593715402	132	132	0.112342947669762	0.894221025022406
p71	IgA	IgA	0.000214069883679651	0.000194176844713381	132	132	0.272303707714795	0.894221025022406
p456	IgA	IgA	0.000214069883679651	0.000194176844713381	132	132	0.272303707714795	0.894221025022406
p336	IgA	IgA	0.000284096388275882	0.000277107144944037	132	132	0.307162285732341	0.894221025022406
p19	IgA	IgA	0.000154563982014261	0.000206709926007279	132	132	0.455971248966895	0.894221025022406
p153	IgA	IgA	0.000142493234550145	0.000209196699271314	132	132	0.496991429569529	0.894221025022406
p133	IgA	IgA	0.00019250321674617	0.000214652277241463	132	132	0.371475818572932	0.894221025022406
p446	IgA	IgA	0.000218089583813141	0.000219861451706892	132	132	0.323069034338244	0.894221025022406
p132	IgA	IgA	0.000224753615166273	0.000253090861174129	132	132	0.376161874154724	0.894221025022406
p260	IgA	IgA	0.000220639073301263	0.000208422036259072	132	132	0.291737375820354	0.894221025022406
p261	IgA	IgA	0.000205954232509107	0.000197890008325972	132	132	0.299922821070217	0.894221025022406
p110	IgA	IgA	0.000214119150710935	0.00019900355392752	132	132	0.283939521751829	0.894221025022406
p150	IgA	IgA	0.000153692180025456	0.000244139437028864	132	132	0.530109399563062	0.894221025022406
p193	IgA	IgA	0.000204527615091191	0.000237821728613866	132	132	0.391370095037001	0.894221025022406
p24	IgA	IgA	0.000207796391976871	0.000248922489037498	132	132	0.405371065114283	0.894221025022406
p221	IgA	IgA	-0.00032429709717675	0.000387433072287104	132	126	0.40410602069023	0.894221025022406
p403	IgA	IgA	-0.000257222766050818	0.000423834983404072	132	132	0.544979957077099	0.894221025022406
p452	IgA	IgA	0.000219843585374031	0.000216357176354836	132	132	0.311462418898463	0.894221025022406
p338	IgA	IgA	0.000222274790551299	0.000220391395021377	132	132	0.315066083140702	0.894221025022406
p230	IgA	IgA	0.000199072099799001	0.000182947929481932	132	132	0.278548601728282	0.894221025022406
p249	IgA	IgA	0.000199072099799001	0.000182947929481932	132	132	0.278548601728282	0.894221025022406
p239	IgA	IgA	0.000158420749935216	0.000255019535566616	132	132	0.535549033692858	0.894221025022406
p8	IgA	IgA	0.000191128871725177	0.000171423484656798	132	132	0.266928128068941	0.894221025022406
p13	IgA	IgA	0.000213910275034215	0.000210374818855665	132	132	0.311134602010111	0.894221025022406
p375	IgA	IgA	0.000212476872349085	0.000210626702905283	132	132	0.31495213484097	0.894221025022406
p14	IgA	IgA	0.000234371765795369	0.000215121916090823	132	132	0.277956211965022	0.894221025022406
p135	IgA	IgA	0.000274924362337068	0.000233758548725379	132	132	0.241702562648659	0.894221025022406
p348	IgA	IgA	0.000121688062015942	0.000222350738052817	132	132	0.585124842757276	0.894221025022406
p151	IgA	IgA	0.000149463423466059	0.000288352749554909	132	132	0.60510541505721	0.894221025022406
p28	IgA	IgA	0.00021002512702103	0.000204239943419044	132	132	0.305706285270906	0.894221025022406
p67	IgA	IgA	0.000176147897737615	0.000256911548203179	132	132	0.494163320325873	0.894221025022406
