feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
p322	breastfed_child	nonexclusive	0.00315837219097733	0.000486277669306325	282	148	3.87286071857386e-10	9.17867990302004e-07
p4	breastfed_child	nonexclusive	0.00153353038361153	0.000264643254708397	282	126	1.87049922904194e-08	2.2165415864147e-05
p262	breastfed_child	nonexclusive	0.0022069280441141	0.000387368698706462	282	98	3.1284235943056e-08	2.47145463950142e-05
p29	breastfed_child	nonexclusive	0.00140340186219056	0.000251217730393476	282	46	5.57052325261534e-08	3.30053502717459e-05
p245	breastfed_child	nonexclusive	0.00113948557870917	0.000209208564336774	282	143	1.13926017125724e-07	5.40009321175933e-05
p454	breastfed_child	nonexclusive	0.00186921403933796	0.000351602495929731	282	108	2.19379971431371e-07	8.66550887153915e-05
p84	breastfed_child	nonexclusive	-0.00341704011811156	0.000646693077043822	282	282	2.57702624834549e-07	8.72507458368403e-05
p445	breastfed_child	nonexclusive	0.00329206204809146	0.000627961443492799	282	174	3.16227858574401e-07	9.36825031026662e-05
p74	breastfed_child	nonexclusive	0.00357178064528266	0.000693242580795277	282	274	4.9173334876252e-07	0.000129489781840797
p432	breastfed_child	nonexclusive	0.00291833697381824	0.000577176375679548	282	220	7.81911034815316e-07	0.00018531291525123
p142	breastfed_child	nonexclusive	0.00360842659622037	0.000721660411700901	282	270	1.0218282042092e-06	0.000220157531270528
p116	breastfed_child	nonexclusive	0.00308651677347615	0.000627969587520575	282	255	1.52722913018761e-06	0.000301627753212053
p421	breastfed_child	nonexclusive	0.000758829647206099	0.000155256608727405	282	40	1.73696084309009e-06	0.000316661322932578
p67	breastfed_child	nonexclusive	-0.00375097099121851	0.000772189634739376	282	282	1.99762898642903e-06	0.000338170049845486
p369	breastfed_child	nonexclusive	0.00303648201903248	0.000630038751036035	282	211	2.38300981600326e-06	0.000376515550928515
p311	breastfed_child	nonexclusive	0.00277870327839297	0.000591569506049195	282	204	4.17081625026359e-06	0.000617802157070293
p348	breastfed_child	nonexclusive	-0.00313465025562443	0.000681406961991253	282	282	6.44649385389186e-06	0.000898717084336688
p414	breastfed_child	nonexclusive	0.00332242107100147	0.000725895516400319	282	174	7.14930939149256e-06	0.000932522402171673
p6	breastfed_child	nonexclusive	0.00109217414287891	0.000239148730209388	282	86	7.47591799209358e-06	0.000932522402171673
p227	breastfed_child	nonexclusive	0.00314092028807723	0.000695474327747996	282	180	9.34992460230913e-06	0.00110796606537363
p430	breastfed_child	nonexclusive	-0.00305324324344311	0.000684832825617907	282	282	1.20398442596426e-05	0.00135878242358824
p98	breastfed_child	nonexclusive	0.00334577267733133	0.000753529537732036	282	228	1.30322563747203e-05	0.00140392943673123
p91	breastfed_child	nonexclusive	0.00253625910459439	0.000577694086054775	282	250	1.61583068308493e-05	0.00166500813865708
p61	breastfed_child	nonexclusive	0.00325284823491892	0.000744193351593812	282	227	1.75560795305916e-05	0.00173366285364593
p375	breastfed_child	nonexclusive	-0.00294670477678594	0.000681365419574343	282	282	2.13846703319457e-05	0.00202726674746845
p13	breastfed_child	nonexclusive	-0.0029312924702425	0.00068118230668645	282	282	2.34209202266084e-05	0.00213490695911776
p71	breastfed_child	nonexclusive	-0.00270391618172793	0.000633360335771983	282	282	2.7040360906768e-05	0.00219258786005095
p456	breastfed_child	nonexclusive	-0.00270391618172793	0.000633360335771983	282	282	2.7040360906768e-05	0.00219258786005095
p53	breastfed_child	nonexclusive	-0.00274688095793595	0.000640834403198098	282	282	2.51459687584806e-05	0.00219258786005095
p32	breastfed_child	nonexclusive	0.00343704406550956	0.000807739460562868	282	228	2.86794192664893e-05	0.00219258786005095
p159	breastfed_child	nonexclusive	0.00147890080416443	0.000347375704407204	282	146	2.84145359718627e-05	0.00219258786005095
p105	breastfed_child	nonexclusive	0.00114169702516339	0.000269883153572952	282	68	3.18141257674048e-05	0.00235623368964842
p99	breastfed_child	nonexclusive	0.00216089271987222	0.000512261445806714	282	255	3.34456876063914e-05	0.00240200847354993
p118	breastfed_child	nonexclusive	0.00227255064902333	0.000542654035212533	282	175	3.79597624780101e-05	0.00264601873743776
p416	breastfed_child	nonexclusive	-0.00442974139890074	0.00106390823725111	282	251	4.19490658164494e-05	0.00284055102814243
p119	breastfed_child	nonexclusive	0.00328413274443322	0.000791491153209476	282	227	4.45012069090878e-05	0.00292966278818161
p106	breastfed_child	nonexclusive	0.0013771702178344	0.000332586676686011	282	160	4.6084167874944e-05	0.00295187778009776
p345	breastfed_child	nonexclusive	0.00479694069291448	0.00116650466399899	282	100	5.17949918701304e-05	0.00323037186137392
p14	breastfed_child	nonexclusive	-0.00287297842235494	0.00070173441292601	282	282	5.57634318210948e-05	0.00330398333539987
p124	breastfed_child	nonexclusive	0.00148506570032833	0.000362205319010062	282	107	5.44285586804747e-05	0.00330398333539987
p225	breastfed_child	nonexclusive	0.00213241406888208	0.000522599697197978	282	282	5.89570696088814e-05	0.00332686321364402
p424	breastfed_child	nonexclusive	0.00267478296109349	0.000654754258995394	282	268	5.78260484908021e-05	0.00332686321364402
p186	breastfed_child	nonexclusive	0.00081579589983027	0.000202014875247734	282	82	6.9884873885806e-05	0.00385179421184559
p35	breastfed_child	nonexclusive	0.00206227931419084	0.000514003939659683	282	244	7.76028268556626e-05	0.00417997044654364
p324	breastfed_child	nonexclusive	0.00269430601389339	0.000673098732129756	282	228	8.05575065072611e-05	0.00424269534271575
p244	breastfed_child	nonexclusive	0.000808395007670068	0.000202498672070085	282	83	8.40843164994247e-05	0.00433217021964427
p161	breastfed_child	nonexclusive	0.00223988948787227	0.000563992234093317	282	137	9.12679995880866e-05	0.00460223742603756
p149	breastfed_child	nonexclusive	0.001227205186709	0.000311982785669335	282	82	0.000106034353433787	0.00523544620079323
p208	breastfed_child	nonexclusive	0.00165900475584918	0.000426659089641646	282	245	0.000126599759768164	0.00588316530687352
p209	breastfed_child	nonexclusive	0.00165900475584918	0.000426659089641646	282	245	0.000126599759768164	0.00588316530687352
p210	breastfed_child	nonexclusive	0.00165900475584918	0.000426659089641646	282	245	0.000126599759768164	0.00588316530687352
p19	breastfed_child	nonexclusive	-0.00253246036104349	0.000653998029622176	282	282	0.000134789979795703	0.0059157824465892
p396	breastfed_child	nonexclusive	0.00259804871679313	0.000670192414421294	282	280	0.000132554809729932	0.0059157824465892
p138	breastfed_child	nonexclusive	0.00170150075828563	0.000438656171527578	282	213	0.00013136110760227	0.0059157824465892
p166	breastfed_child	nonexclusive	0.00343191526369185	0.00088942455424789	282	216	0.000142156280518481	0.00597290576639109
p390	breastfed_child	nonexclusive	0.00165661799513964	0.000428813609960841	282	243	0.000139597557730884	0.00597290576639109
p76	breastfed_child	nonexclusive	0.000235314623003097	6.10274681400077e-05	282	20	0.000143652164001811	0.00597290576639109
