feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
p147	country	Malawi	0.00320153134297021	0.000479800103625787	341	155	1.0254340719926e-10	4.13249931013017e-08
p14	country	Malawi	-0.00390467411141898	0.000596906840085383	341	341	2.24651042999939e-10	4.52671851644877e-08
p54	country	Malawi	-0.00542740831583918	0.000852145417148746	341	340	6.19094891505717e-10	4.78579122111019e-08
p13	country	Malawi	-0.00369510127020528	0.00058237040371087	341	341	7.1252474755983e-10	4.78579122111019e-08
p375	country	Malawi	-0.00369731586674273	0.000582667288452641	341	341	7.10179553828291e-10	4.78579122111019e-08
p53	country	Malawi	-0.00345103705197862	0.000540957898486264	341	341	5.82761734845464e-10	4.78579122111019e-08
p130	country	Malawi	-0.00474952759411362	0.000765822941302884	341	340	1.62359346359404e-09	8.17885207285498e-08
p129	country	Malawi	0.00369349380140218	0.000594808211340358	341	296	1.55381882223971e-09	8.17885207285498e-08
p50	country	Malawi	-0.00506729262344949	0.000835485982411191	341	341	3.52112742312018e-09	1.57668261279715e-07
p380	country	Malawi	0.00250450719411113	0.000424119987757504	341	82	8.56061777670427e-09	3.44992896401182e-07
p150	country	Malawi	-0.00352198980384158	0.000610125535285245	341	341	1.76410666033788e-08	6.46304531014696e-07
p171	country	Malawi	-0.00425443586804981	0.000757035094412214	341	341	3.99280381373898e-08	1.34091661411401e-06
p317	country	Malawi	-0.0031404259501785	0.000567976773539089	341	341	6.43500778602035e-08	1.99485241366631e-06
p132	country	Malawi	-0.00341944244630135	0.000630997007788015	341	341	1.13871575115201e-07	3.0593496514284e-06
p67	country	Malawi	-0.00353009092385952	0.000650739830822091	341	341	1.10621707964786e-07	3.0593496514284e-06
p55	country	Malawi	-0.00359913367506577	0.000671069814497238	341	341	1.51598310030931e-07	3.81838243390409e-06
p362	country	Malawi	-0.00298873907144358	0.000567313273771898	341	337	2.45429604559715e-07	5.81812533162149e-06
p430	country	Malawi	-0.00298139511069178	0.000569890493719179	341	341	2.95090809902003e-07	6.60675535502818e-06
p348	country	Malawi	-0.00298888828208142	0.000577892963404959	341	341	3.96896539043748e-07	8.41838448603318e-06
p151	country	Malawi	-0.00413948636225353	0.000802627820820251	341	341	4.26733136680894e-07	8.59867270412001e-06
p71	country	Malawi	-0.00272708480505428	0.000547273010352018	341	341	9.99899849146161e-07	1.83163472366319e-05
p456	country	Malawi	-0.00272708480505428	0.000547273010352018	341	341	9.99899849146161e-07	1.83163472366319e-05
p328	country	Malawi	0.00248158641103933	0.000503344984530433	341	340	1.28837644694943e-06	2.25745960052443e-05
p274	country	Malawi	0.00228635469315755	0.000470468516722036	341	262	1.80021555006909e-06	3.02286194449101e-05
p225	country	Malawi	0.00218452126881058	0.000450883535543205	341	341	1.92998044898207e-06	3.11112848375909e-05
p292	country	Malawi	-0.00346265483172952	0.000726958836386013	341	341	2.82928722717518e-06	4.38539520212153e-05
p452	country	Malawi	-0.00289456350010366	0.000608735814037518	341	341	2.93860543102096e-06	4.38614069889425e-05
p277	country	Malawi	0.000942052969491699	0.000202509627868503	341	21	4.7224073104726e-06	6.79689337900164e-05
p19	country	Malawi	-0.00255183884300141	0.00055187365636629	341	341	5.36214438383972e-06	7.45153167823244e-05
p136	country	Malawi	-0.00310459896614725	0.000676806815535409	341	341	6.33376831606454e-06	8.50836210458004e-05
p247	country	Malawi	0.000580550789369024	0.000126825548287245	341	25	6.61281399013794e-06	8.59665818717932e-05
p133	country	Malawi	-0.00258075391271719	0.000571885580852577	341	341	8.83856589633528e-06	0.000111310689256972
p241	country	Malawi	0.0025034845331403	0.000564408070177608	341	337	1.24260845228979e-05	0.000151748850385693
p230	country	Malawi	-0.0020648861904814	0.000471626870558164	341	341	1.59613069581803e-05	0.000183783048689905
p249	country	Malawi	-0.0020648861904814	0.000471626870558164	341	341	1.59613069581803e-05	0.000183783048689905
p153	country	Malawi	-0.00242845660100924	0.000558051147455451	341	341	1.79056944820085e-05	0.000195026888547282
p5	country	Malawi	0.0016358997948295	0.000375425496890907	341	156	1.74638368519587e-05	0.000195026888547282
p229	country	Malawi	-0.00171298685065334	0.000404030053842061	341	341	2.88911813342525e-05	0.000306398580992204
p239	country	Malawi	-0.00284578500918146	0.000679364657756236	341	341	3.57872673219733e-05	0.000369801762327057
p446	country	Malawi	-0.00245067534292394	0.000587067123860681	341	341	3.8017325734356e-05	0.000383024556773637
p24	country	Malawi	-0.00268581909221006	0.000645316104455061	341	341	4.0038404115492e-05	0.000393548216062031
p84	country	Malawi	-0.00228267598335638	0.000550383586293528	341	341	4.25446483622519e-05	0.000408226030713989
p193	country	Malawi	-0.00251444491753666	0.000615814895901662	341	341	5.54811897962072e-05	0.000504130690063415
p221	country	Malawi	-0.00349557903433917	0.000856848234962556	341	333	5.62925088160141e-05	0.000504130690063415
p46	country	Malawi	0.00272158253979763	0.00066539654236327	341	333	5.3898942978295e-05	0.000504130690063415
p8	country	Malawi	-0.00178240204886255	0.00044358778921005	341	341	7.23003281140188e-05	0.000633413744129339
p28	country	Malawi	-0.00201577320013942	0.000506861527130775	341	341	8.53592943085191e-05	0.0007319105448156
p30	country	Malawi	-0.0027390587819172	0.000690226224108347	341	341	8.83630518761646e-05	0.000734052072594181
p16	country	Malawi	0.00232497626101725	0.000586248965757283	341	340	8.92519889754712e-05	0.000734052072594181
p145	country	Malawi	0.00160681569475966	0.000407004814213781	341	269	9.58930320894012e-05	0.000757742979059386
p423	country	Malawi	0.00024213293772366	6.13129621058301e-05	341	10	9.54241529857303e-05	0.000757742979059386
p38	country	Malawi	0.00226519155998601	0.000582890278457233	341	341	0.000122510591833864	0.000949457086712449
p15	country	Malawi	-0.00187014746068929	0.000481959814666473	341	341	0.000125360662829512	0.000953214096609309
p413	country	Malawi	0.000437142688330185	0.000114860309771821	341	67	0.000167646901453152	0.00125114261640038
p260	country	Malawi	-0.0021073554413154	0.000556966938292389	341	341	0.000182692456173692	0.00131576198303904
p110	country	Malawi	-0.00199989406626684	0.000528593600121813	341	341	0.000182835412035202	0.00131576198303904
p338	country	Malawi	-0.00206255372563201	0.000550604338376297	341	341	0.000211108849138839	0.00149257660005179
p122	country	Malawi	0.00288335738925403	0.000771281525660578	341	322	0.000217316367537681	0.00150997407099458
p288	country	Malawi	0.00224878825280902	0.00061114140730585	341	341	0.00027157281314077	0.00185498040162254
p196	country	Malawi	0.00212963291651697	0.000581725917049204	341	341	0.000291436400036263	0.0019574811535769
p320	country	Malawi	-0.00117039611508721	0.000321064298539708	341	164	0.000308893052423616	0.00204071967420848
p336	country	Malawi	-0.00263917326343171	0.000725414392903052	341	341	0.000317324179541919	0.00206260716702247
p383	country	Malawi	0.00181561547961239	0.000499938937919803	341	340	0.000325098334723529	0.00207959728402511
p261	country	Malawi	-0.0019220712489521	0.000529982659213124	341	341	0.0003312218863048	0.00208566281532554
p182	country	Malawi	0.00123585082819113	0.00034759453879559	341	230	0.000430966553721099	0.00267199263307081
p11	country	Malawi	0.00220556196466346	0.000621890485654787	341	231	0.000445234822350853	0.00271863080920294
p115	country	Malawi	0.00183048640826958	0.00052099320955238	341	337	0.000502299512811699	0.0030212940845241
p188	country	Malawi	0.00186420771948659	0.000532284179510344	341	339	0.000523073956888831	0.00309998242097351
p159	country	Malawi	-0.000988292144221677	0.000283579371945955	341	162	0.000556653157693024	0.00325117713840998
p283	country	Malawi	0.00209337093550537	0.000604499317994863	341	341	0.000602676770402789	0.00346969626389034
p140	country	Malawi	0.00225768377108293	0.000660135414660568	341	301	0.000702563565419007	0.00398779037836422
p300	country	Malawi	0.00124650678399795	0.000371438573334609	341	336	0.000880825556721913	0.00493017637998515
p431	country	Malawi	0.00238659637043364	0.000713130882049143	341	317	0.00090974266045729	0.00502227797485326
p154	country	Malawi	0.00277524868482025	0.000830899295666355	341	304	0.000930899651024029	0.00506962918057681
p124	country	Malawi	-0.000987923960201149	0.000297776962860919	341	116	0.00100623413771208	0.00540683143330626
p454	country	Malawi	-0.000917257917643969	0.000285264109997582	341	119	0.00142764945435099	0.00757029908030855
p155	country	Malawi	0.00145241634581226	0.000455191481727819	341	337	0.00155148499947021	0.00812010980242202
p316	country	Malawi	0.00144041656555082	0.000456046764448668	341	278	0.00172849843975843	0.00893057527208521
p361	country	Malawi	0.00198020696447297	0.000633984718455895	341	288	0.00194161097806446	0.00990467372354399
p240	country	Malawi	-0.00163738846033879	0.000528592352666669	341	341	0.00211360164711366	0.0106052668156301
p437	country	Malawi	-0.00202178328700065	0.000653229919756426	341	341	0.002131579682546	0.0106052668156301
p238	country	Malawi	0.00159753890549556	0.000518640015692527	341	340	0.00223739970709268	0.0109960009994921
p364	country	Malawi	-0.00135309236999425	0.000443026566054556	341	340	0.00243529516152471	0.0118243849408971
p398	country	Malawi	0.00195696645621295	0.000648480256793611	341	340	0.00273913993151377	0.0129203374334987
p246	country	Malawi	-0.00208177787608067	0.000691132655940239	341	328	0.00278925398688435	0.0129203374334987
p98	country	Malawi	-0.00191239732578262	0.000633029300725911	341	268	0.00271066746285652	0.0129203374334987
p118	country	Malawi	-0.00136530909189574	0.000452930011932213	341	198	0.00276903017459861	0.0129203374334987
p2	country	Malawi	-0.019045900773821	0.0064205113473744	341	341	0.0032268071034706	0.0147372961795895
p373	country	Malawi	0.00153963234567847	0.000519496086514607	341	307	0.00325463861038081	0.0147372961795895
p189	country	Malawi	0.00193545748058001	0.000654455237502886	341	340	0.00332064616083639	0.0148691155868563
p278	country	Malawi	0.0014424696445588	0.000494356969034658	341	303	0.00375955721196655	0.0166494676529947
p161	country	Malawi	-0.00134593273053929	0.000468202433044682	341	156	0.00429978748521607	0.018834938658066
p444	country	Malawi	-0.00166323170621467	0.000581358508785992	341	339	0.00448595152044527	0.0189314178772209
p436	country	Malawi	0.00286499267561513	0.00100201788107864	341	309	0.00450971740995833	0.0189314178772209
p409	country	Malawi	0.00217781890936678	0.000759502543047802	341	315	0.00439715525343379	0.0189314178772209
p173	country	Malawi	-0.000983683337224085	0.000343631012360949	341	272	0.0044628686576415	0.0189314178772209
p311	country	Malawi	-0.00144898287784442	0.000508762945959898	341	237	0.00466719986081481	0.0193905313804987
p367	country	Malawi	0.0012656437901784	0.00044965916080643	341	187	0.00516794056777759	0.0212518372327997
p429	country	Malawi	-0.00132921117547914	0.000472811228439819	341	340	0.00522127682399798	0.0212542884855675
p121	country	Malawi	0.00162464897781373	0.000579526328755343	341	341	0.00534764980366472	0.0213376521868998
p23	country	Malawi	0.00183264715517713	0.000653624011723077	341	218	0.00534090899596857	0.0213376521868998
p107	country	Malawi	0.00203120600768487	0.000725846681674411	341	339	0.0054294274468638	0.0214515613831972
p289	country	Malawi	0.00162539100049167	0.00058363616127728	341	341	0.00565458333157771	0.0215267200788521
p80	country	Malawi	0.00148709185876648	0.000533195252294952	341	320	0.00558543036997709	0.0215267200788521
p143	country	Malawi	0.00169326463735422	0.000606867343039261	341	218	0.00556602476354062	0.0215267200788521
p52	country	Malawi	0.00116762765875052	0.000419331607392556	341	289	0.00566211495870551	0.0215267200788521
p1	country	Malawi	0.0229609752044593	0.00829958701096952	341	341	0.00597648001518105	0.0225095462254015
p237	country	Malawi	0.000329237735405962	0.000119704007291467	341	56	0.00627112076081461	0.0234005709871138
p426	country	Malawi	0.00125859027233677	0.000459031217104545	341	172	0.0064337943395075	0.0237873313653351
p108	country	Malawi	0.00185668297661228	0.000679155105298091	341	339	0.00658921771397806	0.0241404976248469
p282	country	Malawi	0.00249347309649711	0.000914184799524602	341	327	0.00671307757194833	0.0243727050585151
p433	country	Malawi	0.00198271949187188	0.000729612914808477	341	315	0.00691565474424724	0.0248840076958182
p18	country	Malawi	0.00199084993578946	0.000735389842473811	341	317	0.00712897016171622	0.0254245573024039
p68	country	Malawi	0.00178591746039427	0.000666338202527277	341	338	0.00771723686511866	0.0265980968867571
p418	country	Malawi	0.00181262742398514	0.000676357435551824	341	336	0.00772202812841335	0.0265980968867571
p242	country	Malawi	-0.00106424322519318	0.000396875108108036	341	162	0.0076865925454094	0.0265980968867571
p297	country	Malawi	-0.000550938290432754	0.0002053784468617	341	60	0.00766425481627874	0.0265980968867571
p414	country	Malawi	-0.00162879068435831	0.000610079635549021	341	199	0.00795510493080789	0.0269403973707192
p106	country	Malawi	-0.000730820336625387	0.000273681898376552	341	183	0.00794287865041633	0.0269403973707192
p51	country	Malawi	0.00158927490991752	0.000596209110177584	341	296	0.00805227422864333	0.0270422209511938
p111	country	Malawi	0.00196210477599739	0.000742646097624488	341	330	0.0086227458171622	0.0284833324943964
p419	country	Malawi	0.00179326323304791	0.000678037776779067	341	336	0.00855471125930781	0.0284833324943964
p174	country	Malawi	-0.00110249038205228	0.00041916540974024	341	176	0.00892260482327888	0.0289984656756564
p178	country	Malawi	-0.00110249038205228	0.00041916540974024	341	176	0.00892260482327888	0.0289984656756564
p442	country	Malawi	0.00110507159576952	0.00042090911407255	341	262	0.00904584627161144	0.0291638083796753
p21	country	Malawi	-0.000972453632637901	0.000371313891417486	341	182	0.00921612375458423	0.0294769672468051
p411	country	Malawi	-0.00150139363061686	0.000577397096425016	341	304	0.00972245469608289	0.0308515688387512
p217	country	Malawi	0.00157014957257339	0.00060990422387935	341	329	0.0104647171886302	0.0321929849390684
p218	country	Malawi	0.00157014957257339	0.00060990422387935	341	329	0.0104647171886302	0.0321929849390684
p219	country	Malawi	0.00157014957257339	0.00060990422387935	341	329	0.0104647171886302	0.0321929849390684
p187	country	Malawi	0.00136615582801812	0.00053000250250419	341	282	0.01036959684502	0.0321929849390684
p244	country	Malawi	-0.000413223834177388	0.000161224194777874	341	92	0.0108071589670928	0.0329945838162001
p365	country	Malawi	0.000424328419306906	0.000165803097530636	341	26	0.0109239375043061	0.0331003519867319
p43	country	Malawi	0.00160110694574587	0.000630593923141079	341	292	0.0115620136403732	0.0347723246050031
p438	country	Malawi	0.00189890007811471	0.000750363663988954	341	321	0.011837402039253	0.035336837198659
p403	country	Malawi	0.0024978065602034	0.000988103571471968	341	341	0.0119290987629852	0.035348726481493
p186	country	Malawi	-0.000404976136666359	0.00016103163984722	341	91	0.0123692852079204	0.0363855615970214
p407	country	Malawi	0.00144693800897297	0.000576156383554715	341	286	0.0124910680710449	0.036477539366892
p204	country	Malawi	0.00165297082983366	0.000660576808579077	341	322	0.0128088479533112	0.037136444066075
p226	country	Malawi	0.00153596003482466	0.000615661159938587	341	336	0.0130776717892715	0.0376450123648316
p445	country	Malawi	-0.00133004691153058	0.000534558767748217	341	202	0.013321771905165	0.0380757026793013
p396	country	Malawi	0.00141053721150675	0.000568339836614048	341	339	0.0135539517053613	0.0382097964047026
p127	country	Malawi	0.00171871030700889	0.000692542892384248	341	276	0.0135583148532816	0.0382097964047026
p181	country	Malawi	0.00127891858339012	0.000517765951837883	341	287	0.0140003719344877	0.0391815964555454
p83	country	Malawi	0.00174149079525312	0.000707231334398734	341	317	0.0142976787877617	0.039737686561848
p447	country	Malawi	0.00107467063090964	0.000441316554190542	341	340	0.0154008675437321	0.0415297394503723
p386	country	Malawi	0.00098952678866162	0.000406802815236515	341	341	0.0155140737048779	0.0415297394503723
p266	country	Malawi	-0.00173458573980325	0.000712152287577244	341	335	0.0153779654189203	0.0415297394503723
p49	country	Malawi	0.00180191265148492	0.000742860917976614	341	329	0.0158029772720948	0.0415297394503723
p269	country	Malawi	0.0018274862267134	0.000753877455588291	341	317	0.0158682689235202	0.0415297394503723
p74	country	Malawi	0.00167059482148204	0.000689167336974283	341	331	0.0158699252490257	0.0415297394503723
p142	country	Malawi	0.00161286071241768	0.000663800388860233	341	326	0.0156285255787795	0.0415297394503723
p176	country	Malawi	-0.000291071901581886	0.000119622781714836	341	33	0.0154804451074406	0.0415297394503723
p175	country	Malawi	-0.000230085151774174	9.42895834082343e-05	341	33	0.0151909829128592	0.0415297394503723
p397	country	Malawi	0.00135281933492377	0.000562717177165947	341	338	0.0167491558370463	0.0435478051763204
p243	country	Malawi	-0.000981095745158697	0.000412258266377446	341	156	0.0178742298021718	0.0461750936556106
p258	country	Malawi	0.00206369951534277	0.000875317520570125	341	309	0.018958301740806	0.0486636662518778
p27	country	Malawi	0.00173131986482298	0.000741058535145352	341	295	0.0200589451653794	0.0511630057066322
p253	country	Malawi	0.00202095522122376	0.00086894470102801	341	321	0.020620899902173	0.0520972474600359
p439	country	Malawi	0.00176285346828993	0.00075834808728887	341	321	0.0206837707037364	0.0520972474600359
p232	country	Malawi	0.0012565210267661	0.000541669538179056	341	341	0.0209496551207675	0.0522852546570616
p301	country	Malawi	0.000409697655312887	0.000176709922127082	341	35	0.0210178939316228	0.0522852546570616
p267	country	Malawi	0.000500447858347838	0.000216704045913592	341	30	0.0215241844086538	0.0532162350717023
p135	country	Malawi	-0.0013846765456574	0.000603726929207532	341	341	0.0224278799179923	0.0547783976178842
