feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
p2	dose1_shedding	1	-0.00174579588102783	0.00815190498349144	147	147	0.830724692150198	0.993800577449275
p1	dose1_shedding	1	0.00600867227883164	0.0110219943049733	147	147	0.586485911017153	0.993800577449275
p317	dose1_shedding	1	-2.25766793880066e-05	0.000842623021190246	147	147	0.97866141037457	0.993800577449275
p71	dose1_shedding	1	0.000642109206818767	0.000826878187923549	147	147	0.43869139010647	0.993800577449275
p456	dose1_shedding	1	0.000642109206818767	0.000826878187923549	147	147	0.43869139010647	0.993800577449275
p336	dose1_shedding	1	0.000756527069434435	0.00106815623810285	147	147	0.479923877510541	0.993800577449275
p19	dose1_shedding	1	0.00045604884842164	0.000848225000428358	147	147	0.591642358043056	0.993800577449275
p153	dose1_shedding	1	0.000380555772009385	0.00085526408538255	147	147	0.657014309940608	0.993800577449275
p133	dose1_shedding	1	0.000200174244913403	0.000876720661863937	147	147	0.819717925156292	0.993800577449275
p292	dose1_shedding	1	0.000590350231647343	0.00113236301035267	147	147	0.602922770041932	0.993800577449275
p446	dose1_shedding	1	5.73053058596308e-05	0.000898753072869947	147	147	0.949248425865508	0.993800577449275
p132	dose1_shedding	1	0.00075945423574471	0.000983164666812141	147	147	0.441099973412658	0.993800577449275
p54	dose1_shedding	1	0.00057116965167609	0.00123727172311758	147	147	0.645033900938454	0.993800577449275
p260	dose1_shedding	1	0.000463186489144668	0.000837785520486638	147	147	0.581203763776478	0.993800577449275
p261	dose1_shedding	1	0.000467601205129872	0.000801231524142462	147	147	0.560394068905413	0.993800577449275
p110	dose1_shedding	1	0.000507663359131906	0.000805546245436008	147	147	0.529549058400313	0.993800577449275
p150	dose1_shedding	1	0.00088656715594786	0.00095784627338229	147	147	0.356200133638171	0.993800577449275
p193	dose1_shedding	1	0.00105406710965781	0.000920007019893015	147	147	0.25379990057911	0.993800577449275
p24	dose1_shedding	1	0.00101015253481398	0.000973477038683381	147	147	0.301148841597169	0.993800577449275
p221	dose1_shedding	1	0.000553354647677971	0.00109021834298414	147	146	0.612530897907955	0.993800577449275
p403	dose1_shedding	1	-0.00148000016115927	0.0014407279769545	147	147	0.306009325740629	0.993800577449275
p452	dose1_shedding	1	-0.000231882356966412	0.000905228568376166	147	147	0.798191200283576	0.993800577449275
p338	dose1_shedding	1	0.000579525636957853	0.000873770829238657	147	147	0.508225600452518	0.993800577449275
p230	dose1_shedding	1	0.000447611435107861	0.000751949054826363	147	147	0.552592035573347	0.993800577449275
p249	dose1_shedding	1	0.000447611435107861	0.000751949054826363	147	147	0.552592035573347	0.993800577449275
p239	dose1_shedding	1	0.000348032997843935	0.00101177702577647	147	147	0.731358206361308	0.993800577449275
p8	dose1_shedding	1	0.000408166199998168	0.000677784553136608	147	147	0.547977295398683	0.993800577449275
p13	dose1_shedding	1	0.000229080389673379	0.000903769459277741	147	147	0.800262414144285	0.993800577449275
p375	dose1_shedding	1	0.000228851379988492	0.000904071636876701	147	147	0.800523101984761	0.993800577449275
p14	dose1_shedding	1	0.000320145449847787	0.000933324529181177	147	147	0.732083049583923	0.993800577449275
p135	dose1_shedding	1	-0.000212759296015045	0.000892661492214103	147	147	0.811951849078012	0.993800577449275
p348	dose1_shedding	1	0.000390155396886767	0.000897435732222883	147	147	0.66439409257922	0.993800577449275
p151	dose1_shedding	1	0.000218438728037999	0.00116449911711579	147	147	0.851466806806826	0.993800577449275
p28	dose1_shedding	1	-3.38246233481802e-05	0.00078983497544204	147	147	0.965900010456754	0.993800577449275
p67	dose1_shedding	1	0.00103611852629064	0.000992933844918546	147	147	0.298457071989859	0.993800577449275
p229	dose1_shedding	1	1.28018475989866e-05	0.000635276296010051	147	147	0.983950123673945	0.993800577449275
p15	dose1_shedding	1	-2.51372079410188e-05	0.000746520319240594	147	147	0.973184613619581	0.993800577449275
p3	dose1_shedding	1	-0.000146279406604905	0.000847687494762577	147	147	0.863235652007302	0.993800577449275
p136	dose1_shedding	1	-0.000156695209755123	0.00103994026941271	147	147	0.880439828008233	0.993800577449275
p55	dose1_shedding	1	0.000263652204226823	0.00104359434631849	147	147	0.800905295515265	0.993800577449275
p50	dose1_shedding	1	0.000540541907622596	0.00124771372872217	147	147	0.665494433535692	0.993800577449275
p53	dose1_shedding	1	0.000229912210244966	0.000839865355500515	147	147	0.784667163611516	0.993800577449275
p240	dose1_shedding	1	-0.000138288675718648	0.000812033794466383	147	147	0.865012256657295	0.993800577449275
p259	dose1_shedding	1	0.000684179020133262	0.000754347810831668	147	147	0.365921719433646	0.993800577449275
p84	dose1_shedding	1	0.000795710823603975	0.000836157828342344	147	147	0.342869476529566	0.993800577449275
p25	dose1_shedding	1	-0.000197728343044615	0.00114298995819155	147	147	0.86289880798292	0.993800577449275
p30	dose1_shedding	1	-0.000187953831981742	0.00102549351012	147	147	0.854833303747024	0.993800577449275
p437	dose1_shedding	1	-0.000402379016200242	0.00100342989749842	147	147	0.689007759984861	0.993800577449275
p137	dose1_shedding	1	-0.000212922197280362	0.0011655258265224	147	147	0.85530163026238	0.993800577449275
p171	dose1_shedding	1	0.000228424126428929	0.00114731288678746	147	147	0.842467429410764	0.993800577449275
p85	dose1_shedding	1	-0.0010738928418838	0.000980754753345499	147	147	0.275347124839887	0.993800577449275
p447	dose1_shedding	1	0.00019562106149694	0.000535676357562074	147	147	0.715505314027891	0.993800577449275
p430	dose1_shedding	1	0.000721396066309291	0.000886692626945068	147	147	0.417219135296018	0.993800577449275
p130	dose1_shedding	1	0.00044080296388017	0.0011400208484627	147	147	0.69957315258503	0.993800577449275
p121	dose1_shedding	1	-7.31962182267311e-05	0.000873139365818743	147	147	0.933306360040236	0.993800577449275
