feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
p4	breastfed_child	nonexclusive	0.00160925436401514	0.000315427463988917	132	54	1.21613507119003e-06	0.00290413055000178
p142	breastfed_child	nonexclusive	0.00468511093919701	0.00108152555899536	132	126	3.0045083109342e-05	0.0358738292325544
p345	breastfed_child	nonexclusive	0.00597218690288768	0.00147178364358716	132	45	8.66763598002932e-05	0.0672055648295239
p106	breastfed_child	nonexclusive	0.00191173333316745	0.000479343980742911	132	70	0.000112572135392837	0.0672055648295239
p322	breastfed_child	nonexclusive	0.00253403309051959	0.000661987592126411	132	64	0.000203224937653722	0.0773287013485893
p262	breastfed_child	nonexclusive	0.00235387968980654	0.000619804837300929	132	48	0.00022667542271362	0.0773287013485893
p29	breastfed_child	nonexclusive	0.00115909578009811	0.000302963022857785	132	15	0.000204744452793673	0.0773287013485893
p445	breastfed_child	nonexclusive	0.0032494703358119	0.000867071042964277	132	76	0.00027146968838424	0.0810337019826956
p91	breastfed_child	nonexclusive	0.00301438570392569	0.000826451904466789	132	116	0.000387408539983606	0.0846178782450136
p369	breastfed_child	nonexclusive	0.00327374911803481	0.000897989212010381	132	89	0.000389780846187249	0.0846178782450136
p6	breastfed_child	nonexclusive	0.00109712468793564	0.000299417487458588	132	36	0.000365147564420524	0.0846178782450136
p84	breastfed_child	nonexclusive	-0.00317987685048183	0.00089839344926139	132	132	0.000563727564245453	0.112181785284845
p116	breastfed_child	nonexclusive	0.00317053756486708	0.000912321714861021	132	116	0.000702266952163519	0.12900103705896
p32	breastfed_child	nonexclusive	0.00416032853093277	0.00120804298967801	132	102	0.000781000366188365	0.131278800663212
p432	breastfed_child	nonexclusive	0.00279692943347005	0.000815971092322033	132	103	0.000824615582055353	0.131278800663212
p15	breastfed_child	nonexclusive	-0.00279810007493842	0.00083805275617889	132	132	0.00110909409369996	0.138423741155352
p240	breastfed_child	nonexclusive	-0.00311769960612987	0.000932633273590967	132	132	0.00109421495093553	0.138423741155352
p119	breastfed_child	nonexclusive	0.00393822883390433	0.00117798850898991	132	102	0.0010931984606953	0.138423741155352
p454	breastfed_child	nonexclusive	0.00154900968129438	0.000464421647112636	132	43	0.00112183139885372	0.138423741155352
p105	breastfed_child	nonexclusive	0.00107895720514738	0.000324461566387877	132	26	0.00115932781537145	0.138423741155352
p28	breastfed_child	nonexclusive	-0.00288075566051733	0.000875899470036911	132	132	0.00130662202762808	0.148581590570279
p166	breastfed_child	nonexclusive	0.00447268074831729	0.00136986998405132	132	96	0.00141231679798279	0.153300568799223
p316	breastfed_child	nonexclusive	0.00236888091139677	0.000734421059216901	132	103	0.00160506683270876	0.166647808543849
p146	age_at_first_dose	age_at_first_dose	0.000509283182691383	0.000159517013235718	132	34	0.00178359329590036	0.177467532942086
p135	breastfed_child	nonexclusive	-0.00306990302579016	0.00101757453657169	132	132	0.00309497655583477	0.18950779526496
p39	breastfed_child	nonexclusive	0.00472268620566625	0.00155911050022487	132	122	0.00298090194400912	0.18950779526496
p252	breastfed_child	nonexclusive	0.0042976616246915	0.0014221057921911	132	107	0.00304629359751989	0.18950779526496
p318	breastfed_child	nonexclusive	0.00324640137970501	0.00105768790823626	132	125	0.00263173185443214	0.18950779526496
p251	breastfed_child	nonexclusive	0.0039748382637589	0.00130034236577678	132	109	0.00273653641892339	0.18950779526496
p74	breastfed_child	nonexclusive	0.00321120900254457	0.00105650003974966	132	127	0.00288689776102391	0.18950779526496
p324	breastfed_child	nonexclusive	0.00312622559737282	0.00100512391872827	132	102	0.00231561725013123	0.18950779526496
p170	breastfed_child	nonexclusive	0.0032385539271186	0.00103420063958784	132	109	0.00216637850489066	0.18950779526496
p23	age_at_first_dose	age_at_first_dose	0.000930766116992995	0.00030437123157896	132	74	0.00272608782631642	0.18950779526496
p143	age_at_first_dose	age_at_first_dose	0.000889967341526523	0.000286202147276145	132	74	0.00232080398819161	0.18950779526496
p227	breastfed_child	nonexclusive	0.00296669868116373	0.000956435951582414	132	76	0.00237790018911675	0.18950779526496
p311	breastfed_child	nonexclusive	0.00255438220898056	0.000843341284168326	132	91	0.00298280315210134	0.18950779526496
p442	breastfed_child	nonexclusive	0.00188113095224928	0.000617978208556277	132	96	0.00284676743872013	0.18950779526496
p179	breastfed_child	nonexclusive	0.00255394787450751	0.00081551536780394	132	63	0.00216472571600897	0.18950779526496
p421	breastfed_child	nonexclusive	0.000540111300715335	0.00017434665464156	132	16	0.00240720615377381	0.18950779526496
