feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
p2	dose1_shedding	1	-0.000567836598722845	0.00522807498563332	281	281	0.913587567647249	0.995238565481656
p1	dose1_shedding	1	0.00183049745150929	0.0070410994602961	281	281	0.795076159912902	0.995238565481656
p317	dose1_shedding	1	9.00175409651971e-05	0.00050138857947978	281	281	0.857646794102792	0.995238565481656
p71	dose1_shedding	1	0.000254676923218735	0.000490288283205471	281	281	0.603863532089968	0.995238565481656
p456	dose1_shedding	1	0.000254676923218735	0.000490288283205471	281	281	0.603863532089968	0.995238565481656
p336	dose1_shedding	1	0.000530230739060195	0.000662255804627847	281	281	0.424019366210773	0.995238565481656
p19	dose1_shedding	1	0.00010809240051188	0.000508311162735685	281	281	0.831755204538753	0.995238565481656
p153	dose1_shedding	1	2.24135209724328e-05	0.000513415096944844	281	281	0.965210039489272	0.995238565481656
p133	dose1_shedding	1	-2.72815861224446e-05	0.000526524444725389	281	281	0.958713601694815	0.995238565481656
p292	dose1_shedding	1	0.000277604971230393	0.00068260917482714	281	281	0.684553239340323	0.995238565481656
p446	dose1_shedding	1	-9.00014052429724e-05	0.00053954944551318	281	281	0.867641600969681	0.995238565481656
p132	dose1_shedding	1	0.000348349307405133	0.000603794862345104	281	281	0.564449781991801	0.995238565481656
p54	dose1_shedding	1	-4.63891100563934e-05	0.000768798332122698	281	281	0.951928231152163	0.995238565481656
p260	dose1_shedding	1	0.00032387140551731	0.000507269809839891	281	281	0.523698110813002	0.995238565481656
p261	dose1_shedding	1	0.000340733663510935	0.00048330834491166	281	281	0.481396714519159	0.995238565481656
p110	dose1_shedding	1	0.000344635579683228	0.00048618821672313	281	281	0.479008083584613	0.995238565481656
p150	dose1_shedding	1	0.000381698668644247	0.000584874159602986	281	281	0.514540742380261	0.995238565481656
p193	dose1_shedding	1	0.000618451767199381	0.000566414902107492	281	281	0.275831956925847	0.995238565481656
p24	dose1_shedding	1	0.000548540554040891	0.000598209750667556	281	281	0.359950166733406	0.995238565481656
p403	dose1_shedding	1	-0.00104563312772859	0.000949015128177507	281	281	0.271494427422263	0.995238565481656
p452	dose1_shedding	1	2.52791840266565e-05	0.000539051680112345	281	281	0.962629937278301	0.995238565481656
p338	dose1_shedding	1	0.000423940150397579	0.000534456985183936	281	281	0.428325681828212	0.995238565481656
p230	dose1_shedding	1	0.000303926950131643	0.000451035944250072	281	281	0.500969654826964	0.995238565481656
p249	dose1_shedding	1	0.000303926950131643	0.000451035944250072	281	281	0.500969654826964	0.995238565481656
p239	dose1_shedding	1	0.000148349438243299	0.000615641383861943	281	281	0.809757449315087	0.995238565481656
p8	dose1_shedding	1	0.000209101440083006	0.000413157870908556	281	281	0.613182303406547	0.995238565481656
p13	dose1_shedding	1	0.000367044083479372	0.000531533159693758	281	281	0.490429703556087	0.995238565481656
p375	dose1_shedding	1	0.000366991178249561	0.000531920008494071	281	281	0.490807423988558	0.995238565481656
p14	dose1_shedding	1	0.00039802271332891	0.000546687555911537	281	281	0.467185910916683	0.995238565481656
p135	dose1_shedding	1	3.99424482524693e-05	0.000553948077115899	281	281	0.94256997700756	0.995238565481656
p348	dose1_shedding	1	0.000291187034537919	0.000540519416299635	281	281	0.590511660687225	0.995238565481656
p151	dose1_shedding	1	-4.09682531096136e-05	0.000701008577673958	281	281	0.953438498563217	0.995238565481656
p28	dose1_shedding	1	-9.35908523157823e-05	0.000486304141734954	281	281	0.84752712833051	0.995238565481656
p67	dose1_shedding	1	0.000509963960661252	0.000613677682840216	281	281	0.406686230421102	0.995238565481656
p229	dose1_shedding	1	0.000198339440958946	0.000385781916118642	281	281	0.607572811192955	0.995238565481656
p15	dose1_shedding	1	-0.000104714132938988	0.000462765731004366	281	281	0.821150173055806	0.995238565481656
p3	dose1_shedding	1	-3.24822086186338e-05	0.00051557992781149	281	281	0.949810576195219	0.995238565481656
p136	dose1_shedding	1	-0.000267163041849625	0.000627745315232832	281	281	0.67073366901484	0.995238565481656
p55	dose1_shedding	1	0.00014212130546006	0.000627713137966904	281	281	0.821047379195886	0.995238565481656
p50	dose1_shedding	1	8.073751952324e-05	0.000766456485640864	281	281	0.916182758230867	0.995238565481656
p53	dose1_shedding	1	0.000247608733162878	0.000499278018993213	281	281	0.620331714355117	0.995238565481656
p240	dose1_shedding	1	-0.000177358642556809	0.000508648493312249	281	281	0.7275879870418	0.995238565481656
p259	dose1_shedding	1	3.78530361338289e-05	0.000500409751057755	281	281	0.939756476042916	0.995238565481656
p84	dose1_shedding	1	0.000451678024287158	0.000514267401427046	281	281	0.380539875343935	0.995238565481656
p25	dose1_shedding	1	-0.000308265402922269	0.000707498558021613	281	281	0.663382821131771	0.995238565481656
p30	dose1_shedding	1	-0.000271910092030607	0.000648576525303468	281	281	0.675362364140521	0.995238565481656
p437	dose1_shedding	1	-0.000507994946659816	0.000629685111449668	281	281	0.42050091024294	0.995238565481656
p137	dose1_shedding	1	-0.000341397643974824	0.000720623168360753	281	281	0.636046304988566	0.995238565481656
p85	dose1_shedding	1	-0.000534804292038631	0.000607832295111046	281	281	0.379695071686698	0.995238565481656
p447	dose1_shedding	1	-0.000206344752550749	0.000390610289699028	281	280	0.59773710797299	0.995238565481656
p430	dose1_shedding	1	0.000318800246809493	0.000542003107876921	281	281	0.55688127886715	0.995238565481656
p130	dose1_shedding	1	4.11923933920783e-05	0.000702041265704499	281	281	0.953252836476748	0.995238565481656
p121	dose1_shedding	1	4.83085681820522e-05	0.000564932780414245	281	281	0.931915636196914	0.995238565481656
p434	dose1_shedding	1	-0.000731979529313315	0.000932596445619492	281	281	0.433187843445966	0.995238565481656
p34	dose1_shedding	1	0.00128671333372937	0.00106280813259718	281	281	0.227045263354448	0.995238565481656
p196	dose1_shedding	1	-0.000471774495144974	0.000564305604587064	281	281	0.403855359885477	0.995238565481656
p386	dose1_shedding	1	-0.000471922145161766	0.000381427934328938	281	281	0.217034177748123	0.995238565481656
p20	dose1_shedding	1	-0.00011623950654729	0.000847532435671352	281	272	0.89101074771088	0.995238565481656
p319	dose1_shedding	1	-8.63289368948856e-05	0.000706534259801168	281	274	0.9028392926926	0.995238565481656
p342	dose1_shedding	1	-0.00025692231947005	0.000608296513656363	281	281	0.673084928644384	0.995238565481656
p59	dose1_shedding	1	-0.000144082542820697	0.000654899362690069	281	279	0.826026475224318	0.995238565481656
p232	dose1_shedding	1	-0.000188595683562346	0.000513998856889538	281	281	0.713957949911751	0.995238565481656
p307	dose1_shedding	1	0.000121297796663423	0.0005580062446486	281	281	0.828073335024674	0.995238565481656
p231	dose1_shedding	1	0.000128051222592611	0.000511077790089297	281	281	0.802345417935655	0.995238565481656
p69	dose1_shedding	1	0.000422936525025847	0.000628350746493058	281	281	0.501447254338979	0.995238565481656
p270	dose1_shedding	1	0.000469422065412247	0.000404612067830768	281	281	0.246968110100264	0.995238565481656
p169	dose1_shedding	1	-0.000483860580213787	0.000658639679768702	281	278	0.463178055176803	0.995238565481656
p389	dose1_shedding	1	-0.000311758103434855	0.00053119784805831	281	281	0.557747883787054	0.995238565481656
p384	dose1_shedding	1	-0.000490042913074283	0.000354071644094241	281	280	0.167457866641838	0.995238565481656
