feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
p19	age_at_first_dose	age_at_first_dose	-0.0016193467217275	0.000562051840368054	47	47	0.00627701408878023	0.592854775324733
p153	age_at_first_dose	age_at_first_dose	-0.00166408965045645	0.000578613035346582	47	47	0.0063623651827362	0.592854775324733
p133	age_at_first_dose	age_at_first_dose	-0.00163582943364187	0.000558888232405432	47	47	0.00556185558438582	0.592854775324733
p292	age_at_first_dose	age_at_first_dose	-0.00211498052588638	0.000737966227778171	47	47	0.00653231190496167	0.592854775324733
p132	age_at_first_dose	age_at_first_dose	-0.00172968542124077	0.000579934766213001	47	47	0.00479591207234018	0.592854775324733
p150	age_at_first_dose	age_at_first_dose	-0.00164157947834415	0.000554760288180081	47	47	0.00510625728358446	0.592854775324733
p230	antibiotic_exposure	yes	-0.00252432817826966	0.000885080359932392	47	47	0.00677406557216658	0.592854775324733
p249	antibiotic_exposure	yes	-0.00252432817826966	0.000885080359932392	47	47	0.00677406557216658	0.592854775324733
p14	age_at_first_dose	age_at_first_dose	-0.00180979317933435	0.00063531141749013	47	47	0.00683491720925757	0.592854775324733
p348	age_at_first_dose	age_at_first_dose	-0.0016291449960768	0.000525941877612188	47	47	0.00351488531206457	0.592854775324733
p28	age_at_first_dose	age_at_first_dose	-0.00143455448196321	0.000439084280456666	47	47	0.00220066079664621	0.592854775324733
p15	age_at_first_dose	age_at_first_dose	-0.00135101693549469	0.000421108887624311	47	47	0.0025928532659054	0.592854775324733
p55	age_at_first_dose	age_at_first_dose	-0.00212752170357702	0.000678618693838491	47	47	0.00317234262196718	0.592854775324733
p53	age_at_first_dose	age_at_first_dose	-0.00173689638438555	0.000550663766179103	47	47	0.00301015949895048	0.592854775324733
p259	antibiotic_exposure	yes	-0.00224221525320967	0.000751161817836026	47	47	0.00476462818026637	0.592854775324733
p30	age_at_first_dose	age_at_first_dose	-0.00199313164444896	0.000678609974908081	47	47	0.00541411093355545	0.592854775324733
p437	age_at_first_dose	age_at_first_dose	-0.0016961427841494	0.000506471905338116	47	47	0.00174864766495631	0.592854775324733
p121	age_at_first_dose	age_at_first_dose	0.00142345470511509	0.000498828743246462	47	47	0.00674743881432724	0.592854775324733
p270	birth_weight	birth_weight	-0.00421789048187899	0.0014017523800533	47	47	0.00446730702912932	0.592854775324733
p364	antibiotic_exposure	yes	-0.00206759750313628	0.000690244542851837	47	47	0.00463291795503236	0.592854775324733
p444	antibiotic_exposure	yes	-0.00400730247586167	0.00102708374170135	47	47	0.000347926449932955	0.592854775324733
p262	birth_weight	birth_weight	0.00168511382700519	0.000527769360937421	47	11	0.00270534553705057	0.592854775324733
p123	birth_weight	birth_weight	-0.000733663052948135	0.000249568834339051	47	2	0.00537623540353899	0.592854775324733
p2	dose1_shedding	1	-0.0386690501862521	0.0203768894461448	47	47	0.0647935229820915	0.604148802737773
p2	birth_weight	birth_weight	0.0385305613764891	0.0229549531115892	47	47	0.100851141922031	0.604148802737773
p1	birth_weight	birth_weight	-0.0400539387663613	0.0282577536179533	47	47	0.163906697314588	0.604148802737773
p317	dose1_shedding	1	0.00191194201327168	0.00113315610871557	47	47	0.0991461293191797	0.604148802737773
p317	age_at_first_dose	age_at_first_dose	-0.00129927576289561	0.000672331657409289	47	47	0.0602273118667387	0.604148802737773
p317	antibiotic_exposure	yes	-0.0027354047289836	0.0012987572584412	47	47	0.0413554412610877	0.604148802737773
p71	age_at_first_dose	age_at_first_dose	-0.00155727622375288	0.000618588076613364	47	47	0.0158222059236237	0.604148802737773
p71	antibiotic_exposure	yes	-0.00273062554277888	0.00119493964865871	47	47	0.027546704607748	0.604148802737773
p456	age_at_first_dose	age_at_first_dose	-0.00155727622375288	0.000618588076613364	47	47	0.0158222059236237	0.604148802737773
p456	antibiotic_exposure	yes	-0.00273062554277888	0.00119493964865871	47	47	0.027546704607748	0.604148802737773
p336	age_at_first_dose	age_at_first_dose	-0.00164576257862802	0.000957046631590908	47	47	0.0930421835347781	0.604148802737773
p336	antibiotic_exposure	yes	-0.00341249877633837	0.00184874718563002	47	47	0.0721439791486368	0.604148802737773
p336	birth_weight	birth_weight	-0.00372506668561565	0.00181709571094473	47	47	0.0467950497927004	0.604148802737773
p336	breastfed_child	nonexclusive	-0.00390105664897926	0.00260392902493213	47	47	0.141756591616784	0.604148802737773
p19	antibiotic_exposure	yes	-0.00238524991445674	0.00108572740737964	47	47	0.0337354337453425	0.604148802737773
p153	antibiotic_exposure	yes	-0.00235627626944889	0.00111771901739798	47	47	0.0411778304494372	0.604148802737773
p133	antibiotic_exposure	yes	-0.00241605108719146	0.00107961619908082	47	47	0.030723395607469	0.604148802737773
p133	birth_weight	birth_weight	-0.0017626720296067	0.00106113263082409	47	47	0.104318033666611	0.604148802737773
p133	breastfed_child	nonexclusive	-0.002579396738316	0.0015206210878506	47	47	0.097414505456106	0.604148802737773
p292	antibiotic_exposure	yes	-0.0021215486838047	0.00142554494385189	47	47	0.144340177215789	0.604148802737773
p446	age_at_first_dose	age_at_first_dose	-0.00157851087492934	0.000596297743519533	47	47	0.0114642179093818	0.604148802737773
p446	antibiotic_exposure	yes	-0.00243337354538157	0.0011518809415762	47	47	0.0407766677586313	0.604148802737773
p446	birth_weight	birth_weight	-0.00219040938874328	0.00113216016485446	47	47	0.0599450691379609	0.604148802737773
