feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
p4	breastfed_child	nonexclusive	0.0016128521111244	0.000317079436683102	132	54	1.29981708251518e-06	0.00315075660801681
p142	breastfed_child	nonexclusive	0.00463203481421169	0.00109383372393348	132	126	4.3984458161143e-05	0.0533091632913054
p345	breastfed_child	nonexclusive	0.00585589779665736	0.00148598405371896	132	45	0.000134322978995719	0.0874264405850995
p322	breastfed_child	nonexclusive	0.00253655917560997	0.00066565930532887	132	64	0.000216402080656187	0.0874264405850995
p262	breastfed_child	nonexclusive	0.0023967027840864	0.000621938758107772	132	48	0.000185080613908951	0.0874264405850995
p106	breastfed_child	nonexclusive	0.00183957776409759	0.000478853297872756	132	70	0.000193335209648074	0.0874264405850995
p445	breastfed_child	nonexclusive	0.00321552069184318	0.000871090582471032	132	76	0.000331709444276889	0.089340410325242
p6	breastfed_child	nonexclusive	0.00111528348332295	0.000300624368157085	132	36	0.000310609991344318	0.089340410325242
p29	breastfed_child	nonexclusive	0.00113627988228982	0.000305275514063933	132	15	0.000297352045277323	0.089340410325242
p91	breastfed_child	nonexclusive	0.0030121019701116	0.000833349785018106	132	116	0.000434773323728282	0.0958082306106688
p369	breastfed_child	nonexclusive	0.00327110116986587	0.000902642234325983	132	89	0.000420624725770185	0.0958082306106688
p84	breastfed_child	nonexclusive	-0.00305497250055901	0.000897212943056363	132	132	0.0008901113269236	0.157630772554794
p32	breastfed_child	nonexclusive	0.00410573620538205	0.0012148707320522	132	102	0.000968879806756326	0.157630772554794
p116	breastfed_child	nonexclusive	0.0030892025958206	0.000914630828074252	132	116	0.000975437948977685	0.157630772554794
p432	breastfed_child	nonexclusive	0.00278333278735294	0.000820104908832144	132	103	0.000923726509761503	0.157630772554794
p105	breastfed_child	nonexclusive	0.00109251230077729	0.000327217492881627	132	26	0.00110915214417599	0.168036549842663
p15	breastfed_child	nonexclusive	-0.00264321333587077	0.000831638616890992	132	132	0.00186716201974	0.181040029433991
p240	breastfed_child	nonexclusive	-0.00297232991998602	0.000928841126058532	132	132	0.00174192661502246	0.181040029433991
p119	breastfed_child	nonexclusive	0.00388316498841995	0.00118469373559621	132	102	0.00135495616871406	0.181040029433991
p166	breastfed_child	nonexclusive	0.00446135143967985	0.00137896519028861	132	96	0.00155521526406169	0.181040029433991
p129	seroconv	1	-0.00259561433789676	0.000816550232385821	132	111	0.00186456293887891	0.181040029433991
p143	age_at_first_dose	age_at_first_dose	0.000906192613422859	0.000281394224990435	132	74	0.00163186146376686	0.181040029433991
p316	breastfed_child	nonexclusive	0.00237953171525159	0.00073816562592688	132	103	0.00161509607325919	0.181040029433991
p146	age_at_first_dose	age_at_first_dose	0.000507880413956577	0.0001592931564102	132	34	0.00180839626409107	0.181040029433991
p454	breastfed_child	nonexclusive	0.0015158141595191	0.000465964200235691	132	43	0.0014682724698489	0.181040029433991
p23	age_at_first_dose	age_at_first_dose	0.000947275419416304	0.00029936952209217	132	74	0.00195278877800496	0.182059999918616
p28	breastfed_child	nonexclusive	-0.00271903878988236	0.000869311646334723	132	132	0.00219145478888726	0.195675575118122
p421	breastfed_child	nonexclusive	0.000546781182642418	0.000175363577533507	132	16	0.00226027892050636	0.195675575118122
