feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
p129	seroconv	1	-0.00261527235809694	0.000786561119857313	132	111	0.00114950640432962	0.347041081239142
p455	seroconv	1	0.000182476200551211	5.86713038042013e-05	132	3	0.0022985124725383	0.347041081239142
p272	seroconv	1	0.000136540397655938	4.4422738261422e-05	132	3	0.00257703773197383	0.347041081239142
p332	seroconv	1	-0.00157165530765615	0.000581206584506653	132	103	0.00776513381033312	0.784278514843646
p2	seroconv	1	0.00770953286611605	0.00812336897643555	132	132	0.34435304659279	0.945384479875509
p1	seroconv	1	-0.0107038851599651	0.0108687081686714	132	132	0.326534466372032	0.945384479875509
p317	seroconv	1	0.00139167685001499	0.000711640946155903	132	132	0.0526586066990548	0.945384479875509
p71	seroconv	1	0.000977692877158996	0.000686427168973253	132	132	0.156749510722662	0.945384479875509
p456	seroconv	1	0.000977692877158996	0.000686427168973253	132	132	0.156749510722662	0.945384479875509
p336	seroconv	1	0.00107535599032007	0.000982067972126337	132	132	0.275544968909365	0.945384479875509
p19	seroconv	1	0.000837486193909948	0.000730886420122946	132	132	0.253962130361124	0.945384479875509
p153	seroconv	1	0.00083031249239604	0.000739557399012504	132	132	0.263627604025865	0.945384479875509
p133	seroconv	1	0.000962239480076862	0.000758829434584395	132	132	0.20704367598402	0.945384479875509
p292	seroconv	1	0.00043853996095674	0.000994220865710705	132	132	0.659881215861263	0.945384479875509
p446	seroconv	1	0.00105310446200835	0.000777103978924752	132	132	0.17771489212743	0.945384479875509
p132	seroconv	1	0.000665150479583039	0.00089828597578979	132	132	0.460352386916594	0.945384479875509
p54	seroconv	1	0.000718357319988614	0.00116111244167262	132	132	0.537209589325215	0.945384479875509
p260	seroconv	1	0.000914918472795124	0.000737893072403549	132	132	0.217243401784941	0.945384479875509
p261	seroconv	1	0.000907330117660312	0.000700127366688602	132	132	0.197288828001458	0.945384479875509
p110	seroconv	1	0.000917786288274089	0.000704216251055272	132	132	0.194784961172621	0.945384479875509
p150	seroconv	1	0.000610031386628376	0.000865384759505725	132	132	0.482117940765824	0.945384479875509
p193	seroconv	1	0.000638783518947155	0.000843853741984642	132	132	0.450429420547212	0.945384479875509
p24	seroconv	1	0.000835081264692507	0.000882006158684535	132	132	0.3454985330823	0.945384479875509
p221	seroconv	1	-0.000665118740909551	0.00137629934238507	132	126	0.629719773128059	0.945384479875509
p403	seroconv	1	-0.00069804632280752	0.00150380088591781	132	132	0.643289452683764	0.945384479875509
p452	seroconv	1	0.000983241817399813	0.000765400584645109	132	132	0.201212694198381	0.945384479875509
p338	seroconv	1	0.000356555027826057	0.000783935948730781	132	132	0.649992509425315	0.945384479875509
p230	seroconv	1	0.000800572917750032	0.000647887415303733	132	132	0.21881073877959	0.945384479875509
p249	seroconv	1	0.000800572917750032	0.000647887415303733	132	132	0.21881073877959	0.945384479875509
p239	seroconv	1	0.000806164177377543	0.000902876331141328	132	132	0.373568959099774	0.945384479875509
p8	seroconv	1	0.000697878851228669	0.000607692477736743	132	132	0.252908961771702	0.945384479875509
p13	seroconv	1	0.000945045193779334	0.000744349170055399	132	132	0.206485886800372	0.945384479875509
p375	seroconv	1	0.000940782379692062	0.00074524614269904	132	132	0.209072686727386	0.945384479875509
p14	seroconv	1	0.00102549339190741	0.000761000393372881	132	132	0.18014392375223	0.945384479875509
p135	seroconv	1	0.00178958330597407	0.00081839088510323	132	132	0.0305533369292526	0.945384479875509
p348	seroconv	1	0.000892541330133799	0.000785472444196989	132	132	0.257916614278174	0.945384479875509
p151	seroconv	1	0.000727009017624573	0.00102156704999984	132	132	0.477950080330848	0.945384479875509
p28	seroconv	1	0.00126431145083618	0.00071867014393609	132	132	0.0808898007187102	0.945384479875509
p67	seroconv	1	0.000781332527197248	0.00091007780333008	132	132	0.392177993101389	0.945384479875509
p229	seroconv	1	0.000579890115661511	0.000565667355285138	132	132	0.307199336836109	0.945384479875509
p15	seroconv	1	0.00122641677094846	0.000688838031379818	132	132	0.0773441031091936	0.945384479875509
p3	seroconv	1	0.00169943840445884	0.000745017285024871	132	132	0.0241707676862122	0.945384479875509
p136	seroconv	1	0.000892731407020386	0.000917277315108195	132	132	0.332241240364511	0.945384479875509
p55	seroconv	1	0.000677787406839902	0.000913917053191692	132	132	0.459649842332865	0.945384479875509
p50	seroconv	1	0.000928820126010473	0.00114292314904231	132	132	0.417892653860347	0.945384479875509
p53	seroconv	1	0.000762907846465034	0.000712476537853369	132	132	0.286250940405583	0.945384479875509
p240	seroconv	1	0.00121233072575725	0.000767922980765042	132	132	0.116831906842757	0.945384479875509
p259	seroconv	1	-0.000355477417195834	0.000804490617424095	132	132	0.659320009428989	0.945384479875509
p84	seroconv	1	0.000771153547830457	0.000757594357395271	132	132	0.310617210352284	0.945384479875509
p25	seroconv	1	0.00136414425252325	0.00105258258787875	132	132	0.197272587893367	0.945384479875509
p30	seroconv	1	0.00146770273431507	0.000991558193165519	132	132	0.141239763432962	0.945384479875509
p437	seroconv	1	0.00179920326671813	0.00095351755492359	132	132	0.0614022782047663	0.945384479875509
p137	seroconv	1	0.00117510886516262	0.00107334813966459	132	132	0.275625540980122	0.945384479875509
p171	seroconv	1	0.00136219289189327	0.00103727269754834	132	132	0.191413730341354	0.945384479875509
p85	seroconv	1	0.000504794417569724	0.000901229775176294	132	132	0.576363339416498	0.945384479875509
p430	seroconv	1	0.000431166914467584	0.000801796782066691	132	132	0.591668441714806	0.945384479875509
p130	seroconv	1	0.000544257686218178	0.00104959773823014	132	132	0.604963543560265	0.945384479875509
p121	seroconv	1	-0.000445189602530239	0.000867626875790107	132	132	0.608743972823355	0.945384479875509
p434	seroconv	1	0.00116900573614932	0.00141128440560877	132	132	0.409003176105662	0.945384479875509
p196	seroconv	1	-0.000846537922069534	0.00091224004453439	132	132	0.355139169883434	0.945384479875509
p386	seroconv	1	0.000583731727276069	0.000560504546035455	132	132	0.299604426634268	0.945384479875509
p20	seroconv	1	-0.00168697030302441	0.00128249115485684	132	126	0.190695636624768	0.945384479875509
p319	seroconv	1	-0.00150318976171533	0.001058621009266	132	128	0.158015691824982	0.945384479875509
p342	seroconv	1	-0.000428167857852526	0.000971129630308232	132	132	0.660020117864879	0.945384479875509
p59	seroconv	1	-0.00188853488961925	0.000992528813247433	132	130	0.0592845872326863	0.945384479875509
p307	seroconv	1	-0.000980353185115589	0.000831456743188039	132	132	0.240520172211869	0.945384479875509
p270	seroconv	1	0.000971943113565324	0.00060123685251124	132	132	0.108394674794294	0.945384479875509
p169	seroconv	1	-0.00109697037410913	0.00105590684793116	132	129	0.300784610418035	0.945384479875509
p389	seroconv	1	-0.00048297059223502	0.000847588238433006	132	132	0.569784889231373	0.945384479875509
p86	seroconv	1	-0.00101564862457627	0.000977410383686009	132	132	0.300676826117195	0.945384479875509
p81	seroconv	1	-0.00114082134971111	0.0010662433529804	132	129	0.286626781000893	0.945384479875509
p7	seroconv	1	-0.00200780221327748	0.0010313340237475	132	129	0.0537150852944126	0.945384479875509
p180	seroconv	1	-0.00202980056848916	0.00105337502719127	132	129	0.0561678050433724	0.945384479875509
p109	seroconv	1	-0.00123585082780751	0.00101726474443847	132	129	0.226615252998949	0.945384479875509
p234	seroconv	1	-0.000433621024843232	0.000967977513118073	132	132	0.654923374169383	0.945384479875509
p283	seroconv	1	-0.000384979244917107	0.0009380657959808	132	132	0.682190451959254	0.945384479875509
p101	seroconv	1	-0.000722796966014055	0.000896632951033027	132	129	0.421643769851673	0.945384479875509
p37	seroconv	1	0.000763263741988559	0.000488812636848154	132	132	0.120845243526577	0.945384479875509
p78	seroconv	1	-0.00125657797198171	0.00107380696658988	132	129	0.244057911019057	0.945384479875509
p341	seroconv	1	-0.000643144310363254	0.000915818135315259	132	132	0.483771264012423	0.945384479875509
p398	seroconv	1	-0.000451776759184145	0.00095583334242692	132	131	0.637253866943409	0.945384479875509
p189	seroconv	1	-0.000462656206489613	0.000963546689099212	132	131	0.631920852879058	0.945384479875509
p370	seroconv	1	0.000445645893787236	0.000771745481193334	132	132	0.564632983907145	0.945384479875509
p256	seroconv	1	0.000870062580200291	0.000642989737463459	132	132	0.178355634727312	0.945384479875509
p387	seroconv	1	0.00072802123879866	0.000482109725495526	132	132	0.133451408543679	0.945384479875509
p408	seroconv	1	-0.000718270525541652	0.000880408239919654	132	129	0.416085095485245	0.945384479875509
p404	seroconv	1	-0.00103016761476431	0.000747800434610786	132	132	0.170694756606058	0.945384479875509
p250	seroconv	1	0.000739543929310307	0.000483971196226898	132	132	0.128923617934413	0.945384479875509
