feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
p322	breastfed_child	nonexclusive	0.00297896110835908	0.00048855918573655	282	148	3.63745157217475e-09	8.75170848265245e-06
p262	breastfed_child	nonexclusive	0.00227545329798919	0.000386067945979614	282	98	1.10099547645515e-08	1.32449755817555e-05
p4	breastfed_child	nonexclusive	0.0014998815257152	0.000265003297469432	282	126	3.80377666926189e-08	3.05062888874803e-05
p29	breastfed_child	nonexclusive	0.00135036520013342	0.000251846169911241	282	46	1.74689719240224e-07	0.000105075866122995
p245	breastfed_child	nonexclusive	0.00108264571832951	0.00020940283180132	282	143	4.5073554834272e-07	0.000216893945862517
p84	breastfed_child	nonexclusive	-0.00322998817183945	0.000646808306531348	282	282	1.05357225484934e-06	0.000281654982796389
p74	breastfed_child	nonexclusive	0.00350523018655756	0.000694334410085092	282	274	8.12071943107056e-07	0.000281654982796389
p142	breastfed_child	nonexclusive	0.003624145911641	0.00072053266604305	282	270	8.8725136532648e-07	0.000281654982796389
p454	breastfed_child	nonexclusive	0.00175863365708039	0.000350808817751491	282	108	9.60948537964365e-07	0.000281654982796389
p445	breastfed_child	nonexclusive	0.00305162035763066	0.000629548064296113	282	174	2.09512090839592e-06	0.000504086090560059
p432	breastfed_child	nonexclusive	0.00273788138017389	0.000578467107710045	282	220	3.54441226094518e-06	0.000775259627257645
p116	breastfed_child	nonexclusive	0.00292635818254678	0.000624443204461211	282	255	4.38018790201482e-06	0.000878227674353971
p67	breastfed_child	nonexclusive	-0.00354808611918409	0.000769262314609008	282	282	6.10879411562189e-06	0.0010498399030133
p421	breastfed_child	nonexclusive	0.000722452045080573	0.000156322807001372	282	40	5.86227556889132e-06	0.0010498399030133
p369	breastfed_child	nonexclusive	0.00282280027208274	0.000629404142355298	282	211	1.07264470679838e-05	0.00172052210970459
p311	breastfed_child	nonexclusive	0.00260829682802536	0.000589345500610756	282	204	1.38695551239855e-05	0.00208563435176932
p348	breastfed_child	nonexclusive	-0.00293890512805433	0.000677848021938335	282	282	2.04135570806581e-05	0.0027286121297813
p6	breastfed_child	nonexclusive	0.00104010378345556	0.000239842769175034	282	86	2.03297735582211e-05	0.0027286121297813
p91	breastfed_child	nonexclusive	0.00246625755769992	0.000576787857150937	282	250	2.62902496156377e-05	0.00332917581974864
p430	breastfed_child	nonexclusive	-0.00288991936363923	0.000682667887681792	282	282	3.14268256312311e-05	0.0037806471234371
p414	breastfed_child	nonexclusive	0.00308419181638127	0.000731531255968193	282	174	3.37622266499327e-05	0.00386818653903515
p227	breastfed_child	nonexclusive	0.00291640274267538	0.00069554778317079	282	180	3.71642398998357e-05	0.00406441641813657
p98	breastfed_child	nonexclusive	0.00311467794209685	0.00075851344931039	282	228	5.30654810013169e-05	0.00515606662667665
p390	breastfed_child	nonexclusive	0.00174956519982601	0.000425786055947562	282	243	5.24777375789984e-05	0.00515606662667665
p159	breastfed_child	nonexclusive	0.00142861601585724	0.000348107826496975	282	146	5.35750896371223e-05	0.00515606662667665
p105	breastfed_child	nonexclusive	0.00110446914201714	0.000269773260438807	282	68	5.57739146923175e-05	0.00516123225960446
p32	breastfed_child	nonexclusive	0.00325027322644054	0.000805252327650348	282	228	7.04364482024595e-05	0.00610373145909191
p61	breastfed_child	nonexclusive	0.00302553386868064	0.000749962910219705	282	227	7.10326188090496e-05	0.00610373145909191
p106	breastfed_child	nonexclusive	0.00133044363153239	0.000332197599716933	282	160	7.98725330023985e-05	0.00662666601392313
