feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
p2	seroconv	1	-0.00958609781408722	0.0207050434146128	56	56	0.645236526339182	0.975861477600738
p1	seroconv	1	0.0136992185965923	0.0257502990462997	56	56	0.59690649714915	0.975861477600738
p317	seroconv	1	0.00174292424480074	0.00137036011815581	56	56	0.208868530695758	0.975861477600738
p71	seroconv	1	0.0014269271507637	0.00132860387565978	56	56	0.287596317943807	0.975861477600738
p456	seroconv	1	0.0014269271507637	0.00132860387565978	56	56	0.287596317943807	0.975861477600738
p336	seroconv	1	0.000548461835279726	0.00202454010640932	56	56	0.787495517438589	0.975861477600738
p19	seroconv	1	0.00186363228694187	0.00123901120675128	56	56	0.138374937350359	0.975861477600738
p153	seroconv	1	0.00195393598212975	0.0012626690206926	56	56	0.127592350074161	0.975861477600738
p133	seroconv	1	0.0010756263460509	0.00129429020947757	56	56	0.409602195361302	0.975861477600738
p292	seroconv	1	0.000814515316528751	0.00163885081818406	56	56	0.621203790544926	0.975861477600738
p446	seroconv	1	0.000593144369698272	0.00136346253252264	56	56	0.665275844992343	0.975861477600738
p132	seroconv	1	0.00166746751196295	0.00136043805554123	56	56	0.225636308328816	0.975861477600738
p54	seroconv	1	0.00242788916799262	0.00232961284133562	56	55	0.301969134181618	0.975861477600738
p260	seroconv	1	0.000538664028945662	0.00153670339688753	56	56	0.72730306830919	0.975861477600738
p261	seroconv	1	0.000559725382588345	0.00145544079576967	56	56	0.702063130582869	0.975861477600738
p110	seroconv	1	0.000811736304902343	0.00140561667637598	56	56	0.566005465910145	0.975861477600738
p150	seroconv	1	0.00184860603225752	0.00130094269136936	56	56	0.161073401270945	0.975861477600738
p193	seroconv	1	0.000724786137714703	0.00166444010576242	56	56	0.664968991351036	0.975861477600738
p24	seroconv	1	0.000592663479223198	0.00167779369526537	56	56	0.725283977635846	0.975861477600738
p221	seroconv	1	-0.00152061622629182	0.00201345168233554	56	55	0.453393412577103	0.975861477600738
p403	seroconv	1	-0.000696491078062384	0.00212595579651072	56	56	0.744470959717316	0.975861477600738
p338	seroconv	1	0.000956216942122635	0.00110508044310136	56	56	0.390706687637146	0.975861477600738
p230	seroconv	1	0.000862216663563048	0.00104040790341276	56	56	0.410905648734805	0.975861477600738
p249	seroconv	1	0.000862216663563048	0.00104040790341276	56	56	0.410905648734805	0.975861477600738
p239	seroconv	1	0.00190603129619167	0.00189970026024553	56	56	0.320175312458017	0.975861477600738
p13	seroconv	1	0.00145215627603903	0.00141017658306653	56	56	0.307708861458674	0.975861477600738
p375	seroconv	1	0.00144837761521581	0.00141004423501208	56	56	0.308912229624404	0.975861477600738
p14	seroconv	1	0.00161293121293924	0.00142273881630697	56	56	0.261936665241137	0.975861477600738
p135	seroconv	1	-0.000341072523258444	0.00163725574431948	56	56	0.835763156706129	0.975861477600738
p348	seroconv	1	0.00132826680802574	0.00127594104809414	56	56	0.302509662573328	0.975861477600738
p28	seroconv	1	0.000833345559250028	0.00108705476758428	56	56	0.446652808337994	0.975861477600738
p67	seroconv	1	0.00152068705688777	0.00135194815148709	56	56	0.265643815958727	0.975861477600738
p15	seroconv	1	0.000717466232262847	0.00103083696287393	56	56	0.489411473261072	0.975861477600738
p3	seroconv	1	-0.000236297583781408	0.00120138193743301	56	56	0.844809987121526	0.975861477600738
p136	seroconv	1	0.000806210032332061	0.00164075612224776	56	56	0.625159640351089	0.975861477600738
p55	seroconv	1	0.00127660569186681	0.00153861864916323	56	56	0.410356325126764	0.975861477600738
p50	seroconv	1	0.00267104053886197	0.0021686412990198	56	56	0.223410881032923	0.975861477600738
p53	seroconv	1	0.00184649119297412	0.0011973018939661	56	56	0.128862880023899	0.975861477600738
p240	seroconv	1	0.000896971446386761	0.00111722647023972	56	56	0.425577880465995	0.975861477600738
p259	seroconv	1	0.000160170301278006	0.000797014090237725	56	56	0.841482583508092	0.975861477600738
p84	seroconv	1	0.00138535662355225	0.00118625691330541	56	56	0.248002431573403	0.975861477600738
p30	seroconv	1	0.00145833681252396	0.00157415294201146	56	56	0.35834655352154	0.975861477600738
p437	seroconv	1	0.00095735730976303	0.00120959785412719	56	56	0.432134124944503	0.975861477600738
p137	seroconv	1	-0.000337228118037668	0.00149952602461734	56	56	0.822913855714719	0.975861477600738
p171	seroconv	1	0.00162638369647175	0.00196881230040919	56	56	0.412397368951057	0.975861477600738
p447	seroconv	1	-0.00147127071555974	0.00133522314978232	56	56	0.275396048599064	0.975861477600738
p430	seroconv	1	0.00121805473599349	0.0011016218633882	56	56	0.273761652429299	0.975861477600738
p130	seroconv	1	0.00222886664054018	0.00199058714853031	56	55	0.26779596732356	0.975861477600738
p121	seroconv	1	-0.00159970749740236	0.0010169981700523	56	56	0.121567197103654	0.975861477600738
p434	seroconv	1	0.000742705760378762	0.00171153630651523	56	56	0.666060143782184	0.975861477600738
p34	seroconv	1	-0.000909822943685942	0.00230884477080754	56	56	0.69508874556033	0.975861477600738
p196	seroconv	1	-0.000657311409801742	0.00112038944164845	56	56	0.559862609841852	0.975861477600738
p386	seroconv	1	-0.00179803448999616	0.000948188229626109	56	56	0.0632777597601772	0.975861477600738
p20	seroconv	1	-0.00134046077145762	0.00183063924305494	56	55	0.467190586260989	0.975861477600738
p319	seroconv	1	-0.000660847394341342	0.0013595672842016	56	56	0.628882950114827	0.975861477600738
p342	seroconv	1	-0.00152521205709794	0.00119601180241429	56	56	0.207680623072656	0.975861477600738
p59	seroconv	1	-0.00082273694328614	0.00110764943284577	56	56	0.460835631963197	0.975861477600738
p232	seroconv	1	-0.00223678230672808	0.00126285089000825	56	56	0.082167985309239	0.975861477600738
p231	seroconv	1	-0.00164878003677611	0.00116675567613551	56	56	0.163355324415412	0.975861477600738
p69	seroconv	1	0.0017076928959003	0.00125244243705196	56	56	0.178385750739516	0.975861477600738
p270	seroconv	1	-0.00115640282226083	0.00145804438434366	56	56	0.431179541829209	0.975861477600738
p169	seroconv	1	-0.000468980624466203	0.0013968026049944	56	56	0.738358212218653	0.975861477600738
p389	seroconv	1	-0.00126617721561895	0.00101425034159284	56	56	0.217274883965021	0.975861477600738
p384	seroconv	1	-0.000716140566603208	0.000689667886612068	56	56	0.303718370867511	0.975861477600738
p86	seroconv	1	-0.00206071470152916	0.00154823623791732	56	56	0.188779011081726	0.975861477600738
p16	seroconv	1	-0.00151987218667097	0.00117998485250511	56	56	0.20322294203012	0.975861477600738
p81	seroconv	1	-0.000546733142586375	0.00144408813733169	56	56	0.706468668049252	0.975861477600738
p7	seroconv	1	-0.000456817994060996	0.00135513734437602	56	56	0.737347600259629	0.975861477600738
p248	seroconv	1	-0.000522738841412217	0.00079370910722379	56	56	0.512949488033606	0.975861477600738
p180	seroconv	1	-0.000977950502114699	0.00142336458520585	56	56	0.494979143109828	0.975861477600738
p364	seroconv	1	0.000547480351663381	0.000798966621424748	56	56	0.496126380427685	0.975861477600738
p234	seroconv	1	-0.00164800403897368	0.00125548868802107	56	56	0.194856115754458	0.975861477600738
p283	seroconv	1	-0.00146713992432661	0.00128069188902296	56	56	0.257019046779755	0.975861477600738
p37	seroconv	1	-0.000591772606636482	0.00105884537463367	56	56	0.578550782465023	0.975861477600738
p78	seroconv	1	-0.000567128116245172	0.00144641040951691	56	56	0.696532387213078	0.975861477600738
p341	seroconv	1	-0.00139477849538824	0.00122460256035456	56	56	0.259745610052765	0.975861477600738
p398	seroconv	1	-0.00214461292037067	0.00137937319196468	56	56	0.125841875909854	0.975861477600738
p189	seroconv	1	-0.0020940291824564	0.00141087915178477	56	56	0.143569506186725	0.975861477600738
p370	seroconv	1	-0.00145381187244513	0.00130284557292425	56	56	0.269417050944678	0.975861477600738
p256	seroconv	1	-0.00204893482327317	0.00117325900961805	56	56	0.0864346374493815	0.975861477600738
p387	seroconv	1	-0.000600553590154959	0.00104296135560946	56	56	0.567131798056592	0.975861477600738
p250	seroconv	1	-0.000533044304891285	0.00103500275036634	56	56	0.608642800942535	0.975861477600738
p246	seroconv	1	-0.000462475451453797	0.00184594823848044	56	53	0.803124098347471	0.975861477600738
