,feature_id,mean,sd,feature,feature_description,feature_full,Feature,nonresponder_present,nonresponder_n,nonresponder_prev,nonresponder_mean,nonresponder_sd,responder_present,responder_n,responder_prev,responder_mean,responder_sd,fisher_p,lr_unadjusted_p,lr_adjusted_p,wilcox_p,fisher_padj,lr_unadjusted_padj,lr_adjusted_padj,wilcox_padj,mean_diff,prev_diff,enriched_responder_mean,enriched_responder_prev,rf_rank,rf_top20,rf_n,crossval_median,crossval_quartile_1,crossval_quartile_3,maaslin_coef,maaslin_stderr,maaslin_pval,maaslin_name,maaslin_qval,maaslin_N,maaslin_N.not.zero,maaslin_coef_adjusted,maaslin_stderr_adjusted,maaslin_pval_adjusted,maaslin_qval_adjusted,maaslin_qval_filt,maaslin_qval_adjusted_filt,country,country_clean,module
1,g1,0.005370367,0.01209674,unmapped,unmapped,unmapped,unmapped,83,83,100,13.93398215,3.380962825,49,49,100,13.84446962,4.520296484,NA,NA,NA,0.60767291,NA,NA,NA,1,-0.089512527,0,FALSE,FALSE,661,0,49,0.45,0.4,0.5,-0.002348693,0.009763236,0.810271251,dose1_shedding1,0.999798767,132,132,-0.001645098,0.010010844,0.869735522,0.982576761,0.999798767,0.999194111,India (unexposed),IND (neo-),EC
2,g10,0.003652086,0.008931303,1.1.1.122,D-threo-aldose 1-dehydrogenase,D-threo-aldose_1-dehydrogenase_(1.1.1.122),D-threo-aldose_1-dehydrogenase_(1.1.1.122),56,83,67.5,0.000292867,0.00076076,31,49,63.3,0.000138725,0.000201241,0.704708441,0.622648037,0.626289636,0.570624385,1,0.997532997,0.999431614,1,-0.000154142,-4.2,FALSE,FALSE,1105,0,49,0.45,0.4,0.5,-0.000243878,0.000210523,0.248807587,dose1_shedding1,0.999798767,132,87,-0.000236659,0.000217756,0.279213053,0.789229885,0.999798767,0.999194111,India (unexposed),IND (neo-),EC
3,g100,0.002222849,0.007761169,1.1.1.350,Ureidoglycolate dehydrogenase (NAD(+)),Ureidoglycolate_dehydrogenase_(NAD(+))_(1.1.1.350),Ureidoglycolate_dehydrogenase_(NAD(+))_(1.1.1.350),64,83,77.1,0.000387013,0.000529296,36,49,73.5,0.000355051,0.000452501,0.677255152,0.637650209,0.713948269,0.829104612,1,0.997532997,0.999431614,1,-3.20E-05,-3.6,FALSE,FALSE,1566,0,49,0.45,0.4,0.5,-6.20E-05,0.000229223,0.787064629,dose1_shedding1,0.999798767,132,100,-1.73E-05,0.000233462,0.940897193,0.991040314,0.999798767,0.999194111,India (unexposed),IND (neo-),EC
4,g1000,0.004027374,0.009248326,2.6.1.52,Phosphoserine transaminase,Phosphoserine_transaminase_(2.6.1.52),Phosphoserine_transaminase_(2.6.1.52),83,83,100,0.020404081,0.005238242,49,49,100,0.019430059,0.005435252,NA,NA,NA,0.360845951,NA,NA,NA,1,-0.000974022,0,FALSE,FALSE,990,0,49,0.45,0.4,0.5,-0.000358283,0.000350852,0.309066826,dose1_shedding1,0.999798767,132,132,-0.000393594,0.00035112,0.264450353,0.78368517,0.999798767,0.999194111,India (unexposed),IND (neo-),EC
5,g1001,0.00534292,0.012905175,2.6.1.53,Transferred entry,Transferred_entry_(2.6.1.53),Transferred_entry_(2.6.1.53),20,83,24.1,9.49E-07,1.95E-06,17,49,34.7,1.96E-06,3.88E-06,0.230060577,0.192294353,0.216774194,0.153487962,1,0.997532997,0.999431614,1,1.01E-06,10.6,TRUE,TRUE,671,0,49,0.45,0.4,0.5,2.97E-05,1.79E-05,0.09969402,dose1_shedding1,0.999798767,132,37,3.02E-05,1.84E-05,0.103856351,0.613565169,0.999798767,0.999194111,India (unexposed),IND (neo-),EC
6,g1002,0.0033059,0.008130144,2.6.1.57,Aromatic-amino-acid transaminase,Aromatic-amino-acid_transaminase_(2.6.1.57),Aromatic-amino-acid_transaminase_(2.6.1.57),80,83,96.4,0.002751621,0.002811004,47,49,95.9,0.002630152,0.002707599,NA,NA,NA,0.984968116,NA,NA,NA,1,-0.000121469,-0.5,FALSE,FALSE,1196,0,49,0.45,0.4,0.5,-4.46E-05,0.000491449,0.92777392,dose1_shedding1,0.999798767,132,127,1.29E-05,0.000492281,0.979178851,0.99624987,0.999798767,0.999194111,India (unexposed),IND (neo-),EC
7,g1003,0.002387606,0.006571627,2.6.1.59,"dTDP-4-amino-4,6-dideoxygalactose transaminase","dTDP-4-amino-4,6-dideoxygalactose_transaminase_(2.6.1.59)","dTDP-4-amino-4,6-dideoxygalactose_transaminase_(2.6.1.59)",72,83,86.7,0.000996672,0.001209904,42,49,85.7,0.001030292,0.001193917,1,0.867369091,0.801567028,0.811757035,1,0.997532997,0.999431614,1,3.36E-05,-1,TRUE,FALSE,1504,0,49,0.45,0.4,0.5,6.78E-05,0.000335471,0.840217597,dose1_shedding1,0.999798767,132,114,4.02E-05,0.000333985,0.904383688,0.986490625,0.999798767,0.999194111,India (unexposed),IND (neo-),EC
8,g1004,0.00162719,0.004836858,2.6.1.5,Tyrosine transaminase,Tyrosine_transaminase_(2.6.1.5),Tyrosine_transaminase_(2.6.1.5),44,83,53,0.000384011,0.001059534,31,49,63.3,0.00056352,0.001550375,0.279066632,0.251704356,0.281259822,0.258584593,1,0.997532997,0.999431614,1,0.000179509,10.3,TRUE,TRUE,1757,0,49,0.45,0.4,0.5,0.000299897,0.000324869,0.357647582,dose1_shedding1,0.999798767,132,75,0.000225647,0.000324684,0.488362055,0.901567566,0.999798767,0.999194111,India (unexposed),IND (neo-),EC
9,g1005,0.005389134,0.011458986,2.6.1.62,Adenosylmethionine--8-amino-7-oxononanoate transaminase,Adenosylmethionine--8-amino-7-oxononanoate_transaminase_(2.6.1.62),Adenosylmethionine--8-amino-7-oxononanoate_transaminase_(2.6.1.62),82,83,98.8,0.005183706,0.004034629,46,49,93.9,0.005815608,0.005578844,0.144094925,0.151593573,0.086704546,0.986847091,1,0.997532997,0.999431614,1,0.000631902,-4.9,TRUE,FALSE,656,0,49,0.45,0.4,0.5,0.000100486,0.000610538,0.869526113,dose1_shedding1,0.999798767,132,128,8.10E-05,0.000617504,0.895882873,0.986252692,0.999798767,0.999194111,India (unexposed),IND (neo-),EC
10,g1006,0.003617124,0.009525273,2.6.1.66,Valine--pyruvate transaminase,Valine--pyruvate_transaminase_(2.6.1.66),Valine--pyruvate_transaminase_(2.6.1.66),70,83,84.3,0.001353241,0.001577828,43,49,87.8,0.001266161,0.001531546,0.798073284,0.589745954,0.756412761,0.924837588,1,0.997532997,0.999431614,1,-8.71E-05,3.5,FALSE,TRUE,1116,0,49,0.45,0.4,0.5,-9.97E-05,0.000398108,0.802608206,dose1_shedding1,0.999798767,132,113,-3.52E-05,0.000400714,0.930229683,0.990496338,0.999798767,0.999194111,India (unexposed),IND (neo-),EC
