,feature_id,feature,feature_description,feature_full,Feature,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,X88,X89,X90,X91,X92,X93,X94,X95,X96,X97,X98,X99,X100,IncMSE_means,IncMSE_sds,present,n,prev,mean,rho,spearman_p,wilcox_p,mean_IgA_present,CI_IgA_present,mean_IgA_absent,CI_IgA_absent,lr_unadjusted_p,lr_adjusted_p,GMR,spearman_padj,wilcox_padj,lr_unadjusted_padj,lr_adjusted_padj,rf_rank,rf_top20,maaslin_coef,maaslin_stderr,maaslin_pval,maaslin_name,maaslin_qval,maaslin_N,maaslin_N.not.zero,maaslin_coef_adjusted,maaslin_stderr_adjusted,maaslin_pval_adjusted,maaslin_qval_adjusted,maaslin_qval_filt,maaslin_qval_adjusted_filt,country,country_clean,module
1,g1,unmapped,unmapped,unmapped,unmapped,-0.00298208,0.001531563,-0.001161105,-0.001431548,0.0010669,0.000281415,0.000927292,0.00033865,0.000140863,0.000761993,-0.000254564,0.001352108,-3.43E-06,0.001355118,0.00330306,-0.000238108,-0.000265851,-2.35E-05,0.000189565,-0.001620176,0.000567913,-0.000221626,-0.001058886,0.000645606,0.002027714,0.000337546,0.002775752,0.002543117,0.000123721,7.07E-05,-0.000265026,0.004030978,-8.43E-05,-0.00290712,7.79E-05,-0.002605852,0.00050774,0.00031976,-0.001427425,-0.000407905,0.000603312,-0.000752298,-0.002261845,0.001144623,0.000277869,-0.001055854,-0.000241507,0.001003964,-7.03E-05,0.001448231,0.00174874,-0.001730004,0.000265802,-0.000388472,-0.000577208,-0.00113296,0.000539193,-0.000810658,0.000190328,0.000849641,0.003023753,-0.001047344,0.000816878,0.001316231,0.00275456,-0.00106499,-0.002020577,-2.83E-05,-0.000478547,-0.002879061,0.000758538,-0.005891876,0.000939853,0.000641631,-0.001406252,0.000731188,0.000402239,-0.000124762,0.001617736,0.000296951,-0.001448137,0.000660661,0.000875443,0.000999344,2.61E-05,-0.000166277,-0.001222291,0.000311574,-0.001760053,-0.003728349,0.000397652,-0.000994346,-0.001101359,0.000309863,-0.000785893,-0.000865853,-0.000928966,-0.000976583,-1.42E-05,-0.001496708,3.00E-06,0.001739237,132,132,100,13.90075402,-0.005552068,0.949621431,NA,NA,NA,NA,NA,NA,NA,NA,0.999163688,NA,NA,NA,934,0,-0.001209014,0.003070827,0.694440383,IgA,0.996188454,132,132,-0.001604483,0.003243026,0.621645947,0.889144862,0.996188454,0.915815203,India (unexposed),IND (neo-),EC
2,g10,1.1.1.122,D-threo-aldose 1-dehydrogenase,D-threo-aldose_1-dehydrogenase_(1.1.1.122),D-threo-aldose_1-dehydrogenase_(1.1.1.122),0.001619219,0.000716497,-0.000205525,0.002609047,5.86E-06,-0.00021683,-2.11E-05,-0.000903639,0.001074738,0.000583393,-0.000246363,0.000231548,0.000601353,0.000546241,0.001456809,0.001629764,-0.001335643,0.00018357,0.002339504,-0.001105136,0.000651323,0.000234584,0.003723637,-0.000589671,-0.001361089,-0.002377066,-0.003338982,0.001014616,0.006712569,0.000502185,-0.000509429,0.000230529,0.003222257,-0.000292755,0.000559428,-0.001539696,0.001633549,2.55E-05,-0.000448128,0.002731803,0.000530238,-0.000873285,-0.000792852,-0.000252001,-0.000107588,0.001356926,0.000239144,0.000262145,-3.37E-05,-0.00058693,0.000966037,0.001649202,0.000190575,0.000604326,0.000830447,0.000153675,-0.000699048,-0.000499509,0.000283826,0.00093764,-0.000750882,-0.000205316,-0.000460118,0.000710275,0.000660775,0.00023166,0.000825167,0.000851766,0.000221224,0.002105316,-0.000336787,0.000199882,0.000375652,-0.00076307,0.000535155,9.29E-05,-0.000157598,-0.001163593,-0.000323609,-0.000100618,-0.000825336,-0.000223174,-0.001743146,-0.000489138,0.001333766,-0.000465455,-0.000799333,-0.001199856,-0.000420683,0.000840358,-0.000402712,0.00466682,0.000815233,-0.000542597,0.000318461,-3.23E-05,-6.60E-05,0,0.000196916,-0.000401246,0.00048694,0.000991017,87,132,65.9,0.000235647,-0.115509696,0.187201758,0.157953421,5.115,3.773-6.936,8.222,4.916-13.753,0.039115225,0.01677963,0.622111408,0.999163688,0.719156302,0.308562948,0.126187587,249,0,-0.000110459,6.59E-05,0.095974485,IgA,0.996188454,132,87,-0.000128776,7.00E-05,0.068173573,0.525710731,0.996188454,0.907618459,India (unexposed),IND (neo-),EC
3,g100,1.1.1.350,Ureidoglycolate dehydrogenase (NAD(+)),Ureidoglycolate_dehydrogenase_(NAD(+))_(1.1.1.350),Ureidoglycolate_dehydrogenase_(NAD(+))_(1.1.1.350),-7.82E-05,-0.000306067,-0.000344315,6.79E-05,0,0.000646178,3.59E-05,-0.000340852,0,3.47E-05,0,0.000617181,6.27E-06,-4.39E-05,-0.000453674,5.79E-05,-0.000309547,-6.81E-05,-0.000268784,-2.39E-05,0.000216949,3.02E-05,-1.10E-05,0,0,4.84E-05,-2.56E-06,-4.84E-06,-1.79E-05,-0.000399539,0.00013629,0,7.31E-06,-0.000257209,0,-0.000358283,0,0.000212299,-7.15E-05,-0.000270556,2.72E-05,-8.67E-05,0.000253762,-0.000190945,0.000266064,-0.000216792,1.18E-05,1.96E-05,0,0,0.001054824,3.79E-05,-0.000483148,2.35E-06,-0.001197365,-0.000342496,0,0,3.67E-05,0,1.37E-05,-0.000448496,-2.15E-05,-0.00010337,-0.00053945,-0.000386581,6.00E-05,0.000465882,-6.72E-05,0,0,9.82E-05,8.63E-05,0.000115915,0.000109945,-0.000203932,-2.12E-05,-5.34E-05,-1.91E-05,2.00E-05,-0.000287301,6.29E-05,-0.000252303,0.000152045,4.15E-05,-2.53E-05,0.000405848,-0.000518457,-0.000106044,-0.000221926,-0.000181155,0,-0.000126845,0,-0.000139463,0.000128273,-0.00020797,-0.003119218,-3.81E-05,9.30E-06,-0.000138216,0.000319278,100,132,75.8,0.000375148,-0.085654019,0.328803914,0.156229124,5.298,3.959-7.091,8.933,4.816-16.571,0.072613442,0.016624857,0.593081831,0.999163688,0.719156302,0.340964505,0.126187587,1392,0,-8.12E-05,7.18E-05,0.260231696,IgA,0.996188454,132,100,-0.000108779,7.51E-05,0.149831907,0.619606758,0.996188454,0.907618459,India (unexposed),IND (neo-),EC
4,g1000,2.6.1.52,Phosphoserine transaminase,Phosphoserine_transaminase_(2.6.1.52),Phosphoserine_transaminase_(2.6.1.52),0.00030051,-3.54E-05,0.00105823,0.001490949,-0.000907456,-0.001014107,-0.000375306,-0.000853229,0,1.07E-06,0.001646087,-0.002022938,0.001319379,8.79E-05,8.52E-05,0.000681423,0.000233376,-0.002604582,-0.000654029,-0.001831349,0.003275883,-0.000163332,-0.001499021,-0.000576174,0.000121635,-0.000887942,3.32E-05,-0.000897858,0.000340366,-0.0006773,0.001802691,0.000397014,0.000391263,0.000127745,-0.00027587,0.000789498,-0.000240612,0.000228371,-0.001251451,-0.000909502,0.000951417,0.000333878,0.000123567,-0.001326119,0.001919017,0.000485533,-0.002233381,-0.001741083,0.000320508,0.002434933,0.000752946,0.001863257,-0.00205826,0.001252877,0.000153568,-0.002967663,0.002161003,0.000999679,0.001517716,-0.000532765,-0.000216766,0.000935424,-0.000152886,-0.000517007,0.00103673,-8.81E-05,-0.001151983,0.000929232,-0.000363356,-0.000355102,-0.000303411,0.000207435,-0.001099883,-0.000514696,8.54E-05,-0.001329914,0.000172243,-4.61E-05,-0.000294493,0.00148911,-0.000248386,-0.000243478,0.001554615,-0.000218148,9.29E-05,-0.000558573,0.002275768,0.000397644,-0.000240775,0.001167502,0.000535805,0.000167524,0.000872859,0.000417652,0.001361266,0.000938115,-0.000288075,0.000404046,-0.001035696,8.94E-05,0.000227419,0.001053924,132,132,100,0.020042512,-0.024672657,0.77885315,NA,NA,NA,NA,NA,NA,NA,NA,0.999163688,NA,NA,NA,435,0,1.60E-06,0.000110836,0.988503303,IgA,0.99660502,132,132,7.04E-05,0.000114242,0.538939185,0.854817147,0.99660502,0.907618459,India (unexposed),IND (neo-),EC
5,g1001,2.6.1.53,Transferred entry,Transferred_entry_(2.6.1.53),Transferred_entry_(2.6.1.53),-0.002487983,-0.003571431,-0.001783636,-0.003042273,-0.000972137,-0.004721591,-0.000891379,-0.001903492,-0.000770831,-0.000358302,0,0.003089156,-0.003332218,0.000527753,0.001338961,-0.00327508,-0.002171366,-0.001156369,0.00206379,0.003184392,-0.001735815,-0.000862048,0.000671077,-0.000693063,-0.002622428,-0.00125561,-0.000522229,0.001150243,-0.001805095,-0.00166423,0.001134612,-0.006201979,-0.00552535,-0.00277889,0.002534025,-0.001287526,0.000446759,-0.004474046,-0.004108572,-0.000411225,-0.002870612,-0.004026877,-0.002381535,0.00412056,-0.002900896,-0.000550893,0.003747271,-0.000772927,-0.000948243,-0.001311791,-0.003461949,0.000453647,0.006011386,6.83E-05,0.000719147,-0.00271425,0.000444926,-0.001454302,0.000540245,-0.006216983,-0.002837879,-0.009490159,-0.000661403,-0.003338867,0.001242328,0.001315669,-0.000969001,-0.003306638,0.001637567,-0.004121558,-0.007279739,-0.004521413,0.001396981,-0.000127822,0.002257811,-0.009408486,0.001717526,0.001188866,-0.001459498,0.00041156,-0.000841625,-0.000755604,-3.54E-05,-0.00647049,0.001445907,-4.44E-05,-0.000707425,-0.00277973,0.00077069,-0.000517693,0.001179962,-0.000432647,-0.001729017,0.000305764,-0.00307671,0.001198099,-0.001507084,-0.00355601,-1.30E-05,0.003292037,-0.000387389,0.002534046,37,132,28,1.32E-06,0.061581556,0.483019099,0.60570251,6.872,3.96-11.925,5.709,4.205-7.752,0.218678231,0.24880573,1.203713435,0.999163688,0.83333153,0.470734391,0.433668781,1734,0,5.38E-06,5.67E-06,0.344268924,IgA,0.996188454,132,37,5.10E-06,6.03E-06,0.398812339,0.797562741,0.996188454,0.907618459,India (unexposed),IND (neo-),EC
6,g1002,2.6.1.57,Aromatic-amino-acid transaminase,Aromatic-amino-acid_transaminase_(2.6.1.57),Aromatic-amino-acid_transaminase_(2.6.1.57),0.000613412,0,0.00342732,0.000148769,-0.000532351,-0.001254529,-0.00011054,0.002435261,-0.000434725,-0.000758638,-0.00015006,-0.001269078,5.61E-05,2.71E-05,-0.00030262,0.00046633,-0.000141316,0.001348295,0.000815499,0.000268434,-0.000562373,0,0.000394179,0.000191398,0,-0.000898742,-0.000496332,0.000411067,0.000322106,-0.000649314,0.002444208,0.001916388,0.003462216,-0.001160329,0,-0.001302757,-6.19E-05,-0.000600662,0.001324332,-0.000271895,-0.000663113,-0.000301962,0.001593264,0.000295203,6.23E-05,0.000180884,0.000187818,-2.04E-05,6.47E-05,0.001712421,-0.000335329,0,0,-0.001142155,0.001861806,-0.000236229,-0.001921346,5.32E-06,-8.18E-05,-0.001607544,0.000784065,-0.000184858,0.001112762,0.00040616,-0.000509752,-0.000592188,0.000515403,0.000158543,0.000525544,0.001962034,0.00018355,-6.14E-05,-3.85E-05,-0.000654739,0.000363123,-0.000627377,0.0013691,-0.000926574,-0.001479882,-0.000710307,0.000913482,-0.001142888,-0.000420506,-0.000381091,0.001680259,-0.00085245,0.000215335,0.000359407,-4.43E-05,0,0.000699524,-0.000247293,-0.000162467,-0.000612988,0.000899452,0,-0.000755107,-0.000145206,-3.96E-05,0.001676415,0.00025719,0.001035436,127,132,96.2,0.00270653,0.013437927,0.87845467,NA,NA,NA,NA,NA,NA,NA,NA,0.999163688,NA,NA,NA,412,0,-2.41E-05,0.000154624,0.876598677,IgA,0.996188454,132,127,-0.000121247,0.000159245,0.447860827,0.816138632,0.996188454,0.907618459,India (unexposed),IND (neo-),EC
7,g1003,2.6.1.59,"dTDP-4-amino-4,6-dideoxygalactose transaminase","dTDP-4-amino-4,6-dideoxygalactose_transaminase_(2.6.1.59)","dTDP-4-amino-4,6-dideoxygalactose_transaminase_(2.6.1.59)",-1.16E-05,-0.000758124,-8.65E-06,0.000691606,0.000352293,0.000130405,0.000410611,3.33E-05,0.00023335,-4.69E-05,-0.000110301,-0.000591298,-7.89E-05,1.16E-05,-0.001042426,-5.48E-05,-0.000156916,-3.07E-05,0.000615378,4.36E-06,-0.000191012,0.000296805,7.93E-05,-0.001858836,-7.81E-05,0.000142039,0.00013501,-0.000526254,4.70E-06,0.001297348,6.71E-05,-0.000325788,0.000255027,0.001964528,0,-0.000154546,-0.000343326,0.00019066,0,0.00092246,0.00094261,0.000180198,0.000609025,0.000240473,-0.000193875,0.000140548,-0.000211264,0.000423376,6.18E-05,0.001799374,0,2.54E-05,0.000244627,-0.000468941,0,0.0001664,-0.001218706,2.94E-05,-5.01E-06,0.000343404,-3.10E-05,-0.000382109,7.81E-05,-9.49E-05,8.78E-05,0,-5.68E-05,0.000355567,0.00025309,-0.000573421,0.000769563,-0.000285345,-0.001335036,0.000220204,-0.003321308,0,6.39E-06,3.83E-06,-0.00059382,-6.34E-06,0.000468615,-5.76E-05,0.000169997,0.000519019,0,-0.000721421,8.98E-05,0.000100381,0.000241598,-0.000260965,-0.000168122,0.000446947,0.000183417,0.000147854,0.001062827,5.89E-05,0.000234056,-0.000793845,-0.000225235,-0.000247358,4.96E-06,0.001020125,114,132,86.4,0.001009153,0.000660799,0.994000133,0.353111725,5.674,4.3-7.486,8.695,3.517-21.493,0.113767536,0.042962634,0.652558942,0.999307697,0.736492362,0.366534917,0.17035717,924,0,-3.32E-05,0.000105531,0.753235484,IgA,0.996188454,132,114,-4.57E-05,0.000108218,0.673481275,0.90987491,0.996188454,0.919666098,India (unexposed),IND (neo-),EC
8,g1004,2.6.1.5,Tyrosine transaminase,Tyrosine_transaminase_(2.6.1.5),Tyrosine_transaminase_(2.6.1.5),-0.001873489,0.003306324,0.001450044,-0.000125723,0.000610523,-0.000497882,0.000186563,0.000283701,0.000434232,-0.000150252,3.38E-05,-0.000141337,4.90E-05,0,-0.000418049,0,0.000224749,-0.000962671,-0.000335226,5.94E-06,-4.60E-05,-0.000475379,-0.002298457,0.001417258,-0.002294214,0.000323126,-0.000548092,0,-0.000380543,-0.000118245,-0.000695361,0.000375092,-0.003400745,-0.000103194,-1.17E-06,-2.20E-05,7.83E-05,-3.29E-05,0.000450407,0.00072394,-0.00276592,0.000706556,-0.002434059,1.74E-05,-0.00032326,0.00096208,-0.000147617,6.33E-05,-2.72E-05,-0.001244521,0.00075256,-0.000154692,-3.01E-06,-2.17E-05,-0.000933684,-3.92E-06,0.001144697,-0.00127468,0.00280434,-0.000150255,-0.002002293,-0.00021787,0.000159554,-9.77E-05,-0.000204412,0.000475818,0.000307833,-0.000100868,-0.000249524,-0.002659053,0.000436989,-0.000116469,6.94E-05,-0.000174423,-0.000624146,-0.00026017,0.000537991,-0.000545676,0.000118777,8.20E-05,-0.00033891,0.000141532,-0.000545583,-0.000793,-0.000490497,0.000318536,-0.000189267,-0.000599011,0.000113736,-0.001174082,-4.05E-05,-0.00038598,-0.000432944,-0.000338385,0.000827596,-0.000624913,0.000327362,0.002354934,0.00013322,-0.000419025,-0.000447745,0.000885496,75,132,56.8,0.000450647,0.127410123,0.145434553,0.200633971,6.703,4.788-9.384,5.214,3.373-8.06,0.936354349,0.965646998,1.285577292,0.999163688,0.719156302,0.96749022,0.978706663,1774,0,5.05E-05,0.000102458,0.623022015,IgA,0.996188454,132,75,7.55E-05,0.00010526,0.474348162,0.829842818,0.996188454,0.907618459,India (unexposed),IND (neo-),EC
9,g1005,2.6.1.62,Adenosylmethionine--8-amino-7-oxononanoate transaminase,Adenosylmethionine--8-amino-7-oxononanoate_transaminase_(2.6.1.62),Adenosylmethionine--8-amino-7-oxononanoate_transaminase_(2.6.1.62),0.002308346,3.95E-05,-6.87E-05,0,-0.000610063,-0.00054697,-0.000406843,0,0.001521951,0.000550118,0.000215127,-0.002185683,-0.000870898,-0.0001015,0.000468245,0.000797774,-0.000216145,0.000299815,-0.000882821,0.000136571,0.001891356,-0.000685952,0.000421033,-0.000523625,0.002121376,-0.000486724,-0.000223557,0.000315822,-0.00146562,0,-0.000627655,-0.000931667,0.000233114,2.88E-05,-8.44E-05,-0.002036415,-0.000632706,0.000347804,0.000675071,5.68E-05,-0.000567442,0.000886168,-0.000664747,0.000588323,0.003100515,-0.000548365,-0.00108915,-0.000209736,-6.67E-06,-0.000141207,-0.000579098,0.00020659,-0.003635759,-0.000748476,1.75E-05,-0.0002151,0.000227712,0.000194606,-0.000416904,0.000424702,-0.000349489,-0.000584494,-0.005494533,0.000148039,-8.26E-05,-2.42E-05,0.001366775,-0.000580684,0.000300346,-9.04E-05,0.000286628,0,-0.000114381,-0.00100569,1.51E-05,0.000244748,-0.000287181,3.02E-05,0.000390495,-0.00030094,8.37E-06,3.57E-05,0.000209787,-0.00036731,-0.000107491,0.000114629,0.000495235,8.29E-06,-0.000245706,-2.61E-05,0.000136225,-0.000839867,-0.000268565,-0.001339723,-0.000533494,-0.000455088,-0.000534433,-1.41E-05,-0.000461206,-4.41E-05,0.000243496,0.000872259,128,132,97,0.005418275,-0.00145089,0.986826796,NA,NA,NA,NA,NA,NA,NA,NA,0.999163688,NA,NA,NA,423,0,-0.000102635,0.000191913,0.593700835,IgA,0.996188454,132,128,-0.000170173,0.00019965,0.395646869,0.796625937,0.996188454,0.907618459,India (unexposed),IND (neo-),EC
10,g1006,2.6.1.66,Valine--pyruvate transaminase,Valine--pyruvate_transaminase_(2.6.1.66),Valine--pyruvate_transaminase_(2.6.1.66),-0.00065383,-0.000328234,-2.43E-05,0.000388994,-0.000890451,-2.94E-05,0.000337123,-0.000237025,-3.39E-06,-0.000556363,0,0,4.91E-06,-0.00087934,0.000139034,5.32E-06,0,0.000198665,-8.14E-06,-0.000170318,-0.000471928,-0.000642464,0.000480833,0.000412093,0.000104004,-0.000236525,0.000666989,0,0,-0.001309157,0.0002338,0.000495261,5.85E-06,0.000321697,7.77E-05,8.27E-05,-1.75E-05,0.000316614,0.000146119,-0.000222807,0,0.000488926,-0.000267231,-0.000103994,-0.000100151,0,-0.000366787,0.000349828,-0.000518405,0.00011,-0.000652467,7.53E-05,0.000170262,0,7.32E-05,0.000614767,-0.00020505,0,4.32E-05,0.000572916,0.000311081,-0.000113655,0,-1.44E-05,-4.66E-05,0,9.39E-05,-0.000232497,-0.000156762,-0.001398386,-0.000844316,2.53E-05,-8.80E-06,0,0.000491717,4.23E-05,4.61E-05,0.000288374,6.84E-05,0.000166777,-0.000558946,-0.000633068,0,-0.00042997,-0.000107462,0.00037055,-0.000530074,0,-0.000108772,-0.00098896,0.001293624,-4.53E-05,0,-2.35E-05,0,-0.001005769,-0.00016933,0.00085267,-0.000249471,0.000163426,-0.000194597,0.000551223,113,132,85.6,0.001320916,-0.029128853,0.740227313,0.287340406,5.594,4.234-7.391,9.244,3.922-21.789,0.117600062,0.022411691,0.605149286,0.999163688,0.726209033,0.367292826,0.134710204,1508,0,-6.32E-05,0.000125171,0.614458815,IgA,0.996188454,132,113,-0.00012045,0.000129481,0.354035113,0.772695153,0.996188454,0.907618459,India (unexposed),IND (neo-),EC
