"","tr_lm_R2","tr_spearman","tr_n","tst_lm_R2","tst_spearman","tst_n"
"B1.F1",0.0096,0.109011237574859,226,0.0294,0.209831618321256,56
"B1.F2",0.0078,0.104586740507046,225,2e-04,0.00123320683126277,57
"B1.F3",0.0074,0.0851827344091104,226,0.0015,0.057777781154374,56
"B1.F4",0.0124,0.134656312172109,226,9e-04,0.0064997293090155,56
"B1.F5",0.006,0.0914137355718877,225,0.0032,0.0337889381057792,57
"B2.F1",0.007,0.121346580450294,226,0.0151,0.111422517178773,56
"B2.F2",0.0253,0.194488506690302,225,0.0074,-0.0806614152112451,57
"B2.F3",0,0.0136499038717639,225,0.1627,0.399403407532517,57
"B2.F4",0.0144,0.118668394360603,226,0.0347,0.185554678853897,56
"B2.F5",0.0032,0.042700905310821,226,5e-04,0.0534527247638667,56
"B3.F1",0.0049,0.0987197264932493,226,0.013,-0.0767652240496357,56
"B3.F2",0.014,0.13696511947981,225,0.0069,0.149387286589839,57
"B3.F3",0.0029,0.0340187993897252,226,0.0342,0.222643094652099,56
"B3.F4",0.0042,0.0986828551442054,225,0,-0.0160757114488251,57
"B3.F5",0.0115,0.120971038689131,226,0.0494,0.22727199076973,56
"B4.F1",0.019,0.149050339228502,225,0.0168,-0.0965119558357492,57
"B4.F2",0.0153,0.130080591002153,226,0.0031,0.143489641546947,56
"B4.F3",0.0018,-0.0365663280485472,225,0.1174,0.370251530990199,57
"B4.F4",0.005,0.0743720894490863,226,0.0132,0.12861419760532,56
"B4.F5",0.0106,0.0919557786149771,226,0.0146,0.103316245354153,56
"B5.F1",0.0152,0.166648597261313,225,0.0015,-0.0390917495394051,57
"B5.F2",0.0113,-0.0883874889800688,225,0.1863,0.478841231454792,57
"B5.F3",0.0174,0.153792653667766,226,0.0101,0.11138483489555,56
"B5.F4",0.0203,0.152804664551868,226,0.0069,0.0591974845870047,56
"B5.F5",0.0089,0.10883503382059,226,9e-04,0.0584699449805592,56
"B6.F1",0.007,0.110454723295011,226,0.0214,0.14709752390261,56
"B6.F2",0.0239,0.168565962259657,225,0.0038,0.101139825289756,57
"B6.F3",0.0026,0.0525945113415631,226,0.0063,0.0664555822492992,56
"B6.F4",0.0165,0.137453969620183,226,0.0022,0.0774700899975217,56
"B6.F5",4e-04,0.0345591117391181,225,0.0167,0.172360373890336,57
"B7.F1",9e-04,0.047941408731071,225,0.0257,0.119691132248944,57
"B7.F2",0.0107,0.104222910317355,226,7e-04,-0.0113533404958698,56
"B7.F3",0.0065,0.094237738609977,225,0.0724,0.238176343941409,57
"B7.F4",4e-04,0.0100713468923193,226,0.0193,0.149538470277652,56
"B7.F5",0.0014,0.0600922125467274,226,0.0378,0.205298242615597,56
"B8.F1",0.0015,0.0570371406388319,226,0.0246,0.143081895652502,56
"B8.F2",0,0.0106325553190081,225,0.0255,0.165369213143502,57
"B8.F3",0.0058,0.095162546245964,226,0.0193,0.169162403048428,56
"B8.F4",0.0058,0.0755359978887658,225,0.0456,0.170412065217875,57
"B8.F5",0.0108,0.128972997473769,226,0.0014,-0.0551120567485533,56
"B9.F1",0.0217,0.154592603631212,226,0.0123,0.119973373478569,56
"B9.F2",8e-04,-0.00700263747909406,225,0.0638,0.273346086374916,57
"B9.F3",0.022,0.157689605281673,225,0.0027,0.015467680879517,57
"B9.F4",0.0038,0.0484004215952377,226,0.0073,0.0921946963644222,56
"B9.F5",0,0.0257987547078936,226,0.0676,0.292034205100984,56
"B10.F1",0.019,0.134804866301863,226,0.0021,-0.0792478678791947,56
"B10.F2",0,0.00906830835903955,225,0.0287,0.139111846903832,57
"B10.F3",3e-04,-0.00763999917898204,225,0.0087,0.145905280034516,57
"B10.F4",0.0038,0.0565185223931858,226,2e-04,0.00430879789903491,56
"B10.F5",0.0141,0.144713935655222,226,9e-04,0.0445128231141982,56
"B11.F1",1e-04,0.00155902043840604,226,0.0322,0.158197143711394,56
"B11.F2",0.0026,0.0633151006182568,226,0.0376,0.1737989982394,56
"B11.F3",0.0052,0.0886394156007754,225,0.0045,0.115134032823871,57
"B11.F4",0.0134,0.12446937353976,226,7e-04,-0.0323501810514843,56
"B11.F5",0.0361,0.179560049332908,225,0.0205,0.141706007219055,57
"B12.F1",0.0304,0.17431950083819,226,0.0035,0.0438068614557492,56
"B12.F2",0.0018,0.0437220504336272,225,0.0137,0.14900651714283,57
"B12.F3",0.0102,0.101706425912738,226,0.0148,0.108374433952427,56
"B12.F4",0.0083,0.105048414897491,226,0.0204,0.155993503416372,56
"B12.F5",0.0061,0.106125783728166,225,0.0046,0.0261569659473102,57
"B13.F1",0.0212,0.161988825715513,225,0.0059,-0.0961576800271467,57
"B13.F2",0.0289,0.183044709317798,226,0.015,-0.0994101229563055,56
"B13.F3",0.0011,0.0480542979303744,225,0.0284,0.149058184523247,57
"B13.F4",0.0177,0.151314560604297,226,0.03,0.163835244231861,56
"B13.F5",0.0147,0.138180641945406,226,2e-04,0.0523211173454239,56
"B14.F1",0.007,0.116151668864089,226,0.0027,0.0753375502372255,56
"B14.F2",0.0113,0.0960749995346953,226,0,-0.0142222230533844,56
"B14.F3",0.0079,0.117583596161559,226,0.0019,0.070671176172282,56
"B14.F4",0.0048,0.062161561030554,225,0.0311,0.252190796993236,57
"B14.F5",0.0076,0.106354004819719,225,0.0328,0.156324977416711,57
"B15.F1",0.0022,0.0274155287884025,226,0.069,0.224411706669167,56
"B15.F2",0.0059,0.0708243483400587,226,0.0375,0.231974207401771,56
"B15.F3",7e-04,0.0508543937950472,225,0.026,0.185799260663242,57
"B15.F4",0.0195,0.147322473550752,226,0.0091,0.125205311952614,56
"B15.F5",0.035,0.190194156334116,225,0.0025,0.0543203475569172,57
"B16.F1",0.0142,0.124885542215884,225,0.0188,0.141152831122431,57
"B16.F2",0.0114,0.124801530125875,226,0.0556,0.269435880646777,56
"B16.F3",0.0012,0.0590222145420174,226,0.0462,0.243720655765253,56
"B16.F4",0.0035,0.102203688999647,226,0.0265,0.186439603863866,56
"B16.F5",0.0044,0.0889616167664238,225,0.0052,-0.0527646335457405,57
"B17.F1",0.0098,0.123924736829785,226,2e-04,0.0157534579145409,56
"B17.F2",0.0099,0.0979894501650526,225,0.001,-0.0707849875085364,57
"B17.F3",0.0264,0.156427281758114,225,0.0011,-0.0319393184425172,57
"B17.F4",0.0035,0.074342114708494,226,0.0201,0.128778687282768,56
"B17.F5",2e-04,0.0141402725269031,226,0.0307,0.187260622302899,56
"B18.F1",0.0056,0.0956845639369542,225,0.019,0.103023268133339,57
"B18.F2",0.0089,0.115991573158509,226,0.0303,0.171743623259816,56
"B18.F3",0.0104,0.112844910999631,226,0.0146,0.142517557431342,56
"B18.F4",0,0.0106641058102309,226,0.092,0.304118913458672,56
"B18.F5",0.0025,0.059755825422193,225,0.0047,0.0397355287021363,57
"B19.F1",0.021,0.148707449997975,226,0.0046,0.0273092370474889,56
"B19.F2",2e-04,0.012791167213518,226,0.0323,0.246918329486609,56
"B19.F3",0.0051,0.0791965211018324,226,0.0066,0.111370098126276,56
"B19.F4",0.0307,0.193482599995656,225,0.0039,-0.0728959048577655,57
"B19.F5",0.003,-0.0544749767179662,225,0.0738,0.279971485891895,57
"B20.F1",0.0375,0.224245743135588,225,0.0094,-0.107322292421125,57
"B20.F2",1e-04,0.0300814681970783,226,0.0077,0.118972853902424,56
"B20.F3",0.0088,0.112041943453604,226,0.0024,0.0534838088419889,56
"B20.F4",0.0062,0.11127644362755,226,0,0.0107350433624103,56
"B20.F5",0.0038,0.0798456016738246,225,0.0251,0.181021781704834,57
