"","FP","TP","TN","FN","accuracy"
"B1.F1",5,7,5,3,0.6
"B1.F2",6,4,4,6,0.4
"B1.F3",9,3,1,7,0.2
"B1.F4",5,2,5,8,0.35
"B1.F5",6,2,4,8,0.3
"B1.F11",1,4,9,6,0.65
"B1.F21",6,3,4,7,0.35
"B1.F31",7,5,3,5,0.4
"B1.F41",6,6,4,4,0.5
"B1.F51",8,5,2,5,0.35
"B1.F12",6,5,4,5,0.45
"B1.F22",4,6,6,4,0.6
"B1.F32",9,5,1,5,0.3
"B1.F42",4,6,6,4,0.6
"B1.F52",6,7,4,3,0.55
"B1.F13",7,5,3,5,0.4
"B1.F23",7,5,3,5,0.4
"B1.F33",3,4,7,6,0.55
"B1.F43",6,4,4,6,0.4
"B1.F53",3,6,7,4,0.65
"B1.F14",4,4,6,6,0.5
"B1.F24",8,3,2,7,0.25
"B1.F34",2,3,8,7,0.55
"B1.F44",6,4,4,6,0.4
"B1.F54",6,5,4,5,0.45
"B1.F15",3,7,7,3,0.7
"B1.F25",4,4,6,6,0.5
"B1.F35",3,6,7,4,0.65
"B1.F45",4,4,6,6,0.5
"B1.F55",4,5,6,5,0.55
"B1.F16",6,6,4,4,0.5
"B1.F26",4,3,6,7,0.45
"B1.F36",5,3,5,7,0.4
"B1.F46",6,5,4,5,0.45
"B1.F56",7,7,3,3,0.5
"B1.F17",4,5,6,5,0.55
"B1.F27",3,5,7,5,0.6
"B1.F37",7,5,3,5,0.4
"B1.F47",6,7,4,3,0.55
"B1.F57",3,4,7,6,0.55
"B1.F18",6,6,4,4,0.5
"B1.F28",5,4,5,6,0.45
"B1.F38",8,2,2,8,0.2
"B1.F48",6,2,4,8,0.3
"B1.F58",7,6,3,4,0.45
"B1.F19",8,7,2,3,0.45
"B1.F29",7,6,3,4,0.45
"B1.F39",6,4,4,6,0.4
"B1.F49",5,4,5,6,0.45
"B1.F59",5,2,5,8,0.35
"B1.F110",2,7,8,3,0.75
"B1.F210",10,5,0,5,0.25
"B1.F310",5,4,5,6,0.45
"B1.F410",6,5,4,5,0.45
"B1.F510",6,5,4,5,0.45
"B1.F111",6,4,4,6,0.4
"B1.F211",4,1,6,9,0.35
"B1.F311",7,4,3,6,0.35
"B1.F411",7,3,3,7,0.3
"B1.F511",6,2,4,8,0.3
"B1.F112",5,7,5,3,0.6
"B1.F212",5,6,5,4,0.55
"B1.F312",7,5,3,5,0.4
"B1.F412",6,3,4,7,0.35
"B1.F512",3,6,7,4,0.65
"B1.F113",7,5,3,5,0.4
"B1.F213",5,4,5,6,0.45
"B1.F313",4,4,6,6,0.5
"B1.F413",6,4,4,6,0.4
"B1.F513",5,3,5,7,0.4
"B1.F114",6,5,4,5,0.45
"B1.F214",8,4,2,6,0.3
"B1.F314",4,2,6,8,0.4
"B1.F414",5,5,5,5,0.5
"B1.F514",2,6,8,4,0.7
"B1.F115",5,4,5,6,0.45
"B1.F215",6,6,4,4,0.5
"B1.F315",4,7,6,3,0.65
"B1.F415",6,6,4,4,0.5
"B1.F515",5,5,5,5,0.5
"B1.F116",6,7,4,3,0.55
"B1.F216",5,5,5,5,0.5
"B1.F316",3,4,7,6,0.55
"B1.F416",8,7,2,3,0.45
"B1.F516",5,6,5,4,0.55
"B1.F117",6,4,4,6,0.4
"B1.F217",3,4,7,6,0.55
"B1.F317",6,4,4,6,0.4
"B1.F417",7,4,3,6,0.35
"B1.F517",6,4,4,6,0.4
"B1.F118",8,9,2,1,0.55
"B1.F218",6,6,4,4,0.5
"B1.F318",4,5,6,5,0.55
"B1.F418",6,6,4,4,0.5
"B1.F518",6,5,4,5,0.45
"B1.F119",6,6,4,4,0.5
"B1.F219",7,7,3,3,0.5
"B1.F319",4,6,6,4,0.6
"B1.F419",5,6,5,4,0.55
"B1.F519",4,4,6,6,0.5
