"","FP","TP","TN","FN","accuracy"
"B1.F1",3,2,1,2,0.375
"B1.F2",2,2,2,2,0.5
"B1.F3",2,4,2,1,0.666666666666667
"B1.F4",2,4,2,0,0.75
"B1.F5",2,1,3,3,0.444444444444444
"B1.F11",3,2,1,2,0.375
"B1.F21",2,1,2,3,0.375
"B1.F31",1,2,3,2,0.625
"B1.F41",3,4,2,0,0.666666666666667
"B1.F51",1,3,3,2,0.666666666666667
"B1.F12",2,2,2,2,0.5
"B1.F22",2,3,2,1,0.625
"B1.F32",2,2,2,2,0.5
"B1.F42",2,1,2,4,0.333333333333333
"B1.F52",4,4,1,0,0.555555555555556
"B1.F13",0,2,4,3,0.666666666666667
"B1.F23",2,3,2,1,0.625
"B1.F33",3,2,1,2,0.375
"B1.F43",3,4,2,0,0.666666666666667
"B1.F53",2,2,2,2,0.5
"B1.F14",2,2,2,3,0.444444444444444
"B1.F24",4,3,0,1,0.375
"B1.F34",3,2,1,2,0.375
"B1.F44",2,2,2,2,0.5
"B1.F54",2,2,3,2,0.555555555555556
"B1.F15",2,3,2,1,0.625
"B1.F25",2,2,2,2,0.5
"B1.F35",2,2,2,3,0.444444444444444
"B1.F45",3,2,1,2,0.375
"B1.F55",3,3,2,1,0.555555555555556
"B1.F16",4,2,0,2,0.25
"B1.F26",2,4,3,0,0.777777777777778
"B1.F36",2,2,2,2,0.5
"B1.F46",3,2,1,2,0.375
"B1.F56",1,2,3,3,0.555555555555556
"B1.F17",1,2,3,2,0.625
"B1.F27",2,2,2,2,0.5
"B1.F37",2,3,3,2,0.6
"B1.F47",3,2,1,2,0.375
"B1.F57",2,2,2,2,0.5
"B1.F18",2,1,2,4,0.333333333333333
"B1.F28",3,2,1,2,0.375
"B1.F38",3,3,2,1,0.555555555555556
"B1.F48",2,2,2,2,0.5
"B1.F58",3,2,1,2,0.375
"B1.F19",3,3,1,1,0.5
"B1.F29",2,2,3,2,0.555555555555556
"B1.F39",2,3,2,2,0.555555555555556
"B1.F49",0,1,4,3,0.625
"B1.F59",3,2,1,2,0.375
"B1.F110",2,3,3,2,0.6
"B1.F210",2,2,2,2,0.5
"B1.F310",4,3,0,1,0.375
"B1.F410",1,1,3,3,0.5
"B1.F510",1,1,3,3,0.5
"B1.F111",1,1,4,3,0.555555555555556
"B1.F211",1,2,3,2,0.625
"B1.F311",1,3,3,1,0.75
"B1.F411",4,3,0,2,0.333333333333333
"B1.F511",3,3,1,1,0.5
"B1.F112",3,3,1,1,0.5
"B1.F212",0,3,4,1,0.875
"B1.F312",2,3,2,1,0.625
"B1.F412",2,3,2,1,0.625
"B1.F512",2,2,3,3,0.5
"B1.F113",1,2,3,2,0.625
"B1.F213",3,2,1,2,0.375
"B1.F313",2,3,3,2,0.6
"B1.F413",3,2,1,2,0.375
"B1.F513",3,3,1,1,0.5
"B1.F114",3,2,1,2,0.375
"B1.F214",0,2,4,2,0.75
"B1.F314",3,1,1,3,0.25
"B1.F414",3,4,1,1,0.555555555555556
"B1.F514",3,2,2,2,0.444444444444444
"B1.F115",3,1,1,3,0.25
"B1.F215",2,2,2,3,0.444444444444444
"B1.F315",4,3,0,1,0.375
"B1.F415",1,2,3,2,0.625
"B1.F515",3,4,2,0,0.666666666666667
"B1.F116",4,1,0,4,0.111111111111111
"B1.F216",1,2,3,2,0.625
"B1.F316",4,3,1,1,0.444444444444444
"B1.F416",4,1,0,3,0.125
"B1.F516",1,3,3,1,0.75
"B1.F117",5,3,0,1,0.333333333333333
"B1.F217",2,1,2,3,0.375
"B1.F317",2,3,2,2,0.555555555555556
"B1.F417",2,2,2,2,0.5
"B1.F517",3,2,1,2,0.375
"B1.F118",1,3,3,1,0.75
"B1.F218",0,3,4,1,0.875
"B1.F318",4,1,1,4,0.2
"B1.F418",2,2,2,2,0.5
"B1.F518",2,3,2,1,0.625
"B1.F119",2,4,2,1,0.666666666666667
"B1.F219",3,2,1,2,0.375
"B1.F319",2,2,2,2,0.5
"B1.F419",2,3,3,1,0.666666666666667
"B1.F519",3,2,1,2,0.375
