"","FP","TP","TN","FN","accuracy"
"B1.F1",1,3,5,4,0.615384615384615
"B1.F2",4,5,3,2,0.571428571428571
"B1.F3",5,5,2,2,0.5
"B1.F4",5,5,1,1,0.5
"B1.F5",3,4,4,2,0.615384615384615
"B1.F11",2,4,4,2,0.666666666666667
"B1.F21",1,2,5,4,0.583333333333333
"B1.F31",3,5,4,2,0.642857142857143
"B1.F41",3,3,4,4,0.5
"B1.F51",4,4,3,3,0.5
"B1.F12",3,5,3,2,0.615384615384615
"B1.F22",5,2,1,5,0.230769230769231
"B1.F32",4,4,3,2,0.538461538461538
"B1.F42",6,6,1,1,0.5
"B1.F52",3,3,4,3,0.538461538461538
"B1.F13",3,1,3,6,0.307692307692308
"B1.F23",4,2,2,4,0.333333333333333
"B1.F33",5,5,2,1,0.538461538461538
"B1.F43",5,5,2,2,0.5
"B1.F53",4,4,3,3,0.5
"B1.F14",3,3,4,3,0.538461538461538
"B1.F24",5,3,2,3,0.384615384615385
"B1.F34",6,6,1,1,0.5
"B1.F44",4,2,2,5,0.307692307692308
"B1.F54",2,1,4,6,0.384615384615385
"B1.F15",4,2,3,5,0.357142857142857
"B1.F25",5,3,2,4,0.357142857142857
"B1.F35",3,3,4,3,0.538461538461538
"B1.F45",2,3,4,3,0.583333333333333
"B1.F55",4,4,2,3,0.461538461538462
"B1.F16",5,4,1,3,0.384615384615385
"B1.F26",4,4,3,2,0.538461538461538
"B1.F36",1,5,5,2,0.769230769230769
"B1.F46",1,4,6,3,0.714285714285714
"B1.F56",4,2,3,4,0.384615384615385
"B1.F17",3,3,3,3,0.5
"B1.F27",5,6,2,1,0.571428571428571
"B1.F37",4,3,3,3,0.461538461538462
"B1.F47",3,4,4,3,0.571428571428571
"B1.F57",2,3,4,4,0.538461538461538
"B1.F18",2,4,4,3,0.615384615384615
"B1.F28",0,3,6,3,0.75
"B1.F38",3,3,4,3,0.538461538461538
"B1.F48",5,5,2,2,0.5
"B1.F58",4,6,3,1,0.642857142857143
"B1.F19",3,4,4,2,0.615384615384615
"B1.F29",4,3,2,3,0.416666666666667
"B1.F39",3,5,3,2,0.615384615384615
"B1.F49",2,0,5,7,0.357142857142857
"B1.F59",5,4,2,3,0.428571428571429
"B1.F110",4,4,3,3,0.5
"B1.F210",2,2,4,4,0.5
"B1.F310",4,3,3,3,0.461538461538462
"B1.F410",2,7,4,0,0.846153846153846
"B1.F510",5,6,2,1,0.571428571428571
"B1.F111",6,4,1,2,0.384615384615385
"B1.F211",1,3,6,4,0.642857142857143
"B1.F311",2,2,4,5,0.461538461538462
"B1.F411",4,2,3,4,0.384615384615385
"B1.F511",4,6,2,1,0.615384615384615
"B1.F112",4,1,3,6,0.285714285714286
"B1.F212",5,2,1,4,0.25
"B1.F312",4,2,3,4,0.384615384615385
"B1.F412",5,4,2,3,0.428571428571429
"B1.F512",2,2,4,5,0.461538461538462
"B1.F113",3,3,3,3,0.5
"B1.F213",2,4,5,3,0.642857142857143
"B1.F313",3,3,3,4,0.461538461538462
"B1.F413",3,6,4,0,0.769230769230769
"B1.F513",4,5,3,2,0.571428571428571
"B1.F114",3,5,4,2,0.642857142857143
"B1.F214",2,1,4,6,0.384615384615385
"B1.F314",5,5,2,2,0.5
"B1.F414",3,1,4,5,0.384615384615385
"B1.F514",4,5,2,1,0.583333333333333
"B1.F115",4,2,2,5,0.307692307692308
"B1.F215",4,2,3,4,0.384615384615385
"B1.F315",6,4,1,3,0.357142857142857
"B1.F415",3,4,3,3,0.538461538461538
"B1.F515",4,4,3,2,0.538461538461538
"B1.F116",4,4,3,3,0.5
"B1.F216",3,4,4,2,0.615384615384615
"B1.F316",2,6,4,1,0.769230769230769
"B1.F416",2,1,5,5,0.461538461538462
"B1.F516",4,3,2,4,0.384615384615385
"B1.F117",2,6,4,1,0.769230769230769
"B1.F217",2,5,5,2,0.714285714285714
"B1.F317",3,4,4,2,0.615384615384615
"B1.F417",3,3,3,3,0.5
"B1.F517",4,7,3,0,0.714285714285714
"B1.F118",2,3,4,4,0.538461538461538
"B1.F218",6,2,1,4,0.230769230769231
"B1.F318",3,4,3,3,0.538461538461538
"B1.F418",4,5,3,2,0.571428571428571
"B1.F518",4,3,3,3,0.461538461538462
"B1.F119",4,4,3,3,0.5
"B1.F219",6,5,0,2,0.384615384615385
"B1.F319",2,3,5,4,0.571428571428571
"B1.F419",4,4,3,2,0.538461538461538
"B1.F519",3,2,3,4,0.416666666666667
