feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
g278	IgA	IgA	4.19836827932949e-05	1.14424082140118e-05	132	14	0.000353856792657554	0.691436172852861
g2	IgA	IgA	0.000700920981011682	0.0019077859307346	132	132	0.713917930696672	0.996188453791798
g1	IgA	IgA	-0.00120901444707696	0.0030708272086807	132	132	0.694440383082404	0.996188453791798
g1818	IgA	IgA	0.000116417104940246	0.000175896841130276	132	132	0.509239642089847	0.996188453791798
g1133	IgA	IgA	-0.000249077307652133	0.000694947870979223	132	132	0.720616745579711	0.996188453791798
g1215	IgA	IgA	6.82783936502726e-05	0.000243474410302096	132	132	0.779590678131937	0.996188453791798
g2151	IgA	IgA	7.29932397692426e-05	0.000156976442053126	132	132	0.642713063007585	0.996188453791798
g1207	IgA	IgA	0.000178862744984879	0.000150181748531422	132	132	0.235833327904944	0.996188453791798
g2243	IgA	IgA	5.35071905283929e-05	0.000160579247893704	132	132	0.739509851282378	0.996188453791798
g1464	IgA	IgA	-0.000183781556162668	0.000241602252136094	132	132	0.448226826279641	0.996188453791798
g307	IgA	IgA	0.000145832073326246	0.00014006675834105	132	132	0.299733184108435	0.996188453791798
g1108	IgA	IgA	0.000498315454428121	0.000336151102049598	132	132	0.140649985489597	0.996188453791798
g698	IgA	IgA	3.8525916989579e-05	0.000261941756744446	132	132	0.883298164605675	0.996188453791798
g1683	IgA	IgA	0.000106347137174236	0.000270370683824872	132	132	0.694713979568608	0.996188453791798
g2345	IgA	IgA	9.67610442229029e-05	9.59675989888786e-05	132	132	0.315198900207777	0.996188453791798
g525	IgA	IgA	-2.11859412074966e-05	0.000494434399519968	132	132	0.965887773137607	0.996188453791798
g2256	IgA	IgA	0.000102080163375984	0.000123934208765505	132	132	0.411638931858137	0.996188453791798
g1791	IgA	IgA	-0.000128937248460453	0.000419793650205472	132	132	0.759224965169573	0.996188453791798
g1785	IgA	IgA	0.000178256247645769	0.000378592734287619	132	132	0.638544752482544	0.996188453791798
g1985	IgA	IgA	9.21790139363095e-05	0.000157685324672903	132	132	0.559846177306523	0.996188453791798
g1314	IgA	IgA	6.00020514430784e-05	0.000130490674336255	132	132	0.646414446900474	0.996188453791798
g522	IgA	IgA	-0.000644811235467747	0.000609945365725499	132	128	0.292398057607764	0.996188453791798
g2367	IgA	IgA	0.000131555979115559	0.000200797927312951	132	132	0.513518521500383	0.996188453791798
g1140	IgA	IgA	6.72612942306964e-05	0.000163359192768364	132	132	0.681209056552579	0.996188453791798
g156	IgA	IgA	9.20123558794428e-05	0.000197374280999932	132	132	0.64186535748772	0.996188453791798
g1819	IgA	IgA	4.81019735534871e-05	0.000195528186034631	132	132	0.806062152484427	0.996188453791798
g1345	IgA	IgA	8.20642563875156e-06	0.000151559713882436	132	132	0.956901580186622	0.996188453791798
g1595	IgA	IgA	5.82762106621908e-05	0.000223463847445575	132	132	0.794670305013959	0.996188453791798
g195	IgA	IgA	0.000113488460719382	0.000125445630744087	132	132	0.367307164657975	0.996188453791798
g1659	IgA	IgA	5.55950962029862e-05	0.000122000727687808	132	132	0.64936972664053	0.996188453791798
g2265	IgA	IgA	2.91127803748529e-05	0.000136148250100933	132	132	0.831013495788041	0.996188453791798
g1162	IgA	IgA	9.22229344193581e-05	0.00019062921492508	132	132	0.629354691821024	0.996188453791798
g830	IgA	IgA	-6.74737224995238e-05	0.000139754530571866	132	132	0.630048589579159	0.996188453791798
g577	IgA	IgA	2.91844378960831e-05	0.000139393231072351	132	132	0.834488954660988	0.996188453791798
g1798	IgA	IgA	0.000150841403594184	0.000174229359475911	132	132	0.388214873957868	0.996188453791798
g1035	IgA	IgA	0.00032033329369863	0.000205090350781723	132	132	0.120739595269086	0.996188453791798
g1658	IgA	IgA	3.13634149843245e-05	0.000259778932597612	132	132	0.904090369520098	0.996188453791798
g2061	IgA	IgA	8.32943202932468e-05	0.00017175182075748	132	132	0.628514496056021	0.996188453791798
g2296	IgA	IgA	-8.52288503640922e-05	0.000178409902133249	132	132	0.633656262022088	0.996188453791798
g1977	IgA	IgA	9.13135295801124e-05	0.000110284571822555	132	132	0.409198691564977	0.996188453791798
g893	IgA	IgA	2.12246556218085e-05	0.00018255854315401	132	132	0.907624161617369	0.996188453791798
g1145	IgA	IgA	7.00423118290607e-05	0.000140354158492903	132	132	0.618594774775071	0.996188453791798
g2044	IgA	IgA	7.73005549362168e-05	0.000141740014725	132	132	0.586434529085413	0.996188453791798
g1564	IgA	IgA	3.30833090445099e-05	0.000259644678160934	132	132	0.898806747907708	0.996188453791798
g2288	IgA	IgA	-8.01216565065763e-05	0.00016754077273447	132	132	0.633295549126554	0.996188453791798
g2249	IgA	IgA	0.000154906979278351	0.000115858547221052	132	132	0.183546012557333	0.996188453791798
g1851	IgA	IgA	4.80539500364943e-06	0.000169627690061514	132	132	0.97744313712761	0.996188453791798
g2242	IgA	IgA	-3.58856502804688e-06	8.56584108629386e-05	132	132	0.966647553555608	0.996188453791798
g38	IgA	IgA	0.000278860123202092	0.000170495546091849	132	132	0.1043452480285	0.996188453791798
g1995	IgA	IgA	0.000152014658760913	0.000143672545428859	132	132	0.291988641353385	0.996188453791798
g557	IgA	IgA	-1.76995527952834e-05	0.000236144256168639	132	132	0.940367887647126	0.996188453791798
g2021	IgA	IgA	0.000143060157812023	9.81442249940965e-05	132	132	0.147347889123124	0.996188453791798
g1594	IgA	IgA	7.38453615790031e-05	0.000118614324334191	132	132	0.534659635359878	0.996188453791798
g847	IgA	IgA	-0.000130885723639682	0.000190523850859362	132	132	0.493320156842862	0.996188453791798
g67	IgA	IgA	0.000190919992923227	0.000243741856702406	132	132	0.434882871682998	0.996188453791798
g2067	IgA	IgA	7.77304593018706e-06	0.000291354513023022	132	132	0.978756676680125	0.996188453791798
g119	IgA	IgA	0.000143023524338282	0.000106738402548708	132	132	0.182600862612316	0.996188453791798
g423	IgA	IgA	6.03137150625838e-05	0.000113192193417017	132	132	0.595051650645792	0.996188453791798
g1090	IgA	IgA	7.37701888659331e-05	8.57452194606094e-05	132	132	0.391184600761874	0.996188453791798
g1346	IgA	IgA	3.09595783464786e-05	0.000146846069921495	132	132	0.833349932359758	0.996188453791798
g950	IgA	IgA	9.46540642813724e-05	0.000135640211928275	132	132	0.486528604625178	0.996188453791798
g3	IgA	IgA	7.61918802079022e-06	0.000219036280517338	132	132	0.972304495930124	0.996188453791798
g1674	IgA	IgA	0.000108731263324258	0.00043054435903483	132	132	0.801019716166295	0.996188453791798
g2342	IgA	IgA	9.98160323011958e-05	0.00025867168072279	132	132	0.700216861729966	0.996188453791798
g495	IgA	IgA	4.31285597561328e-05	0.000143003099389427	132	132	0.763445177081863	0.996188453791798
g806	IgA	IgA	2.51453376708196e-05	9.27714891269398e-05	132	132	0.786785583172662	0.996188453791798
g2336	IgA	IgA	6.83677811711926e-05	8.73710671899659e-05	132	132	0.435344346696156	0.996188453791798
g1593	IgA	IgA	0.000147926631937527	0.000231667381943105	132	132	0.524251885896783	0.996188453791798
g2252	IgA	IgA	-1.99273613060885e-05	0.000141314591440052	132	132	0.888077015456963	0.996188453791798
g129	IgA	IgA	0.000110967102743835	0.000205143023187344	132	132	0.589484578535789	0.996188453791798
g2050	IgA	IgA	4.50492908575354e-05	0.0001942748155144	132	132	0.816992453253024	0.996188453791798
g2267	IgA	IgA	3.84421097349213e-05	7.36269164868275e-05	132	132	0.602475090402791	0.996188453791798
g652	IgA	IgA	9.25285039869046e-05	0.000123832226952119	132	132	0.456287022553104	0.996188453791798
