feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
g723	age_at_first_dose	age_at_first_dose	0.000147073155913224	1.58275325339896e-05	147	12	2.67579801715529e-16	3.18687543843195e-12
g1804	age_at_first_dose	age_at_first_dose	0.000210366413401215	3.32920095312015e-05	147	22	3.28850036165203e-09	1.95830196536379e-05
g83	breastfed_child	nonexclusive	0.00142281657274601	0.000235658663845427	147	31	1.33186569945549e-08	5.28750682683831e-05
g184	breastfed_child	nonexclusive	0.000945391297106817	0.000177165853461268	147	23	3.72986635686226e-07	0.00111056770775574
g2341	breastfed_child	nonexclusive	-0.00397690465566323	0.000756554139514804	147	146	5.36104307754092e-07	0.00127700046107025
g1333	breastfed_child	nonexclusive	-0.00226157839116287	0.000447583007896068	147	147	1.33631342560582e-06	0.00265258214982756
g1913	age_at_first_dose	age_at_first_dose	0.000149608153494594	3.11264873097586e-05	147	22	3.91209472543382e-06	0.00665614973998812
g2090	breastfed_child	nonexclusive	-0.00195297269706915	0.000417047586104025	147	147	6.61822247432341e-06	0.00925412175498839
g631	breastfed_child	nonexclusive	-0.00422680310275266	0.000910025854351509	147	146	7.77004345507001e-06	0.00925412175498839
g1784	breastfed_child	nonexclusive	0.00225929597919017	0.000484855019416386	147	109	7.29483857193786e-06	0.00925412175498839
g763	breastfed_child	nonexclusive	-0.00195975679621066	0.000426783047277773	147	141	9.68757627021192e-06	0.010489003034384
g2352	breastfed_child	nonexclusive	-0.00433997405011416	0.000949757260827311	147	147	1.06313959264794e-05	0.0105516604570308
g1277	breastfed_child	nonexclusive	-0.00252129663984144	0.000560137757965445	147	147	1.40983514990752e-05	0.0111940910902657
g899	breastfed_child	nonexclusive	-0.00185571976681731	0.000411884997443554	147	147	1.3855739500705e-05	0.0111940910902657
g1517	breastfed_child	nonexclusive	0.00306015469471826	0.000679730573022776	147	147	1.40519065426191e-05	0.0111940910902657
g499	breastfed_child	nonexclusive	0.00330911474973186	0.000739167617858832	147	134	1.55818429845844e-05	0.01159873437165
g2293	breastfed_child	nonexclusive	-0.0043302055966794	0.000978914694490783	147	146	1.93670258158322e-05	0.012814515414809
g1291	breastfed_child	nonexclusive	-0.00226058818986649	0.000510319499866737	147	147	1.88795407638738e-05	0.012814515414809
g302	breastfed_child	nonexclusive	-0.0043526859934496	0.000991809742740866	147	146	2.23025163066271e-05	0.013980156274312
g312	breastfed_child	nonexclusive	-0.00261281730435692	0.000599194969836394	147	147	2.49754098435916e-05	0.0140195601348513
g2259	breastfed_child	nonexclusive	-0.00367460199433817	0.000849476549251933	147	147	2.87188691441127e-05	0.0140195601348513
g1375	breastfed_child	nonexclusive	-0.00432129089853499	0.00100038613977381	147	143	2.94281279069086e-05	0.0140195601348513
