feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
g2	dose1_shedding	1	-0.0407975029680612	0.0174229303772159	47	47	0.0236885021330819	0.953337486821504
g1	dose1_shedding	1	0.0373175576040871	0.0242009102347792	47	47	0.130079668219985	0.953337486821504
g1818	dose1_shedding	1	0.00163003106362593	0.00123744554601921	47	47	0.194421399752001	0.953337486821504
g1207	dose1_shedding	1	0.00259912473588632	0.00125252233742481	47	47	0.0437225655052147	0.953337486821504
g2243	dose1_shedding	1	0.00229420796696429	0.00110369812166601	47	47	0.0433801420392721	0.953337486821504
g2345	dose1_shedding	1	0.00138339138271817	0.000859272396680782	47	47	0.114400894175397	0.953337486821504
g525	dose1_shedding	1	0.0032117352646687	0.00262299150184674	47	47	0.22715226467428	0.953337486821504
g2256	dose1_shedding	1	0.00159742883540637	0.00112652351566193	47	47	0.163074074474112	0.953337486821504
g1985	dose1_shedding	1	0.00102461062629503	0.000767133900452106	47	47	0.188385173274438	0.953337486821504
g2367	dose1_shedding	1	0.00186087293202753	0.00127042207774532	47	47	0.149936401295386	0.953337486821504
g1140	dose1_shedding	1	0.00127526442305405	0.000919747339030385	47	47	0.172414052474992	0.953337486821504
g156	dose1_shedding	1	0.00146771278059322	0.000995087530761816	47	47	0.147186407725399	0.953337486821504
g1659	dose1_shedding	1	0.000811100277320567	0.000606703763938234	47	47	0.187975991383888	0.953337486821504
g2061	dose1_shedding	1	0.00131904609272423	0.000918582312714839	47	47	0.157929686593576	0.953337486821504
g1977	dose1_shedding	1	0.00216557627971538	0.000694810603002899	47	47	0.00318162430669125	0.953337486821504
g893	dose1_shedding	1	0.00123211754613932	0.00098685777718511	47	47	0.218295252889469	0.953337486821504
g1851	dose1_shedding	1	0.00116710081397358	0.000909593524203256	47	47	0.2060255928331	0.953337486821504
g2242	dose1_shedding	1	0.000913009968558375	0.000716986578566363	47	47	0.209415255769929	0.953337486821504
g1995	dose1_shedding	1	-0.0011652316168427	0.000637548058780477	47	47	0.0742331249601927	0.953337486821504
g2021	dose1_shedding	1	0.00101401367975877	0.000718904668489692	47	47	0.165268187199451	0.953337486821504
g2067	dose1_shedding	1	0.00200746737375372	0.00155794913156249	47	47	0.204146452990543	0.953337486821504
g1090	dose1_shedding	1	0.000619091272276119	0.000516081420134705	47	47	0.236572838141633	0.953337486821504
g1346	dose1_shedding	1	0.00121110343699983	0.000971487815653145	47	47	0.218976862482755	0.953337486821504
g950	dose1_shedding	1	0.00124701019919846	0.000936084047448903	47	47	0.189516446897348	0.953337486821504
g2342	dose1_shedding	1	0.000684358033725852	0.000588563815859853	47	47	0.251056465138603	0.953337486821504
g806	dose1_shedding	1	0.00123650385849772	0.000498843947730937	47	47	0.0169997600092975	0.953337486821504
g2336	dose1_shedding	1	0.000925629772629576	0.000617057385109774	47	47	0.140580032504541	0.953337486821504
g2252	dose1_shedding	1	0.000992634861964605	0.000627993063626376	47	47	0.120963156362417	0.953337486821504
g2267	dose1_shedding	1	0.00082008651801859	0.000521197100078333	47	47	0.122616042871476	0.953337486821504
g652	dose1_shedding	1	0.00109499296170147	0.000762483947603385	47	47	0.157893430295525	0.953337486821504
