feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
g182	breastfed_child	nonexclusive	0.0021370166809117	0.000360362068279244	132	86	2.76342903548734e-08	0.000337083073748746
g352	breastfed_child	nonexclusive	0.000768172991295135	0.000157861496618797	132	68	3.35978114086402e-06	0.0204913051781297
g1712	breastfed_child	nonexclusive	0.00263045253884064	0.000595060587849494	132	126	2.11340766259425e-05	0.0515586933366494
g223	age_at_first_dose	age_at_first_dose	0.000198882881621634	4.46163508106509e-05	132	19	1.82088400696364e-05	0.0515586933366494
g940	breastfed_child	nonexclusive	0.000875317469629994	0.000196392746034473	132	11	1.82564021657637e-05	0.0515586933366494
g134	age_at_first_dose	age_at_first_dose	0.000309186369845285	7.22122260832039e-05	132	37	3.66185215983257e-05	0.0744454544093961
g260	age_at_first_dose	age_at_first_dose	0.000335778735849198	8.02443775612105e-05	132	76	5.34318551023384e-05	0.0792839751423277
g1565	breastfed_child	nonexclusive	0.000656742017723081	0.000156726653477034	132	29	5.22258431111297e-05	0.0792839751423277
g2316	breastfed_child	nonexclusive	0.000903599999363442	0.000217162891711562	132	17	5.8497768181747e-05	0.0792839751423277
g83	breastfed_child	nonexclusive	0.00128593318349478	0.000311397305160274	132	33	6.59757960849305e-05	0.0804772760643982
g2214	breastfed_child	nonexclusive	0.000545469909039963	0.000135397022001437	132	18	9.6735744431166e-05	0.107271146415578
g2353	breastfed_child	nonexclusive	4.91320758587249e-05	1.23461946714909e-05	132	2	0.000116287047342626	0.118205783623779
g1938	breastfed_child	nonexclusive	-0.00183437549537355	0.000473277681575366	132	132	0.000170587819752298	0.148630730381323
g798	breastfed_child	nonexclusive	0.00145319060073811	0.000373646893001703	132	60	0.000162457698350041	0.148630730381323
g1797	breastfed_child	nonexclusive	0.00270048149536012	0.000706102992664663	132	127	0.000205772147907573	0.167333910678438
g1806	breastfed_child	nonexclusive	0.00159476757434297	0.000429115973531703	132	116	0.000303497097936546	0.204669618941988
g1052	breastfed_child	nonexclusive	0.00132018847065542	0.000352945227624643	132	104	0.000278503451547447	0.204669618941988
g2012	breastfed_child	nonexclusive	0.00126999845566753	0.00034300500750083	132	54	0.000318800029504655	0.204669618941988
g1913	breastfed_child	nonexclusive	0.000513455912956235	0.000137865050237201	132	16	0.000295038421426942	0.204669618941988
g899	mode_delivery	vaginal	0.00140217099806808	0.000382192249927067	132	132	0.000359321124804024	0.219149954017974
g2145	breastfed_child	nonexclusive	-0.00221608466546673	0.000617242363756718	132	132	0.000472934194761207	0.228737112143496
g2103	breastfed_child	nonexclusive	0.00185125507655104	0.000508934364614704	132	108	0.000401065757043225	0.228737112143496
g1419	breastfed_child	nonexclusive	0.00165687700328135	0.000462616830890175	132	116	0.000487552460709206	0.228737112143496
