feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
g629	age_at_first_dose	age_at_first_dose	0.000115317526413854	1.38179940390977e-05	282	12	3.48682928700219e-15	4.03654243126916e-11
g723	age_at_first_dose	age_at_first_dose	9.236905362951e-05	1.11995559541346e-05	282	18	6.73767723463388e-15	4.03654243126916e-11
g83	breastfed_child	nonexclusive	0.00132175639894967	0.000188048808962002	282	66	1.64480103150782e-11	6.56933531984223e-08
g1333	breastfed_child	nonexclusive	-0.00217053849021649	0.000333309900381082	282	282	3.50986926313325e-10	1.05138133777156e-06
g2341	breastfed_child	nonexclusive	-0.00341300695843154	0.000537212057879234	282	281	8.70912577059037e-10	1.7392124163869e-06
g1913	breastfed_child	nonexclusive	0.000616934380113467	9.69516237494552e-05	282	39	8.22232791176984e-10	1.7392124163869e-06
g1938	breastfed_child	nonexclusive	-0.0020547029609641	0.000335818121824048	282	282	3.23864547538328e-09	4.8506812607553e-06
g2145	breastfed_child	nonexclusive	-0.00243208650305075	0.000397224659287721	282	282	3.16441521036946e-09	4.8506812607553e-06
g2090	breastfed_child	nonexclusive	-0.00189356216967416	0.000311438093161284	282	282	4.00252394933926e-09	5.32869355122033e-06
g897	breastfed_child	nonexclusive	-0.00201938212748851	0.000346018533020974	282	282	1.50101340916638e-08	1.6350129698756e-05
g184	breastfed_child	nonexclusive	0.000917286629819277	0.00015697262787673	282	45	1.44165776054138e-08	1.6350129698756e-05
g182	breastfed_child	nonexclusive	0.00174712888905364	0.000302228541389089	282	191	2.01349126338998e-08	2.0104710264949e-05
g1277	breastfed_child	nonexclusive	-0.00228283121355723	0.000399586432600885	282	282	2.88011407928954e-08	2.65457899215748e-05
g2352	breastfed_child	nonexclusive	-0.00396373073336545	0.000697224534122433	282	279	3.33518583096059e-08	2.85444261618356e-05
g2103	breastfed_child	nonexclusive	0.00204802438793415	0.000368939258837626	282	237	6.68182595829809e-08	5.00385241452048e-05
g352	breastfed_child	nonexclusive	0.000694416313342655	0.000124994122475966	282	152	6.52968991279519e-08	5.00385241452048e-05
g312	breastfed_child	nonexclusive	-0.00237194268197352	0.000431336332967163	282	282	8.72535320217058e-08	5.91868825507283e-05
g798	breastfed_child	nonexclusive	0.001225974918333	0.000223092534849467	282	127	8.89136943676439e-08	5.91868825507283e-05
g1712	breastfed_child	nonexclusive	0.0021125784443421	0.000386426211614131	282	270	1.02757952812635e-07	6.4802410031631e-05
g59	breastfed_child	nonexclusive	-0.00161782995210615	0.0002977716766971	282	282	1.22007618151865e-07	7.30947640347826e-05
g940	breastfed_child	nonexclusive	0.000656212368396727	0.000121827031621902	282	23	1.54422846162776e-07	8.81092639391611e-05
g945	breastfed_child	nonexclusive	-0.00189141195915741	0.000352847755716831	282	282	1.75960021255885e-07	9.58342261221827e-05
g2214	breastfed_child	nonexclusive	0.000573319845242926	0.000107294489755772	282	36	1.91583946191821e-07	9.98069062291479e-05
g2259	breastfed_child	nonexclusive	-0.00310047047272967	0.000581589862713819	282	281	2.03822263847624e-07	0.000101758265225926
g1517	breastfed_child	nonexclusive	0.00243027009776083	0.00045722157728922	282	281	2.20442353211688e-07	0.000105653611047298
g1251	breastfed_child	nonexclusive	-0.00199952609730291	0.000384115259603606	282	282	3.79145780982815e-07	0.000174727874912927
g1763	breastfed_child	nonexclusive	-0.00216563389216492	0.000417566533887603	282	282	4.16537339541074e-07	0.000184850014903005
g685	breastfed_child	nonexclusive	0.00244104851743386	0.000473322630079517	282	281	4.79962003698214e-07	0.000198307059596966
g496	breastfed_child	nonexclusive	0.0015566582524785	0.000301652257868391	282	176	4.72593331371369e-07	0.000198307059596966
g1097	breastfed_child	nonexclusive	-0.00171546913483939	0.000334364204398933	282	282	5.4648022597734e-07	0.000211844222475573
g2168	breastfed_child	nonexclusive	0.00170290851292788	0.00033195516968037	282	221	5.48086370951658e-07	0.000211844222475573
g319	breastfed_child	nonexclusive	0.00239202213833143	0.000466898794132306	282	281	5.66229440304663e-07	0.000212017536054077
g577	breastfed_child	nonexclusive	-0.00225968383394219	0.000447555177083007	282	282	8.09668804979577e-07	0.000236291679699237
g2061	breastfed_child	nonexclusive	-0.00259055274936609	0.000512461275820048	282	282	7.8608935900216e-07	0.000236291679699237
g340	breastfed_child	nonexclusive	-0.00136691277203414	0.000271093365981423	282	282	8.36170175773676e-07	0.000236291679699237
g1975	breastfed_child	nonexclusive	-0.00186320550602529	0.000368596316095453	282	282	7.87038013579215e-07	0.000236291679699237
g1721	breastfed_child	nonexclusive	-0.00185010682016985	0.000364405412989614	282	282	7.07504865616522e-07	0.000236291679699237
g2043	breastfed_child	nonexclusive	-0.00128387399388522	0.000253398042100739	282	282	7.4385761059428e-07	0.000236291679699237
g2297	breastfed_child	nonexclusive	0.00218483828143164	0.000431490287720981	282	281	7.55224441973226e-07	0.000236291679699237
g1557	breastfed_child	nonexclusive	0.00266588553947191	0.00052862097105325	282	278	8.32684473113539e-07	0.000236291679699237
g1419	breastfed_child	nonexclusive	0.00162183161049456	0.000319579252071732	282	255	7.14891078233979e-07	0.000236291679699237
g1052	breastfed_child	nonexclusive	0.00119094749522722	0.000236332486386739	282	227	8.47983827997594e-07	0.000236291679699237
