"","taxonomy","prev_I","p_I","prev_M","p_M","prev_U","p_U","pmin","contaminant"
"X41388070b02a7c162aa7245ce4812ebd","Bifidobacterium (RSV1)",775,1,235,0.999500455283913,48,0.999968711460894,0.999500455283913,FALSE
"Xffc36e27c82042664a16bcd4d380b286","Escherichia/Shigella (RSV2)",315,0.999999999996301,193,0.999899037498495,65,0.999999988829391,0.999899037498495,FALSE
"X409f711b59152d57926cf444c5577087","Streptococcus (RSV3)",762,1,215,0.999999643810741,110,1,0.999999643810741,FALSE
"X101637aba474a6614786486ad42acb11","Streptococcus (RSV4)",804,1,250,0.999998928247879,140,1,0.999998928247879,FALSE
"X384d4c681853c4875391719d0bda7221","Bifidobacterium (RSV5)",390,0.999999999999997,51,0.999956747283404,30,0.999871602052291,0.999871602052291,FALSE
"X38b7580c13cf081c9f279006c2dc70b9","Bifidobacterium (RSV6)",272,1,42,0.931074268684576,58,0.999999992139605,0.931074268684576,FALSE
"X5497318e515a8c328a68f95975d9c7d4","Staphylococcus (RSV7)",643,1,187,0.999987894599195,133,1,0.999987894599195,FALSE
"X62611dedc42201591d0c89973f903dde","Staphylococcus (RSV8)",762,1,198,0.999988502273199,77,1,0.999988502273199,FALSE
"X4abaa483334092f021534a979086baeb","Bacteroides (RSV9)",5,NA,34,0.903853573637943,9,NA,0.903853573637943,FALSE
"X78c5607a490288b6e534cde0066c2961","Veillonella (RSV10)",63,0.999987095656385,24,0.804729109694719,7,NA,0.804729109694719,FALSE
"X9b23053de8f4269fe6b5ce286dfbef3c","Lactobacillus (RSV11)",120,0.999999295525192,56,0.982309336428867,31,0.999998135713825,0.982309336428867,FALSE
"X15e05255b2aa8ee3524ca61eb207bb18","Collinsella (RSV12)",195,0.999999999999808,116,0.999910806097495,30,0.999996180259121,0.999910806097495,FALSE
"Xf633cf95435defb67b3de0a9b69bb3cf","Bifidobacterium (RSV13)",211,0.999999999999967,66,0.982249944446414,22,0.999958349235769,0.982249944446414,FALSE
"X4394468b49611f78b96b64d72449fab5","Lactobacillus (RSV14)",83,0.999999999232054,9,NA,5,NA,0.999999999232054,FALSE
"X24522f7485582e07564aed7c426af59d","Veillonella (RSV15)",253,0.999902367963146,90,0.876362130885419,70,0.99999999995892,0.876362130885419,FALSE
"Xc29919216bd6a6713038fd18691cc505","Bifidobacterium (RSV16)",344,1,73,0.650219852703152,24,0.999997118931071,0.650219852703152,FALSE
"Xba4ab8dea6b4223dbc9ed5bbf3ea60ea","Streptococcus (RSV17)",343,0.999999831383095,100,0.988263561099249,24,0.99999647407638,0.988263561099249,FALSE
"X18eb929cf9350e0af65cf863c2786858","Haemophilus (RSV18)",114,0.983793162097756,45,0.996613446969554,58,0.999999999989032,0.983793162097756,FALSE
"Xceaec4b3e38be8caaaf3ba52277fc320","Klebsiella (RSV19)",156,0.99999999999643,37,0.739093006168368,14,0.999993139805864,0.739093006168368,FALSE
"X5c7cd4afe047a1fa454b6a815a951c2f","Veillonella (RSV20)",227,0.998829304551064,95,0.935202068076555,32,0.999984441613057,0.935202068076555,FALSE
"Xe2f6a531bc64c892b56a06d2aed991f7","Escherichia/Shigella (RSV21)",39,0.998545200957097,47,0.680783572300449,8,NA,0.680783572300449,FALSE
"Xd6403e5b4389d1c8f2e1c218c0a59134","Veillonella (RSV22)",57,0.999994250136236,19,0.609683913215568,12,0.999899066957246,0.609683913215568,FALSE
"X04be702b895fe5ed0568344daf564276","Staphylococcus (RSV23)",91,0.826409958399678,51,0.951685259490084,36,0.999953932885454,0.826409958399678,FALSE
"X892a20bbdc3ce599dc0c5d9f0866c352","Enterococcus (RSV24)",30,0.999724824941317,22,0.978097829346514,17,0.999894965271207,0.978097829346514,FALSE
"X427f5142ae52662b7db0bdd5689461f0","Enterococcus (RSV25)",131,0.99933691023503,24,0.629288476521787,9,NA,0.629288476521787,FALSE
"Xc27ad79848adcd406bf90804cb13ec9b","Klebsiella (RSV26)",124,0.99999990897905,37,0.6788403117399,11,0.998901041858914,0.6788403117399,FALSE
"X8b74089f59b28e641f2c8c736707f8b2","Salmonella (RSV27)",54,0.999999601587424,3,NA,5,NA,0.999999601587424,FALSE
"X6251bd9ebf43fae466939ab366f6e547","Bacteroides (RSV28)",16,0.999977279989499,52,0.939721566586482,7,NA,0.939721566586482,FALSE
"Xd6dffb454cbb0b0c87367b03432c2b05","Klebsiella (RSV29)",107,0.999999995980875,37,0.879362020016081,18,0.99998115732318,0.879362020016081,FALSE
"X78ad607ed9e17d60a51de19b9b7441b7","Rothia (RSV30)",373,1,86,0.896619956990846,28,0.999998969346367,0.896619956990846,FALSE
"X47f3d645d96038371757074de1d8fb8d","Bacteroides (RSV31)",28,0.908857825657325,34,0.998565590703917,10,0.942240109207665,0.908857825657325,FALSE
"X9266ee26eeabc6a220c518083d91120a","Haemophilus (RSV32)",12,0.903774015080445,9,NA,17,0.999914955628152,0.903774015080445,FALSE
