"","BB1_IgA","BB2_IgA","MB1_IgA","BM1_IgA","BS3_A1AT","BS3_MPO","BB1_A1AG","BS5_A1AT","BS5_MPO","MS1","BS1","BS2","BS3","BS5","n"
"India_r",181,181,181,179,176,176,180,175,175,167,168,167,169,164,181
"India_nr",121,121,121,119,121,121,121,119,119,116,116,115,115,114,121
"India_r_e",87,87,87,86,84,84,86,83,83,81,81,82,79,83,87
"India_nr_e",77,77,77,75,77,77,77,77,77,73,72,72,73,75,77
"India_r_u",93,93,93,92,91,91,93,91,91,85,86,84,89,80,93
"India_nr_u",44,44,44,44,44,44,44,42,42,43,44,43,42,39,44
"Malawi_r",43,43,43,29,33,33,38,25,25,30,27,29,27,25,43
"Malawi_nr",18,18,18,13,17,17,17,12,12,12,14,13,15,11,18
"UK_r",46,46,40,23,40,40,0,43,41,45,45,46,43,45,46
"UK_nr",2,2,0,1,2,1,0,1,1,1,2,2,2,2,2
