"","tax_id","mean","sd","taxonomy","group1_country","group1_present","group1_n","group1_prev","group1_mean","group1_sd","group2_country","group2_present","group2_n","group2_prev","group2_mean","group2_sd","fisher_p","fisher_padj","prev_diff","enriched_group1","rf_rank","rf_top20","fisher_col","rab.all","rab.win.India (IPV)","rab.win.India (OPV)","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH","mean_rabund_country1","mean_rabund_country2","mean_rabund_diff","crossval_median","crossval_quartile_1","crossval_quartile_3"
"1","Acinetobacter",0.13267513203421,0.243607640843869,"Acinetobacter","India (OPV)",43,183,23.5,0,0.3,"India (IPV)",20,99,20.2,0,0.3,0.552990745451775,0.934797824142583,3.3,TRUE,24,0,"ns",-1.21350461056566,-1.51897456861352,-1.05715137389467,0.470512520007243,6.50962356007817,0.0645095275093715,0.466600000111833,0.459377501045753,0.884725080230276,0.414417194348371,0.86570997341839,0.049,0.045,0.004,0.5,0.4,0.55
"2","Actinomyces",0.231165110032972,0.418916573499885,"Actinomyces","India (OPV)",84,183,45.9,0.1,0.2,"India (IPV)",50,99,50.5,0.1,0.3,0.53237169633188,0.934797824142583,-4.6,FALSE,13,1,"ns",1.38711021419281,1.4252047125234,1.36729032342733,-0.369994880607888,8.05384649881705,-0.0464745480488981,0.479104179233914,0.585835834554359,0.911001637521534,0.595558646091074,0.914178313630528,0.08,0.125,-0.045,0.5,0.4,0.55
"3","Anaerococcus",0.130523368212986,0.250760608009503,"Anaerococcus","India (OPV)",39,183,21.3,0,0,"India (IPV)",21,99,21.2,0,0,1,1,0.100000000000001,TRUE,25,0,"ns",-0.736296703199345,-0.720318481142327,-0.747216957393761,0.150083049883312,5.24649181203665,0.0233891703065967,0.487400000042027,0.546335221528189,0.900211572634306,0.573926407817175,0.914283982277117,0.005,0.003,0.002,0.5,0.4,0.55
"4","Atopobium",0.211171334846988,0.388229129066738,"Atopobium","India (OPV)",70,183,38.3,0.1,0.2,"India (IPV)",47,99,47.5,0.1,0.6,0.163587496251078,0.763408315838366,-9.2,FALSE,14,1,"ns",0.411459181101433,1.21627467203031,0.151405889536679,-0.351388340540484,7.62181096865475,-0.0439111775205254,0.482000000060077,0.555395132216634,0.900431609804145,0.601844248208173,0.91838921613205,0.069,0.124,-0.055,0.5,0.4,0.55
"5","Bacteroides",0.19002421620552,0.345661000684452,"Bacteroides","India (OPV)",74,183,40.4,3.1,9.1,"India (IPV)",40,99,40.4,3.6,10.4,1,1,0,FALSE,16,1,"ns",0.202018552738618,0.0237556270814405,0.319804782951641,0.18620352344096,11.6254001090993,0.0154600300869365,0.491101779673729,0.796375349566754,0.950605432014288,0.741089488995411,0.942088683141021,3.176,3.655,-0.479,0.5,0.4,0.55
"6","Bifidobacterium",0.417905105505957,0.737353835767995,"Bifidobacterium","India (OPV)",182,183,99.5,43.6,21.6,"India (IPV)",98,99,99,43.4,20.7,1,1,0.5,TRUE,6,1,"ns",15.2990318664251,15.3413384038173,15.2680437762475,-0.0369711493873659,2.30871788175129,-0.010995561495292,0.492600000024672,0.568399846999496,0.909598486249043,0.71489066943023,0.938863928268448,44.054,43.707,0.347000000000001,0.5,0.4,0.55
"7","Bilophila",0.0330239028972626,0.0730298747225938,"Bilophila","India (OPV)",11,183,6,0,0.1,"India (IPV)",2,99,2,0,0,0.149282933264288,0.763408315838366,4,TRUE,58,0,"ns",-2.14382853317581,-2.38011455804239,-1.99007922160294,0.405497080006711,4.91747467265566,0.0727857638834462,0.461200000130117,0.291971134727079,0.759559514330713,0.333204585954267,0.779182542138502,0.016,0.002,0.014,0.5,0.4,0.55
"8","Blautia",0.0289879336867507,0.0569807977748203,"Blautia","India (OPV)",15,183,8.2,0,0.1,"India (IPV)",7,99,7.1,0.4,3.3,0.819541600767381,1,1.1,TRUE,63,0,"ns",-1.99527994233373,-2.10720461883647,-1.9117881989282,0.212439627647642,5.38205004454285,0.0349113307731549,0.481000000063425,0.577207956526419,0.903818756121572,0.503397350268125,0.877506564217514,0.028,0.379,-0.351,0.5,0.4,0.55
"9","Buttiauxella",0.0141988807230791,0.030052126689575,"Buttiauxella","India (OPV)",5,183,2.7,0,0,"India (IPV)",6,99,6.1,0,0,0.202118043328605,0.786014612944574,-3.4,FALSE,70,0,"ns",-2.14719770034055,-2.18785573235301,-2.12472042930663,-0.030939855473016,4.78589656385856,-0.00576084269381878,0.49700000001,0.558304564407114,0.896092153026577,0.559059029825523,0.892235795740087,0.001,0.005,-0.004,0.5,0.4,0.55
"10","Campylobacter",0.071138857908113,0.14820866939575,"Campylobacter","India (OPV)",13,183,7.1,0,0.4,"India (IPV)",11,99,11.1,0.1,0.7,0.268628044865387,0.872198671103498,-4,FALSE,42,0,"ns",-1.95858103705073,-1.93753816180465,-1.97127095970133,-0.131316752159835,5.11874393984801,-0.0225051325676565,0.489600000034682,0.565137564340988,0.887395427241006,0.572690728783719,0.899415511853168,0.05,0.07,-0.02,0.5,0.4,0.55
"11","Citrobacter",0.127664599684407,0.273640704138547,"Citrobacter","India (OPV)",26,183,14.2,0,0.1,"India (IPV)",23,99,23.2,0.1,0.2,0.0698431509237941,0.763408315838366,-9,FALSE,26,0,"ns",-1.48174204345904,-1.22025167332669,-1.6300017835964,-0.669257537961199,6.81400792536397,-0.0955832199165433,0.453200000157379,0.150475134521709,0.686554964493806,0.249681246609174,0.76576010073056,0.022,0.074,-0.052,0.5,0.4,0.55
"12","Clostridioides",0.126334198978677,0.26173956407438,"Clostridioides","India (OPV)",27,183,14.8,0.1,0.3,"India (IPV)",19,99,19.2,0.2,0.9,0.398719392504456,0.872198671103498,-4.4,FALSE,27,0,"ns",-1.61200109697515,-1.54957757983872,-1.64815997854715,-0.289808015207409,7.54924776116165,-0.0373931058266195,0.478400000072134,0.395515961596555,0.862076243550039,0.518704818251794,0.886850471922453,0.087,0.219,-0.132,0.5,0.4,0.55
"13","Clostridium_sensu_stricto_1",0.176604071993736,0.333176870077299,"Clostridium_sensu_stricto_1","India (OPV)",55,183,30.1,0.1,0.9,"India (IPV)",27,99,27.3,0.2,1,0.681247246289121,0.953746144804769,2.8,TRUE,19,1,"ns",-0.703060982823028,-0.788735517039166,-0.662690522511822,0.157443120098284,7.49452580904422,0.0195396883036867,0.490200000032679,0.676414067852037,0.924623919234594,0.632136439187979,0.922241199306812,0.132,0.156,-0.024,0.5,0.4,0.55
"14","Collinsella",0.187007172739886,0.339186819471191,"Collinsella","India (OPV)",51,183,27.9,2.5,7.7,"India (IPV)",30,99,30.3,1.3,4.3,0.680928297403706,0.953746144804769,-2.4,FALSE,17,1,"ns",-0.65346956366116,-0.776547629677874,-0.586805886181082,0.147371068652904,10.8309793085515,0.0149216260564264,0.491701659695724,0.749751569780137,0.943105515670812,0.610108178293563,0.921021230496277,2.567,1.313,1.254,0.5,0.4,0.55
"15","Corynebacterium_1",0.330911801045825,0.595846632805216,"Corynebacterium_1","India (OPV)",114,183,62.3,0,0,"India (IPV)",69,99,69.7,0,0,0.240540778104394,0.872198671103498,-7.40000000000001,FALSE,10,1,"ns",3.13920255163167,3.46219572765218,2.91855430681336,-0.514129151758254,5.18757587703684,-0.0880929174295571,0.451000000164917,0.187661388318391,0.775297900238164,0.18474714244035,0.812028223492727,0.019,0.024,-0.005,0.5,0.4,0.55
"16","Cronobacter",0.0376701424926791,0.0775988569953253,"Cronobacter","India (OPV)",13,183,7.1,0,0.1,"India (IPV)",5,99,5.1,0,0.1,0.614647564860099,0.934797824142583,2,TRUE,56,0,"ns",-2.03398880243993,-2.18320377333132,-1.9540858516913,0.310468531954962,5.11851256975719,0.0522561329134997,0.469200000103058,0.488678862394984,0.880040212595184,0.431478796877847,0.854280208202061,0.014,0.013,0.001,0.5,0.4,0.55
