"","tax_id","mean","sd","taxonomy","group1_country","group1_present","group1_n","group1_prev","group1_mean","group1_sd","group2_country","group2_present","group2_n","group2_prev","group2_mean","group2_sd","fisher_p","fisher_padj","prev_diff","enriched_group1","rf_rank","rf_top20","fisher_col","rab.all","rab.win.India (IPV)","rab.win.India (OPV)","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH","mean_rabund_country1","mean_rabund_country2","mean_rabund_diff","crossval_median","crossval_quartile_1","crossval_quartile_3"
"1","Abiotrophia",0.0153201277999656,0.0301506817313688,"Abiotrophia","India (OPV)",11,201,5.5,0,0,"India (IPV)",7,87,8,0,0,0.431499698066852,0.987418018578752,-2.5,FALSE,162,0,"ns",-3.75892378218364,-3.94016989339701,-3.6824002529106,0.16242153241046,5.4235638590535,0.0278752560914639,0.486502699505113,0.590015616895364,0.965610216976814,0.528566711669964,0.967085777927848,0.001,0.001,0,0.5,0.45,0.6
"2","Acidaminococcus",0.0309224928608259,0.0602416372874107,"Acidaminococcus","India (OPV)",34,201,16.9,0.1,0.7,"India (IPV)",19,87,21.8,0.1,0.3,0.324935503159456,0.987418018578752,-4.9,FALSE,124,0,"ns",-3.11816932566638,-2.96119593196944,-3.17635422531573,-0.25720412835697,7.0294816973669,-0.0347919352509677,0.481703659329192,0.631703896217647,0.972705695633585,0.564591603100494,0.969663784935333,0.134,0.083,0.051,0.5,0.45,0.6
"3","Acinetobacter",0.0136554388323523,0.0335083514230445,"Acinetobacter","India (OPV)",18,201,9,0,0.2,"India (IPV)",7,87,8,0,0,1,1,1,TRUE,169,0,"ns",-3.55055193990182,-3.76619628415475,-3.44162978276546,0.277364069151915,5.51655718864719,0.044254757829129,0.477200000076158,0.419922091831106,0.960048123632838,0.430685179632093,0.956396956096236,0.024,0.003,0.021,0.5,0.45,0.6
"4","Actinomyces",0.0888759019436933,0.189922994112507,"Actinomyces","India (OPV)",98,201,48.8,0,0.1,"India (IPV)",57,87,65.5,0,0,0.0100607432982134,0.409256556074317,-16.7,FALSE,29,0,"ns",0.658811305902856,1.30885516477983,0.203464917874704,-1.11246975372348,6.86937585648867,-0.151759133121058,0.426600000250056,0.0613944222197646,0.798748318030605,0.0487633205069215,0.883293637472264,0.019,0.027,-0.008,0.5,0.45,0.6
"5","Adlercreutzia",0.0371451984880953,0.0817203114637228,"Adlercreutzia","India (OPV)",51,201,25.4,0.1,0.3,"India (IPV)",18,87,20.7,0,0.1,0.453473957426138,0.987418018578752,4.7,TRUE,114,0,"ns",-2.83754596098666,-3.23782209255242,-2.62236298136935,0.626406753801593,7.49220733787683,0.076477558246569,0.461907618603969,0.458851259963799,0.966439250358213,0.393148836561559,0.958117166907616,0.06,0.037,0.023,0.5,0.45,0.6
"6","Agathobacter",0.0967786461346122,0.182302004884997,"Agathobacter","India (OPV)",183,201,91,2.4,3.4,"India (IPV)",80,87,92,1.6,2.1,1,1,-1,FALSE,19,1,"ns",7.5528038345463,7.34869577868239,7.73590404056587,0.393909613675005,4.43738271509015,0.0686456431336517,0.461307738582009,0.774879320842338,0.977979570304988,0.380525441771109,0.960769396712228,2.368,1.572,0.796,0.5,0.45,0.6
"7","Akkermansia",0.0426736316709078,0.0846581654370746,"Akkermansia","India (OPV)",60,201,29.9,0.7,2.5,"India (IPV)",31,87,35.6,0.4,1.7,0.337459775317962,0.987418018578752,-5.7,FALSE,105,0,"ns",-2.14640139924149,-1.99962743701425,-2.19953875412558,-0.264869101464763,9.03550043073556,-0.0268405310960565,0.488702259585754,0.656005032846435,0.974289049770794,0.639214358846784,0.97272785411736,0.683,0.357,0.326,0.5,0.45,0.6
"8","Alistipes",0.0620647373028839,0.112337893278504,"Alistipes","India (OPV)",140,201,69.7,0.3,0.7,"India (IPV)",69,87,79.3,0.3,0.9,0.113446046892972,0.913289570859853,-9.59999999999999,FALSE,72,0,"ns",2.84755019337307,2.91624477813094,2.79538022823196,-0.316170575317198,6.49107284351307,-0.0396504521412397,0.481903619336521,0.362523023756726,0.962068593994083,0.520585043404306,0.969559632664626,0.267,0.351,-0.084,0.5,0.45,0.6
"9","Allisonella",0.0525843111111456,0.100949625546763,"Allisonella","India (OPV)",100,201,49.8,0,0.1,"India (IPV)",38,87,43.7,0,0,0.370244127775677,0.987418018578752,6.09999999999999,TRUE,89,0,"ns",0.209417708431033,-0.179355686837297,0.410730243706741,0.558572082808973,6.67209988641601,0.074981581126319,0.459800000134872,0.405735505579484,0.965688262871943,0.32978367243625,0.960150248637649,0.033,0.024,0.009,0.5,0.45,0.6
"10","Alloprevotella",0.0671261375947775,0.124403074975515,"Alloprevotella","India (OPV)",134,201,66.7,1.4,2.5,"India (IPV)",55,87,63.2,1.4,2.6,0.590718603523438,0.987418018578752,3.5,TRUE,62,0,"ns",5.57352717461394,5.1135431564784,5.72409107330096,0.518585490323852,9.48791620735795,0.0563478964624542,0.472200000092954,0.534236416783361,0.97086470135851,0.455552972231126,0.964710833530909,1.415,1.367,0.048,0.5,0.45,0.6
