"","mean","sd","tax_id","taxonomy","group1_country","group1_present","group1_present_strict","group1_n","group1_prev","group1_prev_strict","group1_mean","group1_sd","group2_country","group2_present","group2_present_strict","group2_n","group2_prev","group2_prev_strict","group2_mean","group2_sd","fisher_p","fisher_p_strict","fisher_padj","fisher_signif","fisher_padj_strict","fisher_signif_strict","prev_diff","prev_diff_strict","enriched_group1","enriched_group1_strict","rf_rank","rf_top20","fisher_col","fisher_col_strict","crossval_mean","crossval_sd"
"Bifidobacterium",0.62600839841517,1.10524673289389,"Bifidobacterium","Bifidobacterium","India",283,279,287,0.986062717770035,0.97212543554007,0.465463554006969,0.260081799327002,"Malawi",67,66,75,0.893333333333333,0.88,0.2086544,0.243356479143641,0.000590862609222673,0.00262278010455992,0.0013471667490277,1,0.00786834031367975,1,0.0927293844367015,0.0921254355400697,TRUE,TRUE,1,1,"1","1",0.848,0.0706821023736532
"Acinetobacter",0.573704732143262,0.978255463941419,"Acinetobacter","Acinetobacter","India",56,13,287,0.195121951219512,0.0452961672473868,0.000207386759581882,0.0011939643375765,"Malawi",51,30,75,0.68,0.4,0.0245888,0.082099461251154,4.48632839241136e-15,7.03409548538015e-14,1.70480478911632e-13,1,3.79841156210528e-12,1,-0.484878048780488,-0.354703832752613,FALSE,FALSE,2,1,"2","2",0.848,0.0706821023736532
"Streptococcus",0.442751443586162,0.776289223019223,"Streptococcus","Streptococcus","India",287,284,287,1,0.989547038327526,0.105703414634146,0.123870638718589,"Malawi",75,68,75,1,0.906666666666667,0.0450256,0.079627106247165,1,0.000901404347904908,NA,NA,0.00347684534191893,1,0,0.0828803716608595,FALSE,TRUE,3,1,"ns","1",0.848,0.0706821023736532
"Dialister",0.349631360828645,0.638289851672066,"Dialister","Dialister","India",21,7,287,0.0731707317073171,0.024390243902439,0.000426341463414634,0.00372246894276476,"Malawi",32,12,75,0.426666666666667,0.16,0.00233333333333333,0.00971393500767497,3.80271786341288e-12,4.17199275620472e-05,8.67019672858136e-11,1,0.000250319565372283,1,-0.35349593495935,-0.135609756097561,FALSE,FALSE,4,1,"2","2",0.848,0.0706821023736532
"Enhydrobacter",0.345909458206117,0.60628260607164,"Enhydrobacter","Enhydrobacter","India",2,0,287,0.00696864111498258,0,5.57491289198606e-07,6.6665854465785e-06,"Malawi",24,9,75,0.32,0.12,0.000418133333333333,0.00110945408213245,3.2304642339409e-16,4.71945616830387e-07,1.84136461334631e-14,1,5.09701266176818e-06,1,-0.313031358885017,-0.12,FALSE,FALSE,5,1,"2","2",0.848,0.0706821023736532
"Enterococcus",0.314895235995234,0.566648246227517,"Enterococcus","Enterococcus","India",172,106,287,0.599303135888502,0.369337979094077,0.0123632055749129,0.041725589147289,"Malawi",27,14,75,0.36,0.186666666666667,0.0020288,0.0126733524394319,0.000246975230136986,0.00242861521308248,0.000703879405890411,1,0.00786834031367975,1,0.239303135888502,0.18267131242741,TRUE,TRUE,6,1,"1","1",0.848,0.0706821023736532
"Bacteroides",0.307352258205709,0.560767010189219,"Bacteroides","Bacteroides","India",86,63,287,0.299651567944251,0.219512195121951,0.0236158885017422,0.0836149554233515,"Malawi",48,41,75,0.64,0.546666666666667,0.0932576,0.147462428122134,1.02895651636565e-07,1.10225003969469e-07,7.33131517910527e-07,1,1.48803755358783e-06,1,-0.340348432055749,-0.327154471544715,FALSE,FALSE,7,1,"2","2",0.848,0.0706821023736532
"Sutterella",0.262564137203324,0.470292614258346,"Sutterella","Sutterella","India",38,18,287,0.132404181184669,0.0627177700348432,0.00106090592334495,0.00641268306339384,"Malawi",33,27,75,0.44,0.36,0.0155013333333333,0.0422320090380198,3.48289125518371e-08,4.90176941901031e-10,3.05422771608418e-07,1,9.62608623563394e-09,1,-0.307595818815331,-0.297282229965157,FALSE,FALSE,8,1,"2","2",0.848,0.0706821023736532
"Senegalimassilia",0.254126334425659,0.480135036389913,"Senegalimassilia","Senegalimassilia","India",47,33,287,0.163763066202091,0.114982578397213,0.00145965156794425,0.00578589832770938,"Malawi",38,19,75,0.506666666666667,0.253333333333333,0.0024528,0.00601547970723101,4.2985362767082e-09,0.0048271023567416,4.45484668677032e-08,1,0.0129544440947352,1,-0.342903600464576,-0.138350754936121,FALSE,FALSE,9,1,"2","2",0.848,0.0706821023736532
"Staphylococcus",0.246335507547341,0.452943287427401,"Staphylococcus","Staphylococcus","India",281,222,287,0.979094076655052,0.773519163763066,0.0193691986062718,0.0404216306299251,"Malawi",71,40,75,0.946666666666667,0.533333333333333,0.0150426666666667,0.0304730710243923,0.22581554355928,7.34370160431437e-05,0.27594858371874,0,0.00036050898784816,1,0.0324274099883856,0.240185830429733,TRUE,TRUE,10,1,"ns","1",0.848,0.0706821023736532
"Prevotella_9",0.23547892972608,0.425548701616757,"Prevotella_9","Prevotella_9","India",24,17,287,0.0836236933797909,0.0592334494773519,0.0072001393728223,0.0459281922346019,"Malawi",34,13,75,0.453333333333333,0.173333333333333,0.0498565333333333,0.160975728114129,1.89975518284217e-12,0.00354893115011179,5.41430227110018e-11,1,0.0100864359003177,1,-0.369709639953542,-0.114099883855981,FALSE,FALSE,11,1,"2","2",0.848,0.0706821023736532
"Klebsiella",0.217111267691197,0.397678435815733,"Klebsiella","Klebsiella","India",241,184,287,0.839721254355401,0.641114982578397,0.0295598606271777,0.0666294065152011,"Malawi",54,42,75,0.72,0.56,0.0365189333333333,0.104529429343352,0.0287611766982445,0.228303835189236,0.0420355659435881,1,0.301594926399462,0,0.119721254355401,0.0811149825783971,TRUE,TRUE,12,1,"1","ns",0.848,0.0706821023736532
"Micrococcus",0.209397387938125,0.370511149451767,"Micrococcus","Micrococcus","India",1,0,287,0.00348432055749129,0,1.39372822299652e-07,2.36112534440382e-06,"Malawi",23,1,75,0.306666666666667,0.0133333333333333,7.68e-05,0.00017593119048021,1.81486235602761e-16,0.207182320441989,1.84136461334631e-14,1,NA,NA,-0.303182346109175,-0.0133333333333333,FALSE,FALSE,13,1,"2","ns",0.848,0.0706821023736532
"Collinsella",0.204073543614041,0.369019515092559,"Collinsella","Collinsella","India",86,66,287,0.299651567944251,0.229965156794425,0.0176436236933798,0.054172837393831,"Malawi",49,38,75,0.653333333333333,0.506666666666667,0.0212149333333333,0.0490834038218494,3.96394197685779e-08,6.26553881643516e-06,3.22778132401277e-07,1,4.83341565839284e-05,1,-0.353681765389082,-0.276701509872242,FALSE,FALSE,14,1,"2","2",0.848,0.0706821023736532
"Veillonella",0.195115054547215,0.346655528658658,"Veillonella","Veillonella","India",254,209,287,0.885017421602787,0.728222996515679,0.0763099651567944,0.136475666970979,"Malawi",69,53,75,0.92,0.706666666666667,0.114401066666667,0.178968206262735,0.530215124614643,0.771960498266229,0.598460635703656,0,0.833717338127528,0,-0.0349825783972126,0.0215563298490128,FALSE,TRUE,15,1,"ns","ns",0.848,0.0706821023736532
