"","tax_id","mean","sd","taxonomy","group1_country","group1_present","group1_n","group1_prev","group1_mean","group1_sd","group2_country","group2_present","group2_n","group2_prev","group2_mean","group2_sd","fisher_p","fisher_padj","prev_diff","enriched_group1","rf_rank","rf_top20","fisher_col","rab.all","rab.win.India","rab.win.Malawi","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH","mean_rabund_country1","mean_rabund_country2","mean_rabund_diff","crossval_median","crossval_quartile_1","crossval_quartile_3"
"1","Acinetobacter",0.76761682810116,1.32957103762609,"Acinetobacter","India",59,289,20.4,0,0.1,"Malawi",47,68,69.1,1.3,4.6,4.40718108112872e-14,4.27496564869486e-12,-48.7,FALSE,1,1,"2",0.191890359010651,-0.291818251076535,5.62200970577624,5.31596853088614,7.54827961332431,0.654060062630101,0.249712843187118,1.65615549566585e-07,5.29526051623727e-06,5.57463803822752e-10,3.5362318257002e-08,0.024,1.328,-1.304,0.8,0.75,0.85
"2","Actinomyces",0.15199432754776,0.282118871349651,"Actinomyces","India",87,289,30.1,0.1,0.3,"Malawi",33,68,48.5,0.1,0.3,0.00635456631279989,0.0131147432413104,-18.4,FALSE,24,0,"2",0.57397846010319,0.329666114579442,2.73334121307933,1.53917317522047,7.4220509695921,0.19059083581642,0.415211397442929,0.0631755740234869,0.177758236140777,0.04055255802603,0.123788527038693,0.067,0.105,-0.038,0.8,0.75,0.85
"3","Akkermansia",0.0130380378302604,0.0280074078220952,"Akkermansia","India",13,289,4.5,0.3,2.6,"Malawi",4,68,5.9,0.1,0.9,0.542688146726071,0.634225906414806,-1.4,FALSE,87,0,"ns",-1.26791518795743,-1.11940708278675,-1.86749608606967,-0.763777143342672,4.88697473704907,-0.122653508772013,0.427389706208712,0.292215440681339,0.472028441560582,0.157299858548463,0.267753343217836,0.307,0.15,0.157,0.8,0.75,0.85
"4","Alistipes",0.0170436711039231,0.0337798260801607,"Alistipes","India",6,289,2.1,0,0.7,"Malawi",7,68,10.3,0,0.1,0.00446644414418656,0.00984647913604765,-8.2,FALSE,80,0,"2",-1.31222375836981,-1.23003180312395,-1.65793141921161,-0.317473044232353,5.20662343740074,-0.0532606540378122,0.471047794245462,0.618470651383529,0.772279174383856,0.511811956568655,0.651513067296013,0.048,0.018,0.03,0.8,0.75,0.85
"5","Anaerococcus",0.0433465845185663,0.0824783185809538,"Anaerococcus","India",67,289,23.2,0,0,"Malawi",19,68,27.9,0,0,0.431956862531744,0.52374769581974,-4.7,FALSE,56,0,"ns",-0.0742879768119931,-0.00454947943769213,-0.43112452446444,-0.431094975707359,5.66825788254076,-0.0752048007297103,0.467034229412783,0.435360050093576,0.620610173242946,0.436048411144092,0.592664759221629,0.006,0.009,-0.003,0.8,0.75,0.85
"6","Anaerostipes",0.0120084074511511,0.0233323558449671,"Anaerostipes","India",3,289,1,0,0.2,"Malawi",4,68,5.9,0,0,0.0268334913477146,0.0464794403701485,-4.9,FALSE,90,0,"2",-1.37231463455626,-1.26643815373529,-1.87378902344581,-0.580703139424559,4.71871823170943,-0.106805862082205,0.442555147314955,0.404760030999257,0.583411916387255,0.296995456497755,0.432619197336225,0.015,0.004,0.011,0.8,0.75,0.85
"7","Atopobium",0.156893704602804,0.294276512405465,"Atopobium","India",67,289,23.2,0,0.2,"Malawi",30,68,44.1,0.1,0.2,0.000795631288327387,0.00208584418831775,-20.9,FALSE,22,0,"2",3.06195615582538e-05,-0.119882403803768,0.874653028445902,1.02396499650238,7.32153398165344,0.133987142237609,0.440027573797135,0.2224478454623,0.425414186046907,0.192250440037654,0.360176137743719,0.038,0.067,-0.029,0.8,0.75,0.85
"8","Bacteroides",0.300929273004601,0.557404072254078,"Bacteroides","India",96,289,33.2,2.6,8,"Malawi",43,68,63.2,8.6,15.7,7.61565576213501e-06,4.34540358192409e-05,-30,FALSE,7,1,"2",1.05860389767527,0.520799888921456,7.39624275966684,4.06164643101758,11.4097700393276,0.368840569796136,0.344130485482459,0.000177230051817108,0.00196239230416678,8.96985770595435e-05,0.00110953513586238,2.636,8.724,-6.088,0.8,0.75,0.85
"9","Bifidobacterium",0.454939220051222,0.809633225221029,"Bifidobacterium","India",289,289,100,45.5,24.2,"Malawi",66,68,97.1,29.1,25.9,0.0358480470840022,0.0610045713534774,2.90000000000001,TRUE,2,1,"ns",16.1855355201615,16.4631741388742,15.0831900750829,-1.46621719447044,3.00553921722164,-0.418320977608116,0.263955893823733,1.16946107997367e-05,0.000250858609198976,2.08002133505253e-09,1.01748347226834e-07,45.581,29.232,16.349,0.8,0.75,0.85
"10","Bilophila",0.0606509643628223,0.117875259468323,"Bilophila","India",6,289,2.1,0,0,"Malawi",11,68,16.2,0.1,0.5,2.75027187708411e-05,0.000118617561893214,-14.1,FALSE,42,0,"2",-1.21115309480953,-1.17563894217778,-1.38321432692314,0.115540442804248,5.83617278974258,0.0165533528070962,0.49023661846703,0.223222510984755,0.396756212117959,0.549173700909453,0.68210823706285,0.002,0.147,-0.145,0.8,0.75,0.85
