"","tax_id","mean","sd","taxonomy","group1_country","group1_present","group1_present_strict","group1_n","group1_prev","group1_prev_strict","group1_mean","group1_sd","group2_country","group2_present","group2_present_strict","group2_n","group2_prev","group2_prev_strict","group2_mean","group2_sd","fisher_p","fisher_p_strict","fisher_padj","fisher_signif","fisher_padj_strict","fisher_signif_strict","prev_diff","prev_diff_strict","enriched_group1","enriched_group1_strict","rf_rank","rf_top20","fisher_col","fisher_col_strict","crossval_mean","crossval_sd"
"1276","RSV87",0.374838963091697,0.627630716586585,"Acinetobacter (RSV87)","India",1,0,282,0.00354609929078014,0,2.83687943262411e-06,4.76393067340331e-05,"Malawi",35,16,61,0.573770491803279,0.262295081967213,0.00489311475409836,0.0184210686933,4.60979964498579e-30,1.64918151389519e-13,1.43364768959058e-27,1,2.09446052264689e-11,1,-0.570224392512499,-0.262295081967213,FALSE,FALSE,1,1,"2","2",0.895,0.0605112895385329
"364","RSV19",0.26167173738221,0.456620037566202,"Klebsiella (RSV19)","India",215,140,282,0.762411347517731,0.49645390070922,0.010089219858156,0.0408217921020286,"Malawi",24,8,61,0.39344262295082,0.131147540983607,0.0021016393442623,0.0124220203912686,6.0862419466129e-08,6.01197237426049e-08,1.45601634261278e-06,1,3.81760245765541e-06,1,0.368968724566911,0.365306359725613,TRUE,TRUE,2,1,"1","1",0.895,0.0605112895385329
"931","RSV5",0.220048193939523,0.384790886968079,"Bifidobacterium (RSV5)","India",222,187,282,0.787234042553192,0.663120567375887,0.0566117730496454,0.133346518041205,"Malawi",31,19,61,0.508196721311475,0.311475409836066,0.0154006557377049,0.0747449738749225,2.06226711901343e-05,5.78666680087269e-07,0.000173442933386846,1,1.50174173952296e-05,1,0.279037321241716,0.351645157539821,TRUE,TRUE,3,1,"1","1",0.895,0.0605112895385329
"491","RSV24",0.202830639513492,0.367235116291293,"Enterococcus (RSV24)","India",170,121,282,0.602836879432624,0.429078014184397,0.0104900709219858,0.0285708243415144,"Malawi",17,6,61,0.278688524590164,0.0983606557377049,0.000350819672131148,0.00113220477400213,4.34218658037418e-06,3.31053652960658e-07,4.65662078102197e-05,1,1.40146046420012e-05,1,0.32414835484246,0.330717358446692,TRUE,TRUE,4,1,"1","1",0.895,0.0605112895385329
"534","RSV26",0.185942001763219,0.341090642378798,"Klebsiella (RSV26)","India",205,123,282,0.726950354609929,0.436170212765957,0.00827460992907801,0.0264115245932901,"Malawi",29,8,61,0.475409836065574,0.131147540983607,0.00167606557377049,0.00584473645789911,0.0002337932071805,4.29973132271453e-06,0.000944281654975785,1,6.06739864427494e-05,1,0.251540518544355,0.305022671782351,TRUE,TRUE,5,1,"1","1",0.895,0.0605112895385329
"739","RSV359",0.173216513015714,0.292381659167678,"Corynebacterium_1 (RSV359)","India",1,0,282,0.00354609929078014,0,1.41843971631206e-07,2.38196533670165e-06,"Malawi",23,7,61,0.377049180327869,0.114754098360656,0.000267540983606557,0.000650847283002971,2.14064507220454e-18,4.1868445950053e-06,3.32870308727806e-16,1,6.06739864427494e-05,1,-0.373503081037089,-0.114754098360656,FALSE,FALSE,6,1,"2","2",0.895,0.0605112895385329
"625","RSV3",0.169270906268387,0.303078374285805,"Streptococcus (RSV3)","India",273,262,282,0.968085106382979,0.929078014184397,0.0669860992907801,0.0833056204737947,"Malawi",58,52,61,0.950819672131147,0.852459016393443,0.0348013114754098,0.0475164212834332,0.453623394110823,0.0717472231670002,NA,NA,0.119893386081698,0,0.0172654342518312,0.0766189977909546,TRUE,TRUE,7,1,"ns","ns",0.895,0.0605112895385329
"603","RSV29",0.168985167292994,0.313991127338351,"Klebsiella (RSV29)","India",191,111,282,0.677304964539007,0.393617021276596,0.00546297872340426,0.0157649425810301,"Malawi",20,11,61,0.327868852459016,0.180327868852459,0.00133836065573771,0.00599089786824643,9.00228961826436e-07,0.00176577737670233,1.36921175561688e-05,1,0.00747512422803984,1,0.349436112079991,0.213289152424137,TRUE,TRUE,8,1,"1","1",0.895,0.0605112895385329
"1","RSV1",0.167436172747567,0.30157912187066,"Bifidobacterium (RSV1)","India",236,222,282,0.836879432624113,0.787234042553192,0.334516170212766,0.248052009176412,"Malawi",57,56,61,0.934426229508197,0.918032786885246,0.26015868852459,0.227142670932283,0.06940411661608,0.0184686915950197,0.102297062879625,0,0.0411495409222369,1,-0.0975467968840833,-0.130798744332054,FALSE,FALSE,9,1,"ns","2",0.895,0.0605112895385329
"1110","RSV671",0.130364273973064,0.258616968308233,"Dolosigranulum (RSV671)","India",150,11,282,0.531914893617021,0.0390070921985816,0.000170921985815603,0.000337256886386712,"Malawi",15,0,61,0.245901639344262,0,4.32786885245902e-05,0.000120065555863945,5.97635427110582e-05,0.224177975925606,0.000331901103270341,1,NA,NA,0.286013254272759,0.0390070921985816,TRUE,TRUE,10,1,"1","ns",0.895,0.0605112895385329
