"","mean","sd","tax_id","taxonomy","group1_country","group1_present","group1_present_strict","group1_n","group1_prev","group1_prev_strict","group1_mean","group1_sd","group2_country","group2_present","group2_present_strict","group2_n","group2_prev","group2_prev_strict","group2_mean","group2_sd","fisher_p","fisher_p_strict","fisher_padj","fisher_signif","fisher_padj_strict","fisher_signif_strict","prev_diff","prev_diff_strict","enriched_group1","enriched_group1_strict","rf_rank","rf_top20","fisher_col","fisher_col_strict","crossval_mean","crossval_sd"
"Staphylococcus",1.01624388794213,1.72672469311008,"Staphylococcus","Staphylococcus","India",287,277,289,0.993079584775087,0.958477508650519,0.106177162629758,0.107209199563694,"UK",63,47,71,0.887323943661972,0.661971830985915,0.0241949295774648,0.0443343988624518,5.23264379048058e-05,6.92550619706069e-11,0.000261632189524029,1,1.07345346054441e-09,1,0.105755641113115,0.296505677664604,TRUE,TRUE,1,1,"1","1",0.898,0.0703239258393226
"Bifidobacterium",0.963525553288234,1.63534086362617,"Bifidobacterium","Bifidobacterium","India",282,257,289,0.975778546712803,0.889273356401384,0.372246920415225,0.249135142056469,"UK",57,49,71,0.802816901408451,0.690140845070423,0.136161126760563,0.170113610436835,1.5840768937818e-06,0.00012354423578913,2.17810572894998e-05,1,0.000382987130946303,1,0.172961645304352,0.199132511330962,TRUE,TRUE,2,1,"1","1",0.898,0.0703239258393226
"Klebsiella",0.893001520508781,1.55638678516789,"Klebsiella","Klebsiella","India",236,197,289,0.816608996539792,0.681660899653979,0.0914675432525952,0.172472663115256,"UK",13,12,71,0.183098591549296,0.169014084507042,0.0420861971830986,0.149779695690191,1.35319840601009e-23,2.68396673012227e-15,7.44259123305551e-22,1,8.32029686337905e-14,1,0.633510404990497,0.512646815146937,TRUE,TRUE,3,1,"1","1",0.898,0.0703239258393226
"Streptococcus",0.816682038021195,1.39618792969659,"Streptococcus","Streptococcus","India",288,280,289,0.996539792387543,0.968858131487889,0.123073771626298,0.142668013505969,"UK",67,52,71,0.943661971830986,0.732394366197183,0.0659261971830986,0.155305429675722,0.00599608793423027,7.66520406124228e-09,0.018321379799037,1,4.75242651797022e-08,1,0.0528778205565573,0.236463765290706,TRUE,TRUE,4,1,"1","1",0.898,0.0703239258393226
"Bacteroides",0.620216582797491,1.06640772955679,"Bacteroides","Bacteroides","India",82,58,289,0.283737024221453,0.200692041522491,0.0257269204152249,0.0881174790123794,"UK",50,40,71,0.704225352112676,0.563380281690141,0.172854647887324,0.224324743911468,1.32454877776483e-10,5.04058033472551e-09,2.42833942590218e-09,1,3.90644975941227e-08,1,-0.420488327891223,-0.36268824016765,FALSE,FALSE,5,1,"3","3",0.898,0.0703239258393226
"Escherichia/Shigella",0.453715926863836,0.79677455179359,"Escherichia/Shigella","Escherichia/Shigella","India",248,210,289,0.858131487889273,0.726643598615917,0.132038615916955,0.175919840515408,"UK",56,33,71,0.788732394366197,0.464788732394366,0.17805014084507,0.235586338650082,0.148234909696256,5.80727990686816e-05,0.271764001109803,0,0.000200028530125459,1,0.0693990935230763,0.261854866221551,TRUE,TRUE,6,1,"ns","1",0.898,0.0703239258393226
"Haemophilus",0.449946960694859,0.783559848015492,"Haemophilus","Haemophilus","India",89,35,289,0.307958477508651,0.121107266435986,0.00329813148788927,0.0241083099572853,"UK",44,26,71,0.619718309859155,0.366197183098592,0.0351312676056338,0.0954540356541091,2.08843038455838e-06,4.88136230007707e-06,2.29727342301422e-05,1,2.52203718837315e-05,1,-0.311759832350504,-0.245089916662605,FALSE,FALSE,7,1,"3","3",0.898,0.0703239258393226
"Parabacteroides",0.430785316768802,0.741157921811187,"Parabacteroides","Parabacteroides","India",36,27,289,0.124567474048443,0.0934256055363322,0.00311349480968858,0.0205230479321287,"UK",36,31,71,0.507042253521127,0.436619718309859,0.0381842253521127,0.0907143783793313,3.04927484494231e-11,1.73784976712865e-10,8.38550582359134e-10,1,1.79577809269961e-09,1,-0.382474779472684,-0.343194112773527,FALSE,FALSE,8,1,"3","3",0.898,0.0703239258393226
"Gemella",0.386026182153357,0.703869739850906,"Gemella","Gemella","India",163,26,289,0.56401384083045,0.0899653979238754,0.000357508650519031,0.000946786608870979,"UK",38,21,71,0.535211267605634,0.295774647887324,0.00111042253521127,0.00316200634164889,0.690369274752973,3.686031756511e-05,0.807878938540713,0,0.000142833730564801,1,0.0288025732248161,-0.205809249963449,TRUE,FALSE,9,1,"ns","3",0.898,0.0703239258393226
"Veillonella",0.343002026039314,0.60435920761298,"Veillonella","Veillonella","India",176,131,289,0.608996539792388,0.453287197231834,0.0333493425605536,0.0841169295446797,"UK",47,35,71,0.661971830985915,0.492957746478873,0.107684507042254,0.195484430076294,0.495389645939431,0.595934854852068,0.648724536349255,0,0.659785017871932,0,-0.052975291193528,-0.0396705492470393,FALSE,FALSE,10,1,"ns","ns",0.898,0.0703239258393226
