"","tax_id","mean","sd","taxonomy","group1_country","group1_present","group1_n","group1_prev","group1_mean","group1_sd","group2_country","group2_present","group2_n","group2_prev","group2_mean","group2_sd","fisher_p","fisher_padj","prev_diff","enriched_group1","rf_rank","rf_top20","fisher_col","rab.all","rab.win.Malawi","rab.win.UK","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH","mean_rabund_country1","mean_rabund_country2","mean_rabund_diff","crossval_median","crossval_quartile_1","crossval_quartile_3"
"1","Achromobacter",0.00173504110806002,0.0040672222919521,"Achromobacter","Malawi",4,75,5.3,0,0,"UK",0,59,0,0,0,0.130099555703557,0.18627890930282,5.3,TRUE,124,0,"ns",-1.13191237503905,-1.31147837370735,-0.907780510620997,0.361153425851997,4.61425121720185,0.066639188356743,0.465184008676701,0.524224805233212,0.695422674653574,0.466731220730523,0.654970145011369,0.001,0,0.001,0.85,0.8375,0.9
"2","Acinetobacter",0.620676432630015,1.0785577317384,"Acinetobacter","Malawi",50,75,66.7,2.5,8.2,"UK",6,59,10.2,0,0.1,1.4604783298154e-11,1.84020269556741e-09,56.5,TRUE,2,1,"3",1.60403268232899,6.04795048105311,-0.478508914749526,-6.27939360385104,7.90804005582712,-0.7194138229973,0.22001588800615,7.72824860413222e-08,7.27530810493442e-06,3.36246584584654e-07,2.72758398627586e-05,2.446,0.029,2.417,0.85,0.8375,0.9
"3","Actinomyces",0.148286984564301,0.298551890352453,"Actinomyces","Malawi",30,75,40,0.1,0.1,"UK",18,59,30.5,0,0.1,0.28063368330272,0.360814735674925,9.5,TRUE,22,0,"ns",1.25809150261671,1.59375743855337,0.942898496576461,-0.545961359307084,7.20493625166311,-0.0715014626663394,0.465713529457254,0.480986647385941,0.684491713839848,0.458104804012409,0.68311450883747,0.055,0.014,0.041,0.85,0.8375,0.9
"4","Aerococcus",0.041834848736155,0.0820873259574073,"Aerococcus","Malawi",10,75,13.3,0,0,"UK",1,59,1.7,0,0,0.022787212694008,0.0667718325452328,11.6,TRUE,54,0,"ns",-0.951420385716737,-0.983694402423296,-0.901690064522436,-0.0338599833548212,4.93283073151702,-0.00565025445574306,0.496292372903026,0.53337661356849,0.70792696026821,0.555032996564599,0.726246390319625,0.002,0,0.002,0.85,0.8375,0.9
"5","Aeromonas",0.00550146864181211,0.0156458773523032,"Aeromonas","Malawi",4,75,5.3,0,0,"UK",0,59,0,0,0,0.130099555703557,0.18627890930282,5.3,TRUE,110,0,"ns",-1.20013898204687,-1.38858728453811,-0.987857716512631,0.24106454093627,4.67553388312717,0.0452743471545148,0.477362986629726,0.53883020218575,0.709972206287938,0.484889121296689,0.677188395631409,0.001,0,0.001,0.85,0.8375,0.9
"6","Agathobacter",0.0232629419646729,0.0456735850202576,"Agathobacter","Malawi",10,75,13.3,0.1,0.5,"UK",2,59,3.4,0,0,0.0659435337963454,0.12542086901722,9.9,TRUE,72,0,"ns",-0.927169880117102,-1.01200785181679,-0.825012899221184,-0.0103835628104143,5.14354219362297,-0.00194283231628231,0.498543817853356,0.582532842198708,0.748703109690599,0.54396910867923,0.731323979205107,0.073,0.003,0.07,0.85,0.8375,0.9
"7","Alistipes",0.0356606921517679,0.0665824316082414,"Alistipes","Malawi",8,75,10.7,0.1,0.7,"UK",10,59,16.9,0.3,1.2,0.317149771284027,0.395652189918687,-6.2,FALSE,61,0,"ns",-0.672108905594834,-1.19171019883084,-0.00406550103705072,1.22371054411655,6.7240165468806,0.160175152990812,0.398569915872499,0.120615650080885,0.294961809564536,0.107698964077326,0.260667006109262,0.107,0.261,-0.154,0.85,0.8375,0.9
"8","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium",0.00257987897544288,0.00632271637483223,"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","Malawi",6,75,8,0,0,"UK",0,59,0,0,0,0.0343295788727399,0.0811987002091303,8,TRUE,120,0,"ns",-1.11575737638752,-1.2456960208298,-0.941284776107583,0.146771653785576,4.85055201616748,0.027327027168276,0.485570558728787,0.525118012756517,0.70860879506196,0.498165987797404,0.687419993646993,0.007,0,0.007,0.85,0.8375,0.9
"9","Anaerococcus",0.083820480729608,0.153656543769364,"Anaerococcus","Malawi",21,75,28,0,0,"UK",7,59,11.9,0,0,0.031481554811574,0.0811987002091303,16.1,TRUE,35,0,"ns",0.0888869570481248,0.237427877514246,-0.0605247747866571,-0.549459528938409,5.61519145292941,-0.0778659155501081,0.46054025446936,0.544760805987617,0.726974229820652,0.476240308942097,0.690033766861653,0.004,0.002,0.002,0.85,0.8375,0.9
"10","Anaerostipes",0.0124093141060379,0.02528768188996,"Anaerostipes","Malawi",4,75,5.3,0,0.1,"UK",3,59,5.1,0,0.1,1,1,0.2,TRUE,89,0,"ns",-1.04701634391081,-1.34839043692362,-0.670955905873937,0.620165882738172,5.04787352083176,0.102995168306684,0.441207627467079,0.416805992971858,0.598100613059485,0.333945600487886,0.514442917986144,0.013,0.013,0,0.85,0.8375,0.9
