"","mean","sd","tax_id","taxonomy","group1_country","group1_present","group1_present_strict","group1_n","group1_prev","group1_prev_strict","group1_mean","group1_sd","group2_country","group2_present","group2_present_strict","group2_n","group2_prev","group2_prev_strict","group2_mean","group2_sd","fisher_p","fisher_p_strict","fisher_padj","fisher_signif","fisher_padj_strict","fisher_signif_strict","prev_diff","prev_diff_strict","enriched_group1","enriched_group1_strict","rf_rank","rf_top20","fisher_col","fisher_col_strict","crossval_mean","crossval_sd"
"Acinetobacter",0.71791038481907,1.21903964418657,"Acinetobacter","Acinetobacter","Malawi",46,25,68,0.676470588235294,0.367647058823529,0.01303,0.0456806076625291,"UK",5,0,53,0.0943396226415094,0,2.71698113207547e-05,0.000103410633259436,2.95905670620015e-11,7.83039765984575e-08,3.40291521213017e-09,1,4.77654257250591e-06,1,0.582130965593785,0.367647058823529,TRUE,TRUE,1,1,"3","3",0.8695,0.0787833623414118
"Corynebacterium_1",0.495338035287751,0.848118716914595,"Corynebacterium_1","Corynebacterium_1","Malawi",48,7,68,0.705882352941177,0.102941176470588,0.000347058823529412,0.000634169003378718,"UK",11,0,53,0.207547169811321,0,2.64150943396226e-05,6.3218009228829e-05,5.79333419108216e-08,0.0177950806078961,3.33116715987224e-06,1,0.0638529362989213,1,0.498335183129856,0.102941176470588,TRUE,TRUE,2,1,"3","3",0.8695,0.0787833623414118
"Streptococcus",0.480513990035505,0.827127958370516,"Streptococcus","Streptococcus","Malawi",68,63,68,1,0.926470588235294,0.0639858823529412,0.0799771996657423,"UK",51,38,53,0.962264150943396,0.716981132075472,0.0216483018867925,0.0562643783242542,0.189807162534435,0.00278860044548482,NA,NA,0.0212630783968217,1,0.0377358490566038,0.209489456159823,TRUE,TRUE,3,1,"ns","3",0.8695,0.0787833623414118
"Staphylococcus",0.455169719997231,0.783643551680861,"Staphylococcus","Staphylococcus","Malawi",62,40,68,0.911764705882353,0.588235294117647,0.0142158823529412,0.0625815056900496,"UK",32,10,53,0.60377358490566,0.188679245283019,0.00298264150943396,0.0149322233069374,6.44509933982583e-05,1.39644152488331e-05,0.00123531070679995,1,0.000425914665089411,1,0.307991120976693,0.399556048834628,TRUE,TRUE,4,1,"3","3",0.8695,0.0787833623414118
"Senegalimassilia",0.346850904866673,0.597381442479934,"Senegalimassilia","Senegalimassilia","Malawi",33,23,68,0.485294117647059,0.338235294117647,0.00248294117647059,0.00558373037956813,"UK",5,4,53,0.0943396226415094,0.0754716981132075,0.000531320754716981,0.00266353584959185,3.36091252392423e-06,0.000746443756533755,9.66262350628215e-05,1,0.00910661382971181,1,0.390954495005549,0.26276359600444,TRUE,TRUE,5,1,"3","3",0.8695,0.0787833623414118
"Bifidobacterium",0.291567013689923,0.518571686777506,"Bifidobacterium","Bifidobacterium","Malawi",66,65,68,0.970588235294118,0.955882352941177,0.292038823529412,0.25972661934926,"UK",48,45,53,0.905660377358491,0.849056603773585,0.145120754716981,0.169759067185606,0.237928262371126,0.05706619425348,0.350791668880506,0,0.158228993157376,0,0.0649278579356271,0.106825749167592,TRUE,TRUE,6,1,"ns","ns",0.8695,0.0787833623414118
"Haemophilus",0.28729413843116,0.505024382060043,"Haemophilus","Haemophilus","Malawi",25,9,68,0.367647058823529,0.132352941176471,0.00614058823529412,0.0346113924770595,"UK",33,17,53,0.622641509433962,0.320754716981132,0.011068679245283,0.0487776306721769,0.00626740887875712,0.0148647374932179,0.02669451929841,1,0.0604499324724196,1,-0.254994450610433,-0.188401775804661,FALSE,FALSE,7,1,"3","3",0.8695,0.0787833623414118
"Clostridium_sensu_stricto_1",0.231700132309805,0.40797451545308,"Clostridium_sensu_stricto_1","Clostridium_sensu_stricto_1","Malawi",13,6,68,0.191176470588235,0.0882352941176471,0.01684,0.0763084646622147,"UK",28,19,53,0.528301886792453,0.358490566037736,0.0228460377358491,0.0869650159179766,0.000191478059389601,0.000494137843497506,0.00244666409220045,1,0.00753560211333697,1,-0.337125416204218,-0.270255271920089,FALSE,FALSE,8,1,"3","3",0.8695,0.0787833623414118
"Collinsella",0.231498496312011,0.411907039983202,"Collinsella","Collinsella","Malawi",41,29,68,0.602941176470588,0.426470588235294,0.0114476470588235,0.0311524446283327,"UK",13,11,53,0.245283018867925,0.207547169811321,0.0156769811320755,0.0619374805622854,0.00010178243191048,0.012159316046863,0.00167213995281503,1,0.0529798770613318,1,0.357658157602664,0.218923418423973,TRUE,TRUE,9,1,"3","3",0.8695,0.0787833623414118
"Prevotella_9",0.228594051460562,0.415063820514298,"Prevotella_9","Prevotella_9","Malawi",22,12,68,0.323529411764706,0.176470588235294,0.0413282352941176,0.165846548251655,"UK",1,1,53,0.0188679245283019,0.0188679245283019,0.0052211320754717,0.0380104152558812,9.92108285571124e-06,0.00621561549687912,0.000228184905681358,1,0.0344684132099661,1,0.304661487236404,0.157602663706992,TRUE,TRUE,10,1,"3","3",0.8695,0.0787833623414118
