"","tax_id","mean","sd","taxonomy","group1_country","group1_present","group1_present_strict","group1_n","group1_prev","group1_prev_strict","group1_mean","group1_sd","group2_country","group2_present","group2_present_strict","group2_n","group2_prev","group2_prev_strict","group2_mean","group2_sd","fisher_p","fisher_p_strict","fisher_padj","fisher_signif","fisher_padj_strict","fisher_signif_strict","prev_diff","prev_diff_strict","enriched_group1","enriched_group1_strict","rf_rank","rf_top20","fisher_col","fisher_col_strict","crossval_mean","crossval_sd"
"1","RSV1",0.383010227538033,0.638579714047129,"Bifidobacterium (RSV1)","Malawi",57,56,68,0.838235294117647,0.823529411764706,0.266902941176471,0.267838766230167,"UK",14,12,53,0.264150943396226,0.226415094339623,0.0281222641509434,0.0749642981343455,2.03470245806088e-10,3.02724263114661e-11,3.83541413344476e-08,1,4.84358820983458e-09,1,0.574084350721421,0.597114317425083,TRUE,TRUE,1,1,"3","3",0.907,0.0607279078174013
"1496","RSV8",0.34059318731906,0.568869455111612,"Staphylococcus (RSV8)","Malawi",45,27,68,0.661764705882353,0.397058823529412,0.00437823529411765,0.0141739377123003,"UK",7,2,53,0.132075471698113,0.0377358490566038,7.92452830188679e-05,0.000282787287935131,3.67222679246432e-09,2.55903709048807e-06,4.61476500253016e-07,1,0.000136613908051852,1,0.52968923418424,0.359322974472808,TRUE,TRUE,2,1,"3","3",0.907,0.0607279078174013
"1566","RSV87",0.304468148914014,0.513533674314092,"Acinetobacter (RSV87)","Malawi",38,20,68,0.558823529411765,0.294117647058824,0.00718529411764706,0.030058440912021,"UK",0,0,53,0,0,0,0,5.40209343728375e-13,2.56151077597222e-06,2.03658922585598e-10,1,0.000136613908051852,1,0.558823529411765,0.294117647058824,TRUE,TRUE,3,1,"3","3",0.907,0.0607279078174013
"1251","RSV6",0.2250477938626,0.385168060421929,"Bifidobacterium (RSV6)","Malawi",12,11,68,0.176470588235294,0.161764705882353,0.00360117647058824,0.0138643749991713,"UK",32,30,53,0.60377358490566,0.566037735849057,0.0645766037735849,0.133013719230869,1.48608766716036e-06,5.3880199598118e-06,8.00364357884936e-05,1,0.000215520798392472,1,-0.427302996670366,-0.404273029966704,FALSE,FALSE,4,1,"3","3",0.907,0.0607279078174013
"588","RSV24",0.193033006078054,0.328161837939808,"Enterococcus (RSV24)","Malawi",17,9,68,0.25,0.132352941176471,0.00134294117647059,0.0080670246524203,"UK",35,19,53,0.660377358490566,0.358490566037736,0.00160452830188679,0.00265622821514161,7.5697779924118e-06,0.00459158938931638,0.000356725787892406,1,0.0475456936124502,1,-0.410377358490566,-0.226137624861265,FALSE,FALSE,5,1,"3","3",0.907,0.0607279078174013
"750","RSV3",0.166063679920746,0.290285526242206,"Streptococcus (RSV3)","Malawi",66,57,68,0.970588235294118,0.838235294117647,0.0212052941176471,0.0285119131147744,"UK",44,26,53,0.830188679245283,0.490566037735849,0.0110203773584906,0.0372476565066781,0.0102059421005531,6.29383008965703e-05,0.0565829437045369,1,0.0018144338956441,1,0.140399556048835,0.347669256381798,TRUE,TRUE,6,1,"3","3",0.907,0.0607279078174013
"892","RSV359",0.159834970078589,0.273340405578515,"Corynebacterium_1 (RSV359)","Malawi",25,2,68,0.367647058823529,0.0294117647058824,0.000147058823529412,0.000444048736143047,"UK",0,0,53,0,0,0,0,7.83039765984575e-08,0.503581267217631,5.9041198355237e-06,1,NA,NA,0.367647058823529,0.0294117647058824,TRUE,TRUE,7,1,"3","ns",0.907,0.0607279078174013
"1038","RSV446",0.14411905057784,0.251457122754338,"Acinetobacter (RSV446)","Malawi",26,7,68,0.382352941176471,0.102941176470588,0.00107764705882353,0.00591449878464552,"UK",0,0,53,0,0,0,0,3.19845432253085e-08,0.0177950806078961,3.01454319898533e-06,1,0.0981797550780474,1,0.382352941176471,0.102941176470588,TRUE,TRUE,8,1,"3","3",0.907,0.0607279078174013
"1364","RSV69",0.126537598172897,0.223640145440717,"Enhydrobacter (RSV69)","Malawi",23,4,68,0.338235294117647,0.0588235294117647,0.000247647058823529,0.000822613450229622,"UK",0,0,53,0,0,0,0,4.69206859950975e-07,0.130330378404338,2.94818310335863e-05,1,0.239688052237864,0,0.338235294117647,0.0588235294117647,TRUE,TRUE,9,1,"3","ns",0.907,0.0607279078174013
"934","RSV38",0.125614236687929,0.224736686864492,"Streptococcus (RSV38)","Malawi",36,25,68,0.529411764705882,0.367647058823529,0.00748117647058824,0.0187828730758454,"UK",27,8,53,0.509433962264151,0.150943396226415,0.000563018867924528,0.00184482392833577,0.856151074085743,0.012857566088849,0.922197014086643,0,0.0935095715552653,1,0.0199778024417314,0.216703662597114,TRUE,TRUE,10,1,"ns","3",0.907,0.0607279078174013
