"","taxonomy","sample","group1_n","group1_prev","mean_rabund_country1","group2_n","group2_prev","mean_rabund_country2","fisher_p","fisher_padj","wi.ep","wi.eBH","rf_rank","enriched"
"1","Bifidobacterium","week of life 4",287,98.6,46.822,59,78,14.434,4.26479953532262e-08,1.08041588228173e-06,5.2411016296544e-12,3.52152651485913e-10,1,"India"
"2","Streptococcus","week of life 4",287,100,10.659,59,93.2,2.866,0.000775523801810477,0.00346704758456448,1.58086614657966e-11,6.05874692884417e-10,2,"India"
"3","Corynebacterium_1","week of life 4",287,71.4,0.034,59,28.8,0.005,1.44710654291385e-09,1.09980097261453e-07,4.65800524544072e-08,9.84962685447294e-07,6,"India"
"4","Dolosigranulum","week of life 4",287,42.5,0.02,59,5.1,0,3.63103869251682e-09,1.37979470315639e-07,3.83749958795105e-05,0.000270425937114496,11,"India"
"5","Staphylococcus","week of life 4",287,97.6,1.941,59,78,1.237,9.16135122946625e-07,1.16043782239906e-05,2.10687567215224e-07,3.615112853828e-06,4,"India"
"6","Alistipes","week of life 4",287,0.7,0.013,59,16.9,0.258,5.24901722610806e-07,8.6023273134209e-06,0.113402154264207,0.232920252954034,42,"UK"
"7","Parabacteroides","week of life 4",287,12.5,0.674,59,42.4,5.165,5.6594258640927e-07,8.6023273134209e-06,0.00132100867316955,0.00858582527621707,12,"UK"
"8","Klebsiella","week of life 4",287,84.7,2.957,59,54.2,9.671,1.31431639830024e-06,1.42697208958311e-05,0.410749245321835,0.660583648762198,5,"UK"
"9","Bacteroides","week of life 4",287,30.3,2.39,59,61,17.136,1.96414331514212e-05,0.000165860991056446,1.04432929876927e-05,0.00012790970725772,3,"UK"
"10","unassigned_Erysipelotrichaceae","week of life 4",287,2.4,0.016,59,18.6,0.144,1.82166844665789e-05,0.000165860991056446,0.263310949810178,0.427986589230056,34,"UK"
"11","Eggerthella","week of life 4",287,6.6,0.041,59,27.1,0.034,2.47168664985656e-05,0.000187848185389099,0.0817667411318188,0.182729567248033,20,"India"
"12","Bilophila","week of life 4",287,2.8,0.003,59,18.6,0.347,3.75188172175236e-05,0.000259220918957436,0.250611070946851,0.3963953422692,39,"UK"
"13","Ruminiclostridium_5","week of life 4",287,1.7,0.001,59,15.3,0.05,6.95580601921738e-05,0.0004405343812171,0.300001765868369,0.464000264367271,36,"UK"
"14","Raoultella","week of life 4",287,5.6,0.009,59,22,0.448,0.000226585372404179,0.00132465294636289,0.111831037870051,0.239556522892342,21,"UK"
"15","Rothia","week of life 4",287,80.8,0.283,59,57.6,0.26,0.000290537933596749,0.0015772059252395,0.000778507302640467,0.00681440644182513,10,"India"
"16","Phascolarctobacterium","week of life 4",287,1.4,0.001,59,11.9,0.382,0.000570814420912668,0.00289212639929085,0.400221142532565,0.581153950020682,57,"UK"
"17","Gemella","week of life 4",287,62,0.043,59,37.3,0.049,0.000765827730280454,0.00346704758456448,0.0143042051149257,0.0657980193515204,15,"UK"
"18","Intestinibacter","week of life 4",287,1,0.001,59,10.2,0.003,0.00107927985134193,0.00455695937233261,0.469257260165768,0.636684412711706,60,"UK"
"19","Barnesiella","week of life 4",287,0.7,0.004,59,8.5,0.117,0.00197401775329344,0.00789607101317374,0.480686851850632,0.651221781783618,69,"UK"
"20","Clostridioides","week of life 4",287,15,0.158,59,1.7,0.004,0.00240550776734439,0.00914092951590869,0.0658691316247494,0.160230162973029,22,"India"
"21","Escherichia/Shigella","week of life 4",287,90.6,14.017,59,76.3,16.005,0.00380754105528979,0.0137796723905726,0.365872075546356,0.622709635527031,8,"UK"
"22","Butyricimonas","week of life 4",287,0,0,59,5.1,0.056,0.00475008328608918,0.0144402531897111,0.551808268437788,0.715832488640568,76,"UK"
"23","Coprobacter","week of life 4",287,0,0,59,5.1,0.03,0.00475008328608918,0.0144402531897111,0.481609547031255,0.653083467493794,75,"UK"
"24","Odoribacter","week of life 4",287,1,0.016,59,8.5,0.038,0.00457213983971616,0.0144402531897111,0.491861910949385,0.660757826374863,59,"UK"
"25","unassigned_Bacillaceae","week of life 4",287,0,0,59,5.1,0.001,0.00475008328608918,0.0144402531897111,0.50720374016376,0.683670268064182,72,"UK"
"26","Haemophilus","week of life 4",287,35.9,0.169,59,52.5,2.451,0.0191776665050962,0.0455469579496035,0.00279390733544036,0.0177220439859431,7,"UK"
"27","Salmonella","week of life 4",287,16.4,0.086,59,3.4,0.033,0.00691459572891061,0.0194633064961928,0.0905288947872667,0.197579366957994,27,"India"
"28","Senegalimassilia","week of life 4",287,16.4,0.148,59,3.4,0.01,0.00691459572891061,0.0194633064961928,0.0772868646630838,0.189945054455166,33,"India"
"29","Clostridium_sensu_stricto_1","week of life 4",287,27.9,0.794,59,45.8,2.161,0.00858008921615947,0.0231593203551412,0.0218685579467387,0.0857787451224821,14,"UK"
"30","Terrisporobacter","week of life 4",287,0.7,0,59,6.8,0.109,0.00883710908288284,0.0231593203551412,0.510309456384171,0.669436720897313,71,"UK"
"31","Neisseria","week of life 4",287,3.5,0,59,11.9,0.026,0.0141828392632675,0.0359298594669444,0.540972910230145,0.711451128977882,38,"UK"
"32","Parasutterella","week of life 4",287,0.3,0,59,5.1,0.001,0.0166737617389253,0.040877609424462,0.517313726787885,0.688390455139888,74,"UK"
"33","Veillonella","week of life 4",287,89.2,7.676,59,88.1,13.465,0.819724564127831,0.877451646108664,0.00895132394634752,0.0485449828593017,13,"UK"
