"","taxonomy","sample","group1_n","group1_prev","mean_rabund_country1","group2_n","group2_prev","mean_rabund_country2","fisher_p","fisher_padj","wi.ep","wi.eBH","rf_rank","enriched"
"1","Acinetobacter","week of life 10",61,73.8,1.075,55,1.8,0,2.22335674176385e-17,2.51239311819315e-15,9.32089027873996e-12,1.05326060149762e-09,1,"Malawi"
"2","Corynebacterium_1","week of life 10",61,70.5,0.077,55,10.9,0.001,3.495235443037e-11,1.97480802531591e-09,1.62700045671824e-07,8.114945082247e-06,3,"Malawi"
"3","Dialister","week of life 10",61,57.4,0.308,55,14.5,0.008,2.3999805636467e-06,9.03992678973589e-05,0.00110954293192027,0.0101127215549622,6,"Malawi"
"4","Libanicoccus","week of life 10",61,27.9,1.236,55,0,0,5.91951334167085e-06,0.000167226251902201,0.0816973500659218,0.158813432789243,15,"Malawi"
"5","Chryseobacterium","week of life 10",61,26.2,0.192,55,0,0,1.33827395808384e-05,0.000236567576652707,0.0640870915237916,0.129825384300257,33,"Malawi"
"6","Prevotella_9","week of life 10",61,39.3,2.656,55,5.5,0.637,1.46546286422031e-05,0.000236567576652707,0.0205615156362602,0.0597776398147677,7,"Malawi"
"7","unassigned_Erysipelotrichaceae","week of life 10",61,0,0,55,25.5,0.064,1.07542274076775e-05,0.000236567576652707,0.00883729378907833,0.0285581683530901,28,"UK"
"8","Micrococcus","week of life 10",61,24.6,0.005,55,0,0,2.99476818209902e-05,0.000423011005721486,0.130333310059612,0.225963890372075,34,"Malawi"
"9","Brevibacterium","week of life 10",61,23,0.004,55,0,0,6.63657214933417e-05,0.000676542859063333,0.196587572425325,0.295084915248067,42,"Malawi"
"10","Eggerthella","week of life 10",61,8.2,0.003,55,40,0.046,5.56525117411955e-05,0.000676542859063333,0.00129866007825537,0.00906218363737166,14,"UK"
"11","Holdemanella","week of life 10",61,27.9,0.058,55,1.8,0.006,6.25139374111416e-05,0.000676542859063333,0.0707914485419463,0.146146691101131,40,"Malawi"
"12","Senegalimassilia","week of life 10",61,44.3,0.273,55,10.9,0.03,7.18452593695575e-05,0.000676542859063333,0.00369044527900172,0.0190233539525429,13,"Malawi"
"13","Streptococcus","week of life 10",61,100,6.998,55,98.2,1.565,0.474137931034483,0.535775862068965,2.74335178369767e-05,0.000740324572090825,2,"Malawi"
"14","Collinsella","week of life 10",61,57.4,1.327,55,21.8,1.38,0.000132770478815592,0.00107164743615442,0.00727932839376474,0.0347357784102379,12,"UK"
"15","Finegoldia","week of life 10",61,37.7,0.023,55,7.3,0.002,0.000123477934246992,0.00107164743615442,0.040344277341632,0.103247926302584,27,"Malawi"
"16","Haemophilus","week of life 10",61,37.7,0.018,55,61.8,0.984,0.0152626054669997,0.0410636766135944,7.92471782491084e-05,0.00147324591661116,4,"UK"
"17","Brevundimonas","week of life 10",61,19.7,0.005,55,0,0,0.000317065178208162,0.00238855767583482,0.294930001349172,0.401901366044913,48,"Malawi"
"18","Slackia","week of life 10",61,27.9,0.131,55,3.6,0.003,0.000347029776547252,0.00245089779686497,0.133276570288832,0.224382969516506,32,"Malawi"
"19","Enhydrobacter","week of life 10",61,23,0.115,55,1.8,0,0.000576218276906263,0.00383015678178869,0.0684095091474577,0.137891612059188,44,"Malawi"
"20","Paracoccus","week of life 10",61,18,0.002,55,0,0,0.000684103145483076,0.00394785477610312,0.214304603754171,0.315975601429522,80,"Malawi"
"21","Prevotella_2","week of life 10",61,18,0.567,55,0,0,0.000684103145483076,0.00394785477610312,0.320984847239751,0.429717005871622,57,"Malawi"
"22","Tyzzerella_3","week of life 10",61,29.5,0.201,55,5.5,0.044,0.000698735358602322,0.00394785477610312,0.182254193590151,0.292911336135286,21,"Malawi"
"23","Raoultella","week of life 10",61,3.3,0.001,55,25.5,0.463,0.000736901399722622,0.00396523134136458,0.013022733493898,0.044265335572001,36,"UK"
"24","Catenibacterium","week of life 10",61,16.4,0.027,55,0,0,0.00146404498542821,0.00689321180639115,0.267363715986431,0.368722174593005,47,"Malawi"
"25","Intestinibacter","week of life 10",61,1.6,0.001,55,20,0.008,0.00137824855535306,0.00689321180639115,0.036847976513754,0.0849562017407661,55,"UK"
"26","Sphingobacterium","week of life 10",61,16.4,0.008,55,0,0,0.00146404498542821,0.00689321180639115,0.410764647480585,0.52409140221805,82,"Malawi"
"27","Staphylococcus","week of life 10",61,77,0.234,55,49.1,0.064,0.00207856051832114,0.00939509354281155,0.0105387460761205,0.0501806868493722,8,"Malawi"
"28","Enterobacter","week of life 10",61,11.5,0.016,55,34.5,0.797,0.00365878082691114,0.0159016243631138,0.0215646200911289,0.0655949980985401,35,"UK"
"29","unassigned_Lachnospiraceae","week of life 10",61,27.9,0.213,55,52.7,2.273,0.00792559609298575,0.0271391623790118,0.00240254968186176,0.0163506270930103,22,"UK"
"30","Lelliottia","week of life 10",61,0,0,55,12.7,0.058,0.00435210246750389,0.0182143547714052,0.117708153225391,0.197737490299384,90,"UK"
"31","Lactobacillus","week of life 10",61,78.7,6.053,55,52.7,0.548,0.00551235874758298,0.0222463049456027,0.0113356908143073,0.0517327259579396,9,"Malawi"
"32","Brachybacterium","week of life 10",61,13.1,0.005,55,0,0,0.00655185705043469,0.0238825756999716,0.446415023493857,0.560361160713009,63,"Malawi"
"33","Sphingomonas","week of life 10",61,13.1,0.003,55,0,0,0.00655185705043469,0.0238825756999716,0.348520857417748,0.462639247333873,53,"Malawi"
"34","Sutterella","week of life 10",61,37.7,0.382,55,14.5,0.222,0.00615364009942064,0.0238825756999716,0.103025002141335,0.195822980466525,26,"Malawi"
"35","Peptoniphilus","week of life 10",61,39.3,0.068,55,16.4,0.002,0.00744575730003215,0.0262928304657385,0.0900751531723766,0.189055631905293,18,"Malawi"
"36","Ruminiclostridium_5","week of life 10",61,4.9,0.002,55,21.8,0.054,0.010819057415558,0.0359574555281779,0.0475189483261099,0.108589081602596,46,"UK"
"37","Dolosigranulum","week of life 10",61,24.6,0.006,55,7.3,0.001,0.0129891935633937,0.0397198237242031,0.283667294707752,0.409128889384988,41,"Malawi"
