"","FP","TP","TN","FN","accuracy"
"B1.F1",3,2,7,8,0.45
"B1.F2",2,4,8,6,0.6
"B1.F3",2,2,8,8,0.5
"B1.F4",7,4,3,6,0.35
"B1.F5",5,6,5,4,0.55
"B1.F11",4,4,6,6,0.5
"B1.F21",5,7,5,3,0.6
"B1.F31",3,2,7,8,0.45
"B1.F41",7,5,3,5,0.4
"B1.F51",4,4,6,6,0.5
"B1.F12",3,3,7,7,0.5
"B1.F22",3,6,7,4,0.65
"B1.F32",2,1,8,9,0.45
"B1.F42",6,1,4,9,0.25
"B1.F52",5,5,5,5,0.5
"B1.F13",5,4,5,6,0.45
"B1.F23",7,5,3,5,0.4
"B1.F33",3,4,7,6,0.55
"B1.F43",5,2,5,8,0.35
"B1.F53",4,5,6,5,0.55
"B1.F14",5,5,5,5,0.5
"B1.F24",3,3,7,7,0.5
"B1.F34",5,3,5,7,0.4
"B1.F44",5,7,5,3,0.6
"B1.F54",6,6,4,4,0.5
"B1.F15",7,3,3,7,0.3
"B1.F25",4,5,6,5,0.55
"B1.F35",2,5,8,5,0.65
"B1.F45",6,6,4,4,0.5
"B1.F55",3,5,7,5,0.6
"B1.F16",5,4,5,6,0.45
"B1.F26",5,2,5,8,0.35
"B1.F36",5,7,5,3,0.6
"B1.F46",5,4,5,6,0.45
"B1.F56",4,2,6,8,0.4
"B1.F17",3,3,7,7,0.5
"B1.F27",5,3,5,7,0.4
"B1.F37",2,3,8,7,0.55
"B1.F47",3,7,7,3,0.7
"B1.F57",3,4,7,6,0.55
"B1.F18",3,3,7,7,0.5
"B1.F28",3,7,7,3,0.7
"B1.F38",5,4,5,6,0.45
"B1.F48",7,7,3,3,0.5
"B1.F58",7,9,3,1,0.6
"B1.F19",6,5,4,5,0.45
"B1.F29",3,5,7,5,0.6
"B1.F39",4,2,6,8,0.4
"B1.F49",4,2,6,8,0.4
"B1.F59",4,5,6,5,0.55
"B1.F110",7,6,3,4,0.45
"B1.F210",4,4,6,6,0.5
"B1.F310",3,3,7,7,0.5
"B1.F410",4,4,6,6,0.5
"B1.F510",5,5,5,5,0.5
"B1.F111",3,5,7,5,0.6
"B1.F211",3,4,7,6,0.55
"B1.F311",2,4,8,6,0.6
"B1.F411",5,3,5,7,0.4
"B1.F511",5,5,5,5,0.5
"B1.F112",1,5,9,5,0.7
"B1.F212",3,7,7,3,0.7
"B1.F312",3,3,7,7,0.5
"B1.F412",7,3,3,7,0.3
"B1.F512",3,8,7,2,0.75
"B1.F113",8,2,2,8,0.2
"B1.F213",3,2,7,8,0.45
"B1.F313",5,6,5,4,0.55
"B1.F413",8,5,2,5,0.35
"B1.F513",7,4,3,6,0.35
"B1.F114",4,3,6,7,0.45
"B1.F214",5,5,5,5,0.5
"B1.F314",3,3,7,7,0.5
"B1.F414",5,7,5,3,0.6
"B1.F514",2,5,8,5,0.65
"B1.F115",5,6,5,4,0.55
"B1.F215",6,5,4,5,0.45
"B1.F315",5,6,5,4,0.55
"B1.F415",3,3,7,7,0.5
"B1.F515",5,8,5,2,0.65
"B1.F116",7,4,3,6,0.35
"B1.F216",5,5,5,5,0.5
"B1.F316",3,2,7,8,0.45
"B1.F416",7,4,3,6,0.35
"B1.F516",7,4,3,6,0.35
"B1.F117",5,5,5,5,0.5
"B1.F217",5,3,5,7,0.4
"B1.F317",5,7,5,3,0.6
"B1.F417",7,5,3,5,0.4
"B1.F517",1,2,9,8,0.55
"B1.F118",3,6,7,4,0.65
"B1.F218",3,4,7,6,0.55
"B1.F318",4,6,6,4,0.6
"B1.F418",3,3,7,7,0.5
"B1.F518",6,6,4,4,0.5
"B1.F119",1,5,9,5,0.7
"B1.F219",5,2,5,8,0.35
"B1.F319",6,7,4,3,0.55
"B1.F419",3,3,7,7,0.5
"B1.F519",2,3,8,7,0.55
