"","FP","TP","TN","FN","accuracy"
"B1.F1",3,8,7,2,0.75
"B1.F2",3,10,7,0,0.85
"B1.F3",3,9,7,1,0.8
"B1.F4",1,10,9,0,0.95
"B1.F5",1,9,9,1,0.9
"B1.F11",2,10,8,0,0.9
"B1.F21",2,7,8,3,0.75
"B1.F31",1,9,9,1,0.9
"B1.F41",3,9,7,1,0.8
"B1.F51",3,8,7,2,0.75
"B1.F12",1,9,9,1,0.9
"B1.F22",2,9,8,1,0.85
"B1.F32",2,7,8,3,0.75
"B1.F42",0,10,10,0,1
"B1.F52",3,10,7,0,0.85
"B1.F13",1,10,9,0,0.95
"B1.F23",0,8,10,2,0.9
"B1.F33",3,10,7,0,0.85
"B1.F43",6,10,4,0,0.7
"B1.F53",4,8,6,2,0.7
"B1.F14",2,9,8,1,0.85
"B1.F24",2,10,8,0,0.9
"B1.F34",5,9,5,1,0.7
"B1.F44",3,8,7,2,0.75
"B1.F54",2,9,8,1,0.85
"B1.F15",1,8,9,2,0.85
"B1.F25",1,9,9,1,0.9
"B1.F35",4,10,6,0,0.8
"B1.F45",1,9,9,1,0.9
"B1.F55",1,10,9,0,0.95
"B1.F16",1,10,9,0,0.95
"B1.F26",3,9,7,1,0.8
"B1.F36",1,9,9,1,0.9
"B1.F46",2,9,8,1,0.85
"B1.F56",2,6,8,4,0.7
"B1.F17",3,8,7,2,0.75
"B1.F27",1,8,9,2,0.85
"B1.F37",2,7,8,3,0.75
"B1.F47",3,9,7,1,0.8
"B1.F57",2,10,8,0,0.9
"B1.F18",3,10,7,0,0.85
"B1.F28",3,8,7,2,0.75
"B1.F38",6,10,4,0,0.7
"B1.F48",0,8,10,2,0.9
"B1.F58",1,8,9,2,0.85
"B1.F19",4,9,6,1,0.75
"B1.F29",2,9,8,1,0.85
"B1.F39",1,10,9,0,0.95
"B1.F49",3,9,7,1,0.8
"B1.F59",1,7,9,3,0.8
"B1.F110",6,10,4,0,0.7
"B1.F210",1,9,9,1,0.9
"B1.F310",2,8,8,2,0.8
"B1.F410",2,9,8,1,0.85
"B1.F510",2,9,8,1,0.85
"B1.F111",1,6,9,4,0.75
"B1.F211",2,10,8,0,0.9
"B1.F311",4,10,6,0,0.8
"B1.F411",4,9,6,1,0.75
"B1.F511",1,9,9,1,0.9
"B1.F112",0,8,10,2,0.9
"B1.F212",1,10,9,0,0.95
"B1.F312",2,9,8,1,0.85
"B1.F412",1,8,9,2,0.85
"B1.F512",4,10,6,0,0.8
"B1.F113",2,7,8,3,0.75
"B1.F213",2,10,8,0,0.9
"B1.F313",2,8,8,2,0.8
"B1.F413",3,10,7,0,0.85
"B1.F513",4,10,6,0,0.8
"B1.F114",1,9,9,1,0.9
"B1.F214",3,8,7,2,0.75
"B1.F314",3,9,7,1,0.8
"B1.F414",3,7,7,3,0.7
"B1.F514",2,10,8,0,0.9
"B1.F115",2,9,8,1,0.85
"B1.F215",2,7,8,3,0.75
"B1.F315",3,10,7,0,0.85
"B1.F415",1,9,9,1,0.9
"B1.F515",4,8,6,2,0.7
"B1.F116",3,10,7,0,0.85
"B1.F216",2,9,8,1,0.85
"B1.F316",0,9,10,1,0.95
"B1.F416",1,8,9,2,0.85
"B1.F516",1,10,9,0,0.95
"B1.F117",6,7,4,3,0.55
"B1.F217",3,10,7,0,0.85
"B1.F317",3,9,7,1,0.8
"B1.F417",2,9,8,1,0.85
"B1.F517",2,7,8,3,0.75
"B1.F118",2,9,8,1,0.85
"B1.F218",3,7,7,3,0.7
"B1.F318",0,7,10,3,0.85
"B1.F418",2,10,8,0,0.9
"B1.F518",3,9,7,1,0.8
"B1.F119",3,10,7,0,0.85
"B1.F219",1,9,9,1,0.9
"B1.F319",0,8,10,2,0.9
"B1.F419",2,9,8,1,0.85
"B1.F519",3,10,7,0,0.85
