"","FP","TP","TN","FN","accuracy"
"B1.F1",1,9,9,1,0.9
"B1.F2",0,9,10,1,0.95
"B1.F3",2,10,8,0,0.9
"B1.F4",1,10,9,0,0.95
"B1.F5",0,10,10,0,1
"B1.F11",0,6,10,4,0.8
"B1.F21",0,10,10,0,1
"B1.F31",2,10,8,0,0.9
"B1.F41",0,10,10,0,1
"B1.F51",0,10,10,0,1
"B1.F12",0,10,10,0,1
"B1.F22",1,9,9,1,0.9
"B1.F32",1,10,9,0,0.95
"B1.F42",0,10,10,0,1
"B1.F52",1,10,9,0,0.95
"B1.F13",0,10,10,0,1
"B1.F23",0,10,10,0,1
"B1.F33",0,10,10,0,1
"B1.F43",2,10,8,0,0.9
"B1.F53",0,9,10,1,0.95
"B1.F14",2,10,8,0,0.9
"B1.F24",0,10,10,0,1
"B1.F34",0,10,10,0,1
"B1.F44",0,9,10,1,0.95
"B1.F54",0,9,10,1,0.95
"B1.F15",0,9,10,1,0.95
"B1.F25",0,10,10,0,1
"B1.F35",0,10,10,0,1
"B1.F45",0,10,10,0,1
"B1.F55",2,10,8,0,0.9
"B1.F16",0,10,10,0,1
"B1.F26",1,10,9,0,0.95
"B1.F36",0,10,10,0,1
"B1.F46",0,10,10,0,1
"B1.F56",1,10,9,0,0.95
"B1.F17",1,10,9,0,0.95
"B1.F27",0,10,10,0,1
"B1.F37",1,10,9,0,0.95
"B1.F47",0,7,10,3,0.85
"B1.F57",0,10,10,0,1
"B1.F18",0,10,10,0,1
"B1.F28",1,9,9,1,0.9
"B1.F38",1,10,9,0,0.95
"B1.F48",0,8,10,2,0.9
"B1.F58",0,9,10,1,0.95
"B1.F19",0,10,10,0,1
"B1.F29",1,10,9,0,0.95
"B1.F39",1,9,9,1,0.9
"B1.F49",0,9,10,1,0.95
"B1.F59",0,10,10,0,1
"B1.F110",0,10,10,0,1
"B1.F210",2,9,8,1,0.85
"B1.F310",1,8,9,2,0.85
"B1.F410",0,10,10,0,1
"B1.F510",0,10,10,0,1
"B1.F111",1,10,9,0,0.95
"B1.F211",0,10,10,0,1
"B1.F311",0,10,10,0,1
"B1.F411",0,8,10,2,0.9
"B1.F511",1,9,9,1,0.9
"B1.F112",0,9,10,1,0.95
"B1.F212",1,10,9,0,0.95
"B1.F312",0,10,10,0,1
"B1.F412",0,10,10,0,1
"B1.F512",1,10,9,0,0.95
"B1.F113",0,9,10,1,0.95
"B1.F213",0,9,10,1,0.95
"B1.F313",2,10,8,0,0.9
"B1.F413",0,9,10,1,0.95
"B1.F513",1,10,9,0,0.95
"B1.F114",0,10,10,0,1
"B1.F214",2,10,8,0,0.9
"B1.F314",0,9,10,1,0.95
"B1.F414",0,10,10,0,1
"B1.F514",1,10,9,0,0.95
"B1.F115",0,9,10,1,0.95
"B1.F215",0,10,10,0,1
"B1.F315",2,10,8,0,0.9
"B1.F415",1,10,9,0,0.95
"B1.F515",0,10,10,0,1
"B1.F116",0,9,10,1,0.95
"B1.F216",2,10,8,0,0.9
"B1.F316",0,9,10,1,0.95
"B1.F416",2,10,8,0,0.9
"B1.F516",0,10,10,0,1
"B1.F117",0,9,10,1,0.95
"B1.F217",1,10,9,0,0.95
"B1.F317",0,10,10,0,1
"B1.F417",1,9,9,1,0.9
"B1.F517",0,10,10,0,1
"B1.F118",1,10,9,0,0.95
"B1.F218",2,10,8,0,0.9
"B1.F318",0,10,10,0,1
"B1.F418",0,10,10,0,1
"B1.F518",0,9,10,1,0.95
"B1.F119",0,9,10,1,0.95
"B1.F219",2,10,8,0,0.9
"B1.F319",0,10,10,0,1
"B1.F419",1,10,9,0,0.95
"B1.F519",0,10,10,0,1
