"","FP","TP","TN","FN","accuracy"
"B1.F1",1,7,9,3,0.8
"B1.F2",1,7,9,3,0.8
"B1.F3",2,9,8,1,0.85
"B1.F4",0,10,10,0,1
"B1.F5",1,8,9,2,0.85
"B1.F11",0,10,10,0,1
"B1.F21",0,9,10,1,0.95
"B1.F31",0,7,10,3,0.85
"B1.F41",2,7,8,3,0.75
"B1.F51",1,9,9,1,0.9
"B1.F12",0,8,10,2,0.9
"B1.F22",1,8,9,2,0.85
"B1.F32",1,9,9,1,0.9
"B1.F42",0,8,10,2,0.9
"B1.F52",0,8,10,2,0.9
"B1.F13",0,9,10,1,0.95
"B1.F23",1,7,9,3,0.8
"B1.F33",0,8,10,2,0.9
"B1.F43",1,9,9,1,0.9
"B1.F53",2,9,8,1,0.85
"B1.F14",0,10,10,0,1
"B1.F24",1,10,9,0,0.95
"B1.F34",1,6,9,4,0.75
"B1.F44",1,9,9,1,0.9
"B1.F54",0,7,10,3,0.85
"B1.F15",0,7,10,3,0.85
"B1.F25",1,7,9,3,0.8
"B1.F35",1,8,9,2,0.85
"B1.F45",0,9,10,1,0.95
"B1.F55",1,9,9,1,0.9
"B1.F16",0,7,10,3,0.85
"B1.F26",2,9,8,1,0.85
"B1.F36",0,7,10,3,0.85
"B1.F46",0,8,10,2,0.9
"B1.F56",2,9,8,1,0.85
"B1.F17",2,6,8,4,0.7
"B1.F27",1,9,9,1,0.9
"B1.F37",1,8,9,2,0.85
"B1.F47",1,8,9,2,0.85
"B1.F57",0,6,10,4,0.8
"B1.F18",1,6,9,4,0.75
"B1.F28",2,9,8,1,0.85
"B1.F38",1,7,9,3,0.8
"B1.F48",1,7,9,3,0.8
"B1.F58",1,10,9,0,0.95
"B1.F19",1,9,9,1,0.9
"B1.F29",2,10,8,0,0.9
"B1.F39",0,8,10,2,0.9
"B1.F49",0,7,10,3,0.85
"B1.F59",0,7,10,3,0.85
"B1.F110",1,9,9,1,0.9
"B1.F210",0,9,10,1,0.95
"B1.F310",0,9,10,1,0.95
"B1.F410",2,9,8,1,0.85
"B1.F510",0,6,10,4,0.8
"B1.F111",0,9,10,1,0.95
"B1.F211",0,6,10,4,0.8
"B1.F311",2,8,8,2,0.8
"B1.F411",2,8,8,2,0.8
"B1.F511",0,8,10,2,0.9
"B1.F112",0,9,10,1,0.95
"B1.F212",1,7,9,3,0.8
"B1.F312",1,8,9,2,0.85
"B1.F412",1,9,9,1,0.9
"B1.F512",1,6,9,4,0.75
"B1.F113",0,8,10,2,0.9
"B1.F213",1,9,9,1,0.9
"B1.F313",0,8,10,2,0.9
"B1.F413",0,10,10,0,1
"B1.F513",1,10,9,0,0.95
"B1.F114",0,7,10,3,0.85
"B1.F214",2,9,8,1,0.85
"B1.F314",1,7,9,3,0.8
"B1.F414",2,9,8,1,0.85
"B1.F514",1,10,9,0,0.95
"B1.F115",1,8,9,2,0.85
"B1.F215",2,10,8,0,0.9
"B1.F315",2,6,8,4,0.7
"B1.F415",0,9,10,1,0.95
"B1.F515",0,7,10,3,0.85
"B1.F116",2,10,8,0,0.9
"B1.F216",1,8,9,2,0.85
"B1.F316",1,7,9,3,0.8
"B1.F416",1,7,9,3,0.8
"B1.F516",0,8,10,2,0.9
"B1.F117",1,10,9,0,0.95
"B1.F217",2,9,8,1,0.85
"B1.F317",1,8,9,2,0.85
"B1.F417",0,7,10,3,0.85
"B1.F517",0,8,10,2,0.9
"B1.F118",1,10,9,0,0.95
"B1.F218",0,7,10,3,0.85
"B1.F318",0,7,10,3,0.85
"B1.F418",0,7,10,3,0.85
"B1.F518",2,10,8,0,0.9
"B1.F119",0,9,10,1,0.95
"B1.F219",0,8,10,2,0.9
"B1.F319",1,8,9,2,0.85
"B1.F419",1,7,9,3,0.8
"B1.F519",2,8,8,2,0.8
