"","variable","n","level 1","level 2","pearson","beta (95% CI)","beta","lower CI","upper CI","p","fdr_alpha_p"
"1","age_mother","68",NA,NA,"0.171","1.01 (0.99-1.03)","1.01","0.99","1.03","0.1641",0.309
"12","sex_baby","68","male (n = 34), 1.4 (1-1.8)","female (n = 34), 1.4 (1-1.8)",NA,"1.00 (0.82-1.21)","1.00","0.82","1.21","0.9926",0.993
"13","mode_delivery","68",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","breastfed_child","68","nonexclusive (n = 5), 1.4 (1.1-1.7)","exclusive (n = 63), 1.4 (1-1.8)",NA,NA,NA,NA,NA,NA,NA
"16","age_at_first_dose","68",NA,NA,"0.198","1.11 (0.98-1.27)","1.11","0.98","1.27","0.1052",0.309
"17","birth_weight","68",NA,NA,"0.062","1.05 (0.86-1.30)","1.05","0.86","1.30","0.6182",0.674
"18","HIV_status","66","negative (n = 50), 1.3 (0.9-1.7)","positive (n = 16), 1.5 (1.2-1.8)",NA,"1.22 (0.97-1.53)","1.22","0.97","1.53","0.0911",0.309
"19","antibiotic_exposure","68","no (n = 50), 1.3 (0.9-1.7)","yes (n = 18), 1.4 (1-1.8)",NA,"1.13 (0.91-1.40)","1.13","0.91","1.40","0.2677",0.357
"20","HAZ_6_8w","68",NA,NA,"-0.165","0.95 (0.88-1.02)","0.95","0.88","1.02","0.1800",0.309
"21","A1AT_BS3_Concugml","66",NA,NA,"0.478","1.17 (1.09-1.25)","1.17","1.09","1.25","0.0000",0
"22","MPO_BS3_Concngml","66",NA,NA,"0.172","1.08 (0.97-1.20)","1.08","0.97","1.20","0.1674",0.309
"23","AG_Concugml","56",NA,NA,"0.122","1.08 (0.91-1.28)","1.08","0.91","1.28","0.3702",0.444
"24","MB1_IgA","66",NA,NA,"0.353","1.09 (1.03-1.16)","1.09","1.03","1.16","0.0037",0.022
"25","BM1_IgA","48",NA,NA,"0.182","1.13 (0.93-1.38)","1.13","0.93","1.38","0.2151",0.323
"26","pre_exposed","57","no (n = 50), 1.3 (0.9-1.7)","yes (n = 7), 1.4 (1-1.8)",NA,NA,NA,NA,NA,NA,NA
