"","tax_id","mean","sd","taxonomy","nonresponder_present","nonresponder_n","nonresponder_prev","nonresponder_mean","nonresponder_sd","responder_present","responder_n","responder_prev","responder_mean","responder_sd","fisher_p","fisher_padj","prev_diff","enriched_nonresponder","rf_rank","rf_top20","rf_n","fisher_col","rab.all","rab.win.0","rab.win.1","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH","mean_rabund_nonresponders","mean_rabund_responders","crossval_median","crossval_quartile_1","crossval_quartile_3"
"1","Acinetobacter",0.115401360991001,0.209325870549614,"Acinetobacter",29,126,23,0,0.1,8,28,28.6,0,0,0.625104049248268,1,-5.6,FALSE,14,1,28,"ns",-0.891368291896486,-0.937344096632206,-0.618653737609568,0.365975901178805,6.34570768206009,0.0529815325383406,0.475181261102259,0.61712784360375,0.924863309675477,0.619189572860492,0.92290951988507,0.023,0.012,0.583333333333333,0.5,0.666666666666667
"2","Actinobacillus",0.0189065851751432,0.0381357967008764,"Actinobacillus",4,126,3.2,0,0,2,28,7.1,0,0,0.299263380339498,1,-3.9,FALSE,48,0,28,"ns",-2.14562781887146,-2.11662143939104,-2.2538899480416,-0.0719363983723369,4.98490227696091,-0.0159351832869683,0.494419643001973,0.564820433566125,0.915583990917655,0.546888083114889,0.903333841808462,0.002,0.001,0.583333333333333,0.5,0.666666666666667
"3","Actinomyces",0.0760432474204643,0.143625221016051,"Actinomyces",26,126,20.6,0.2,1.6,7,28,25,0,0,0.615430112952209,1,-4.4,FALSE,20,1,28,"ns",-1.20506191338125,-1.2107041052377,-1.14557423098742,0.12852823705587,5.93368254629764,0.0186639609002281,0.488281250304272,0.597005848920495,0.928143493263842,0.60311309046602,0.920695121854431,0.171,0.004,0.583333333333333,0.5,0.666666666666667
"4","Akkermansia",0.00836838807096936,0.0176226913044699,"Akkermansia",3,126,2.4,0,0.3,2,28,7.1,1.2,4.6,0.224137609668539,1,-4.7,FALSE,62,0,28,"ns",-2.08583999279888,-2.08705144137686,-2.07803230850677,0.166411191469242,5.10428168293843,0.0263073633151737,0.48437500040587,0.470391524515821,0.899853457258657,0.574467845848919,0.917751438893163,0.03,1.275,0.583333333333333,0.5,0.666666666666667
"5","Anaerococcus",0.100658726848729,0.182641967714611,"Anaerococcus",28,126,22.2,0,0,9,28,32.1,0.1,0.4,0.327701265132907,1,-9.9,FALSE,17,1,28,"ns",-0.835010679166545,-0.855538975714774,-0.717092760580126,0.448726295005113,5.95762984920885,0.0681024668187776,0.465142220651422,0.474381543244988,0.888470030932399,0.557966714362265,0.903413884173886,0.003,0.1,0.583333333333333,0.5,0.666666666666667
"6","Atopobium",0.0347927065123033,0.0652341635891339,"Atopobium",23,126,18.3,0,0,4,28,14.3,0,0,0.786176215910705,1,4,TRUE,33,0,28,"ns",-1.35592588944678,-1.229590091646,-1.83404656711122,-0.676239672998991,6.22564124939654,-0.102620261414032,0.448968211041145,0.493413599297212,0.915950946273086,0.43545550232697,0.873406842731457,0.015,0.008,0.583333333333333,0.5,0.666666666666667
"7","Bacteroides",0.0918720302134403,0.172802410531202,"Bacteroides",42,126,33.3,2.9,9.7,10,28,35.7,1.6,5.4,0.827485458281919,1,-2.40000000000001,FALSE,18,1,28,"ns",-0.358696593327566,-0.316484817698759,-0.571468968480618,-0.457544381174017,10.3455474982713,-0.0424782066238406,0.482142857606847,0.760773650582309,0.952714463364932,0.66863630584481,0.933963151515202,2.925,1.639,0.583333333333333,0.5,0.666666666666667
"8","Bifidobacterium",0.268578606200482,0.471017628335107,"Bifidobacterium",125,126,99.2,46.8,25.2,28,28,100,46.9,26.2,1,1,-0.799999999999997,FALSE,7,1,28,"ns",15.4844402661095,15.5255616916314,15.336072891454,-0.0262302231745624,2.49004290523435,-0.00905327838950584,0.494977678701773,0.749897264494525,0.953634864259513,0.742461990881404,0.945365365437372,47.056,47.014,0.583333333333333,0.5,0.666666666666667
"9","Citrobacter",0.0252209714547916,0.0499138185243568,"Citrobacter",16,126,12.7,0.1,0.5,3,28,10.7,0.1,0.4,1,1,2,TRUE,39,0,28,"ns",-1.67089903581906,-1.64291072892582,-1.80343963767148,-0.122093360534724,6.01408891156749,-0.0184369832981297,0.489397321703838,0.613839138016443,0.930214251439566,0.564791891249426,0.909817036929984,0.089,0.076,0.583333333333333,0.5,0.666666666666667
"10","Clostridioides",0.0488126612690812,0.0950686739630516,"Clostridioides",26,126,20.6,0.3,1.2,6,28,21.4,0.2,0.8,1,1,-0.799999999999997,FALSE,26,0,28,"ns",-1.1676937003681,-1.14453157875026,-1.30539978521373,-0.128150367062437,7.79808504678145,-0.0136551657625604,0.492187500202786,0.723773822228673,0.945772347733527,0.631397170997545,0.921717669412356,0.274,0.252,0.583333333333333,0.5,0.666666666666667
"11","Clostridium_sensu_stricto_1",0.0798981451513173,0.150422157426653,"Clostridium_sensu_stricto_1",38,126,30.2,0.7,3.6,7,28,25,1.1,3.5,0.652888235332733,1,5.2,TRUE,19,1,28,"ns",-0.658655513794714,-0.636644246802764,-0.750692900039141,-0.0742413833508699,8.32564028621001,-0.0068447382920262,0.493028444129437,0.722461890408176,0.950821988294277,0.669819579258574,0.932360846986915,0.749,1.108,0.583333333333333,0.5,0.666666666666667
"12","Collinsella",0.0664697195099215,0.12524144917102,"Collinsella",34,126,27,1.7,5.6,7,28,25,2.1,6.8,1,1,2,TRUE,21,0,28,"ns",-0.670983600399722,-0.608860935483031,-0.962017642715955,-0.299973343471637,9.86142109191959,-0.0348942795937746,0.479352679108148,0.661951331517229,0.947340693315466,0.606101128014187,0.921554852598677,1.743,2.067,0.583333333333333,0.5,0.666666666666667
"13","Corynebacterium_1",0.180058785851306,0.323892658078703,"Corynebacterium_1",90,126,71.4,0,0.1,22,28,78.6,0,0,0.492759081986947,1,-7.19999999999999,FALSE,12,1,28,"ns",3.81465433282128,3.75135292015113,4.04393274446808,-0.183892943340309,5.20590317090537,-0.0365789473296806,0.483258929006352,0.7460603963941,0.951224621817932,0.8505206577901,0.959024468222091,0.038,0.024,0.583333333333333,0.5,0.666666666666667
"14","Cronobacter",0.0139557398494248,0.0361494857650045,"Cronobacter",9,126,7.1,0,0,1,28,3.6,0.1,0.6,0.690539694518104,1,3.5,TRUE,52,0,28,"ns",-1.97174193065793,-1.9328455419103,-2.15542900013286,-0.307982503840697,5.05617812918555,-0.0530731756131292,0.47098214361271,0.573398928421323,0.92573397349734,0.536840633194988,0.892885352607532,0.003,0.109,0.583333333333333,0.5,0.666666666666667
"15","Cutibacterium",0.048018710221503,0.0921610248145728,"Cutibacterium",18,126,14.3,0,0.3,4,28,14.3,0,0.2,1,1,0,FALSE,28,0,28,"ns",-1.59650136099066,-1.56520535901839,-1.71445775073709,-0.249761288341485,5.94966087049843,-0.0341885352121259,0.482142857606847,0.626039470102206,0.939334444849475,0.561050724308333,0.908390758126559,0.046,0.045,0.583333333333333,0.5,0.666666666666667
"16","Dermabacter",0.010202270202035,0.0238599568340558,"Dermabacter",5,126,4,0,0.1,2,28,7.1,0,0,0.611459139814167,1,-3.1,FALSE,59,0,28,"ns",-2.07026399845485,-2.04866467543048,-2.16320387064755,0.00664480113769006,4.88973497965266,0.00141879133258026,0.498883928600391,0.557261890282849,0.923748952328753,0.558826509533757,0.906205826912553,0.009,0.002,0.583333333333333,0.5,0.666666666666667
"17","Dialister",0.0286970786816412,0.0550420903565137,"Dialister",8,126,6.3,0,0.4,2,28,7.1,0,0,1,1,-0.8,FALSE,36,0,28,"ns",-1.97500809781052,-1.95426575692634,-2.09711152783641,0.0368194831842938,4.92521626120828,0.00378345964134104,0.497767857200783,0.512852437138056,0.908469557126959,0.550485838129096,0.904284555853382,0.054,0,0.583333333333333,0.5,0.666666666666667
"18","Dolosigranulum",0.146797842852813,0.270677475178363,"Dolosigranulum",58,126,46,0,0,14,28,50,0,0,0.834563595321417,1,-4,FALSE,13,1,28,"ns",0.939885847832502,0.96888497879197,0.83704091878259,-0.00959603557560484,6.86168259616677,-0.00131657730898254,0.499163413295528,0.710499588329666,0.94999918812314,0.761341193626957,0.947440092734534,0.02,0.019,0.583333333333333,0.5,0.666666666666667
"19","Eggerthella",0.0478333903126406,0.0901296897347734,"Eggerthella",8,126,6.3,0,0.3,5,28,17.9,0.1,0.3,0.0619357492486308,1,-11.6,FALSE,29,0,28,"ns",-1.86435983576854,-1.94093058601563,-1.47778035637005,0.695288859540216,6.34087199289382,0.0974484982044796,0.445064139757086,0.253840802955577,0.812829889216825,0.388835279819244,0.84737334813362,0.049,0.108,0.583333333333333,0.5,0.666666666666667
"20","Enterobacter",0.188752644543762,0.345656676316742,"Enterobacter",58,126,46,0.5,2.9,10,28,35.7,0,0.1,0.40151731895941,1,10.3,TRUE,11,1,28,"ns",0.956784229121942,1.27537912051968,-0.199536447450265,-1.58741927403456,7.85346605407377,-0.202104545710366,0.413504466599545,0.132929322044356,0.811438656974603,0.169048476012349,0.803986532035237,0.53,0.029,0.583333333333333,0.5,0.666666666666667
"21","Enterococcus",0.205095422984541,0.368481265970836,"Enterococcus",82,126,65.1,1.4,4.6,20,28,71.4,1.9,4.2,0.659694529015642,1,-6.30000000000001,FALSE,10,1,28,"ns",5.35618994613701,5.23129197350129,5.72018515860199,0.67544916424481,8.70984653387161,0.0711418431577716,0.462353598304333,0.704362467789367,0.950330020717736,0.672861661720648,0.933402088462758,1.413,1.922,0.583333333333333,0.5,0.666666666666667
"22","Erysipelatoclostridium",0.0241110639484708,0.0481656727228925,"Erysipelatoclostridium",7,126,5.6,0,0.1,4,28,14.3,0.5,2.7,0.115409263171885,1,-8.7,FALSE,40,0,28,"ns",-1.86638633512317,-1.92019121183275,-1.59073952885987,0.461702293458554,5.84263804605287,0.0725553178673817,0.452314557856454,0.422057908447193,0.886267477991135,0.475631659598928,0.874463593776252,0.016,0.517,0.583333333333333,0.5,0.666666666666667
"23","Escherichia/Shigella",0.450320221948276,0.777995099968156,"Escherichia/Shigella",118,126,93.7,13.7,17,28,28,100,13.8,12.7,0.352054308961235,1,-6.3,FALSE,2,1,28,"ns",12.4424034815331,12.1469601477729,13.5278133914773,1.11983342431304,4.71738989737696,0.195817924432205,0.39118303867852,0.000985675698685866,0.0621253654799213,0.0679187793423659,0.750815243634165,13.771,13.782,0.583333333333333,0.5,0.666666666666667
"24","Finegoldia",0.0556679749854109,0.106126700450991,"Finegoldia",23,126,18.3,0,0,7,28,25,0,0,0.433252374305768,1,-6.7,FALSE,23,0,28,"ns",-1.00450129251307,-1.07984268868143,-0.596388253808788,0.723238055268469,5.42300822063918,0.121889508905203,0.444506415287978,0.463621301090158,0.883646072494056,0.453762629109333,0.8857728658531,0.003,0.009,0.583333333333333,0.5,0.666666666666667
"25","Flavonifractor",0.0205578200124659,0.0398765343168322,"Flavonifractor",6,126,4.8,0.1,0.5,3,28,10.7,0.4,2.1,0.210318128724907,1,-5.9,FALSE,44,0,28,"ns",-2.03542949450635,-2.06149597265243,-1.9280690089238,0.133674507570541,5.36650871338087,0.0189124155587607,0.48800892390275,0.472209013765065,0.896271062063502,0.519073216236235,0.893093133980352,0.052,0.416,0.583333333333333,0.5,0.666666666666667
"26","Fusobacterium",0.0204444866107766,0.0455390190832901,"Fusobacterium",9,126,7.1,0,0,1,28,3.6,0,0,0.690539694518104,1,3.5,TRUE,45,0,28,"ns",-1.97502925977659,-1.91503525220374,-2.2850313150657,-0.4111851690644,4.80292131627258,-0.0716605766872821,0.466257669590306,0.508695548501356,0.901166625553555,0.497990614594919,0.884854779494054,0.001,0.001,0.583333333333333,0.5,0.666666666666667
"27","Gemella",0.215790846058634,0.392605485812971,"Gemella",80,126,63.5,0,0.1,16,28,57.1,0,0.1,0.526868816062821,1,6.4,TRUE,9,1,28,"ns",3.11830135026951,3.24144455699252,2.79542284505098,-0.727016480971275,6.18346168242983,-0.108385537540879,0.450641384448755,0.597466552592538,0.937240101864001,0.470798883258287,0.912264945926513,0.051,0.043,0.583333333333333,0.5,0.666666666666667
"28","Granulicatella",0.0480759882238954,0.110603729892048,"Granulicatella",20,126,15.9,0,0,3,28,10.7,0,0,0.769254219391707,1,5.2,TRUE,27,0,28,"ns",-1.44177865774394,-1.28927428407455,-2.04236513938703,-0.895115338832974,5.31951040851124,-0.149737152121348,0.426659232283108,0.35755708498305,0.84560240438335,0.341928115640682,0.829137229366153,0.006,0.001,0.583333333333333,0.5,0.666666666666667
"29","Haemophilus",0.103480313540066,0.187578207522098,"Haemophilus",43,126,34.1,0.2,1.7,10,28,35.7,0.1,0.3,1,1,-1.6,FALSE,16,1,28,"ns",-0.109751549873097,-0.112709739733685,-0.099189786493227,0.100228132631988,7.77182022430437,0.0124417257954664,0.493586168599077,0.707347519317646,0.946946322015338,0.722948826075647,0.937857464102591,0.233,0.087,0.583333333333333,0.5,0.666666666666667
"30","Holdemanella",0.0139293155924473,0.0296576220201304,"Holdemanella",2,126,1.6,0,0,2,28,7.1,0,0,0.151332797766275,1,-5.5,FALSE,53,0,28,"ns",-2.15849000032381,-2.15181214625524,-2.20452199907538,-0.0453976723012879,4.84388876721156,-0.00553937198581231,0.497490239886586,0.554405919835136,0.915750064898445,0.528087980854544,0.892823381422448,0.001,0.004,0.583333333333333,0.5,0.666666666666667
"31","Klebsiella",0.453038113978466,0.793576312069248,"Klebsiella",108,126,85.7,3.6,7.5,27,28,96.4,1.2,1.5,0.200712386508288,1,-10.7,FALSE,1,1,28,"ns",9.01470352098677,8.82688447929765,9.30390315452343,0.443205267209514,5.43237247708086,0.0708272438032866,0.467633929414872,0.240590677084793,0.869743561065587,0.711332194437062,0.940942611329375,3.607,1.22,0.583333333333333,0.5,0.666666666666667
"32","Lachnoclostridium",0.017177148504381,0.044243772853825,"Lachnoclostridium",10,126,7.9,0,0.2,2,28,7.1,0,0.1,1,1,0.800000000000001,TRUE,50,0,28,"ns",-1.8800398522449,-1.84515196557696,-2.04349477449366,-0.227805076935489,5.31852735701359,-0.0323658465160442,0.482142857606847,0.576412534871515,0.933073341943577,0.501059240143483,0.897087245281805,0.048,0.028,0.583333333333333,0.5,0.666666666666667
"33","Lactobacillus",0.253966961615591,0.473777498595768,"Lactobacillus",77,126,61.1,4.3,8.5,13,28,46.4,1.2,2.5,0.203303017769407,1,14.7,TRUE,8,1,28,"ns",5.7319079317236,6.32669182411923,1.40855876456147,-2.27987330497787,11.6354973513189,-0.186700280897604,0.407138875889624,0.121376076242203,0.819771361474796,0.108073666009564,0.774899865128288,4.357,1.208,0.583333333333333,0.5,0.666666666666667
"34","Lactococcus",0.0188999791950653,0.0457289046426125,"Lactococcus",8,126,6.3,0,0,1,28,3.6,0,0,1,1,2.7,TRUE,49,0,28,"ns",-1.98276777892708,-1.9586172851582,-2.08343639711726,-0.17619629447804,5.05413655561692,-0.0303159219812823,0.486607143204941,0.504038763109808,0.916273952531534,0.48809392690492,0.898276195857619,0.006,0.003,0.583333333333333,0.5,0.666666666666667
"35","Libanicoccus",0.0113979789922538,0.0236541179737405,"Libanicoccus",6,126,4.8,0,0.3,2,28,7.1,0,0.1,0.637512900118173,1,-2.3,FALSE,56,0,28,"ns",-1.95685736388605,-1.90676437577886,-2.16137874159686,-0.148412053263563,5.20316314495377,-0.0214059927363977,0.487451199433128,0.622149349682016,0.932957236991203,0.542328751266919,0.905506149707085,0.033,0.018,0.583333333333333,0.5,0.666666666666667
"36","Megamonas",0.0219924427105204,0.0419394422206576,"Megamonas",11,126,8.7,0.1,1,2,28,7.1,0.2,1,1,1,1.6,TRUE,43,0,28,"ns",-1.88394377041209,-1.80972753916449,-2.19844454817389,-0.263801470425829,5.52627031953486,-0.0339379079027785,0.476854434510902,0.666678521500867,0.944291237718477,0.490370454368562,0.878755721317428,0.141,0.259,0.583333333333333,0.5,0.666666666666667
"37","Megasphaera",0.028441538876603,0.0537553128771158,"Megasphaera",17,126,13.5,0.9,6.5,3,28,10.7,1.2,6.4,1,1,2.8,TRUE,37,0,28,"ns",-1.63465642531595,-1.59565064426642,-1.86531039472429,-0.346477297186116,5.86788360520217,-0.0431512023409055,0.473772322111066,0.657190678658437,0.939457722355024,0.553190888612994,0.908460711470121,0.936,1.216,0.583333333333333,0.5,0.666666666666667
"38","Morganella",0.00599079462569196,0.0146295582251402,"Morganella",8,126,6.3,0,0.2,1,28,3.6,0,0,1,1,2.7,TRUE,64,0,28,"ns",-1.96110867946743,-1.88771961119954,-2.24089496954792,-0.441301372775312,5.13163268948807,-0.064007738510668,0.461795873834937,0.491197174408388,0.905896995742924,0.484915020486866,0.879364534076572,0.042,0.008,0.583333333333333,0.5,0.666666666666667
"39","Negativicoccus",0.0224303476357856,0.0431172454272453,"Negativicoccus",9,126,7.1,0.1,0.6,3,28,10.7,0,0,0.457992952054127,1,-3.6,FALSE,42,0,28,"ns",-1.91503038090897,-1.98136093882883,-1.64834685348682,0.300217728278213,5.18402046990842,0.0427128961976545,0.47629671004135,0.501378655778811,0.898835277647492,0.50512353513682,0.888180423266197,0.055,0.005,0.583333333333333,0.5,0.666666666666667
