"","mean","sd","tax_id","taxonomy","nonresponder_present","nonresponder_present_strict","nonresponder_n","nonresponder_prev","nonresponder_prev_strict","nonresponder_mean","nonresponder_sd","responder_present","responder_present_strict","responder_n","responder_prev","responder_prev_strict","responder_mean","responder_sd","fisher_p","fisher_p_strict","fisher_padj","fisher_signif","fisher_padj_strict","fisher_signif_strict","prev_diff","prev_diff_strict","enriched_nonresponder","enriched_nonresponder_strict","rf_rank","rf_top20","rf_n","fisher_col","fisher_col_strict","crossval_mean","crossval_sd"
"Escherichia/Shigella",0.263692746060244,0.462963105591931,"Escherichia/Shigella","Escherichia/Shigella",128,120,132,0.96969696969697,0.909090909090909,0.125193333333333,0.114991470315379,25,25,26,0.961538461538462,0.961538461538462,0.193067692307692,0.167979707638933,1,0.69583308804833,NA,NA,0.979320642438391,0,0.00815850815850816,-0.0524475524475525,TRUE,FALSE,1,1,26,"ns","ns",0.464878787878788,0.1730638304397
"Veillonella",0.218772959170994,0.392396523067542,"Veillonella","Veillonella",118,103,132,0.893939393939394,0.78030303030303,0.0850236363636364,0.118335680998433,25,23,26,0.961538461538462,0.884615384615385,0.0794076923076923,0.108611543854516,0.468492301514456,0.292487363218844,1,0,0.740967986821072,0,-0.0675990675990676,-0.104312354312354,FALSE,FALSE,2,1,26,"ns","ns",0.464878787878788,0.1730638304397
"Rothia",0.216491034756696,0.39805380349564,"Rothia","Rothia",103,45,132,0.78030303030303,0.340909090909091,0.00278939393939394,0.00563686851476841,23,12,26,0.884615384615385,0.461538461538462,0.00462769230769231,0.0103952898209496,0.292487363218844,0.26840055743489,0.989564121494558,0,0.740344201357088,0,-0.104312354312354,-0.120629370629371,FALSE,FALSE,3,1,26,"ns","ns",0.464878787878788,0.1730638304397
"Staphylococcus",0.211440012740779,0.375865654056285,"Staphylococcus","Staphylococcus",117,46,132,0.886363636363636,0.348484848484849,0.00579090909090909,0.0293119937793374,24,7,26,0.923076923076923,0.269230769230769,0.0169061538461538,0.0822109450171653,0.740644046327213,0.50183933027983,1,0,0.908090216696835,0,-0.0367132867132868,0.0792540792540793,FALSE,TRUE,4,1,26,"ns","ns",0.464878787878788,0.1730638304397
"Bifidobacterium",0.203840895921848,0.363356109465083,"Bifidobacterium","Bifidobacterium",132,130,132,1,0.984848484848485,0.452027575757576,0.21563324057269,26,25,26,1,0.961538461538462,0.402312307692308,0.217079169637396,1,0.41909215512376,NA,NA,NA,NA,0,0.0233100233100233,FALSE,TRUE,5,1,26,"ns","ns",0.464878787878788,0.1730638304397
"Lactobacillus",0.19544673593722,0.347670615393568,"Lactobacillus","Lactobacillus",100,83,132,0.757575757575758,0.628787878787879,0.0491278787878788,0.102166799398253,17,13,26,0.653846153846154,0.5,0.0200461538461538,0.0498298348443519,0.327622268210481,0.272758389973664,0.989564121494558,0,0.740344201357088,0,0.103729603729604,0.128787878787879,TRUE,TRUE,6,1,26,"ns","ns",0.464878787878788,0.1730638304397
"Enterococcus",0.191177197526464,0.343096863747039,"Enterococcus","Enterococcus",106,86,132,0.803030303030303,0.651515151515151,0.0246830303030303,0.0556530777725395,24,17,26,0.923076923076923,0.653846153846154,0.0235938461538462,0.0353971907446818,0.171035397529517,1,0.989564121494558,0,1,0,-0.12004662004662,-0.00233100233100236,FALSE,FALSE,7,1,26,"ns","ns",0.464878787878788,0.1730638304397
"Streptococcus",0.190302417226955,0.340964071305422,"Streptococcus","Streptococcus",132,130,132,1,0.984848484848485,0.114635151515152,0.105569531231338,26,26,26,1,1,0.127758461538462,0.134381426088349,1,1,NA,NA,NA,NA,0,-0.0151515151515151,FALSE,FALSE,8,1,26,"ns","ns",0.464878787878788,0.1730638304397
"Klebsiella",0.190001354733685,0.339272986451177,"Klebsiella","Klebsiella",114,97,132,0.863636363636364,0.734848484848485,0.0421563636363636,0.111164514899924,21,19,26,0.807692307692308,0.730769230769231,0.0190815384615385,0.028792749044481,0.541680055263982,1,1,0,1,0,0.0559440559440559,0.00407925407925414,TRUE,TRUE,9,1,26,"ns","ns",0.464878787878788,0.1730638304397
"Corynebacterium_1",0.154807960230695,0.286486656236466,"Corynebacterium_1","Corynebacterium_1",92,5,132,0.696969696969697,0.0378787878787879,0.000216060606060606,0.000318272430176283,16,0,26,0.615384615384615,0,0.000167692307692308,0.000239738318878025,0.489790833480201,0.591879993356743,1,0,NA,NA,0.0815850815850816,0.0378787878787879,TRUE,TRUE,10,1,26,"ns","ns",0.464878787878788,0.1730638304397
"Actinomyces",0.139148889717402,0.251747224446987,"Actinomyces","Actinomyces",54,22,132,0.409090909090909,0.166666666666667,0.000988181818181818,0.00299328811981348,15,7,26,0.576923076923077,0.269230769230769,0.00120461538461538,0.00295104216272046,0.133098903911784,0.266083629663056,0.989564121494558,0,0.740344201357088,0,-0.167832167832168,-0.102564102564103,FALSE,FALSE,11,1,26,"ns","ns",0.464878787878788,0.1730638304397
"Gemella",0.122048114657013,0.220405621314791,"Gemella","Gemella",75,9,132,0.568181818181818,0.0681818181818182,0.000264242424242424,0.000698207214820691,13,3,26,0.5,0.115384615384615,0.00052,0.00119978664770033,0.526644150901062,0.418715168064922,1,0,0.908090216696835,0,0.0681818181818182,-0.0472027972027972,TRUE,FALSE,12,1,26,"ns","ns",0.464878787878788,0.1730638304397
"Dolosigranulum",0.122002967045441,0.236773812071846,"Dolosigranulum","Dolosigranulum",69,3,132,0.522727272727273,0.0227272727272727,0.000149393939393939,0.000284000208514485,11,1,26,0.423076923076923,0.0384615384615385,9.84615384615385e-05,0.000235213814350983,0.395825648597823,0.516534761361065,0.989564121494558,0,NA,NA,0.0996503496503496,-0.0157342657342657,TRUE,FALSE,13,1,26,"ns","ns",0.464878787878788,0.1730638304397
"Atopobium",0.118500806377197,0.217124003665425,"Atopobium","Atopobium",50,21,132,0.378787878787879,0.159090909090909,0.00107515151515152,0.00537009196970848,12,2,26,0.461538461538462,0.0769230769230769,0.000663076923076923,0.00236272854002447,0.511083125943762,0.372155280383554,1,0,0.883868790910941,0,-0.0827505827505828,0.0821678321678322,FALSE,TRUE,14,1,26,"ns","ns",0.464878787878788,0.1730638304397
"Bacteroides",0.109110753426841,0.196271451930866,"Bacteroides","Bacteroides",49,36,132,0.371212121212121,0.272727272727273,0.0292393939393939,0.0855579628512944,11,9,26,0.423076923076923,0.346153846153846,0.0192861538461538,0.0509103628804135,0.661644314991648,0.479634595873981,1,0,0.908090216696835,0,-0.0518648018648019,-0.0734265734265734,FALSE,FALSE,15,1,26,"ns","ns",0.464878787878788,0.1730638304397
"Clostridium_sensu_stricto_1",0.105897398516015,0.188651972020708,"Clostridium_sensu_stricto_1","Clostridium_sensu_stricto_1",43,18,132,0.325757575757576,0.136363636363636,0.00118818181818182,0.00923169811595323,6,2,26,0.230769230769231,0.0769230769230769,0.00539384615384615,0.0203104975964496,0.486791089126305,0.532368019158683,1,0,0.919544760364998,0,0.094988344988345,0.0594405594405594,TRUE,TRUE,16,1,26,"ns","ns",0.464878787878788,0.1730638304397
"Collinsella",0.10012543283697,0.182806502367314,"Collinsella","Collinsella",34,27,132,0.257575757575758,0.204545454545455,0.0139015151515152,0.0443202092770166,11,7,26,0.423076923076923,0.269230769230769,0.00854461538461538,0.0216373161423998,0.0995512744972046,0.44442432260904,0.989564121494558,0,0.908090216696835,0,-0.165501165501166,-0.0646853146853147,FALSE,FALSE,17,1,26,"ns","ns",0.464878787878788,0.1730638304397
"Enterobacter",0.083401175827904,0.153845572953655,"Enterobacter","Enterobacter",50,29,132,0.378787878787879,0.21969696969697,0.00459666666666667,0.0200347265183897,8,5,26,0.307692307692308,0.192307692307692,0.0159569230769231,0.0574740355130371,0.656782778813241,1,1,0,1,0,0.0710955710955711,0.0273892773892774,TRUE,TRUE,18,1,26,"ns","ns",0.464878787878788,0.1730638304397
