"","tax_id","mean","sd","taxonomy","nonresponder_present","nonresponder_present_strict","nonresponder_n","nonresponder_prev","nonresponder_prev_strict","nonresponder_mean","nonresponder_sd","responder_present","responder_present_strict","responder_n","responder_prev","responder_prev_strict","responder_mean","responder_sd","fisher_p","fisher_p_strict","fisher_padj","fisher_signif","fisher_padj_strict","fisher_signif_strict","prev_diff","prev_diff_strict","enriched_nonresponder","enriched_nonresponder_strict","rf_rank","rf_top20","rf_n","fisher_col","fisher_col_strict","crossval_mean","crossval_sd"
"210","RSV2",0.114233315933475,0.208457480337684,"Escherichia/Shigella (RSV2)",128,118,132,0.96969696969697,0.893939393939394,0.106217272727273,0.0966798383829696,25,25,26,0.961538461538462,0.961538461538462,0.180009230769231,0.165033473572438,1,0.468492301514456,NA,NA,1,0,0.00815850815850816,-0.0675990675990676,TRUE,FALSE,1,1,26,"ns","ns",0.432515151515152,0.139655936824333
"1","RSV1",0.106412961320476,0.194179310194728,"Bifidobacterium (RSV1)",112,107,132,0.848484848484849,0.810606060606061,0.352964848484848,0.25488887747464,19,16,26,0.730769230769231,0.615384615384615,0.25974,0.248224924646982,0.158534418273137,0.0385959222937593,0.719654961421839,0,0.455431883066359,0,0.117715617715618,0.195221445221445,TRUE,TRUE,2,1,26,"ns","ns",0.432515151515152,0.139655936824333
"356","RSV3",0.089696054152859,0.161043754220112,"Streptococcus (RSV3)",127,123,132,0.962121212121212,0.931818181818182,0.0675272727272727,0.0737968159710637,24,23,26,0.923076923076923,0.884615384615385,0.0745384615384615,0.0906925935539306,0.324113268032807,0.418715168064922,0.813806140386721,0,0.968791957483546,0,0.039044289044289,0.0472027972027972,TRUE,TRUE,3,1,26,"ns","ns",0.432515151515152,0.139655936824333
"444","RSV4",0.0797390738108151,0.144762157824668,"Streptococcus (RSV4)",114,50,132,0.863636363636364,0.378787878787879,0.00221424242424242,0.00449388016792645,22,15,26,0.846153846153846,0.576923076923077,0.00299230769230769,0.00426330229535022,0.762274933317702,0.0807185792347811,1,0,0.501304860510746,0,0.0174825174825175,-0.198135198135198,TRUE,FALSE,4,1,26,"ns","ns",0.432515151515152,0.139655936824333
"512","RSV5",0.0785907833316396,0.143448980915353,"Bifidobacterium (RSV5)",101,80,132,0.765151515151515,0.606060606060606,0.0543339393939394,0.134176837444099,21,19,26,0.807692307692308,0.730769230769231,0.0907861538461538,0.18727710717708,0.799898619455222,0.272519932686583,1,0,0.915017193957086,0,-0.0425407925407926,-0.124708624708625,FALSE,FALSE,5,1,26,"ns","ns",0.432515151515152,0.139655936824333
"314","RSV26",0.0709373566723883,0.126416497487875,"Klebsiella (RSV26)",99,63,132,0.75,0.477272727272727,0.00973909090909091,0.0304617590690272,18,12,26,0.692307692307692,0.461538461538462,0.00242769230769231,0.00368711953447925,0.624994357863252,1,0.984943370404105,0,1,0,0.0576923076923077,0.0157342657342657,TRUE,TRUE,6,1,26,"ns","ns",0.432515151515152,0.139655936824333
"347","RSV29",0.0699376766897318,0.126664905021881,"Klebsiella (RSV29)",92,57,132,0.696969696969697,0.431818181818182,0.00644515151515151,0.0139106034840278,20,11,26,0.769230769230769,0.423076923076923,0.00228153846153846,0.00493589602184462,0.637147274419877,1,0.984943370404105,0,1,0,-0.0722610722610723,0.00874125874125875,FALSE,TRUE,7,1,26,"ns","ns",0.432515151515152,0.139655936824333
"196","RSV19",0.0668007935460982,0.120698752130903,"Klebsiella (RSV19)",105,70,132,0.795454545454545,0.53030303030303,0.00964727272727273,0.0313046664104585,20,14,26,0.769230769230769,0.538461538461538,0.00405384615384615,0.0065150257570776,0.793358247364481,1,1,0,1,0,0.0262237762237761,-0.00815850815850816,TRUE,FALSE,8,1,26,"ns","ns",0.432515151515152,0.139655936824333
"298","RSV25",0.0623672195296523,0.122110937739762,"Enterococcus (RSV25)",63,39,132,0.477272727272727,0.295454545454545,0.00335545454545455,0.0150935376881791,15,10,26,0.576923076923077,0.384615384615385,0.00319076923076923,0.00650898512708513,0.395825648597823,0.364456000982907,0.831233862055429,0,0.915017193957086,0,-0.0996503496503496,-0.0891608391608392,FALSE,FALSE,9,1,26,"ns","ns",0.432515151515152,0.139655936824333
"357","RSV30",0.0608110971434429,0.111681133528042,"Rothia (RSV30)",87,42,132,0.659090909090909,0.318181818181818,0.00258151515151515,0.00558073984600396,18,11,26,0.692307692307692,0.423076923076923,0.00452615384615385,0.0104209247485712,0.823236158214824,0.364203533411556,1,0,0.915017193957086,0,-0.0332167832167832,-0.104895104895105,FALSE,FALSE,10,1,26,"ns","ns",0.432515151515152,0.139655936824333
"162","RSV17",0.0579021020630935,0.109059378979274,"Streptococcus (RSV17)",79,68,132,0.598484848484849,0.515151515151515,0.00773272727272727,0.0177396116505643,15,13,26,0.576923076923077,0.5,0.0137646153846154,0.0306067879047468,0.83083921463858,1,1,0,1,0,0.0215617715617716,0.0151515151515151,TRUE,TRUE,11,1,26,"ns","ns",0.432515151515152,0.139655936824333
"286","RSV24",0.0578873930912712,0.106678592529787,"Enterococcus (RSV24)",87,60,132,0.659090909090909,0.454545454545455,0.0102457575757576,0.0307366828637623,17,11,26,0.653846153846154,0.423076923076923,0.00928307692307692,0.0170737465763624,1,0.831494296139147,1,0,1,0,0.00524475524475521,0.0314685314685315,TRUE,TRUE,12,1,26,"ns","ns",0.432515151515152,0.139655936824333
"32","RSV11",0.057275954402078,0.107184111676024,"Lactobacillus (RSV11)",69,55,132,0.522727272727273,0.416666666666667,0.035369696969697,0.0917946449064174,11,8,26,0.423076923076923,0.307692307692308,0.01188,0.0345085431741185,0.395825648597823,0.38253870532941,0.831233862055429,0,0.921215657732049,0,0.0996503496503496,0.108974358974359,TRUE,TRUE,13,1,26,"ns","ns",0.432515151515152,0.139655936824333
"617","RSV7",0.0565735739765343,0.103128346573612,"Staphylococcus (RSV7)",79,15,132,0.598484848484849,0.113636363636364,0.00110515151515152,0.00778845088271348,15,1,26,0.576923076923077,0.0384615384615385,0.000226153846153846,0.000348701326904007,0.83083921463858,0.474333045453858,1,0,1,0,0.0215617715617716,0.0751748251748252,TRUE,TRUE,14,1,26,"ns","ns",0.432515151515152,0.139655936824333
"21","RSV106",0.0553126188512839,0.102249256381944,"Streptococcus (RSV106)",48,20,132,0.363636363636364,0.151515151515152,0.000557878787878788,0.00162115265293764,12,5,26,0.461538461538462,0.192307692307692,0.00185846153846154,0.00488343788108967,0.381182718753604,0.56622482071821,0.8306906418121,0,1,0,-0.0979020979020979,-0.0407925407925408,FALSE,FALSE,15,1,26,"ns","ns",0.432515151515152,0.139655936824333
"87","RSV13",0.0543708225245805,0.0997887366820015,"Bifidobacterium (RSV13)",82,76,132,0.621212121212121,0.575757575757576,0.0249145454545455,0.047435573798826,12,12,26,0.461538461538462,0.461538461538462,0.0262646153846154,0.0549491215748364,0.188942184778031,0.290930494100321,0.719654961421839,0,0.915017193957086,0,0.15967365967366,0.114219114219114,TRUE,TRUE,16,1,26,"ns","ns",0.432515151515152,0.139655936824333
"656","RSV792",0.0532016461325701,0.105192364050152,"Corynebacterium_1 (RSV792)",61,0,132,0.462121212121212,0,9.84848484848485e-05,0.00017209301962098,9,0,26,0.346153846153846,0,4.76923076923077e-05,9.66770993486127e-05,0.387965172065931,1,0.831233862055429,0,NA,NA,0.115967365967366,0,TRUE,FALSE,17,1,26,"ns","ns",0.432515151515152,0.139655936824333
"411","RSV35",0.0496133704706478,0.092397500747752,"Gemella (RSV35)",67,9,132,0.507575757575758,0.0681818181818182,0.000241515151515152,0.000691733616875199,12,2,26,0.461538461538462,0.0769230769230769,0.000403076923076923,0.000932192122819193,0.830494132788623,1,1,0,1,0,0.046037296037296,-0.00874125874125875,TRUE,FALSE,18,1,26,"ns","ns",0.432515151515152,0.139655936824333
"2","RSV10",0.047680622050748,0.0890827408747179,"Veillonella (RSV10)",54,41,132,0.409090909090909,0.310606060606061,0.0251072727272727,0.0631447934197005,12,9,26,0.461538461538462,0.346153846153846,0.02696,0.0708772017506335,0.666884553778285,0.818065081161431,0.991856098507083,0,1,0,-0.0524475524475524,-0.0355477855477855,FALSE,FALSE,19,1,26,"ns","ns",0.432515151515152,0.139655936824333
"108","RSV14",0.0476374989988021,0.0926938192823034,"Lactobacillus (RSV14)",52,30,132,0.393939393939394,0.227272727272727,0.00168363636363636,0.0044391883022451,8,3,26,0.307692307692308,0.115384615384615,0.000776923076923077,0.00222423518402307,0.509275285202095,0.291709430724121,0.964283531817081,0,0.915017193957086,0,0.0862470862470862,0.111888111888112,TRUE,TRUE,20,1,26,"ns","ns",0.432515151515152,0.139655936824333
