"","mean","sd","tax_id","taxonomy","nonresponder_present","nonresponder_present_strict","nonresponder_n","nonresponder_prev","nonresponder_prev_strict","nonresponder_mean","nonresponder_sd","responder_present","responder_present_strict","responder_n","responder_prev","responder_prev_strict","responder_mean","responder_sd","fisher_p","fisher_p_strict","fisher_padj","fisher_signif","fisher_padj_strict","fisher_signif_strict","prev_diff","prev_diff_strict","enriched_nonresponder","enriched_nonresponder_strict","rf_rank","rf_top20","rf_n","fisher_col","fisher_col_strict","crossval_mean","crossval_sd"
"Bifidobacterium",0.561887997767679,0.983022932945314,"Bifidobacterium","Bifidobacterium",85,80,85,1,0.941176470588235,0.388984,0.243145004527477,45,38,46,0.978260869565217,0.826086956521739,0.354586956521739,0.282396085972794,0.351145038167939,0.0620983602622454,NA,NA,0.548598737963021,0,0.0217391304347826,0.115089514066496,TRUE,TRUE,1,1,46,"ns","ns",0.514789473684211,0.113245036943507
"Staphylococcus",0.551836992237757,0.969551518464129,"Staphylococcus","Staphylococcus",85,80,85,1,0.941176470588235,0.112730823529412,0.113893350178094,46,45,46,1,0.978260869565217,0.12011652173913,0.105954262946432,1,0.664677135811584,NA,NA,0.886236181082112,0,0,-0.0370843989769821,FALSE,FALSE,2,1,46,"ns","ns",0.514789473684211,0.113245036943507
"Klebsiella",0.500761447008999,0.875586127824017,"Klebsiella","Klebsiella",65,52,85,0.764705882352941,0.611764705882353,0.0879237647058824,0.181590585724463,37,32,46,0.804347826086957,0.695652173913043,0.131608695652174,0.190172570970085,0.664469691072587,0.445551100586263,0.947771585422384,0,0.763801886719309,0,-0.0396419437340154,-0.0838874680306905,FALSE,FALSE,3,1,46,"ns","ns",0.514789473684211,0.113245036943507
"Escherichia/Shigella",0.495121733231182,0.874682830009742,"Escherichia/Shigella","Escherichia/Shigella",75,61,85,0.882352941176471,0.717647058823529,0.111489882352941,0.163879941293373,37,29,46,0.804347826086957,0.630434782608696,0.145232173913043,0.203001233602306,0.298631921239603,0.328505756516262,0.825300858363329,0,0.763801886719309,0,0.078005115089514,0.0872122762148337,TRUE,TRUE,4,1,46,"ns","ns",0.514789473684211,0.113245036943507
"Streptococcus",0.49157876944407,0.864001172671746,"Streptococcus","Streptococcus",85,83,85,1,0.976470588235294,0.106978823529412,0.114468755327463,46,45,46,1,0.978260869565217,0.125544347826087,0.151736696969926,1,1,NA,NA,NA,NA,0,-0.00179028132992332,FALSE,FALSE,5,1,46,"ns","ns",0.514789473684211,0.113245036943507
"Veillonella",0.469357585522433,0.830963494830902,"Veillonella","Veillonella",53,42,85,0.623529411764706,0.494117647058824,0.0403284705882353,0.0894678985993072,22,15,46,0.478260869565217,0.326086956521739,0.0270226086956522,0.0799610259073418,0.139120936995019,0.0685748422453777,0.80716678818888,0,0.548598737963021,0,0.145268542199488,0.168030690537084,TRUE,TRUE,6,1,46,"ns","ns",0.514789473684211,0.113245036943507
"Gemella",0.40395772810265,0.713574173661375,"Gemella","Gemella",48,13,85,0.564705882352941,0.152941176470588,0.000574588235294118,0.00147749913620245,29,3,46,0.630434782608696,0.0652173913043478,0.000307826086956522,0.000448275277745362,0.57735342100488,0.171948978591347,0.947771585422384,0,0.763801886719309,0,-0.0657289002557545,0.0877237851662404,FALSE,TRUE,7,1,46,"ns","ns",0.514789473684211,0.113245036943507
"Rothia",0.401428410752107,0.708188051829791,"Rothia","Rothia",59,28,85,0.694117647058824,0.329411764705882,0.00169929411764706,0.00319477318228924,36,16,46,0.782608695652174,0.347826086956522,0.00164782608695652,0.00270661569167391,0.311780324270591,0.848330187524924,0.825300858363329,0,1,0,-0.0884910485933504,-0.0184143222506394,FALSE,FALSE,8,1,46,"ns","ns",0.514789473684211,0.113245036943507
"Enterococcus",0.340127896508861,0.6123738559551,"Enterococcus","Enterococcus",51,25,85,0.6,0.294117647058824,0.0215637647058824,0.068674918863413,21,10,46,0.456521739130435,0.217391304347826,0.00779217391304348,0.0275930369568559,0.1419486972372,0.410978429554757,0.80716678818888,0,0.763801886719309,0,0.143478260869565,0.0767263427109975,TRUE,TRUE,9,1,46,"ns","ns",0.514789473684211,0.113245036943507
"Corynebacterium_1",0.264266455615627,0.466237808907785,"Corynebacterium_1","Corynebacterium_1",43,1,85,0.505882352941176,0.0117647058823529,9.41176470588235e-05,0.000178213983990134,22,2,46,0.478260869565217,0.0434782608695652,0.000128695652173913,0.000292108113133569,0.855189904690345,0.281732646902184,0.986757582335014,0,NA,NA,0.027621483375959,-0.0317135549872123,TRUE,FALSE,10,1,46,"ns","ns",0.514789473684211,0.113245036943507
"Lactobacillus",0.25641787871122,0.456668289323873,"Lactobacillus","Lactobacillus",40,20,85,0.470588235294118,0.235294117647059,0.0102649411764706,0.0324033108105421,16,10,46,0.347826086956522,0.217391304347826,0.0112695652173913,0.0305941536140864,0.198708003180687,1,0.825300858363329,0,1,0,0.122762148337596,0.0179028132992327,TRUE,TRUE,11,1,46,"ns","ns",0.514789473684211,0.113245036943507
"Haemophilus",0.224299517839227,0.395778508216295,"Haemophilus","Haemophilus",21,12,85,0.247058823529412,0.141176470588235,0.00421505882352941,0.0244516214100381,16,5,46,0.347826086956522,0.108695652173913,0.00125826086956522,0.0069993051414957,0.230140725652565,0.786580129568349,0.825300858363329,0,0.993574900507388,0,-0.10076726342711,0.0324808184143223,FALSE,TRUE,12,1,46,"ns","ns",0.514789473684211,0.113245036943507
"Enterobacter",0.192194665458163,0.3407514148599,"Enterobacter","Enterobacter",25,10,85,0.294117647058824,0.117647058823529,0.00152658823529412,0.0075138471461412,15,8,46,0.326086956521739,0.173913043478261,0.00439652173913043,0.0147071340538289,0.696820204586947,0.428871759930296,0.947771585422384,0,0.763801886719309,0,-0.0319693094629156,-0.0562659846547315,FALSE,FALSE,13,1,46,"ns","ns",0.514789473684211,0.113245036943507
"Bacteroides",0.18414451618172,0.327327129016319,"Bacteroides","Bacteroides",29,20,85,0.341176470588235,0.235294117647059,0.0388894117647059,0.112786904110963,13,7,46,0.282608695652174,0.152173913043478,0.013195652173913,0.0571223275145221,0.559332942985261,0.365809792633626,0.947771585422384,0,0.763801886719309,0,0.0585677749360614,0.0831202046035805,TRUE,TRUE,14,1,46,"ns","ns",0.514789473684211,0.113245036943507
"Clostridium_sensu_stricto_1",0.17138183979155,0.309951847772424,"Clostridium_sensu_stricto_1","Clostridium_sensu_stricto_1",24,11,85,0.282352941176471,0.129411764705882,0.00653882352941176,0.0440460804540125,11,8,46,0.239130434782609,0.173913043478261,0.00475130434782609,0.0169210368225401,0.68141413939932,0.604136545883681,0.947771585422384,0,0.886236181082112,0,0.0432225063938619,-0.0445012787723785,TRUE,FALSE,15,1,46,"ns","ns",0.514789473684211,0.113245036943507
"unassigned_Lachnospiraceae",0.139402596201479,0.25128925921965,"unassigned_Lachnospiraceae","unassigned_Lachnospiraceae",15,10,85,0.176470588235294,0.117647058823529,0.0116550588235294,0.0705607320922151,12,8,46,0.260869565217391,0.173913043478261,0.0181373913043478,0.0582783833541804,0.266334274479215,0.428871759930296,0.825300858363329,0,0.763801886719309,0,-0.0843989769820972,-0.0562659846547315,FALSE,FALSE,16,1,46,"ns","ns",0.514789473684211,0.113245036943507
