"","tax_id","mean","sd","taxonomy","nonresponder_present","nonresponder_n","nonresponder_prev","nonresponder_mean","nonresponder_sd","responder_present","responder_n","responder_prev","responder_mean","responder_sd","fisher_p","fisher_padj","prev_diff","enriched_nonresponder","rf_rank","rf_top20","rf_n","fisher_col","rab.all","rab.win.0","rab.win.1","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH","mean_rabund_nonresponders","mean_rabund_responders","crossval_median","crossval_quartile_1","crossval_quartile_3"
"1","RSV1",0.268335509793667,0.504266729114505,"Bifidobacterium (RSV1)",137,214,64,20.9,27.7,37,73,50.7,15,26.9,0.0522420182257968,1,13.3,TRUE,2,1,50,"ns",5.43534987795157,6.24283525935758,3.79969380959407,-1.2307006019632,14.5529893376916,-0.0896679429602527,0.439332334923614,0.0969813853533392,0.810831150310878,0.116322889989893,0.814311847401717,21.826,15.521,0.5,0.45,0.55
"2","RSV10",0.0777503343526488,0.142172507352407,"Veillonella (RSV10)",41,214,19.2,1,3.5,16,73,21.9,0.8,3.1,0.613047071836147,1,-2.7,FALSE,37,0,50,"ns",-0.348246264669211,-0.3776418608214,-0.244643040460851,0.22045969164395,8.68039898695003,0.0234675125735291,0.484485341381754,0.703144736934764,0.95940382510023,0.617424673633038,0.941398996957175,1.139,0.862,0.5,0.45,0.55
"3","RSV101",0.0520708075968295,0.0961844116170762,"Corynebacterium_1 (RSV101)",29,214,13.6,0,0,11,73,15.1,0,0,0.844919174645083,1,-1.5,FALSE,55,0,50,"ns",-0.484721988106706,-0.546981904424168,-0.290671351332332,0.163647305966097,5.44331243359454,0.0270429933681162,0.486943493200566,0.494501275735189,0.921596595605995,0.504443465360946,0.912598640337491,0.002,0.003,0.5,0.45,0.55
"4","RSV1049",0.0207765956885037,0.0537962467042434,"Corynebacterium_1 (RSV1049)",11,214,5.1,0,0,3,73,4.1,0,0,1,1,1,TRUE,124,0,50,"ns",-0.998139352943996,-1.00658883195925,-0.980215604242185,-0.0444238828388386,4.63562376228606,-0.00710241814906184,0.496469077693767,0.49717681855321,0.919378240744464,0.535747222140084,0.920500606135113,0.001,0,0.5,0.45,0.55
"5","RSV105",0.121597466700784,0.224888866187731,"Staphylococcus (RSV105)",70,214,32.7,0.1,0.4,25,73,34.2,0.1,0.6,0.88558987783721,1,-1.5,FALSE,25,0,50,"ns",0.391543039997117,0.362714766517666,0.464663945816042,-0.000990755435017476,8.28911477746474,-0.000121554330115296,0.499893002354357,0.697400226124467,0.957156723460777,0.668275376157571,0.950667710262617,0.098,0.132,0.5,0.45,0.55
"6","RSV106",0.0614998613439548,0.118925443387421,"Streptococcus (RSV106)",39,214,18.2,0,0.3,10,73,13.7,0.1,0.4,0.471931683787507,1,4.5,TRUE,48,0,50,"ns",-0.508001507155971,-0.440167372700817,-0.683923810496026,-0.323723453367515,6.85179075044286,-0.0453612390917853,0.472715600361227,0.534136721458437,0.934988916382851,0.491319395543748,0.914468540733644,0.048,0.07,0.5,0.45,0.55
"7","RSV1061",0.0279852863683637,0.0536664578603777,"Staphylococcus (RSV1061)",17,214,7.9,0,0.1,5,73,6.8,0,0.1,1,1,1.1,TRUE,91,0,50,"ns",-0.914123222662575,-0.905445455602932,-0.939965375091793,-0.0467471876850549,5.57833080205018,-0.00779853979776512,0.494434931528098,0.581825215601675,0.941644700940498,0.573633544588633,0.927867378283784,0.025,0.015,0.5,0.45,0.55
"8","RSV1080",0.0360882093957575,0.0769042059292244,"Staphylococcus (RSV1080)",15,214,7,0,0.1,9,73,12.3,0,0.1,0.218258248267141,1,-5.3,FALSE,75,0,50,"ns",-0.898307385762113,-0.968937642393573,-0.702333976848555,0.264857706907549,6.03179037662665,0.0364503938627671,0.475925529730434,0.419862104379125,0.898816534573204,0.443982370092304,0.889348598753897,0.02,0.032,0.5,0.45,0.55
"9","RSV11",0.0401519021793298,0.0820377655456393,"Lactobacillus (RSV11)",21,214,9.8,0.5,3.1,5,73,6.8,0,0.2,0.636843711687217,1,3,TRUE,68,0,50,"ns",-0.774112126188918,-0.765708636961451,-0.793746917403547,-0.0712164335317569,5.59426047406907,-0.0113685570457572,0.49379280824288,0.456984746970215,0.90451751253514,0.543591331056798,0.915832099937008,0.5,0.045,0.5,0.45,0.55
"10","RSV110",0.0713753604544942,0.135513508220434,"Enterobacter (RSV110)",40,214,18.7,0,0.1,17,73,23.3,0.1,0.2,0.399434860764641,1,-4.6,FALSE,39,0,50,"ns",-0.216504856678389,-0.295401953304191,0.0840369404533803,0.49692595099595,6.49582525259456,0.0685562743214276,0.46843569453566,0.396214709401694,0.883755690105552,0.430170368117279,0.890882164098082,0.027,0.065,0.5,0.45,0.55
"11","RSV111",0.10735351958488,0.194777231317435,"Staphylococcus (RSV111)",53,214,24.8,0.5,1.7,23,73,31.5,0.4,1.1,0.283519992861298,1,-6.7,FALSE,31,0,50,"ns",-0.0689885271893651,-0.138494228501719,0.195270794992835,0.594354583710068,10.6357766878032,0.0563607394473425,0.462756849458049,0.395216806264277,0.909688444360859,0.452771515423745,0.907225336956174,0.532,0.47,0.5,0.45,0.55
"12","RSV1113",0.00810013624421381,0.0232117572063822,"Klebsiella (RSV1113)",11,214,5.1,0,0.3,1,73,1.4,0,0,0.306978093105106,1,3.7,TRUE,161,0,50,"ns",-1.06517599299034,-1.04153248616288,-1.13724521460009,-0.145361884617714,4.77108827088629,-0.0291068209846489,0.483843355507901,0.433537563426866,0.876570906919782,0.495145750647355,0.904025120951341,0.031,0.002,0.5,0.45,0.55
"13","RSV116",0.0249748532693306,0.0491314357818515,"Veillonella (RSV116)",19,214,8.9,0.1,0.7,6,73,8.2,0,0.2,1,1,0.700000000000001,TRUE,106,0,50,"ns",-0.843712616656624,-0.864048795451831,-0.777139713012193,-0.0268560571863485,5.55158367309673,-0.00393516367680337,0.497859589049268,0.598389004155621,0.942618115665851,0.562057025098664,0.935529885645739,0.108,0.024,0.5,0.45,0.55
"14","RSV118",0.0323476460824664,0.0610794078665006,"Clostridium_sensu_stricto_1 (RSV118)",22,214,10.3,0.1,0.6,8,73,11,0.1,0.5,0.827878987504528,1,-0.699999999999999,FALSE,83,0,50,"ns",-0.700910429611303,-0.701217396324241,-0.700503933649745,-0.0149738320188604,5.63855161512867,-0.00273021813976306,0.499143835619707,0.584758573107721,0.940718915051198,0.531758752115803,0.928498421559037,0.089,0.098,0.5,0.45,0.55
"15","RSV119",0.024079394295974,0.0471038136036563,"Sutterella (RSV119)",17,214,7.9,0.1,1,5,73,6.8,0,0.1,1,1,1.1,TRUE,111,0,50,"ns",-0.93793738951762,-0.939852335330594,-0.937491346375221,0.0655489460881142,5.52867812791377,0.00954267972717674,0.493259148324466,0.622580808109453,0.945981383989409,0.531756520153598,0.916432082258029,0.139,0.032,0.5,0.45,0.55
