"","tax_id","mean","sd","taxonomy","nonresponder_present","nonresponder_n","nonresponder_prev","nonresponder_mean","nonresponder_sd","responder_present","responder_n","responder_prev","responder_mean","responder_sd","fisher_p","fisher_padj","prev_diff","enriched_nonresponder","rf_rank","rf_top20","rf_n","fisher_col","rab.all","rab.win.0","rab.win.1","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH","mean_rabund_nonresponders","mean_rabund_responders","crossval_median","crossval_quartile_1","crossval_quartile_3"
"1","Acinetobacter",0.141376557911381,0.26436229639624,"Acinetobacter",43,208,20.7,0,0.1,18,77,23.4,0,0,0.628088959528443,0.985948706943648,-2.7,FALSE,21,0,50,"ns",-1.19723231952031,-1.25948076583918,-1.03487571243712,0.323775387112439,6.11093058448199,0.0432784363733749,0.479707792277539,0.54430348421273,0.927084245863052,0.565471012404591,0.919332534353805,0.024,0.011,0.5,0.45,0.6
"2","Actinomyces",0.142224421911766,0.271125989063172,"Actinomyces",41,208,19.7,0.1,1.3,17,77,22.1,0.1,0.3,0.740532089783789,0.985948706943648,-2.4,FALSE,20,1,50,"ns",-1.36518242301272,-1.40391023129956,-1.27325778141733,0.24026845413333,6.17448360391172,0.0332367081529928,0.48062487326599,0.60370159204051,0.934301232467199,0.578516681262011,0.920724104403242,0.114,0.052,0.5,0.45,0.6
"3","Anaerococcus",0.104372301181858,0.191013206258641,"Anaerococcus",42,208,20.2,0,0,13,77,16.9,0,0.3,0.6136990838632,0.985948706943648,3.3,TRUE,30,0,50,"ns",-1.12723358748453,-1.09855079840236,-1.20069795653412,-0.118824049982734,5.32972050497915,-0.0191833672479854,0.491580442309269,0.569756434694775,0.93056008773538,0.603759400283852,0.934733443395903,0.003,0.038,0.5,0.45,0.6
"4","Atopobium",0.136988434416882,0.245213308351796,"Atopobium",35,208,16.8,0,0.2,12,77,15.6,0,0,0.859298295947235,1,1.2,TRUE,22,0,50,"ns",-1.63795424701197,-1.63169365163441,-1.65383675372249,-0.00745691623454992,6.15894319571312,-0.00127738573229976,0.498985389613871,0.619648302864682,0.932066777757982,0.567146742191872,0.91845265600352,0.029,0.01,0.5,0.45,0.6
"5","Bacteroides",0.200143678591886,0.364673758583853,"Bacteroides",63,208,30.3,2.8,9.3,24,77,31.2,1.4,5.1,0.885734056012668,1,-0.899999999999999,FALSE,16,1,50,"ns",-0.661086430094126,-0.682162362076406,-0.620645265924827,0.000920551014759852,10.0374296683911,4.90889146058769e-05,0.499898559545894,0.744137705362234,0.954154813932859,0.685566165536786,0.94334804115406,2.79,1.389,0.5,0.45,0.6
"6","Bifidobacterium",0.51225560752741,0.900719682498945,"Bifidobacterium",206,208,99,46.2,25.7,75,77,97.4,46.9,27,0.295599716636788,0.968016458730745,1.59999999999999,TRUE,5,1,50,"ns",15.2784902785767,15.2144887286554,15.4681449806576,0.13707457862505,2.92107783283794,0.0344986965444214,0.47981334963316,0.869138608442474,0.967976920946267,0.510799879623643,0.924636248649904,46.489,47.279,0.5,0.45,0.6
"7","Catenibacterium",0.0181604532458377,0.0368539320637314,"Catenibacterium",11,208,5.3,0.1,0.4,3,77,3.9,0,0.1,0.765400495238746,0.985948706943648,1.4,TRUE,57,0,50,"ns",-2.18648084281174,-2.20672794305254,-2.13652394422956,0.138578604104076,4.88720442609746,0.0239006022411983,0.486305538695821,0.540378410792268,0.913493631728982,0.506117838351816,0.906254170663834,0.051,0.012,0.5,0.45,0.6
"8","Citrobacter",0.0562225403057103,0.114060879751624,"Citrobacter",21,208,10.1,0.1,0.4,6,77,7.8,0,0.2,0.653605021239619,0.985948706943648,2.3,TRUE,37,0,50,"ns",-2.00360821338842,-2.00053113815923,-2.00763166659413,-0.0318724694314776,5.6857795161356,-0.00456489428723416,0.496550324687163,0.590349217667411,0.932375948135393,0.555152386067397,0.911592712889733,0.055,0.033,0.5,0.45,0.6
"9","Clostridioides",0.105959871567781,0.205874334147747,"Clostridioides",35,208,16.8,0.2,0.9,8,77,10.4,0.1,0.5,0.197301600487359,0.968016458730745,6.4,TRUE,29,0,50,"ns",-1.71399756920809,-1.6632229424428,-1.82567229662791,-0.371786679562303,6.44732262844386,-0.0516676440191886,0.47332116057057,0.416476855451678,0.911939962405277,0.48338827124497,0.902324833473207,0.179,0.109,0.5,0.45,0.6
"10","Clostridium_sensu_stricto_1",0.180120641959669,0.335437115752255,"Clostridium_sensu_stricto_1",62,208,29.8,0.8,3.6,17,77,22.1,0.7,2.4,0.233813899578722,0.968016458730745,7.7,TRUE,18,1,50,"ns",-0.846918276391216,-0.82076242680034,-0.895171715669695,0.0156220798851416,8.34953451865821,0.00174664789744733,0.498985389613871,0.69815639854483,0.953421992046032,0.629932170734849,0.939714751779775,0.838,0.689,0.5,0.45,0.6
"11","Collinsella",0.18981623286979,0.341912561708677,"Collinsella",63,208,30.3,1.8,5.5,20,77,26,1.7,5.3,0.557613588012002,0.985948706943648,4.3,TRUE,17,1,50,"ns",-0.657979796482054,-0.664952468609794,-0.625781414694478,-0.0152094875839426,10.1010526168985,-0.00137683545358965,0.498478393188421,0.747962274831963,0.954423550529805,0.673477475787359,0.945282265146028,1.842,1.681,0.5,0.45,0.6
"12","Corynebacterium_1",0.39203296635593,0.695769151901171,"Corynebacterium_1",148,208,71.2,0,0.1,55,77,71.4,0,0,1,1,-0.200000000000003,FALSE,10,1,50,"ns",3.56012333508027,3.61368747367158,3.43365357983219,-0.285802699543467,5.32384579171218,-0.0500030989039026,0.473929803295185,0.660452297784637,0.949965330200171,0.587779393147029,0.934706703596997,0.038,0.024,0.5,0.45,0.6
"13","Cutibacterium",0.125158179920757,0.289929630446311,"Cutibacterium",34,208,16.3,0,0.2,8,77,10.4,0,0.2,0.260083158848575,0.968016458730745,5.9,TRUE,24,0,50,"ns",-1.72687401807632,-1.65107104968007,-1.93414677550667,-0.383592549691589,5.89328579062525,-0.0588299703301895,0.468952922184871,0.500814414964603,0.918596640994183,0.463464831597132,0.890735651664123,0.035,0.037,0.5,0.45,0.6
