"","tax_id","mean","sd","taxonomy","nonresponder_present","nonresponder_present_strict","nonresponder_n","nonresponder_prev","nonresponder_prev_strict","nonresponder_mean","nonresponder_sd","responder_present","responder_present_strict","responder_n","responder_prev","responder_prev_strict","responder_mean","responder_sd","fisher_p","fisher_p_strict","fisher_padj","fisher_signif","fisher_padj_strict","fisher_signif_strict","prev_diff","prev_diff_strict","enriched_nonresponder","enriched_nonresponder_strict","rf_rank","rf_top20","rf_n","fisher_col","fisher_col_strict","crossval_mean","crossval_sd"
"428","RSV3",0.223246259996517,0.392308818916408,"Streptococcus (RSV3)",199,186,208,0.956730769230769,0.894230769230769,0.0718782692307692,0.0875475552366132,76,73,77,0.987012987012987,0.948051948051948,0.0644150649350649,0.0992923644785727,0.296631874823259,0.245251220844002,NA,NA,0.838181222350395,0,-0.0302822177822177,-0.0538211788211788,FALSE,FALSE,1,1,50,"ns","ns",0.535,0.111577304813725
"250","RSV19",0.191250406289861,0.345894751374176,"Klebsiella (RSV19)",155,99,208,0.745192307692308,0.475961538461538,0.0102261538461538,0.0246529464508914,62,42,77,0.805194805194805,0.545454545454545,0.00912935064935065,0.0280003157095764,0.348672809451427,0.350585702756641,1,0,0.841824237449614,0,-0.0600024975024975,-0.069493006993007,FALSE,FALSE,2,1,50,"ns","ns",0.535,0.111577304813725
"269","RSV2",0.175033338939521,0.308256086225238,"Escherichia/Shigella (RSV2)",190,168,208,0.913461538461538,0.807692307692308,0.124462115384615,0.166914680011175,68,64,77,0.883116883116883,0.831168831168831,0.119566753246753,0.139864049690758,0.494856293162001,0.733365201760683,1,0,0.963710797477257,0,0.0303446553446554,-0.0234765234765235,TRUE,FALSE,3,1,50,"ns","ns",0.535,0.111577304813725
"429","RSV30",0.165244604690514,0.291323304994007,"Rothia (RSV30)",119,81,208,0.572115384615385,0.389423076923077,0.00310423076923077,0.00776130158568627,40,25,77,0.519480519480519,0.324675324675325,0.00112935064935065,0.00183737680407804,0.502053556722377,0.336995519114985,1,0,0.841824237449614,0,0.0526348651348651,0.0647477522477523,TRUE,TRUE,4,1,50,"ns","ns",0.535,0.111577304813725
"530","RSV4",0.161912599533593,0.290503663140183,"Streptococcus (RSV4)",175,90,208,0.841346153846154,0.432692307692308,0.00244307692307692,0.00608833065765591,64,32,77,0.831168831168831,0.415584415584416,0.00158285714285714,0.0025674023617692,0.85690337332506,0.892855759014768,1,0,0.987393427616331,0,0.0101773226773226,0.0171078921078921,TRUE,TRUE,5,1,50,"ns","ns",0.535,0.111577304813725
"205","RSV17",0.160613769337107,0.312243447099351,"Streptococcus (RSV17)",92,72,208,0.442307692307692,0.346153846153846,0.00721269230769231,0.0254803154953116,31,21,77,0.402597402597403,0.272727272727273,0.00388675324675325,0.0146894826716939,0.591471178707012,0.258289421877278,1,0,0.838181222350395,0,0.0397102897102897,0.0734265734265734,TRUE,TRUE,6,1,50,"ns","ns",0.535,0.111577304813725
"1","RSV1",0.159502198437477,0.282816205650818,"Bifidobacterium (RSV1)",154,140,208,0.740384615384615,0.673076923076923,0.337358076923077,0.315492653437597,49,43,77,0.636363636363636,0.558441558441558,0.299956363636364,0.333738875686513,0.104763867260545,0.0945613133196508,0.971936180931312,0,0.838181222350395,0,0.104020979020979,0.114635364635365,TRUE,TRUE,7,1,50,"ns","ns",0.535,0.111577304813725
"376","RSV26",0.146626818384145,0.2579148697087,"Klebsiella (RSV26)",140,83,208,0.673076923076923,0.399038461538462,0.00611596153846154,0.0157631426964933,48,37,77,0.623376623376623,0.480519480519481,0.00554233766233766,0.0255534482118571,0.482012703217511,0.22663511152377,1,0,0.838181222350395,0,0.0497002997002998,-0.0814810189810189,TRUE,FALSE,8,1,50,"ns","ns",0.535,0.111577304813725
"800","RSV8",0.145660849364223,0.259218509993134,"Staphylococcus (RSV8)",166,120,208,0.798076923076923,0.576923076923077,0.00788307692307692,0.0141357528060949,55,42,77,0.714285714285714,0.545454545454545,0.00744831168831169,0.014120330006077,0.150817683247962,0.686809888622447,0.971936180931312,0,0.935654051166812,0,0.0837912087912088,0.0314685314685315,TRUE,TRUE,9,1,50,"ns","ns",0.535,0.111577304813725
"750","RSV7",0.13651733296861,0.241009894986247,"Staphylococcus (RSV7)",161,83,208,0.774038461538462,0.399038461538462,0.00610788461538461,0.0296302021029717,58,31,77,0.753246753246753,0.402597402597403,0.00506493506493506,0.0148227720100364,0.752484145990152,1,1,0,1,0,0.0207917082917083,-0.00355894105894106,TRUE,FALSE,10,1,50,"ns","ns",0.535,0.111577304813725
