"","mean","sd","tax_id","taxonomy","nonresponder_present","nonresponder_present_strict","nonresponder_n","nonresponder_prev","nonresponder_prev_strict","nonresponder_mean","nonresponder_sd","responder_present","responder_present_strict","responder_n","responder_prev","responder_prev_strict","responder_mean","responder_sd","fisher_p","fisher_p_strict","fisher_padj","fisher_signif","fisher_padj_strict","fisher_signif_strict","prev_diff","prev_diff_strict","enriched_nonresponder","enriched_nonresponder_strict","rf_rank","rf_top20","rf_n","fisher_col","fisher_col_strict","crossval_mean","crossval_sd"
"Bifidobacterium",0.540999255804258,0.980288661244882,"Bifidobacterium","Bifidobacterium",205,203,206,0.995145631067961,0.985436893203884,0.448288932038835,0.214556400830622,74,72,74,1,0.972972972972973,0.401227027027027,0.204717162410876,1,0.610279609386753,NA,NA,NA,NA,-0.00485436893203883,0.0124639202309105,FALSE,TRUE,1,1,50,"ns","ns",0.4625,0.104052968251849
"Veillonella",0.428464247606815,0.753309657212279,"Veillonella","Veillonella",189,168,206,0.91747572815534,0.815533980582524,0.0929029126213592,0.123383832388567,69,62,74,0.932432432432432,0.837837837837838,0.0892643243243243,0.120525819266293,0.804765573402134,0.726596240155949,1,0,1,0,-0.0149567042770926,-0.0223038572553136,FALSE,FALSE,2,1,50,"ns","ns",0.4625,0.104052968251849
"Escherichia/Shigella",0.422052777676721,0.744490764384382,"Escherichia/Shigella","Escherichia/Shigella",196,186,206,0.951456310679612,0.902912621359223,0.126479029126214,0.123823028927221,72,70,74,0.972972972972973,0.945945945945946,0.146293513513514,0.130898455053646,0.738147509632913,0.336451856688961,NA,NA,0.889194192677969,0,-0.0215166622933614,-0.0430333245867226,FALSE,FALSE,3,1,50,"ns","ns",0.4625,0.104052968251849
"Streptococcus",0.417141537379473,0.734039540090459,"Streptococcus","Streptococcus",206,202,206,1,0.980582524271845,0.110267184466019,0.103058136369886,74,73,74,1,0.986486486486487,0.114972432432432,0.132165324766803,1,1,NA,NA,NA,NA,0,-0.00590396221464184,FALSE,FALSE,4,1,50,"ns","ns",0.4625,0.104052968251849
"Staphylococcus",0.393516182472579,0.699415062621388,"Staphylococcus","Staphylococcus",185,68,206,0.898058252427185,0.330097087378641,0.00412252427184466,0.0235701652143364,66,25,74,0.891891891891892,0.337837837837838,0.00706702702702703,0.0487643148699844,0.827890721897159,1,1,0,1,0,0.00616636053529263,-0.00774075045919703,TRUE,FALSE,5,1,50,"ns","ns",0.4625,0.104052968251849
"Klebsiella",0.36862825188885,0.65230579398254,"Klebsiella","Klebsiella",174,146,206,0.844660194174757,0.70873786407767,0.0361023300970874,0.10069494474393,65,50,74,0.878378378378378,0.675675675675676,0.0384551351351351,0.114685554849237,0.56803954522812,0.657637527052887,1,0,1,0,-0.0337181842036212,0.0330621884019943,FALSE,TRUE,6,1,50,"ns","ns",0.4625,0.104052968251849
"Enterococcus",0.347467290652347,0.614848502114828,"Enterococcus","Enterococcus",170,135,206,0.825242718446602,0.655339805825243,0.0235920388349515,0.0513872649186827,64,51,74,0.864864864864865,0.689189189189189,0.0263481081081081,0.0533217047399248,0.470939817878625,0.667676902268116,0.981234308084681,0,1,0,-0.039622146418263,-0.0338493833639464,FALSE,FALSE,7,1,50,"ns","ns",0.4625,0.104052968251849
"Lactobacillus",0.330613835933852,0.585262188235299,"Lactobacillus","Lactobacillus",158,128,206,0.766990291262136,0.621359223300971,0.0402087378640777,0.0889696294652267,56,47,74,0.756756756756757,0.635135135135135,0.0372821621621622,0.0805526761078595,0.873872077907336,0.889161555465528,1,0,1,0,0.0102335345053791,-0.0137759118341643,TRUE,FALSE,8,1,50,"ns","ns",0.4625,0.104052968251849
"Rothia",0.323802325265254,0.579915719558382,"Rothia","Rothia",166,69,206,0.805825242718447,0.33495145631068,0.00240660194174757,0.00506170655756762,61,25,74,0.824324324324324,0.337837837837838,0.00273513513513513,0.00708668426114109,0.862897570768254,1,1,0,1,0,-0.0184990816058778,-0.0028863815271582,FALSE,FALSE,9,1,50,"ns","ns",0.4625,0.104052968251849
"Corynebacterium_1",0.259743483315946,0.465923722707363,"Corynebacterium_1","Corynebacterium_1",137,8,206,0.66504854368932,0.0388349514563107,0.000217669902912621,0.000396499817324708,48,2,74,0.648648648648649,0.027027027027027,0.000171891891891892,0.000259291319084415,0.886268666470978,1,1,0,NA,NA,0.0163998950406717,0.0118079244292836,TRUE,TRUE,10,1,50,"ns","ns",0.4625,0.104052968251849
