"","tax_id","mean","sd","taxonomy","nonresponder_present","nonresponder_n","nonresponder_prev","nonresponder_mean","nonresponder_sd","responder_present","responder_n","responder_prev","responder_mean","responder_sd","fisher_p","fisher_padj","prev_diff","enriched_nonresponder","rf_rank","rf_top20","rf_n","fisher_col","rab.all","rab.win.0","rab.win.1","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH","mean_rabund_nonresponders","mean_rabund_responders","crossval_median","crossval_quartile_1","crossval_quartile_3"
"1","Achromobacter",0.00515420168509156,0.0115788354831716,"Achromobacter",1,29,3.4,0,0,2,39,5.1,0,0,1,1,-1.7,FALSE,114,0,29,"ns",-0.972530560657519,-0.947770084464937,-0.988857162603001,0.0281104069284854,4.79745310619627,0.00636923938957334,0.496767241457519,0.556568628001831,0.950070879423494,0.526746207090146,0.952519366601137,0,0.003,0.5,0.363636363636364,0.583333333333333
"2","Acinetobacter",0.0725994075275356,0.132010157216404,"Acinetobacter",10,29,34.5,0.2,1.2,14,39,35.9,0.1,0.4,1,1,-1.4,FALSE,23,0,29,"ns",1.74555927186636,1.42846483600067,1.95208786423275,-0.035215914736292,7.32694988229544,-0.00559944766690632,0.49703823378186,0.730242593337623,0.969057060250345,0.761325749156507,0.978380464562006,0.238,0.09,0.5,0.363636363636364,0.583333333333333
"3","Actinomyces",0.053995653038084,0.10012231238025,"Actinomyces",8,29,27.6,0,0,11,39,28.2,0,0,1,1,-0.599999999999998,FALSE,30,0,29,"ns",0.297230374960135,0.1911034378089,0.372754715795416,0.14441908982572,6.76332265236467,0.0242172022312777,0.488685345101445,0.641153122189411,0.962144993020646,0.65521772378242,0.967797036209108,0.015,0.01,0.5,0.363636363636364,0.583333333333333
"4","Aerococcus",0.0135618208711146,0.0324920151182794,"Aerococcus",1,29,3.4,0,0,3,39,7.7,0,0,0.630585042700934,1,-4.3,FALSE,75,0,29,"ns",-0.657645916033534,-0.857452388959029,-0.474599555644987,0.45648903296334,4.61686561928188,0.092098135598776,0.451265483149138,0.503314267336342,0.949812178209945,0.520705788870033,0.955291213978365,0,0.001,0.5,0.363636363636364,0.583333333333333
"5","Aeromonas",0.0138073410426111,0.0290099438582364,"Aeromonas",2,29,6.9,0,0,3,39,7.7,0,0.1,1,1,-0.8,FALSE,74,0,29,"ns",-0.830317847691932,-0.744705132881363,-0.891252363009713,-0.117252707202349,5.01111214182417,-0.0238031730539042,0.48922413819184,0.584957036037798,0.956472835748404,0.578334775271841,0.963667873718944,0.001,0.023,0.5,0.363636363636364,0.583333333333333
"6","Agathobacter",0.0216202292848146,0.0455783373270687,"Agathobacter",1,29,3.4,0,0,4,39,10.3,0.1,0.6,0.384308404501557,1,-6.9,FALSE,53,0,29,"ns",-0.738457844464079,-0.798888582651413,-0.694875532781026,0.229745918213757,4.98460425118043,0.0363989020122809,0.479806139422555,0.507667797461068,0.95310446294967,0.520685747066496,0.955629777294393,0.001,0.1,0.5,0.363636363636364,0.583333333333333
"7","Alloprevotella",0.0105546283289665,0.0220934578188524,"Alloprevotella",1,29,3.4,0,0,2,39,5.1,0,0.1,1,1,-1.7,FALSE,88,0,29,"ns",-0.79065661123367,-0.670138918636436,-0.88084191334212,-0.108948333444168,4.44288175759079,-0.0212016041305559,0.490301724372635,0.508104762217033,0.950419647859482,0.500018536634135,0.951173268258078,0,0.015,0.5,0.363636363636364,0.583333333333333
"8","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium",0.00981003317178431,0.0186212200925416,"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium",2,29,6.9,0,0,2,39,5.1,0,0.1,1,1,1.8,TRUE,94,0,29,"ns",-1.00091617284358,-0.852445313992837,-1.11044689576548,-0.361956397842031,5.2110416734938,-0.060179088544058,0.46580506275806,0.595482014501431,0.948112304617353,0.562008224856702,0.953396930197302,0.001,0.015,0.5,0.363636363636364,0.583333333333333
"9","Anaerococcus",0.0790319989293242,0.14657677004856,"Anaerococcus",8,29,27.6,0,0,10,39,25.6,0,0,1,1,2,TRUE,21,0,29,"ns",0.278984334196998,0.818995424840008,-0.0842294494785278,-0.735110093860147,5.91570067175025,-0.109004457413678,0.452047414963917,0.541931146877457,0.953261292938331,0.539832147067978,0.959620078860794,0.003,0.004,0.5,0.363636363636364,0.583333333333333
"10","Anaerostipes",0.00613052119902498,0.0130817487162285,"Anaerostipes",1,29,3.4,0,0,2,39,5.1,0,0.1,1,1,-1.7,FALSE,109,0,29,"ns",-0.96512474542484,-1.05530782354966,-0.906782913660122,0.183492227268104,4.78797882435861,0.0358648679722189,0.481681034926517,0.536244191178985,0.944982979089455,0.479341791966422,0.9459449960082,0.004,0.014,0.5,0.363636363636364,0.583333333333333
