"","tax_id","mean","sd","taxonomy","nonresponder_present","nonresponder_present_strict","nonresponder_n","nonresponder_prev","nonresponder_prev_strict","nonresponder_mean","nonresponder_sd","responder_present","responder_present_strict","responder_n","responder_prev","responder_prev_strict","responder_mean","responder_sd","fisher_p","fisher_p_strict","fisher_padj","fisher_signif","fisher_padj_strict","fisher_signif_strict","prev_diff","prev_diff_strict","enriched_nonresponder","enriched_nonresponder_strict","rf_rank","rf_top20","rf_n","fisher_col","fisher_col_strict","crossval_mean","crossval_sd"
"1118","RSV7",0.0883020135161647,0.156101730366271,"Staphylococcus (RSV7)",28,23,29,0.96551724137931,0.793103448275862,0.0378179310344828,0.0669118913934752,38,37,39,0.974358974358974,0.948717948717949,0.041454358974359,0.0734660689238978,1,0.0647558848031003,NA,NA,0.948797434020868,0,-0.00884173297966395,-0.155614500442087,FALSE,FALSE,1,1,29,"ns","ns",0.413409090909091,0.117905104654595
"1196","RSV8",0.0836972907367289,0.149016496537455,"Staphylococcus (RSV8)",25,19,29,0.862068965517241,0.655172413793103,0.0252593103448276,0.0448138175383947,37,33,39,0.948717948717949,0.846153846153846,0.0141076923076923,0.0193294629845543,0.389805650889935,0.0862768153251491,0.923444814508074,0,0.948797434020868,0,-0.0866489832007074,-0.190981432360743,FALSE,FALSE,2,1,29,"ns","ns",0.413409090909091,0.117905104654595
"610","RSV3",0.0780405680928082,0.139539650923255,"Streptococcus (RSV3)",25,16,29,0.862068965517241,0.551724137931034,0.0191848275862069,0.0401967026562316,35,19,39,0.897435897435897,0.487179487179487,0.0214707692307692,0.0381800316633416,0.715393222678436,0.631618490854973,1,0,0.998364711351409,0,-0.0353669319186561,0.0645446507515473,FALSE,TRUE,3,1,29,"ns","ns",0.413409090909091,0.117905104654595
"381","RSV2",0.0764168322818744,0.137631328051768,"Escherichia/Shigella (RSV2)",27,25,29,0.931034482758621,0.862068965517241,0.232609655172414,0.233189029797145,38,36,39,0.974358974358974,0.923076923076923,0.202825641025641,0.233201279672787,0.571214781706441,0.448856716932845,0.934152693548801,0,0.948797434020868,0,-0.0433244916003537,-0.0610079575596818,FALSE,FALSE,4,1,29,"ns","ns",0.413409090909091,0.117905104654595
"521","RSV26",0.0761023643415326,0.142455076283856,"Klebsiella (RSV26)",17,11,29,0.586206896551724,0.379310344827586,0.00523034482758621,0.0111025281814416,12,8,39,0.307692307692308,0.205128205128205,0.0121384615384615,0.0642173584312422,0.0274168620462858,0.171519826794802,0.923444814508074,0,0.948797434020868,0,0.278514588859416,0.174182139699381,TRUE,TRUE,5,1,29,"ns","ns",0.413409090909091,0.117905104654595
"776","RSV4",0.07156933281579,0.130175073491662,"Streptococcus (RSV4)",25,14,29,0.862068965517241,0.482758620689655,0.00151724137931034,0.00183071979706602,35,17,39,0.897435897435897,0.435897435897436,0.00149128205128205,0.0023915456128524,0.715393222678436,0.806874424023152,1,0,1,0,-0.0353669319186561,0.0468611847922193,FALSE,TRUE,6,1,29,"ns","ns",0.413409090909091,0.117905104654595
"1030","RSV6",0.0636187105171191,0.112541740761596,"Bifidobacterium (RSV6)",2,2,29,0.0689655172413793,0.0689655172413793,0.00095448275862069,0.00410129908531335,9,9,39,0.230769230769231,0.230769230769231,0.047505641025641,0.150996501454676,0.100200392335075,0.100200392335075,0.923444814508074,0,0.948797434020868,0,-0.161803713527851,-0.161803713527851,FALSE,FALSE,7,1,29,"ns","ns",0.413409090909091,0.117905104654595
"746","RSV38",0.0584299333424964,0.106267815644459,"Streptococcus (RSV38)",24,16,29,0.827586206896552,0.551724137931034,0.00788965517241379,0.0201233529020316,27,21,39,0.692307692307692,0.538461538461538,0.00596307692307692,0.00898404379525054,0.262727874859439,1,0.923444814508074,0,1,0,0.135278514588859,0.013262599469496,TRUE,TRUE,8,1,29,"ns","ns",0.413409090909091,0.117905104654595
"653","RSV323",0.0532339225941065,0.0979761207313686,"Rothia (RSV323)",13,5,29,0.448275862068966,0.172413793103448,0.000697931034482759,0.00155550951530897,12,2,39,0.307692307692308,0.0512820512820513,0.000134358974358974,0.000307038441548276,0.310530797904244,0.127356468477004,0.923444814508074,0,0.948797434020868,0,0.140583554376658,0.121131741821397,TRUE,TRUE,9,1,29,"ns","ns",0.413409090909091,0.117905104654595
"701","RSV35",0.0531149397804503,0.0984343667473788,"Gemella (RSV35)",15,1,29,0.517241379310345,0.0344827586206897,0.000201379310344828,0.0004303464064642,27,5,39,0.692307692307692,0.128205128205128,0.000317948717948718,0.00052209688295917,0.207148821282728,0.229011194029851,0.923444814508074,0,0.948797434020868,0,-0.175066312997347,-0.0937223695844385,FALSE,FALSE,10,1,29,"ns","ns",0.413409090909091,0.117905104654595
