"","mean","sd","tax_id","taxonomy","nonresponder_present","nonresponder_present_strict","nonresponder_n","nonresponder_prev","nonresponder_prev_strict","nonresponder_mean","nonresponder_sd","responder_present","responder_present_strict","responder_n","responder_prev","responder_prev_strict","responder_mean","responder_sd","fisher_p","fisher_p_strict","fisher_padj","fisher_signif","fisher_padj_strict","fisher_signif_strict","prev_diff","prev_diff_strict","enriched_nonresponder","enriched_nonresponder_strict","rf_rank","rf_top20","rf_n","fisher_col","fisher_col_strict","crossval_mean","crossval_sd"
"Veillonella",0.338651652615828,0.591740386866912,"Veillonella","Veillonella",29,19,32,0.90625,0.59375,0.0656,0.118565802826953,31,26,32,0.96875,0.8125,0.19474875,0.222977159711989,0.6128024980484,0.0993921625970829,1,0,1,0,-0.0625,-0.21875,FALSE,FALSE,1,1,32,"ns","ns",0.589102564102564,0.112482487714399
"Lactobacillus",0.210481520995437,0.370842611523867,"Lactobacillus","Lactobacillus",18,13,32,0.5625,0.40625,0.00970125,0.0212269384159876,22,18,32,0.6875,0.5625,0.01974125,0.0284481082482338,0.438969460739848,0.317145854024887,1,0,1,0,-0.125,-0.15625,FALSE,FALSE,2,1,32,"ns","ns",0.589102564102564,0.112482487714399
"Bifidobacterium",0.20589359053276,0.362130716842224,"Bifidobacterium","Bifidobacterium",31,30,32,0.96875,0.9375,0.23812125,0.282843441201392,26,26,32,0.8125,0.8125,0.18500125,0.199441288632245,0.104195609891637,0.256518623594273,1,0,1,0,0.15625,0.125,TRUE,TRUE,3,1,32,"ns","ns",0.589102564102564,0.112482487714399
"Collinsella",0.199332279095714,0.347428195416675,"Collinsella","Collinsella",21,15,32,0.65625,0.46875,0.0058325,0.0102841610130304,20,18,32,0.625,0.5625,0.0289675,0.04787599189573,1,0.617301522585376,1,0,1,0,0.03125,-0.09375,TRUE,FALSE,4,1,32,"ns","ns",0.589102564102564,0.112482487714399
"Sutterella",0.18239667623152,0.319644290647175,"Sutterella","Sutterella",13,13,32,0.40625,0.40625,0.02266125,0.0575877316543791,14,8,32,0.4375,0.25,0.00230875,0.00655433456675071,1,0.286908750443438,1,0,1,0,-0.03125,0.15625,FALSE,TRUE,5,1,32,"ns","ns",0.589102564102564,0.112482487714399
"Staphylococcus",0.17825958483601,0.314105663826678,"Staphylococcus","Staphylococcus",31,19,32,0.96875,0.59375,0.01914375,0.0305960669778998,29,15,32,0.90625,0.46875,0.0137875,0.0348030913532395,0.6128024980484,0.452700026923172,1,0,1,0,0.0625,0.125,TRUE,TRUE,6,1,32,"ns","ns",0.589102564102564,0.112482487714399
"unassigned_Lachnospiraceae",0.165820277064368,0.299684170542814,"unassigned_Lachnospiraceae","unassigned_Lachnospiraceae",10,6,32,0.3125,0.1875,0.00559625,0.0247071547362559,19,11,32,0.59375,0.34375,0.0086675,0.023590822573141,0.0436990005672045,0.257393537580051,1,0,1,0,-0.28125,-0.15625,FALSE,FALSE,7,1,32,"ns","ns",0.589102564102564,0.112482487714399
"Escherichia/Shigella",0.157186490952579,0.280504465535646,"Escherichia/Shigella","Escherichia/Shigella",30,28,32,0.9375,0.875,0.20469375,0.245744835639629,28,28,32,0.875,0.875,0.18220125,0.239037468675196,0.67186652376983,1,1,0,1,0,0.0625,0,TRUE,FALSE,8,1,32,"ns","ns",0.589102564102564,0.112482487714399
"Streptococcus",0.15611278237964,0.277435295151968,"Streptococcus","Streptococcus",32,30,32,1,0.9375,0.042655,0.0568109128544406,32,27,32,1,0.84375,0.0460575,0.100233661431033,1,0.425766416597203,NA,NA,1,0,0,0.09375,FALSE,TRUE,9,1,32,"ns","ns",0.589102564102564,0.112482487714399
"Acinetobacter",0.152867942914946,0.269227317348361,"Acinetobacter","Acinetobacter",24,13,32,0.75,0.40625,0.02876125,0.0931879468791345,19,10,32,0.59375,0.3125,0.0256475,0.0850558449945795,0.286908750443438,0.602882765702973,1,0,1,0,0.15625,0.09375,TRUE,TRUE,10,1,32,"ns","ns",0.589102564102564,0.112482487714399
"Rothia",0.137622896648522,0.248310598215082,"Rothia","Rothia",23,11,32,0.71875,0.34375,0.00403125,0.00814579240288922,21,8,32,0.65625,0.25,0.0021075,0.00492592287079612,0.787875266151899,0.584973346818932,1,0,1,0,0.0625,0.09375,TRUE,TRUE,11,1,32,"ns","ns",0.589102564102564,0.112482487714399
"Bacteroides",0.133355308832671,0.239600632039292,"Bacteroides","Bacteroides",20,16,32,0.625,0.5,0.11702875,0.183152259798657,21,18,32,0.65625,0.5625,0.06448375,0.111996345267271,1,0.802478205205355,1,0,1,0,-0.03125,-0.0625,FALSE,FALSE,12,1,32,"ns","ns",0.589102564102564,0.112482487714399
"Dialister",0.123803510566381,0.220353128922195,"Dialister","Dialister",15,8,32,0.46875,0.25,0.0050625,0.0145126878860334,16,4,32,0.5,0.125,0.000405,0.00108473276031026,1,0.337196446215751,1,0,1,0,-0.03125,0.125,FALSE,TRUE,13,1,32,"ns","ns",0.589102564102564,0.112482487714399
"Klebsiella",0.104952069957652,0.187883526965338,"Klebsiella","Klebsiella",23,17,32,0.71875,0.53125,0.0293375,0.0756042831607976,22,18,32,0.6875,0.5625,0.03247,0.100075074786624,1,1,1,0,1,0,0.03125,-0.03125,TRUE,FALSE,14,1,32,"ns","ns",0.589102564102564,0.112482487714399
"Corynebacterium_1",0.0995617242307611,0.178508556460076,"Corynebacterium_1","Corynebacterium_1",23,4,32,0.71875,0.125,0.0008925,0.00225571532177782,23,4,32,0.71875,0.125,0.0003975,0.000851499625897291,1,1,1,0,1,0,0,0,FALSE,FALSE,15,1,32,"ns","ns",0.589102564102564,0.112482487714399
"Gemella",0.0995025425032341,0.181913326882098,"Gemella","Gemella",17,2,32,0.53125,0.0625,0.0002225,0.000477405623167824,12,2,32,0.375,0.0625,0.00048375,0.00224359985794719,0.315243339317542,1,1,0,1,0,0.15625,0,TRUE,FALSE,16,1,32,"ns","ns",0.589102564102564,0.112482487714399
"Enterococcus",0.0834810025667559,0.148442603206328,"Enterococcus","Enterococcus",11,4,32,0.34375,0.125,0.00034625,0.000857459676471257,11,7,32,0.34375,0.21875,0.0041425,0.0193419989292897,1,0.509181400291504,1,0,1,0,0,-0.09375,FALSE,FALSE,17,1,32,"ns","ns",0.589102564102564,0.112482487714399
"Senegalimassilia",0.082028579887561,0.145579535110511,"Senegalimassilia","Senegalimassilia",13,8,32,0.40625,0.25,0.00300125,0.00797045825776095,16,8,32,0.5,0.25,0.00223,0.00447542393018122,0.615929843454857,1,1,0,1,0,-0.09375,0,FALSE,FALSE,18,1,32,"ns","ns",0.589102564102564,0.112482487714399
"Parabacteroides",0.0803949968956049,0.145717416497241,"Parabacteroides","Parabacteroides",10,8,32,0.3125,0.25,0.0146225,0.0401026874652496,14,10,32,0.4375,0.3125,0.03268625,0.0769758002085197,0.438969460739847,0.781564919378385,1,0,1,0,-0.125,-0.0625,FALSE,FALSE,19,1,32,"ns","ns",0.589102564102564,0.112482487714399
"Prevotella_9",0.0774955546792688,0.138807541715729,"Prevotella_9","Prevotella_9",13,6,32,0.40625,0.1875,0.0553925,0.190057400752102,14,2,32,0.4375,0.0625,0.01682125,0.0928709422853442,1,0.256518623594273,1,0,1,0,-0.03125,0.125,FALSE,TRUE,20,1,32,"ns","ns",0.589102564102564,0.112482487714399
"Enterobacter",0.0757803442632476,0.143779274036173,"Enterobacter","Enterobacter",11,4,32,0.34375,0.125,0.0021925,0.010846639735346,8,2,32,0.25,0.0625,0.000335,0.00131169429955454,0.584973346818932,0.67186652376983,1,0,1,0,0.09375,0.0625,TRUE,TRUE,21,0,32,"ns","ns",0.589102564102564,0.112482487714399
"Micrococcus",0.0706224589775598,0.12374432395985,"Micrococcus","Micrococcus",10,0,32,0.3125,0,6.125e-05,0.000107515940303542,9,1,32,0.28125,0.03125,7.375e-05,0.00022145778014578,1,1,1,0,NA,NA,0.03125,-0.03125,TRUE,FALSE,22,0,32,"ns","ns",0.589102564102564,0.112482487714399
"Negativicoccus",0.0705979076028403,0.124759171163919,"Negativicoccus","Negativicoccus",6,1,32,0.1875,0.03125,0.00014375,0.000489145073803066,10,1,32,0.3125,0.03125,0.00011875,0.000409119826283284,0.387032616408581,1,1,0,NA,NA,-0.125,0,FALSE,FALSE,23,0,32,"ns","ns",0.589102564102564,0.112482487714399
"Dolosigranulum",0.0704727502966696,0.127375142590752,"Dolosigranulum","Dolosigranulum",11,1,32,0.34375,0.03125,0.00052625,0.00259422901717416,6,0,32,0.1875,0,2.875e-05,9.15722876801041e-05,0.257393537580051,1,1,0,NA,NA,0.15625,0.03125,TRUE,TRUE,24,0,32,"ns","ns",0.589102564102564,0.112482487714399
"Enterorhabdus",0.0695438007423394,0.123497964282813,"Enterorhabdus","Enterorhabdus",1,0,32,0.03125,0,2.5e-06,1.4142135623731e-05,7,3,32,0.21875,0.09375,0.00283875,0.0107010110315229,0.0534212719907576,0.238095238095238,1,0,1,0,-0.1875,-0.09375,FALSE,FALSE,25,0,32,"ns","ns",0.589102564102564,0.112482487714399
"Actinomyces",0.0686563104152144,0.124101763403228,"Actinomyces","Actinomyces",11,6,32,0.34375,0.1875,0.000515,0.00122699738412319,14,4,32,0.4375,0.125,0.0007325,0.00174685523893838,0.608843249519814,0.732280763795366,1,0,1,0,-0.09375,0.0625,FALSE,TRUE,26,0,32,"ns","ns",0.589102564102564,0.112482487714399
"Prevotella",0.0684046387065703,0.121368816969972,"Prevotella","Prevotella",13,3,32,0.40625,0.09375,0.00019625,0.000400690935518202,13,2,32,0.40625,0.0625,0.00064875,0.00245674286075506,1,1,1,0,1,0,0,0.03125,FALSE,TRUE,27,0,32,"ns","ns",0.589102564102564,0.112482487714399
"Lachnoclostridium",0.0669036370132757,0.123797941582251,"Lachnoclostridium","Lachnoclostridium",6,3,32,0.1875,0.09375,0.00125625,0.00414470960887919,2,0,32,0.0625,0,1.5e-05,6.24241475195968e-05,0.256518623594273,0.238095238095238,1,0,1,0,0.125,0.09375,TRUE,TRUE,28,0,32,"ns","ns",0.589102564102564,0.112482487714399
